Video Link,Primary Tag,Secondary Tag,Description
https://www.youtube.com/watch?v=HJ3wvVx2INw,irrelevant,Business & Entrepreneurship,Get some sort of workplace report?
https://www.youtube.com/watch?v=ZVzP-G-bDmA,irrelevant,Fashion,"Eyeglasses, 100% french"
https://www.youtube.com/watch?v=ppld4dlZTzI,irrelevant,Autos & Vehicles,Solly Azar Motorcycle Insurance: Two-wheeler insurance designed by and for motorcyclists.
https://www.youtube.com/watch?v=mEmV3aPKo3I,irrelevant,Autos & Vehicles,Volvo - electric SUV
https://www.youtube.com/watch?v=r8W3vpotuTY,irrelevant,Personal Care & Beauty,"Soap, sanitizer ad"
https://www.youtube.com/watch?v=yhRb6o-8DSY,irrelevant,Tech & Gadgets,Ecoasia search engine
https://www.youtube.com/watch?v=v8-9NMB1a7E,irrelevant,Fashion,Havianas flip flops
https://www.youtube.com/watch?v=nmxekS2Gk1U,irrelevant,Gaming & Entertainment,App to learn how to play billiiard
https://www.youtube.com/watch?v=AgUXf1b4GIo,irrelevant,Software,"Catawiki is an online auction platform for rare and unique items. Every week, discover more than 65,000 exceptional objects, selected by 240+ experts"
https://www.youtube.com/watch?v=KkpYvdzpDSI,irrelevant,Software,"Catawiki is an online auction platform for rare and unique items. Every week, discover more than 65,000 exceptional objects, selected by 240+ experts"
https://www.youtube.com/watch?v=9pGJCXS3i5Q,child directed,Toys,Smyths Toys - ad for a toy shop
https://www.youtube.com/watch?v=iqr7NYQEvYI,irrelevant,Software,Squarespace
https://www.youtube.com/watch?v=CiRQ3tOaIxA,irrelevant,Finance & Legal,OrangeBank app - ad to make safe online payments
https://www.youtube.com/watch?v=z1m1g4pHg84,child directed,Fashion for Kids,Kids summer collection
https://www.youtube.com/watch?v=ZIlihJvmhVk,irrelevant,Software,Software which provides APIs for file format manipulation
https://www.youtube.com/watch?v=JTxDEr8LV-o,irrelevant,Tech & Gadgets,Speakers
https://www.youtube.com/watch?v=z-SJEwyKRo0,irrelevant,Home and Office,"The largest online tile and sanitary store presents its chain.
  Discover tutorials, our TV shows and much more information about your Réflex® store
www.reflex-boutique.fr"
https://www.youtube.com/watch?v=1GLo7TbWR2g,irrelevant,Finance & Legal,OrangeBank app
https://www.youtube.com/watch?v=fJXHJoekXV8,irrelevant,Software,orange cloud exprtise - cloud services
https://www.youtube.com/watch?v=so9E513lLFw,irrelevant,Travel & Adventure,"Picasso festival, france and spain"
https://www.youtube.com/watch?v=L0xubZaNNgk,irrelevant,Nature & Environment,"Village Nature®️ Paris | Center Parcs, holiday cottages"
https://www.youtube.com/watch?v=q-jrhuKvJZQ,irrelevant,Fashion,Nike ad
https://www.youtube.com/watch?v=FmUGrLo5Yjg,child directed,Toys,Smyths Toys - ad for dolls
https://www.youtube.com/watch?v=1dtzSRlfBDk,child directed,Education & Learning,Adapted Mind app
https://www.youtube.com/watch?v=Jz85z2g0Dy0,child directed,Children's Books,"Books, magazines - children's reading, subscription for kids"
https://www.youtube.com/watch?v=4M3co8W1zZ8,irrelevant,Travel & Adventure,Visit Quebec
https://www.youtube.com/watch?v=BILwMq8heEg,irrelevant,Fashion,Swatch watches
https://www.youtube.com/watch?v=LxLB3tII79Q,irrelevant,Software,Vimeo Webinars 
https://www.youtube.com/watch?v=RyRv1VmbxBg,irrelevant,Software,Ad for honey - finding coupons
https://www.youtube.com/watch?v=LXDLd1LKq7g,child directed,Children's Books,"Books, magazines - children's reading, subscription for kids"
https://www.youtube.com/watch?v=J5g0B3sfOI8,irrelevant,Software,"Catawiki is an online auction platform for rare and unique items. Every week, discover more than 65,000 exceptional objects, selected by 240+ experts"
https://www.youtube.com/watch?v=GIULJPu8RnU,irrelevant,Software,Parallels Desktop for Mac - Run Windows on Mac
https://www.youtube.com/watch?v=0sz2aOuYOvU,child directed,Toys,Mattel rapunzel doll
https://www.youtube.com/watch?v=q2YOb6K1qMY,irrelevant,Software,LinkedIn sales navigator
https://www.youtube.com/watch?v=5A1LAX7sEMw,irrelevant,Software,Ecoasia search engine
https://www.youtube.com/watch?v=k23XmtlRpqk,irrelevant,Tech & Gadgets,Speakers
https://www.youtube.com/watch?v=bQES_F6c7c8,child directed,Educational Content,adapted mind maths game
https://www.youtube.com/watch?v=bN0O7BTSaXA,child directed,Toys,Trampolines @ Smyths tiys
https://www.youtube.com/watch?v=r2SJZir8zis,irrelevant,Business & Entrepreneurship,Reserve an appointment with a Google Ads expert
https://www.youtube.com/watch?v=-Ui1fJcPod8,irrelevant,Fashion,Family fashion - KIABI
https://www.youtube.com/watch?v=6hzPyBNoXNw,child directed,Toys,Super mario toys
https://www.youtube.com/watch?v=34u1sOLrgVo,child directed,Educational Content,Adpated Mind ad
https://www.youtube.com/watch?v=FkXlV-v7uSs,irrelevant,Software,"IDE, client and GUI tools for MongoDB  -> Studio 3T"
https://www.youtube.com/watch?v=QG_UrUXAVT8,irrelevant,Home and Office,Aquascopic Telescopic Pole Set 5-Surfaces - The ultimate telescopic handle for efficient cleaning!
https://www.youtube.com/watch?v=nxz59CCzFYs,irrelevant,Software,Parallels Desktop for Mac - Run Windows on Mac
https://www.youtube.com/watch?v=cLXbzi8rC7s,inappropriate,Scariness,"Documentary about firefighters, car crashes, fire etc etc"
https://www.youtube.com/watch?v=-6dleqTJs0o,inappropriate,Offensive language,punjabi song
https://www.youtube.com/watch?v=B6ClL-XTlrc,irrelevant,Autos & Vehicles,Dry Steam Machine for Industrial cleaning and car wash /detailing
https://www.youtube.com/watch?v=62fhnp6Ywug,irrelevant,Tech & Gadgets,Ad for speakers/sound system
https://www.youtube.com/watch?v=_skr2ry5Efk,irrelevant,Software,Ecoasia search engine
https://www.youtube.com/watch?v=C4eImvXoQ78,irrelevant,Sports & Athletics,Ad for skateboard
https://www.youtube.com/watch?v=r9xAjyyqCHQ,child directed,Fashion for Kids,kids clothing - petit bateau
https://www.youtube.com/watch?v=pkh1qXYhoRk,irrelevant,Tech & Gadgets,printer toner
https://www.youtube.com/watch?v=4MBFlvPmaJY,irrelevant,Finance & Legal,Investing - Les Cigales can save - 3% of your SCPI investment refunded 30s
https://www.youtube.com/watch?v=5XWIusZXsW0,child directed,Toys,Red reding hood board game toy
https://www.youtube.com/watch?v=c_kqo39UIr8,inappropriate,Display of weapons,Movie on disney+
https://www.youtube.com/watch?v=jPX2JY4Za38,irrelevant,Travel & Adventure,"Reception venue for seminars, weddings and private events"
https://www.youtube.com/watch?v=nOxZiav_pv8,child directed,Educational Content,AdaptedMind ad
https://www.youtube.com/watch?v=vfXa8FYrrc4,irrelevant,Home and Office,Cat food
https://www.youtube.com/watch?v=fY1iPBWGxfE,child directed,Toys,barbie ballerina doll
https://www.youtube.com/watch?v=Tr9xWcn2jdI,child directed,Toys,polly pocket toy
https://www.youtube.com/watch?v=Q0U2zgipGlw,child directed,Toys,ad for airbrush plushies
https://www.youtube.com/watch?v=pA7tvN7zwyg,irrelevant,Fashion,"eyeglasses, optical"
https://www.youtube.com/watch?v=vZ4Bi_9ViP0,irrelevant,Finance & Legal,"Expensya is a Web and Mobile solution that automates expense reports management for professionals. This is the only cutting-edge software that is also adapted for the most complex processes and connected to travel solutions, accounting, payment and VAT recovery. "
https://www.youtube.com/watch?v=aeOTILojd38,irrelevant,Gaming & Entertainment,"Trailer for Tiny beautiful Things movie on disney plus, show for teenagers, some yelling?"
https://www.youtube.com/watch?v=6_-rTRfH2FA,irrelevant,Software,Software which provides APIs for file format manipulation
https://www.youtube.com/watch?v=8Hk-eDwlIvw,irrelevant,Home and Office,toner for printer
https://www.youtube.com/watch?v=aIdykBglBpo,irrelevant,Education & Learning,"Website/online course to learn game design, game programming, animation etc"
https://www.youtube.com/watch?v=_5RG1BhYtz4,irrelevant,Education & Learning,Philippines: facts to know
https://www.youtube.com/watch?v=Oo43l0fMcAg,irrelevant,Parenting & Family,ad for baby strollers
https://www.youtube.com/watch?v=5O_Ato83aUg,irrelevant,Finance & Legal,"Qonto is the leading European business finance solution. It simplifies everything from everyday banking and financing, to bookkeeping and spend management. Qonto energizes SMEs and freelancers so that they can achieve more."
https://www.youtube.com/watch?v=AvXntekzuWM,irrelevant,Business & Entrepreneurship,Reserve an appointment with a Google Ads expert
https://www.youtube.com/watch?v=OtznsUupZJM,irrelevant,Home and Office,Ad for garden stuff like barbecue grill etc
https://www.youtube.com/watch?v=3RoG1Tx1tgI,irrelevant,Travel & Adventure,Huttopia Campings & Villages - shows family fun
https://www.youtube.com/watch?v=GnymbIhPyxM,child directed,Toys,Ad for squishy stretchy boxing character figures
https://www.youtube.com/watch?v=hJ2UmBqP1aU,irrelevant,Autos & Vehicles,Volvo electric car
https://www.youtube.com/watch?v=lH62LDVEdWc,irrelevant,Fashion,Swarovski jewelry ad
https://www.youtube.com/watch?v=zXOoza3sxiw,irrelevant,Music & Performance,Music video from kpop group BTOB
https://www.youtube.com/watch?v=_m8EwrVwzLo,irrelevant,Software,GUI for MongoDB
https://www.youtube.com/watch?v=m2JlmfB9DJs,irrelevant,Travel & Adventure,Introducing our Brand Ambassador Mike Horn | Explora Journeys
https://www.youtube.com/watch?v=wv68v_2XSB4,irrelevant,Business & Entrepreneurship,Flyer company but wesbite
https://www.youtube.com/watch?v=Z4bkszzj-lc,inappropriate,Physical Violence,"bad language,smoking, gun, violence, slapping"
https://www.youtube.com/watch?v=gTQddBYiHOM,irrelevant,Education & Learning,Introducing Yeti Learn with Creative Coding Course
https://www.youtube.com/watch?v=ytxBLEGRh34,irrelevant,Home and Office,Electrical Appliances
https://www.youtube.com/watch?v=BEoOOCd9OKE,irrelevant,Business & Entrepreneurship,Guest Managment Platform tool
https://www.youtube.com/watch?v=yhT87HNT_LM,irrelevant,Business & Entrepreneurship,OfficeRnD Hybrid Solves The Complexity Of Managing A Hybrid Workplace 
https://www.youtube.com/watch?v=_LMU8ehlctk,irrelevant,Software,GUI for MongoDB
https://www.youtube.com/watch?v=6NodSJBtZqM,irrelevant,Software,Scan your reciepts app
https://www.youtube.com/watch?v=53xUYob6o2Q,inappropriate,Scariness,"Music video - washing blood of hands, abusive relationship, initimacy, arguing, death"
https://www.youtube.com/watch?v=I8dvguGONfE,child directed,Toys,Polly Pocket toys - Mattel
https://www.youtube.com/watch?v=kWgpgGMM5Zw,irrelevant,Education & Learning,AMOS Ecole Sport Business 
https://www.youtube.com/watch?v=y7GxO2N-z2E,irrelevant,Fashion,Ad for eye wear
https://www.youtube.com/watch?v=-8xuko7PTO8,child directed,Toys,Monster High dolls @Smyths Toys
https://www.youtube.com/watch?v=L9QTT4zg6vU,irrelevant,Finance & Legal,Tax reduction thanks to real estate tax exemption: advantages
https://www.youtube.com/watch?v=dOeRq9b9-uU,irrelevant,Software,VEXXHOST - The OpenStack Cloud You Need
https://www.youtube.com/watch?v=fOdo1GkzZAk,child directed,Educational Content,Adapted mind math game
https://www.youtube.com/watch?v=PNLjw8ZS6IU,child directed,Toys,Ad for barbie dolls from mattel
https://www.youtube.com/watch?v=d5WnunFXMBU,irrelevant,Travel & Adventure,Museum river exhibition
https://www.youtube.com/watch?v=W4KpKRAt89E,irrelevant,Fashion,Uniqlo ad for linen collection
https://www.youtube.com/watch?v=7bM14r3eP_0,irrelevant,Software,Ecoasia search engine
https://www.youtube.com/watch?v=7d1XSMM0Qm8,irrelevant,Parenting & Family,KIABI baby clothes
https://www.youtube.com/watch?v=aNbVG5pilO8,irrelevant,Home and Office,Office design
https://www.youtube.com/watch?v=CDDaI8G4Yzg,irrelevant,Finance & Legal,Investing - Les Cigales can save - 3% of your SCPI investment refunded 30s
https://www.youtube.com/watch?v=6B18zyv7TCU,irrelevant,Travel & Adventure,British airways
https://www.youtube.com/watch?v=-xHou2dIbY0,irrelevant,Software,VEXXHOST - The OpenStack Cloud You Need
https://www.youtube.com/watch?v=tFOfWPEUaAc,irrelevant,Business & Entrepreneurship,"Comarch Digital Insurance is an omnichannel front-office software, with three applications dedicated to distributors, business administrators and end clients. It creates one working environment for different user groups based on a common business logic engine."
https://www.youtube.com/watch?v=Jm2FtxPupS4,irrelevant,Finance & Legal,Transcash Mastercard - Send your children's pocket money in real time
https://www.youtube.com/watch?v=p0yfY5qWOBQ,irrelevant,Software,Catawiki 
https://www.youtube.com/watch?v=FgmZUfDFk1Y,irrelevant,Software,Guest bedroom | List your property on Airbnb
https://www.youtube.com/watch?v=RCSC2jGDBos,irrelevant,Finance & Legal,looks like some ad about property?
https://www.youtube.com/watch?v=Fzf6BSbINPQ,irrelevant,Software,Ad for Document management system
https://www.youtube.com/watch?v=j55oJ8NHXlw,irrelevant,Autos & Vehicles,Ad for tires - Hanbok tires
https://www.youtube.com/watch?v=wzgKO-QZ1cU,irrelevant,Fashion,Eyeglasses
https://www.youtube.com/watch?v=n1uMusIM9AA,irrelevant,Home and Office,Kitchen appliances
https://www.youtube.com/watch?v=Magi9oDBcf4,irrelevant,Travel & Adventure,Visit Croatia!
https://www.youtube.com/watch?v=vKp2YdhnOFM,irrelevant,Fashion,LA VALLÉE VILLAGE PARIS : THE ULTIMATE LUXURY SHOPPING DESTINATION NEAR PARIS
https://www.youtube.com/watch?v=6Dz0NB7XcN8,irrelevant,Tech & Gadgets,"Earbuds, speaker?"
https://www.youtube.com/watch?v=6UdvlHZXPKg,irrelevant,Fashion,Christian Louboutin - designer handbag
https://www.youtube.com/watch?v=H3QcKR5vIr4,irrelevant,Educational Content,AMOS Ecole de Commerce 100% Sport Business
https://www.youtube.com/watch?v=b_p4Fd5jgxw,irrelevant,Parenting & Family,"Fashion, shoes, decoration, furniture, toys, childcare... Vertbaudet has been supporting future and young parents for 60 years!
To be found on vertbaudet.fr"
https://www.youtube.com/watch?v=IHcdHuAdNNQ,irrelevant,Fashion,Pandora - ad for mother's day
