Video Link,Primary Tag,Secondary Tag,Description,,,,,,,,
https://www.youtube.com/watch?v=HJ3wvVx2INw,irrelevant,Business & Entrepreneurship,economist report to drive employee retention,,,,,,,,
https://www.youtube.com/watch?v=ZVzP-G-bDmA,irrelevant,Fashion,eyewear ad,,,,,,,,
https://www.youtube.com/watch?v=ppld4dlZTzI,irrelevant,Travel & Adventure,ad for insurance for motorcycles,,,,,,,,
https://www.youtube.com/watch?v=mEmV3aPKo3I,irrelevant,Autos & Vehicles,volvo car ad,,,,,,,,
https://www.youtube.com/watch?v=r8W3vpotuTY,irrelevant,Personal Care & Beauty,ineos hygeinecs ad,,,,,,,,
https://www.youtube.com/watch?v=yhRb6o-8DSY,irrelevant,Software,ecosia search engine ad,,,,,,,,
https://www.youtube.com/watch?v=v8-9NMB1a7E,irrelevant,Fashion,"slippers ad, marked made for kids",,,,,,,irrelevant,120
https://www.youtube.com/watch?v=nmxekS2Gk1U,irrelevant,Gaming & Entertainment,billiard lessons site,,,,,,,inaudible,1
https://www.youtube.com/watch?v=AgUXf1b4GIo,irrelevant,Business & Entrepreneurship,auction site ,,,,,,,inappropriate,6
https://www.youtube.com/watch?v=KkpYvdzpDSI,irrelevant,Business & Entrepreneurship,auction site ,,,,,,,excluded,0
https://www.youtube.com/watch?v=9pGJCXS3i5Q,child directed,Toys,smyths toys ad,,,,,,,Total,127
https://www.youtube.com/watch?v=iqr7NYQEvYI,irrelevant,Health and Wellness,squarespace wellness ad,,,,,,,,
https://www.youtube.com/watch?v=CiRQ3tOaIxA,irrelevant,Finance & Legal,bank card ad,,,,,,1,,
https://www.youtube.com/watch?v=z1m1g4pHg84,child directed,Fashion,kids summer clothing collection ad,,,,,,1,,
https://www.youtube.com/watch?v=ZIlihJvmhVk,irrelevant,Software,file manipulation api ad,,,,,,0,,
https://www.youtube.com/watch?v=JTxDEr8LV-o,irrelevant,Tech & Gadgets,ad for speaker,,,,,,2,,
https://www.youtube.com/watch?v=z-SJEwyKRo0,irrelevant,Home and Office,ad for home and interior online purchase,,,,,,0,,
https://www.youtube.com/watch?v=1GLo7TbWR2g,irrelevant,Finance & Legal,bank card ad,,,,,,0,,
https://www.youtube.com/watch?v=fJXHJoekXV8,irrelevant,Software,orange cloud service for businesses,,,,,,0,,
