Video Link,Primary Tag,Secondary Tag,Description
https://www.youtube.com/watch?v=vWTs0sUQsF0,irrelevant,Home and Office,realtor.com search function
https://www.youtube.com/watch?v=i5fIB4Gqaec,irrelevant,Software,"ggrammarly go, accelerate writing"
https://www.youtube.com/watch?v=iUPJ00AHpMU,irrelevant,Home and Office,pets food
https://www.youtube.com/watch?v=998MLAXmtys,irrelevant,Nature & Environment,"panama eng ad, shows nature"
https://www.youtube.com/watch?v=Vp4vm73t2UY,irrelevant,Home and Office,"waste bag ad, shows fitness"
https://www.youtube.com/watch?v=HEaikVlUgMY,irrelevant,Software,adobe acrobat pdf manager ad
https://www.youtube.com/watch?v=100tfTCiVmc,irrelevant,Software,vex robotics competition
https://www.youtube.com/watch?v=e51mgdg_BvU,irrelevant,Business & Entrepreneurship,department store ads
https://www.youtube.com/watch?v=gc9-4oq1idA,child directed,Movies,elemental by pixar trailer
https://www.youtube.com/watch?v=t5GktF4DmPE,irrelevant,Machinery,"heavy duty battery ad, features machinery"
https://www.youtube.com/watch?v=Jbir6yDKZUE,irrelevant,Education & Learning,grammarly ad
https://www.youtube.com/watch?v=yjTveODKR04,irrelevant,Tech & Gadgets,5g network ad: verizon
https://www.youtube.com/watch?v=ZFiyfTy7Ljo,irrelevant,Fashion,high end male fashion brand ad
https://www.youtube.com/watch?v=WG5bVsbROz4,irrelevant,Software,adobe acrobat pdf manager ad
https://www.youtube.com/watch?v=EXl4cwkpMPU,irrelevant,Software,"squarespace , website maker"
https://www.youtube.com/watch?v=aO3AJ7SMUUI,irrelevant,Tech & Gadgets,google pixel 7a ad
https://www.youtube.com/watch?v=oavcsKN_VgM,child directed,Cartoons,thomas & friends 
https://www.youtube.com/watch?v=hYwsXoFeTh8,inappropriate,Scariness,"screams, ghost convo"
https://www.youtube.com/watch?v=bzDD8ItXmXY,irrelevant,Business & Entrepreneurship,hotjar marketin help
https://www.youtube.com/watch?v=H2r9HkQxXhc,irrelevant,Autos & Vehicles,used car platform ad
https://www.youtube.com/watch?v=vKYEA7ZqC8c,irrelevant,Music & Performance,yt music app
https://www.youtube.com/watch?v=YXgXw25E5RU,irrelevant,Software,grammarly ad
https://www.youtube.com/watch?v=y5yMEcs2TzU,irrelevant,Home and Office,shutterfly photo printing service
https://www.youtube.com/watch?v=SbaTHhyV7kE,irrelevant,Business & Entrepreneurship,staffing agency ad
https://www.youtube.com/watch?v=iTt18nwB2EU,irrelevant,Home and Office,mattress ad
https://www.youtube.com/watch?v=2Lo6DbYZ7Tc,irrelevant,Music & Performance,yt music app
https://www.youtube.com/watch?v=prFicXqS1OU,irrelevant,Music & Performance,yt music app
https://www.youtube.com/watch?v=YSs1BYZkeiI,child directed,Movies,mermaid trailer
https://www.youtube.com/watch?v=Ne2qtEUcqO4,irrelevant,Fashion,DSW dress guide
