Video Link,Primary Tag,Secondary Tag,Description
https://www.youtube.com/watch?v=W-QRLo4fFw0,irrelevant,Tech & Gadgets,gadget for repelling mosquitoes
https://www.youtube.com/watch?v=WnSA6VYDJio,irrelevant,Software,"Reallusion Inc., a 2D and 3D character generation and animation tools company that specializes in real time cinematic animation, virtual production, and motion capture tools.  Reallusion is a platform to connect professional animation technologies, industry partners, and content developers for character creation, motion capture and digital human solutions that balance quick production with quality results."
https://www.youtube.com/watch?v=YlB8HsuXB-k,irrelevant,Finance & Legal,ad for a bank
https://www.youtube.com/watch?v=oo9I8tToBHM,irrelevant,Home and Office,marjanemall app - shopping for home decor like lamp
https://www.youtube.com/watch?v=G-uIluMU7Vw,inaudible,Different Language,arabic lyric video
https://www.youtube.com/watch?v=1dtzSRlfBDk,child directed,Educational Content,Incentives Ad (Monster House) All Pets Desktop
https://www.youtube.com/watch?v=6aHD_E8YfxE,irrelevant,Finance & Legal,ad for people's bank of morocco but showing sportsman
https://www.youtube.com/watch?v=0p0Ip9K09B4,inappropriate,"Drinking, drugs, smoking",light drinking and Adult Suggestive Content
https://www.youtube.com/watch?v=34u1sOLrgVo,child directed,Educational Content,"Adpated Mind ad, children's math game app"
https://www.youtube.com/watch?v=UKToKw5fLyA,irrelevant,Gaming & Entertainment,"random short animation, communism symbol"
https://www.youtube.com/watch?v=cAMHx-m9oh8,inappropriate,"Drinking, drugs, smoking","physical Adult Suggestive Content, interpersonal violence, drinking - akhsay kumar mv"
https://www.youtube.com/watch?v=EWIchJ39uK8,irrelevant,Finance & Legal,ad for apartments
https://www.youtube.com/watch?v=z2E2MUYzqIc,irrelevant,Tech & Gadgets,"Orange is one of the world's leading telecommunications operators, present in 29 countries and offering ICT services to businesses in 220 countries and territories."
https://www.youtube.com/watch?v=bQES_F6c7c8,child directed,Educational Content,adapted mind maths game
https://www.youtube.com/watch?v=4PG7Y2V7FRc,irrelevant,Business & Entrepreneurship,telecommunications business
https://www.youtube.com/watch?v=IkyTgjWS484,irrelevant,Home and Office,minimalist furniture
https://www.youtube.com/watch?v=zNt0yispEhM,child directed,Toys,ad for toys on marjanemall shopiing app
https://www.youtube.com/watch?v=gHbrMZZ1Tyo,irrelevant,Education & Learning,"reallusion contest for 2d animation, courses for 2d animation linked in description"
https://www.youtube.com/watch?v=pMCk7IX19WQ,inappropriate,Offensive language,"punjabi song - words like ""nasheeli"""
https://www.youtube.com/watch?v=Kxa-6j3BwtI,irrelevant,Home and Office,ad for wall paint
https://www.youtube.com/watch?v=iSUSSjw3RVc,irrelevant,Music & Performance,kpop mv - mijoo mvie star
https://www.youtube.com/watch?v=sGPXOd9kKP4,irrelevant,Education & Learning,How to Fix Foot Sliding & Visualize Footsteps| 3D Mocap Animation Course | iClone 8
https://www.youtube.com/watch?v=gJffNs6nie0,irrelevant,Tech & Gadgets,ad for mobile data package
https://www.youtube.com/watch?v=bUltXkQt5gM,inappropriate,Adult Suggestive Content,physical Adult Suggestive Content - arabic mv showing couple
https://www.youtube.com/watch?v=NvYDEN1m_AQ,child directed,Poems/Songs/Nursery Rhymes/Music,ad for Bimi Boo - Kids Songs for Learning youtube channel
https://www.youtube.com/watch?v=uxygkzPBlEU,irrelevant,Tech & Gadgets,"make a donation, get mobile data free (orange)"
https://www.youtube.com/watch?v=0Ahim5aJmp8,irrelevant,Music & Performance,kpop mv: YOUNITE 'WATERFALL' M/V
https://www.youtube.com/watch?v=2nOdKMCD-a0,irrelevant,Music & Performance,"arabic mv, lady, mother and girl enjoying "
https://www.youtube.com/watch?v=1rAgIaxYm3A,irrelevant,Music & Performance,Nawal El Zoghbi - Rayto [Official Music Video] (2023)
https://www.youtube.com/watch?v=W-Ardr2Oeu8,irrelevant,Music & Performance,"[MV] 예은 (YEEUN) ""Cherry Coke"""
https://www.youtube.com/watch?v=hHF-FRKOmmY,irrelevant,Machinery,Good Quality CNC Machine Supplier -- China CHENcan CNC
https://www.youtube.com/watch?v=qYzYsaX-22c,irrelevant,Music & Performance,arabic mv
https://www.youtube.com/watch?v=Q4LQi6Vp13k,irrelevant,Sports & Athletics,man training with personal trainer
https://www.youtube.com/watch?v=VzWlUcoxvmY,inappropriate,"Drinking, drugs, smoking","smoking, club, weirdo dances, weird lyrics"
https://www.youtube.com/watch?v=A2ajy4iu9xE,child directed,Poems/Songs/Nursery Rhymes/Music,Achoo - Children's Song about Having a Cold - Brumosaurus
https://www.youtube.com/watch?v=kl_KL4YVTmo,irrelevant,Parenting & Family,Costway Au - Soft and Safe Baby Essentials
https://www.youtube.com/watch?v=Y7TNd_Z2edY,irrelevant,Finance & Legal,finance business
https://www.youtube.com/watch?v=XQRKPcDXv-g,inaudible,Different Language,arabic lyric video
https://www.youtube.com/watch?v=G8iRbdh8kLw,inappropriate,Adult Suggestive Content,"kissing, man drinking and driving, physical Adult Suggestive Content"
https://www.youtube.com/watch?v=fnMwCP9Wljo,inappropriate,Display of weapons,toy gun used to threaten
https://www.youtube.com/watch?v=ZelVyOCWqAU,inappropriate,Adult Suggestive Content,"Hanji Kaun (Official Video) | Davinder Dhillon, Black Virus | Harj Maan | Latest Punjabi Songs 2023 -> physical Adult Suggestive Content"
https://www.youtube.com/watch?v=8wYSPQp8jNQ,child directed,Storytelling,Adapted mind reading
https://www.youtube.com/watch?v=pmJdFF_ahV0,inappropriate,Scariness,"arabic mv animated, cigarette, button eyes "
https://www.youtube.com/watch?v=nOxZiav_pv8,child directed,Educational Content,Adapted mind math game
https://www.youtube.com/watch?v=_DWvtRHFnTs,irrelevant,Machinery,high power LED driver
https://www.youtube.com/watch?v=adGpfVqKhnI,irrelevant,Education & Learning,"ad for a school, school tour"
https://www.youtube.com/watch?v=fysVod7eanc,inappropriate,Adult Suggestive Content,music video
https://www.youtube.com/watch?v=G6VlMqWlbug,irrelevant,Finance & Legal,ad for people's bank of morocco but showing sportsman
https://www.youtube.com/watch?v=9ZpbadFMqLo,inaudible,Different Language,Najwa Karam - Zaalak Saab | Lyrics Video 2023
https://www.youtube.com/watch?v=8zIQ9PKYWDE,irrelevant,Finance & Legal,health insurance
https://www.youtube.com/watch?v=O85rODOt9BQ,inaudible,Different Language,"turkish mv, man singing alone"
https://www.youtube.com/watch?v=B84349ZaHyg,inaudible,Different Language,"kpop, man singing alone"
https://www.youtube.com/watch?v=ylrMZ63hi2g,irrelevant,Travel & Adventure,ad for sofitel hotel
https://www.youtube.com/watch?v=4uEZzOMBbus,inappropriate,Offensive language,Lil Pump - I Don't Mind (bad words!!)
https://www.youtube.com/watch?v=OqOoSEgMrNM,irrelevant,Finance & Legal,Cashplus banking app
https://www.youtube.com/watch?v=_SMiQqay3S4,irrelevant,Finance & Legal,ad for apartments
https://www.youtube.com/watch?v=NWNTcOd33Qs,irrelevant,Home and Office,"shots of house interiors, house design"
https://www.youtube.com/watch?v=_axD_oF_PU8,irrelevant,Finance & Legal,Cashplus banking app
https://www.youtube.com/watch?v=erRjQLJR2dU,irrelevant,Finance & Legal,wafacash insurance
https://www.youtube.com/watch?v=1q-l3Y2_szk,irrelevant,Tech & Gadgets,Portable ssd ad
https://www.youtube.com/watch?v=Huhc_1ykWOc,irrelevant,Tech & Gadgets,Portable bluetooth speaker
https://www.youtube.com/watch?v=6zP_KnLDHGY,inappropriate,Explicit Sexual Content,"punjabi mv, touching, weapons (bats)"
https://www.youtube.com/watch?v=8Un2khGNb3U,inaudible,Different Language,arabic lyric video
https://www.youtube.com/watch?v=8ZkE4jmX4YY,inaudible,Different Language,chinese performance video 
https://www.youtube.com/watch?v=UDL75pNyw64,irrelevant,Gaming & Entertainment,Youtube premium ad
https://www.youtube.com/watch?v=y8PtMj070_E,irrelevant,Home and Office,"sofa,furniture ad"
https://www.youtube.com/watch?v=CxUcLE-SuqE,irrelevant,Software,Shopify Live Product Options App
https://www.youtube.com/watch?v=YiRty0R6vag,irrelevant,Sports & Athletics,korean horse riding
https://www.youtube.com/watch?v=c0JoY05GDww,irrelevant,Music & Performance,punjabi mv
https://www.youtube.com/watch?v=83zGfs112zU,irrelevant,Sports & Athletics,ad for sports podcast
https://www.youtube.com/watch?v=BbXwQ48r5SQ,irrelevant,Music & Performance,punjabi mv but ok
https://www.youtube.com/watch?v=0D9FnfmPRnE,irrelevant,Tech & Gadgets,4G package
https://www.youtube.com/watch?v=LQYoreruLIU,inaudible,Different Language,french rap
https://www.youtube.com/watch?v=QsDLXpIH9Cg,inaudible,Different Language,arabic lyric video
https://www.youtube.com/watch?v=BRA01J9-F5I,irrelevant,Software,"iCareFone WhatsApp Transfer, backup & restore"
https://www.youtube.com/watch?v=KmFEk-EdEN8,irrelevant,Food and Cooking,ad for green tea
https://www.youtube.com/watch?v=p6JzJ6u1BdE,irrelevant,Food and Cooking,Glace/sorbet recipe
https://www.youtube.com/watch?v=eq_7wqMobFs,irrelevant,Tech & Gadgets,Orange Maroc eSim ad
https://www.youtube.com/watch?v=vz7Spp8E2Mo,inaudible,Different Language,Sako - VROOM Feat. Arzoo (Clip officiel)
https://www.youtube.com/watch?v=BXGozbc8RN8,irrelevant,Music & Performance,Pyaar Huaa 2.0 (Studio Version) |Himesh Ke Dil Se The Album
https://www.youtube.com/watch?v=qbJrszYEi6U,irrelevant,Food and Cooking,ad for tea?
https://www.youtube.com/watch?v=TjxskTJd9eM,irrelevant,Software,"Viam Robotics, platform.software to make remote robotics possible"
https://www.youtube.com/watch?v=CWmVhmT5bgQ,irrelevant,Gaming & Entertainment,short animation
