Video Link,Primary Tag,Secondary Tag,Description,
https://www.youtube.com/watch?v=_MFBdUXYuZU,irrelevant,Sports & Athletics,"ad for a sports club, using 3d animation, shows a figure playing football and scoring a goal",
https://www.youtube.com/watch?v=vtMyHw9OpTE,excluded,,sufi poetry,
https://www.youtube.com/watch?v=1UKKXFir0Cc,irrelevant,Gaming & Entertainment,"sandbox ad, gaming vr nft platform",
https://www.youtube.com/watch?v=gRIsS2GwuBA,irrelevant,Software,"godaddy ad, domain hosting site",
https://www.youtube.com/watch?v=s27kADZ-qeg,irrelevant,Software,grammarly ad,
https://www.youtube.com/watch?v=0kt6Vc-tmpU,inaudible,Different Language,"romantic medley w a man singing in studio, cant undertsand lyrics",
https://www.youtube.com/watch?v=8wYSPQp8jNQ,child directed,Educational Content,"ad for a reading story game on adapted mind, shows characters animated talking",
https://www.youtube.com/watch?v=dpUO2FpSNT4,inappropriate,Display of weapons,shows guns used by military,
https://www.youtube.com/watch?v=Rcl5omP9slA,irrelevant,Gaming & Entertainment,"sandbox ad, gaming vr nft platform",
https://www.youtube.com/watch?v=ChnFz2pRH9o,irrelevant,Home and Office,interiro design business ad,
https://www.youtube.com/watch?v=exaTYMyuTeA,inaudible,Different Language,korean interview featuring diff people choosing options,
https://www.youtube.com/watch?v=bQES_F6c7c8,child directed,Educational Content,math and story driven ad game. Similar to add in row 2.,
https://www.youtube.com/watch?v=-8DkqpUK_DQ,irrelevant,Motivation & Inspiration,ted talk by business entrepeneur,
https://www.youtube.com/watch?v=CxUcLE-SuqE,irrelevant,Software,Shopify ad for product management. Not aimed at kids.,
https://www.youtube.com/watch?v=UUxJlzEVicI,irrelevant,Software,linkedin automation ,
https://www.youtube.com/watch?v=YAGV7-qVYEo,child directed,Cartoons,video game ganag beasts ad,
https://www.youtube.com/watch?v=EW9CtqXZGFg,irrelevant,Gaming & Entertainment,music celebrity interview,
https://www.youtube.com/watch?v=0I5z4YcjBTU,irrelevant,Software,ad about an ai based facial recognition tracker. ,
https://www.youtube.com/watch?v=dN1ZqEuvVGQ,inappropriate,Physical Violence,"Movie trailer. Depiction of physical/gang violence, blood and drugs.",
https://www.youtube.com/watch?v=u8CL8Zgmv-w,irrelevant,Fashion,ad for female undergarments,
https://www.youtube.com/watch?v=DDB3hb2Opts,irrelevant,Sports & Athletics,Pakistan Super League stats overview. Cricket discussion with little relavence to child content. Hosted by an insurance company,
https://www.youtube.com/watch?v=AbfLobuCMX4,irrelevant,Music & Performance,live performance of song by old man,
https://www.youtube.com/watch?v=RkL3YP2usOE,irrelevant,Software,GoDaddy. domain provider. video focused on email domains,
https://www.youtube.com/watch?v=Mw6ytQMQGNI,inappropriate,"Drinking, drugs, smoking","mv, has drinking, smoking, some violence too ",
https://www.youtube.com/watch?v=34u1sOLrgVo,child directed,Educational Content,math game ad,
https://www.youtube.com/watch?v=yZYuyoWc6ZI,irrelevant,Software,"monitoring of netwroks, cloud ",
https://www.youtube.com/watch?v=1dtzSRlfBDk,child directed,Educational Content,math and story driven ad game. Similar to add in row 6.,
https://www.youtube.com/watch?v=-tWvKMLaXVg,irrelevant,Home and Lifestyle,ad for office chairs,
https://www.youtube.com/watch?v=hbu7U50_5SY,irrelevant,Machinery,ad for a stacking machine,13
https://www.youtube.com/watch?v=W9dHVieO37g,inaudible,Different Language,song audio in turkish,
https://www.youtube.com/watch?v=H04TCxLTgvI,irrelevant,Home and Lifestyle,kitchen cleaning ad,
https://www.youtube.com/watch?v=0LbnsXgE8ro,child directed,Kids Cooking & Food,"Domain purchasing software. While not inappropriate, not relevant to children as it explains protection from hackers via encrypted domains",
https://www.youtube.com/watch?v=7zEcEU1vx5c,irrelevant,Autos & Vehicles,ad for car seats,
https://www.youtube.com/watch?v=ulN4LSNaluo,excluded,,music video of people praising hindu diety.,
https://www.youtube.com/watch?v=CxftomuwufY,inappropriate,"Drinking, drugs, smoking",Music video. Depiction of drinking/alcohol. Might also be irrelevant. Audio in different language.,
https://www.youtube.com/watch?v=IbbbOor0c8Y,irrelevant,Celebration,independence day sale,
https://www.youtube.com/watch?v=RnfuJRtFQD8,irrelevant,Education & Learning,ad for toefl,
https://www.youtube.com/watch?v=F5bdUEBwXBQ,irrelevant,Education & Learning,personal blog promo for someone learning russian,
https://www.youtube.com/watch?v=L5SGkW8BLbk,child directed,Play and Adventure,features indoor arcade and amusement park,
https://www.youtube.com/watch?v=3ZwSvEx-txQ,irrelevant,Fashion,"Stylo, ad on women's shoes. Product designed for adults",
https://www.youtube.com/watch?v=RF_nUpc4JAk,inappropriate,Offensive language,"use of profane language, rap song music video",
https://www.youtube.com/watch?v=OkJdnxuvYjA,inappropriate,Explicit Explicit Sexual Content,"suggestive dancing and lyrics, hindi music video ",
https://www.youtube.com/watch?v=cAMHx-m9oh8,inappropriate,Adult Suggestive Content,"desi mv where guy is expressing disappointemnt at romantic partner, shows disloyalty",
https://www.youtube.com/watch?v=nOxZiav_pv8,child directed,Educational Content,ad about a Math and logic based visual game.  Contained no monetary information,
https://www.youtube.com/watch?v=hRyFE5xFjfY,inappropriate,Adult Suggestive Content,shows a couple romantic interactions ,
https://www.youtube.com/watch?v=18Iut7YmzM4,irrelevant,Music & Performance,music video dedicated to kolkata,
https://www.youtube.com/watch?v=4NFUR9vn2MU,irrelevant,Fashion,"stylo shoes ad showing diff people wearing stylo shows, summer sale collection",
https://www.youtube.com/watch?v=wRKzTijbyK4,child directed,Play and Adventure,ad for fun factory park at emporium,
https://www.youtube.com/watch?v=JpNCpykjPqk,irrelevant,Software,"Domain purchasing software. While not inappropriate, not relevant to children as it explains protection from hackers via encrypted domains",
https://www.youtube.com/watch?v=wBq6vj35CoE,irrelevant,Travel & Adventure,qatar airways ad,
https://www.youtube.com/watch?v=yWXANMPFT_I,irrelevant,Machinery,bolts ad,
https://www.youtube.com/watch?v=Kupqm7v_GEE,irrelevant,Documentary & History,1 h 30 min documentary,
https://www.youtube.com/watch?v=EJl7zwKsUuw,inappropriate,Interpersonal Violence,"movie trailer for veeram movie, shows violent fights and blood and gore",
https://www.youtube.com/watch?v=Oc9vA7cjAA8,irrelevant,Finance & Legal,bank credit card ad,
https://www.youtube.com/watch?v=BJP3aIFCdXc,irrelevant,Food and Cooking,ad on milk product shown to be fresh from farm,
https://www.youtube.com/watch?v=SDdpT3kg9qs,irrelevant,Music & Performance,scam message song ,
https://www.youtube.com/watch?v=wifNQgQFywo,irrelevant,Personal Development,10 riddle questions,
https://www.youtube.com/watch?v=CrKid-xco4E,irrelevant,Software,"Domain purchasing software. While not inappropriate, not relevant to children as it explains protection from hackers via encrypted domains",
https://www.youtube.com/watch?v=fnMwCP9Wljo,inappropriate,Adult Suggestive Content,"shows a boy and girl interacting romantically in a music video, also shwos presence of gun ",
https://www.youtube.com/watch?v=pjv66UC09AQ,irrelevant,Music & Performance,person reacting to a kpop music video ,
https://www.youtube.com/watch?v=vqDo11b5dEA,irrelevant,Gaming & Entertainment,chess game lvestream,
