Video Link,Primary Tag,Secondary Tag,Description
https://www.youtube.com/watch?v=QNXeE1ehBh0,irrelevant,Music & Performance,Contained a music beat with a cartoon shark standing. 
https://www.youtube.com/watch?v=Bt_cDnlEeoo,irrelevant,Software,App about a business management site
https://www.youtube.com/watch?v=DoOweIO2Czc,inappropriate,Stereotypes,shows depictions of gangs and courts
https://www.youtube.com/watch?v=96CgTFsdjJQ,inaudible,Different Language,Nothing explicit in the video. Audio in foreign language so cannot make out lyrics
https://www.youtube.com/watch?v=1dtzSRlfBDk,child directed,Educational Content,math and story driven ad game. shows an animation of two catoons interacting and playing together
https://www.youtube.com/watch?v=2ORtf3b2NJU,inappropriate,Scariness,Video game ad of a base building game. Some creatures are unsettling
https://www.youtube.com/watch?v=Oc9vA7cjAA8,irrelevant,Finance & Legal,ad about a pakistani bank offering cashbacks on service use
https://www.youtube.com/watch?v=34u1sOLrgVo,child directed,Educational Content,math and story driven ad game. shows an animation of two catoons interacting and playing together
https://www.youtube.com/watch?v=VMulqQDWDbI,irrelevant,Home and Office,ad about a fancy bag/suitcase for storing jewelery
https://www.youtube.com/watch?v=bQES_F6c7c8,child directed,Educational Content,math and story driven ad game. shows an animation of two catoons interacting and playing together
https://www.youtube.com/watch?v=Kc93ILm-_CM,child directed,Poems/Songs/Nursery Rhymes/Music,Ad about a nursery rhyme for bunny ears
https://www.youtube.com/watch?v=VYQPuKvmTHM,inappropriate,Explicit Sexual Content content,music video shot on a beach. band also playing on a beach. 
https://www.youtube.com/watch?v=U2xmfJEUQgQ,irrelevant,Autos & Vehicles,Ad for a nissan suv with its features explained
https://www.youtube.com/watch?v=S1t90ucM-54,irrelevant,Education & Learning,a tedx talk based on the advantages of making notes by hand
https://www.youtube.com/watch?v=XEJu8DKjj20,inappropriate,Physical Violence,"Ad shows offensive signs, drinking, street violence. about a punjabi music video"
https://www.youtube.com/watch?v=nOxZiav_pv8,child directed,Educational Content,math and story driven ad game. shows an animation of two catoons interacting and playing together
https://www.youtube.com/watch?v=gsXOUOlnot8,inappropriate,Display of weapons,Punjabi song with multiple references to guns (1:47)
https://www.youtube.com/watch?v=9CvLVLrzro8,irrelevant,Home and Office,ad where animations discuss home paints
https://www.youtube.com/watch?v=gIBKqh_OMYc,irrelevant,Music & Performance,A traditional band playing music
https://www.youtube.com/watch?v=gUrEMgV-rV0,irrelevant,Fashion,Ad about a clothing collection for women by zeen
https://www.youtube.com/watch?v=tYKduNKGmUI,inappropriate,Intimacy,punjabi music video. shows two people interacting in different settings. suggestively intimate
https://www.youtube.com/watch?v=x7ZA5_lD8mI,child directed,Non-violent video games,ad about a game where you drive cars
https://www.youtube.com/watch?v=ZTUoDmiUzRo,inappropriate,Intimacy,Nothing explicit in the video. Titile however is timeless love and contains themes of intimacy
