Video Link,Primary Tag,Secondary Tag,Description
https://www.youtube.com/watch?v=3sHJMZhJ9Ow,irrelevant,Autos & Vehicles,Ad showing different car cleaning products and their appliation
https://www.youtube.com/watch?v=KMfRgxuhTzc,irrelevant,Software,ad for a mobile payment solution called swish
https://www.youtube.com/watch?v=yoseoGqKc8c,child directed,Play and Adventure,ad for a trampoline park for kids
https://www.youtube.com/watch?v=bQES_F6c7c8,child directed,Educational Content,ad about a Math and logic based visual game.  Contained no monetary information
https://www.youtube.com/watch?v=BILwMq8heEg,irrelevant,Fashion,Ad showing people skateboarding with a focus on watches
https://www.youtube.com/watch?v=NEliG_wYYic,irrelevant,Finance & Legal,Ad for a bank showing off its awards
https://www.youtube.com/watch?v=pQCEjKkSvdA,irrelevant,Finance & Legal,Ad for a financial planning service
https://www.youtube.com/watch?v=K63LtubqNKE,inaudible,Different Language,"Ad for some compan,y but unable to translate what's written in the video"
https://www.youtube.com/watch?v=atE1zCE23e8,irrelevant,Travel & Adventure,Ad showing a tourist resort with people doing different activities
https://www.youtube.com/watch?v=Cm-FBnVQ5yw,irrelevant,Software,Ad for a subscription service of sorts
https://www.youtube.com/watch?v=gE6ohsQdiyk,irrelevant,Fashion,Ad showing deals on womens clothes
https://www.youtube.com/watch?v=xACunz5Owuc,irrelevant,Autos & Vehicles,Ad for a car repair vlog showing open cars and repairs
https://www.youtube.com/watch?v=5d4y_3j3N_E,irrelevant,Fashion,Ad showing a women's cloyhing catalogue
https://www.youtube.com/watch?v=juv7jiH6Buk,irrelevant,Sports & Athletics,Ad showing off different angles of a bike
https://www.youtube.com/watch?v=sFdKlSQKUXA,child directed,Play and Adventure,Ad for a safari theme park
https://www.youtube.com/watch?v=34u1sOLrgVo,child directed,Educational Content,ad about a Math and logic based visual game.  Contained no monetary information
https://www.youtube.com/watch?v=uIpwvHXm0do,irrelevant,Nature & Environment,Ad for gardening tools. shows plants being watered
https://www.youtube.com/watch?v=rc4e3EPKXys,irrelevant,Autos & Vehicles,Ad for a yatch that shows its features
https://www.youtube.com/watch?v=i8K9tIf89JY,irrelevant,Travel & Adventure,Ad about a travel site. Shows cats imagining how to travel
https://www.youtube.com/watch?v=JwE0HDhUBNg,irrelevant,Tech & Gadgets,Ad showing a woman explaining deals on various gaming peripherals
https://www.youtube.com/watch?v=kpDl6K2uRb8,child directed,Play and Adventure,Ad for a safari theme park
https://www.youtube.com/watch?v=S07Jw63zp-o,irrelevant,Autos & Vehicles,Ad for a smart EV charging solution. Shows a man who puts his car on charge and gets a notification once done
https://www.youtube.com/watch?v=fOdo1GkzZAk,child directed,Educational Content,ad about a Math and logic based visual game.  Contained no monetary information
https://www.youtube.com/watch?v=c1D_6-RFhC8,inaudible,Different Language,A day in a life style vlog. Unable to translate without missing content
https://www.youtube.com/watch?v=VzLXl_cZjVQ,child directed,Toys,Ad showing a collaboration between lego and Disney princesses 
https://www.youtube.com/watch?v=IFUn373eiXA,irrelevant,Home and Lifestyle,Ad showing a slideshow. Google translate tells it is about home meshes
https://www.youtube.com/watch?v=fFtaNMPNv4k,irrelevant,Travel & Adventure,Ad for a family vacation
https://www.youtube.com/watch?v=XnQmfKR1rJ4,irrelevant,Finance & Legal,Ad about a service to sell gold with insurance for transacion
https://www.youtube.com/watch?v=KXLgI6h3FQs,child directed,Toys,ad for action figures based on the show paw patrol
https://www.youtube.com/watch?v=H4KUH9keX3Y,irrelevant,Software,Ad for a smart billing system for businesses
https://www.youtube.com/watch?v=oGdJGsmw3Tk,irrelevant,Sports & Athletics,Ad showing off different angles of a bike
https://www.youtube.com/watch?v=nOxZiav_pv8,child directed,Educational Content,ad about a Math and logic based visual game.  Contained no monetary information
https://www.youtube.com/watch?v=OxFvMqEBmpQ,irrelevant,Tech & Gadgets,Ad showing a MSI Laptop on which a graphic designer is making creative sketches
https://www.youtube.com/watch?v=kiQJIb4dZ5I,child directed,Toys,Ad for nerf guns for 5-6 year olds playing with family
https://www.youtube.com/watch?v=Vh_4s8rY66c,inappropriate,"Drinking, drugs, smoking",Ad for an alcohol brand where people are drinking in a gathering.
https://www.youtube.com/watch?v=EPz4eo2HSbk,irrelevant,Software,Ad for a subscription service of sorts
https://www.youtube.com/watch?v=NEjtT-18lwI,irrelevant,Autos & Vehicles,Ad showing features of Kia EV6
https://www.youtube.com/watch?v=ygJN6flMcqI,irrelevant,Autos & Vehicles,Ad for car seats from a store
https://www.youtube.com/watch?v=BTpKhsOV2Pw,inaudible,Different Language,Unable to interpret what the ad is about
https://www.youtube.com/watch?v=BoPjJn83yXQ,irrelevant,Travel & Adventure,Ad for a resort. shows various facilities
https://www.youtube.com/watch?v=HHLyLhaLybE,irrelevant,Software,Ad showing move catalogues with Amazon Prime
https://www.youtube.com/watch?v=p1MaI8tYl50,irrelevant,Autos & Vehicles,Ad showing features of Fiat's van
https://www.youtube.com/watch?v=BtrXmISKGuk,irrelevant,Autos & Vehicles,Ad for an electric charging station that works even if it is raining
https://www.youtube.com/watch?v=0do7UojnECU,irrelevant,Autos & Vehicles,ad for rubber tyres for cars and bikes
https://www.youtube.com/watch?v=-bBjmpW76H4,irrelevant,Home and Lifestyle,Ad for interior paints
https://www.youtube.com/watch?v=QahROQ0QOSw,inaudible,Different Language,Unable to interpret what the ad is about
https://www.youtube.com/watch?v=Zh2mcgM-APM,irrelevant,Autos & Vehicles,Ad showing features of Kia EV6
https://www.youtube.com/watch?v=6_-rTRfH2FA,irrelevant,Software,Software to carry our different document processing tasks
https://www.youtube.com/watch?v=Q3IZ_njcyMc,irrelevant,Autos & Vehicles,Ad showing features of Kia EV6
https://www.youtube.com/watch?v=CjVaMGx97qQ,inappropriate,"Drinking, drugs, smoking",Ad showing Medical cannibis (will have to see if appropriate or not)
https://www.youtube.com/watch?v=z7HeRmSIA9o,irrelevant,Software,Ad for a calling software designed to be specifically for businesses
