Video Link,Primary Tag,Secondary Tag,Description
https://www.youtube.com/watch?v=1dtzSRlfBDk,child directed,Educational Content,ad pertains to AdaptedMind's math game cartoon for kids
https://www.youtube.com/watch?v=UNk8YilXVQc,irrelevant,Tech & Gadgets,ad pertains to an unboxing of Huawei's Honor x8A
https://www.youtube.com/watch?v=Ws3V7A6gepA,irrelevant,Tech & Gadgets,ad pertains to Huawei's Honor x8A Smartphone
https://www.youtube.com/watch?v=6zP_KnLDHGY,inappropriate,Explicit Sexual Content,ad pertians to a Punjabi music video; shows a gang iwith baseball bats for intimidation; dancing contains sexual suggestiveness
https://www.youtube.com/watch?v=0-671kdnP5c,irrelevant,Tech & Gadgets,ad pertains to Huawei's Honor x8A Smartphone
https://www.youtube.com/watch?v=v8UkcODWhAU,irrelevant,Music & Performance,ad pertains to a music video;  shows a hardworking man being thankful to God
https://www.youtube.com/watch?v=3hJawHSCqfg,irrelevant,Music & Performance,ad pertains to a music video about formula 1
https://www.youtube.com/watch?v=bQES_F6c7c8,child directed,Educational Content,ad pertains to AdaptedMind's math game cartoon for kids
https://www.youtube.com/watch?v=WilnmR4lX6k,irrelevant,Travel & Adventure,ad pertains to a travel vlog
https://www.youtube.com/watch?v=fysVod7eanc,inappropriate,Adult Suggestive Content,ad pertains to a music video; contains an inherent romantic dynamic; some scene show Adult Suggestive Content
https://www.youtube.com/watch?v=Ux9HOt0twoY,irrelevant,Science & Technology,ad pertains to an online podcast about open vs closed AI
https://www.youtube.com/watch?v=3S13NGzXhj4,irrelevant,Software,"ad pertains to container shipping routes by Twill, a software"
https://www.youtube.com/watch?v=6z90tA5_Vlw,irrelevant,Education & Learning,ad pertains to the IESA School of Management
https://www.youtube.com/watch?v=U3PTLHaeZSM,inappropriate,Adult Suggestive Content,ad pertains to a Pubjabi song; song has an inherent romantic context
https://www.youtube.com/watch?v=eCXqMHPlaoE,inappropriate,"Drinking, drugs, smoking",ad pertains to a music video; shows alcohol being poured;  sexual suggestiveness present;
