Video link,Primary Tag,Secondary Tag,Description
https://www.youtube.com/watch?v=TJgRUBAQ-Jo,irrelevant,Finance & Legal,insurance company ad
https://www.youtube.com/watch?v=yppVhj1OpVk,inappropriate,Adult Suggestive Content,"candy ad, showing Adult Suggestive Content between a girl and a boy due to the candy"
https://www.youtube.com/watch?v=JyU27baiE5c,irrelevant,Tech & Gadgets,4.5G network ad
https://www.youtube.com/watch?v=aAI1aYieI7U,irrelevant,Food and Cooking,7up ad
https://www.youtube.com/watch?v=639ATgYAP0g,irrelevant,Fashion,jewellry ad
https://www.youtube.com/watch?v=qjVREjzHFuQ,irrelevant,Personal Care & Beauty,toothpaste ad
https://www.youtube.com/watch?v=33PoMiGR3JQ,inappropriate,Adult Suggestive Content,display of intimate relationship
https://www.youtube.com/watch?v=tY_CyFmMDFE,irrelevant,Personal Care & Beauty,dove hair conditioner ad
https://www.youtube.com/watch?v=vdrAiMVE_o0,irrelevant,Personal Care & Beauty,facewash ad
https://www.youtube.com/watch?v=AHkZT6BKg10,inappropriate,Adult Suggestive Content,"many girls around a man, music video, smoking sheesha"
https://www.youtube.com/watch?v=3P1VvqqiVjM,irrelevant,Tech & Gadgets,4.5G network ad
https://www.youtube.com/watch?v=af23BtFBkvo,inappropriate,Display of weapons,"pubg ad, guns, shooting"
https://www.youtube.com/watch?v=JQxxxHmFyj0,inappropriate,Adult Suggestive Content,Adult Suggestive Content/attraction shown between a girl and a boy
https://www.youtube.com/watch?v=bQES_F6c7c8,child directed,Educational Content,"adapted mind ad, mathematical animated ad"
https://www.youtube.com/watch?v=XUuIuxWuTNw,inappropriate,Adult Suggestive Content,"closeness, attraction between a girl and a boy"
https://www.youtube.com/watch?v=pHDt9MALFhc,irrelevant,Tech & Gadgets,network service ad
https://www.youtube.com/watch?v=bQ_2sbvsrl8,irrelevant,Health and Wellness,colgate toothpaste ad
https://www.youtube.com/watch?v=g_qO0fcqKCk,irrelevant,Autos & Vehicles,"inDrive, car for rides ad"
https://www.youtube.com/watch?v=ptVDZLmuCbY,irrelevant,Home and Office,water purifier ad
https://www.youtube.com/watch?v=dWaYCdf7Fkk,irrelevant,Personal Care & Beauty,facewash ad
https://www.youtube.com/watch?v=tQnz_XdWYfY,irrelevant,Personal Care & Beauty,toothpaste ad
https://www.youtube.com/watch?v=BxaHtiW9fnY,inaudible,Different Language,song in a different language
https://www.youtube.com/watch?v=_4ecS3YN150,irrelevant,Home and Office,liquid detergent for clothes
https://www.youtube.com/watch?v=tQk6tR89eb0,inappropriate,Scariness,"music video, around a grave, in a scary place, fire around the people of the video singing and dancing, car on fire"
https://www.youtube.com/watch?v=ellAUet1RRk,irrelevant,Health and Wellness,hospital ad for mass and stones in kidneys
https://www.youtube.com/watch?v=a9RalTVpotE,irrelevant,Tech & Gadgets,headphones/earpods ad
https://www.youtube.com/watch?v=SQIE6y9LzJY,child directed,Play and Adventure,indoor learning and play swings for kids
https://www.youtube.com/watch?v=YRoKIn1ItqY,inappropriate,Display of weapons,"guns, kidnapping, intamcy between girl and boy, relationships, bar, drinking"
https://www.youtube.com/watch?v=Wl5hN8NA71U,irrelevant,Fitness & Exercise,studio for training and exercise
https://www.youtube.com/watch?v=3116XH-dqO8,irrelevant,Parenting & Family,nestle ceregrow for children's growth
https://www.youtube.com/watch?v=FqFE28DLUWI,inappropriate,"Drinking, drugs, smoking","starts with bottles of alcohol, being poured in glass too"
https://www.youtube.com/watch?v=wg1L1-plA9A,irrelevant,Home and Office,website for home rental
https://www.youtube.com/watch?v=rColrY4grU8,irrelevant,Software,grammarly ad
