Video Link,Primary Tag,Secondary Tag,Description
https://www.youtube.com/watch?v=OzqvWtOEgkU,irrelevant,Home and Office,ad for detergent 
https://www.youtube.com/watch?v=2Hn6qfvS6AA,irrelevant,Parenting & Family,ad for service that makes phot albums
https://www.youtube.com/watch?v=6244VKirfjw,irrelevant,Tech & Gadgets,ad for a website which guides you how to buy tech products for cheap
https://www.youtube.com/watch?v=4Xo6cUUHbeI,irrelevant,Music & Performance,french mv
https://www.youtube.com/watch?v=YAxQiXIQVRg,irrelevant,Home and Office,ad for BLUETTI. BLUETTI is making all-in-one solutions of solar power more accessible to everyone living at home or going off grid. We're dedicated to making our world a better place by creating an exceptional green experience.
https://www.youtube.com/watch?v=INv-ZW8Mmtk,irrelevant,Personal Care & Beauty,ad for body wash
https://www.youtube.com/watch?v=OjlT2B1eSyc,inappropriate,"Drinking, drugs, smoking","music video: smoking, gangster,guns, holding up middle finger, physical violence"
https://www.youtube.com/watch?v=Qy-aoaMFi84,irrelevant,Home and Office,"ad for bedsheets, cushion covers, towels"
https://www.youtube.com/watch?v=Jf2aVZ41fV8,irrelevant,Autos & Vehicles,"ad for 3-wheeler motorcycle, person sharing their experience"
https://www.youtube.com/watch?v=D1UzEFIR3Uo,irrelevant,Tech & Gadgets,ad for go pro camera
https://www.youtube.com/watch?v=Q3qwz4bveY8,irrelevant,Fashion,ad for uniqlo clothes
https://www.youtube.com/watch?v=3v4nxcdE0sM,inappropriate,Display of weapons,"ad for game: features explosion, weapons, swords, game states it is for 16+"
https://www.youtube.com/watch?v=-_MnGdF00cM,irrelevant,Finance & Legal,ad for an insurance company
https://www.youtube.com/watch?v=qZi18DrtiPI,irrelevant,Fashion,ad for BOSS watches
https://www.youtube.com/watch?v=sE1fN1igzSQ,irrelevant,Home and Office,ad for Carrefour france (super market ad)
https://www.youtube.com/watch?v=wmkhLrKcSL4,irrelevant,Tech & Gadgets,ad for LG OLED TV
https://www.youtube.com/watch?v=mEmV3aPKo3I,irrelevant,Autos & Vehicles,Volvo - electric SUV
https://www.youtube.com/watch?v=3V8ArF9NIY0,irrelevant,Home and Office,ad for furniture and home appliances (BUT store)
https://www.youtube.com/watch?v=olhqStQmAEc,irrelevant,Music & Performance,"ad for Deezer, a french musci rental service"
https://www.youtube.com/watch?v=Hk7sEfmtUVs,irrelevant,Food and Cooking,ad for ice cream
https://www.youtube.com/watch?v=fM97KaMKrMI,irrelevant,Food and Cooking,ad for a supermarket (Grand Fais)
https://www.youtube.com/watch?v=nrwolYI5i8E,child directed,Family friendly gaming,"ad for Taonga, a farming style game"
