Video Link,Primary Tag,Secondary Tag,Description
https://www.youtube.com/watch?v=MUlCcY8Bfk0,inappropriate,Scariness,"poppy playtime game, eerie sounds, scary characters, "
https://www.youtube.com/watch?v=WsiFEkxrZpk,irrelevant,Music & Performance,"arabic mv, lyrics when translated dont have anything explicit "
https://www.youtube.com/watch?v=QDrNLfZe8tU,irrelevant,Personal Care & Beauty,garnier shampoo
https://www.youtube.com/watch?v=0KGU2pvnYgQ,irrelevant,Tech & Gadgets,inwi internet service
https://www.youtube.com/watch?v=7T3qIOIDJ5w,irrelevant,Personal Care & Beauty,colgate ad
https://www.youtube.com/watch?v=tFy0geWLrdc,inappropriate,"Drinking, drugs, smoking","french rap mv, man smoking, in alcohol shop"
https://www.youtube.com/watch?v=JRwI_9MUggQ,irrelevant,Food and Cooking,marjane farm ad
https://www.youtube.com/watch?v=_PmFP2jsXM8,irrelevant,Music & Performance,"Hooked On Me punjabi mv, no vulgar visual content, lyrics not available to read but seem ok"
https://www.youtube.com/watch?v=q9BqjQZO9DI,irrelevant,Personal Care & Beauty,colgate ad
https://www.youtube.com/watch?v=muYBmNwrC1A,irrelevant,Software,3D animation tutorial
https://www.youtube.com/watch?v=eoq-jPn6quQ,irrelevant,Finance & Legal,mastercard ad
https://www.youtube.com/watch?v=mM89D7_Fo3M,irrelevant,Travel & Adventure,"inDrive, ride sharing app ad"
https://www.youtube.com/watch?v=Pg4R-rMPNPk,irrelevant,Music & Performance,"arabic mv, translated lyrics seem find"
https://www.youtube.com/watch?v=HEpYBZVVe6A,irrelevant,Gaming & Entertainment,egaming tournament
https://www.youtube.com/watch?v=xQOBkMe5uOk,inappropriate,Offensive language,"rap mv, offesnive/profane language, smoking"
https://www.youtube.com/watch?v=PDIsOIK6zGM,irrelevant,Business & Entrepreneurship,European Fulfillment Center ad
https://www.youtube.com/watch?v=TU6flY0QdPw,irrelevant,Food and Cooking,marjane farms ad
https://www.youtube.com/watch?v=0P5OGExLfYE,irrelevant,Personal Care & Beauty,nivea luminous360 serum
https://www.youtube.com/watch?v=metpFkwRmps,child directed,Storytelling,Barbie All Day Routine | Evening Routine & play with toys | Barbie playing videos for kids
https://www.youtube.com/watch?v=nFX-GWQjeeI,inaudible,Different Language,
https://www.youtube.com/watch?v=MPLWw4-q93U,irrelevant,Music & Performance,hindi mv that shows indian wedding ceremony
https://www.youtube.com/watch?v=UNIH4MDMOko,irrelevant,Personal Care & Beauty,maybelline tint ad
https://www.youtube.com/watch?v=XDrxAPGnCUs,irrelevant,Gaming & Entertainment,100% pronos tv show ad
https://www.youtube.com/watch?v=XmCHxT4nAmc,irrelevant,Machinery,Unilumin led display ad
https://www.youtube.com/watch?v=NsHiu_FxcE4,irrelevant,Music & Performance,"kpop suit dance, lyrics seem romantic but not too sensual"
https://www.youtube.com/watch?v=LXzxF9mGyeo,child directed,Educational Content,adapted mind math game ad
https://www.youtube.com/watch?v=QrYIOjs7K8E,irrelevant,Music & Performance,kpop mv
https://www.youtube.com/watch?v=MjZkmUrqdHY,inappropriate,Interpersonal Violence,"game that features fantasy violence, guns (hero wars), age rating is 13+, females depicted sexuallt"
https://www.youtube.com/watch?v=FBhXBSMPBIs,irrelevant,Personal Care & Beauty,nivea ad
https://www.youtube.com/watch?v=ILGY39I5u2Y,inappropriate,Display of weapons,"fortnite gameplay, shooting, rated 13+"
https://www.youtube.com/watch?v=lIEevJ3td5Y,irrelevant,Autos & Vehicles,toyota ad
https://www.youtube.com/watch?v=qLaog_g56X0,irrelevant,Home and Office,ad for fridge
https://www.youtube.com/watch?v=OAHjT4EMCvU,irrelevant,Gaming & Entertainment,"interview w Paleontologist in pubg community, talks about dinos"
https://www.youtube.com/watch?v=rSickeJuceE,irrelevant,Autos & Vehicles,nouvelle car ad
https://www.youtube.com/watch?v=Hmc_66CUjBg,inappropriate,Explicit Sexual Content,"rap mv, shows v inapp dancing, clubbing"
https://www.youtube.com/watch?v=8QV-sqFx9is,irrelevant,Fashion,watch ad
https://www.youtube.com/watch?v=E8AkFNlbE0g,child directed,Family friendly gaming,minecraft game ad
https://www.youtube.com/watch?v=1dtzSRlfBDk,child directed,Educational Content,adapted mind ad
https://www.youtube.com/watch?v=uZ1WUENox-I,irrelevant,Food and Cooking,mcd ad
https://www.youtube.com/watch?v=s-hK8stBxo4,irrelevant,Autos & Vehicles,tyres ad
https://www.youtube.com/watch?v=7AHQl_wcUmk,inappropriate,Interpersonal Violence,"game that features fantasy violence, guns (hero wars), age rating is 13+, females depicted sexuallt"
https://www.youtube.com/watch?v=34u1sOLrgVo,child directed,Educational Content,adapted mind ad
https://www.youtube.com/watch?v=ZM4-AAdOgJo,irrelevant,Food and Cooking,kinder choc
https://www.youtube.com/watch?v=VbDJW-ktTpg,inappropriate,Adult Suggestive Content,"punjabi mv, romantic lyrics, sensual dynamic"
https://www.youtube.com/watch?v=DJkcu1VJwGA,irrelevant,Software,3d animation software
https://www.youtube.com/watch?v=9f3PBrD_HXU,irrelevant,Food and Cooking,coffee ad
https://www.youtube.com/watch?v=DQLQE-gjUoc,irrelevant,News & Current Affairs,Royal Moroccan Football association
https://www.youtube.com/watch?v=s623SVMgrCM,irrelevant,Personal Care & Beauty,loreal ad
https://www.youtube.com/watch?v=3L7TDhXxJXY,irrelevant,Travel & Adventure, Radisson Hotels
https://www.youtube.com/watch?v=a352rj-2heg,irrelevant,Tech & Gadgets,wifi ad ft sports/football
https://www.youtube.com/watch?v=2FRCJIGzIok,irrelevant,Software,ad for micro-jobbing app to get paid
https://www.youtube.com/watch?v=BPI_NYvo1cs,inaudible,Different Language,"arabic lyric video, no subtitles"
https://www.youtube.com/watch?v=c7DXf_MDoBQ,irrelevant,Tech & Gadgets,shows moquito trapper
https://www.youtube.com/watch?v=MwECfTmFyMg,irrelevant,Food and Cooking,tomato sauce ad
https://www.youtube.com/watch?v=yUVJLYndRx4,irrelevant,Software,marjan online mall
https://www.youtube.com/watch?v=G-dh_L1Mah8,irrelevant,Business & Entrepreneurship,2023 Axiomatics State of Authorization Report
https://www.youtube.com/watch?v=DBZzLD06Ogg,irrelevant,Home and Office,dish washing ad
https://www.youtube.com/watch?v=Dk2anlJ-TX8,irrelevant,Tech & Gadgets,orange maroc data package
https://www.youtube.com/watch?v=MH0yHPxZDYg,inaudible,Different Language,"bhojpuri song w romantic dyanmic, nothing too sensual,but cant deduce bec no subtitles"
https://www.youtube.com/watch?v=wET5doW5SCw,irrelevant,Business & Entrepreneurship,cod service ad
https://www.youtube.com/watch?v=3_HD_ndZnFQ,irrelevant,Food and Cooking,tomato sauce ad
https://www.youtube.com/watch?v=yrsdBBs_tag,irrelevant,Social Issues & Activism,song abt the detrimental effects of tobacco
https://www.youtube.com/watch?v=MtOl0yTsdoE,irrelevant,Travel & Adventure,"inDrive, ride sharing app ad"
https://www.youtube.com/watch?v=t8CIKXs7L34,irrelevant,Sports & Athletics,tennis racket ad
https://www.youtube.com/watch?v=G4yBHWFguHw,irrelevant,Food and Cooking,cooking tutorial
https://www.youtube.com/watch?v=3_31hMRUT3Y,irrelevant,Food and Cooking,instant noodles ad
https://www.youtube.com/watch?v=bQES_F6c7c8,child directed,Educational Content,adapted mind ad
https://www.youtube.com/watch?v=YZUYFX0Avt0,irrelevant,Autos & Vehicles,suzuki ad
https://www.youtube.com/watch?v=K3jQy4a2wUw,inaudible,Different Language,"french rap mv, cant undertsand lryics, ppl look intimidating"
https://www.youtube.com/watch?v=UNgTc25GfqE,irrelevant,Food and Cooking,actifit cereal
https://www.youtube.com/watch?v=yGTdJau-7mU,child directed,Kids Cooking & Food,"excelo wafer, marked made for kids"
https://www.youtube.com/watch?v=AVzDeCSXjJk,child directed,Family friendly gaming,"fanatsy game, dragons, but rated 9+"
https://www.youtube.com/watch?v=WxGTEmicixs,irrelevant,Home and Office,kitchenware ad
https://www.youtube.com/watch?v=xSDIr5FgdLo,irrelevant,Personal Care & Beauty,loreal hair ad
https://www.youtube.com/watch?v=4pTi4IVwlqw,irrelevant,Machinery,fume cupboards
https://www.youtube.com/watch?v=QBS6rNEy274,irrelevant,Software,video editor
https://www.youtube.com/watch?v=Wedg9LQnCgE,inappropriate,Adult Suggestive Content,"punjabi mv, sensual dynamic, lyrics ft alcohol"
https://www.youtube.com/watch?v=EhZY-wQCeL8,irrelevant,Fashion,jewellery ad
https://www.youtube.com/watch?v=0aqbRxiDjPg,irrelevant,Business & Entrepreneurship,do small jobs app
https://www.youtube.com/watch?v=YVrppbkeoKM,irrelevant,Sports & Athletics,moroccon games assosciation
https://www.youtube.com/watch?v=WJbzhJnfCbg,irrelevant,Personal Care & Beauty,sanitary pad ad
https://www.youtube.com/watch?v=n-d68zQQPiU,irrelevant,Business & Entrepreneurship,etsy tutorial
https://www.youtube.com/watch?v=U1_LF1VkEjg,irrelevant,Finance & Legal,townhouses ad
https://www.youtube.com/watch?v=YJfQ_Nw90WY,irrelevant,Gaming & Entertainment,"Dino Facts with Paleontologist, Dr. Mark Loewen"
https://www.youtube.com/watch?v=Vvs8P816Ut8,irrelevant,Home and Office,shopping trolley ad
https://www.youtube.com/watch?v=UwPCvNkjR_w,inappropriate,Scariness,"arabic mv, costume at the start creepy, monsters, scary creatures"
https://www.youtube.com/watch?v=PJWE9RV0Ut0,irrelevant,Tech & Gadgets,ad for samsung tv
https://www.youtube.com/watch?v=uzlrhq1DVbs,irrelevant,Travel & Adventure,Visitez Antalya
https://www.youtube.com/watch?v=d3MUDyygyAo,inappropriate,Scariness,"arabic mv, creepy masked dancers, joker esque, can scare"
https://www.youtube.com/watch?v=5IweIDfW_Ws,irrelevant,Software,"cg film w couple dancing at masquerade, prodcution process shown"
https://www.youtube.com/watch?v=DdSY3NAtboQ,irrelevant,Personal Care & Beauty,maybelline skin tint ad
https://www.youtube.com/watch?v=T6RWrolRR80,irrelevant,Machinery,electrical euipment sold online
https://www.youtube.com/watch?v=tQk6tR89eb0,inappropriate,Scariness,"korean mv, funeral, house and car on fire"
https://www.youtube.com/watch?v=KWT0iPimrbA,inaudible,Different Language,arabic mv
https://www.youtube.com/watch?v=WEIElgjNu8o,inaudible,Different Language,arabic mv
https://www.youtube.com/watch?v=xfedYImS2Dk,irrelevant,Food and Cooking,cereal bar
