Video link,Primary Tag,Secondary Tag,Description
https://www.youtube.com/watch?v=Rg9DSNoiqrQ,inappropriate,Physical Violence,"inappropriate video game, violence, weapons, scariness"
https://www.youtube.com/watch?v=gN9VKcnm7is,irrelevant,Food and Cooking,"young's mayo ad, chop suey recipe"
https://www.youtube.com/watch?v=4kn-kwCQHiE,irrelevant,Home and Office,"washing powder ad, surf excel"
https://www.youtube.com/watch?v=9YXd0T7_idA,inappropriate,Adult Suggestive Content,"Adult Suggestive Content, relationships"
https://www.youtube.com/watch?v=jL4cQuSas30,irrelevant,Software,grammarly ad
https://www.youtube.com/watch?v=QVS6fdze_z8,irrelevant,Software,grammarly ad
https://www.youtube.com/watch?v=NvhTO2eOULI,inappropriate,Explicit Sexual Content,"revealing clothes, Adult Suggestive Content, Explicit Sexual Content, relationships"
https://www.youtube.com/watch?v=LdLnWbhVGNs,inappropriate,Offensive language,use of slang and inappropriate words in a song
https://www.youtube.com/watch?v=FYIDBhtSuzw,inappropriate,Display of weapons,"display of weapons, fire, violence, realistic scary animals"
https://www.youtube.com/watch?v=0Ahim5aJmp8,inaudible,Different Language,korean song
https://www.youtube.com/watch?v=_rrErcP4E5Q,irrelevant,Parenting & Family,"nido ad, powdered milk for height growth for kids"
https://www.youtube.com/watch?v=xVkHIB1HR74,irrelevant,Food and Cooking,strawberry 7up ad
https://www.youtube.com/watch?v=0Hoa3s0QrM0,irrelevant,Gaming & Entertainment,urdu drama trailer
https://www.youtube.com/watch?v=WhQfqd5WpE0,inappropriate,Adult Suggestive Content,punjabi song with slight dislay of Adult Suggestive Content
https://www.youtube.com/watch?v=AUn3cGd0eWA,irrelevant,Food and Cooking,coca cola zero
https://www.youtube.com/watch?v=TEKylYDbvy8,irrelevant,Home and Office,Haier at AWE exhibition
https://www.youtube.com/watch?v=Uo2XqNIyipI,irrelevant,Fashion,clothing brand ad
https://www.youtube.com/watch?v=qnBGKbLab1c,irrelevant,Tech & Gadgets,samsung phone ad
https://www.youtube.com/watch?v=gvF0XKO4EvQ,inappropriate,Display of weapons,display of weapons such and knives in a video game
https://www.youtube.com/watch?v=mcEjGKFlmqQ,irrelevant,Tech & Gadgets,"PTCL broadband, Internet servies ad"
https://www.youtube.com/watch?v=o4qx-tZUUfE,irrelevant,Food and Cooking,strawberry 7up ad
https://www.youtube.com/watch?v=GpjPsIzGRY4,child directed,Storytelling,peter pan story in greek
