Video Link,Primary Tag,Secondary Tag,Description
https://www.youtube.com/watch?v=oVSZeq6CqS8,irrelevant,Travel & Adventure,Ad showing different activities available at an airport
https://www.youtube.com/watch?v=6h5r6vuqhaw,irrelevant,Tech & Gadgets,ad showing an induction cooker and its features
https://www.youtube.com/watch?v=25CTmfakE0w,inappropriate,Physical Violence,ad of a video game showing shootings. is cartoonized and no gore
https://www.youtube.com/watch?v=pxy849Tlmw8,child directed,Non-violent video games,ad showing how to build a seafront in minecraft
https://www.youtube.com/watch?v=2Hc1OjFxv-M,irrelevant,Music & Performance,Ad of a kpop music video with a person dancing
https://www.youtube.com/watch?v=6HPrtKiPRmE,irrelevant,Food and Cooking,Ad for nescafe's coffee. shows a family enjoying it
https://www.youtube.com/watch?v=ez6f-aYXfSU,irrelevant,Finance & Legal,ad showing a kid talking to a possible parent. ad about a bank and remmitances
https://www.youtube.com/watch?v=5Dpk6GyunJU,irrelevant,News & Current Affairs,ad showing an ad showing relief packages being given by dialog
https://www.youtube.com/watch?v=8CRSP1wCppA,irrelevant,News & Current Affairs,a newsclip of a company giving certificates
https://www.youtube.com/watch?v=uomGqi_nFxo,inappropriate,Explicit Sexual Content content,ad of a music video having Explicit Sexual Content undertones
https://www.youtube.com/watch?v=AZZZpZ7ez2o,inappropriate,Offensive language,ad of a music video in english of a rock song. calls women with derogatory words
https://www.youtube.com/watch?v=qGJziQ8L7UY,inappropriate,Adult Suggestive Content,ad showing people kissing. for a health app
https://www.youtube.com/watch?v=DNAgL7JDnoE,irrelevant,Food and Cooking,ad for a food protien supplement
https://www.youtube.com/watch?v=nOxZiav_pv8,child directed,Educational Content,ad about a Math and logic based visual game.  Contained no monetary information
https://www.youtube.com/watch?v=trhrBTl1noM,inappropriate,Scariness,shows characters dying in a video game
https://www.youtube.com/watch?v=xnYwITwhLVM,child directed,Cooking and Food,ad for a child's dietary supplement
https://www.youtube.com/watch?v=MjZkmUrqdHY,inappropriate,Scariness,shows characters dying in a video game
https://www.youtube.com/watch?v=EIMLG8uKK5Y,child directed,Cooking and Food,ad for a child's dietary supplement
https://www.youtube.com/watch?v=wURw58DWiOA,irrelevant,Tech & Gadgets,ad about a digital carrier's cell plans
https://www.youtube.com/watch?v=DwNatxJHBGo,irrelevant,Health and Fitness,ad for a toothpaste by sensodyne
https://www.youtube.com/watch?v=0fxHu4MVujg,irrelevant,Gaming & Entertainment,ad for a sandbox game that is 18+ since it contains transactions via cryptocurrencies
https://www.youtube.com/watch?v=0eOQOwTnsGg,irrelevant,Home and Lifestyle,ad showing different features of a mattress
https://www.youtube.com/watch?v=tQk6tR89eb0,inappropriate,Death,ad shows a coffin and themes surrounding death
https://www.youtube.com/watch?v=bQES_F6c7c8,child directed,Educational Content,ad about a Math and logic based visual game.  Contained no monetary information
https://www.youtube.com/watch?v=dnU4qj-ZT2I,irrelevant,Health and Wellness,ad for a dietary supplement to help with indigestion 
https://www.youtube.com/watch?v=9n6Q3LKurHc,inappropriate,Adult Suggestive Content,turkish music with romantic undertones
https://www.youtube.com/watch?v=-kGC-gustpA,inappropriate,Adult Suggestive Content,ad of a music video with intimate themes
https://www.youtube.com/watch?v=pPs_ftHlRuE,irrelevant,Parenting & Family,ad for baby diapers with a woman's testimony
https://www.youtube.com/watch?v=vNTz1bQ9o0Q,irrelevant,News & Current Affairs,Ad showing current affairs of sri lanka
https://www.youtube.com/watch?v=EErQSV7Xph0,irrelevant,Education & Learning,Ad for a university showing its advantages
https://www.youtube.com/watch?v=-JlqGqRYKcw,irrelevant,Education & Learning,ad for an academy promoting education and jobs in australia
https://www.youtube.com/watch?v=m3MI_GZk2Xs,inappropriate,Scariness,ad for a medical supplies company. shows a person on the ground being resuccitated
https://www.youtube.com/watch?v=EDn5Wo8okXk,inappropriate,Physical Violence,"ad showing a video game where people are shooting each other, however, no gore is present"
https://www.youtube.com/watch?v=OnzaZ4JUrfg,irrelevant,Travel & Adventure,ad about a hotel and its facilities
https://www.youtube.com/watch?v=bcdM17Yub4w,irrelevant,Fashion,ad showing a clothing lineup of unisex clothes
https://www.youtube.com/watch?v=s27kADZ-qeg,irrelevant,Software,"grammarly, a service focused on fixing grammatical mistakes in documents. video depicts users using the service"
https://www.youtube.com/watch?v=gi3v86GGFS8,irrelevant,Home and Lifestyle,ad for a perfume aimed at women
https://www.youtube.com/watch?v=D0PuuZeX2qk,irrelevant,Home and Lifestyle,ad for a home food processor showing its functionality
https://www.youtube.com/watch?v=OiPiBpbuoJE,irrelevant,Nature & Environment,shows a couple of lions walking
https://www.youtube.com/watch?v=1tStpmg7HF8,irrelevant,Home and Lifestyle,ad showing different furniture options
https://www.youtube.com/watch?v=U_pqPqyJkVQ,inappropriate,Display of weapons,"ad for PUBG, a game where players have to shoot others to be the last one standing. ad shows people openly carrying guns"
https://www.youtube.com/watch?v=8PtIYM7mHz8,irrelevant,Music & Performance,ad for a music video featuring a girl in a desert
https://www.youtube.com/watch?v=LRSfV-iLlMc,irrelevant,Finance & Legal,ad for south korean legal affairs. unclear as to what it is about
https://www.youtube.com/watch?v=EcBOyT-4Z6Y,irrelevant,Documentary & History,ad on the history of the french revolution
https://www.youtube.com/watch?v=N_wj_lVMFFU,irrelevant,Education & Learning,ad for higher education in singapore
https://www.youtube.com/watch?v=EFIFazsqKlw,irrelevant,Nature & Environment,ad focused on sustainable building and development
https://www.youtube.com/watch?v=CxUcLE-SuqE,irrelevant,Software,ad for a shopify improving service
https://www.youtube.com/watch?v=_vMTuHlpw8k,inappropriate,Physical Violence,"ad for a movie and has depictions of war, death and murder"
https://www.youtube.com/watch?v=dSEL_7__Clc,inappropriate,Display of Weapons,ad for a music video. shows a hostile environment with people carrying weapons
