Video link,Primary Tag,Secondary Tag,Description
https://www.youtube.com/watch?v=yPFTHg8U4aQ,irrelevant,Food and Cooking,Mcdonald's ad
https://www.youtube.com/watch?v=JfLuWKJbS7I,irrelevant,Food and Cooking,Arla dairy products
https://www.youtube.com/watch?v=uRJkOrnFVx4,irrelevant,Food and Cooking,Philips air fryer ad
https://www.youtube.com/watch?v=4vW9a2tgiS8,inappropriate,Scariness,The swarm movie trailer. includes creepy creature and dark theme
https://www.youtube.com/watch?v=hN5eHa-Zh3o,inaudible,Different Language,different language can't understand
https://www.youtube.com/watch?v=g9_UzA4Tr4E,irrelevant,Home and Office,Ikea furniture ad
https://www.youtube.com/watch?v=p9Xgp3-_8cY,irrelevant,Food and Cooking,liquor store ad
https://www.youtube.com/watch?v=cuJjngO6uxk,inappropriate,Extreme stunts ,Watch ad with extreme stunts
https://www.youtube.com/watch?v=nOxZiav_pv8,child directed,Educational Content,adapted minds. an app for kids to promote learning through playing games
https://www.youtube.com/watch?v=ULLhYIdpdZw,inaudible,Different Language,different language can't understand
https://www.youtube.com/watch?v=dRje7cZhls4,inappropriate,Scariness,Avatar movie trailer
https://www.youtube.com/watch?v=S07Jw63zp-o,irrelevant,Tech & Gadgets,chargers for EVs
https://www.youtube.com/watch?v=2N4TGOoRpUQ,irrelevant,Travel & Adventure,Uber App car service
https://www.youtube.com/watch?v=cJR25ndPunQ,irrelevant,Health and Wellness,health care centre
https://www.youtube.com/watch?v=FCs7KnEXOno,irrelevant,Personal Care & Beauty,veet hair removal cream
https://www.youtube.com/watch?v=Gwl3HdDkRdc,irrelevant,Personal Care & Beauty,beauty products 
https://www.youtube.com/watch?v=7G53XSJiPgs,irrelevant,Food and Cooking,Burgers ad
https://www.youtube.com/watch?v=ozb_fBPGe4g,irrelevant,Fashion,online market store to sell secondhand items
https://www.youtube.com/watch?v=txzacC5VaiU,irrelevant,Machinery,gasoline for machines
https://www.youtube.com/watch?v=CQ3gpfOh2ZM,irrelevant,Home and Office,vacuum cleaner
https://www.youtube.com/watch?v=nhhX8vieWbg,irrelevant,Fashion,clothing brand ad
https://www.youtube.com/watch?v=s-hK8stBxo4,irrelevant,Autos & Vehicles,auto tyres 
https://www.youtube.com/watch?v=vNTXVsXdQVY,irrelevant,Home and Office,vacuum cleaner
https://www.youtube.com/watch?v=hPyFWKs9jak,irrelevant,Machinery,machine parts and factory 
https://www.youtube.com/watch?v=lM01TQKLYF0,child directed,Movies,Movie ad for kids
https://www.youtube.com/watch?v=ggg57-VBjfY,irrelevant,Food and Cooking,juice ad
https://www.youtube.com/watch?v=9Ucj75HtaPA,inaudible,Different Language,cant undertsand
https://www.youtube.com/watch?v=ec1-rs1qFE4,irrelevant,Fashion,online market store to sell secondhand items
https://www.youtube.com/watch?v=6ieS_k8HAjY,irrelevant,Health and Wellness,"Aqua dental, dental care"
https://www.youtube.com/watch?v=W8amwBmutvA,irrelevant,Gaming & Entertainment,game trailer
https://www.youtube.com/watch?v=mPV4Z0kjEBA,irrelevant,Food and Cooking,peppermints
https://www.youtube.com/watch?v=iviCwMZYxZE,irrelevant,Travel & Adventure,transport service ad
https://www.youtube.com/watch?v=-LaCtfsEjJk,irrelevant,Autos & Vehicles,auto tyres 
https://www.youtube.com/watch?v=tLIS4p1jZ40,irrelevant,Home and Office,real estate 
https://www.youtube.com/watch?v=GOQYdY6loqI,irrelevant,Finance & Legal,Portfolio management lecture
https://www.youtube.com/watch?v=j55oJ8NHXlw,irrelevant,Autos & Vehicles,auto tyres 
https://www.youtube.com/watch?v=7N-gertdkEk,irrelevant,Home and Office,home improvement chain
https://www.youtube.com/watch?v=7vxYn55D51o,irrelevant,Health and Wellness,med ad
https://www.youtube.com/watch?v=l-wtFtZn-QU,child directed,Toys,lego toys
https://www.youtube.com/watch?v=bgG-2tO4K5I,irrelevant,Fashion,online market store to sell secondhand items
https://www.youtube.com/watch?v=MO1V-iezJfs,irrelevant,Personal Care & Beauty,veet hair removal cream
https://www.youtube.com/watch?v=cqX9yekkwVs,irrelevant,Music & Performance,music video
https://www.youtube.com/watch?v=dMBevlP_R_g,child directed,Toys,lego toys
https://www.youtube.com/watch?v=Lfvv89hmpsA,irrelevant,Parenting & Family,baby diapers
https://www.youtube.com/watch?v=ggP_MVVOxAs,irrelevant,Travel & Adventure,travel company
https://www.youtube.com/watch?v=PnDOAKPb7dI,irrelevant,Food and Cooking,cat food
https://www.youtube.com/watch?v=TjTOG8bm4KM,irrelevant,Fashion,joggers and workout shoes
https://www.youtube.com/watch?v=8AaYqSXBLFM,irrelevant,Travel & Adventure,Uber App car service
https://www.youtube.com/watch?v=4xLbmdqdbO4,irrelevant,Food and Cooking,cat food
https://www.youtube.com/watch?v=1vYQjBJXFHc,irrelevant,Health and Wellness,"Aqua dental, dental care"
https://www.youtube.com/watch?v=o3cH4GixdoQ,irrelevant,Food and Cooking,red bull energy drink ad
https://www.youtube.com/watch?v=9x9Miio1Nng,irrelevant,Music & Performance,music ad
https://www.youtube.com/watch?v=O80y5qIm9u8,irrelevant,Autos & Vehicles,bikes 
https://www.youtube.com/watch?v=K00EqVb4W-I,irrelevant,Home and Office,Double sided tapes
https://www.youtube.com/watch?v=ZOfVWeanwNk,irrelevant,Home and Office,furniture
https://www.youtube.com/watch?v=enNOZJSDFFs,child directed,Play and Adventure,"skistar holidays, activities for kids "
https://www.youtube.com/watch?v=pNQvIPHsNT4,child directed,Toys,lego toys
https://www.youtube.com/watch?v=-kjFZkSFqRs,irrelevant,Travel & Adventure,outdoor activites and travel
https://www.youtube.com/watch?v=zpifMjj-5WI,inaudible,Different Language,cant undertsand
https://www.youtube.com/watch?v=awjbc_gYjX8,irrelevant,Home and Office,hardware store for home and kitchen
https://www.youtube.com/watch?v=WkA4aQm-h2s,irrelevant,Travel & Adventure,visit andorra
https://www.youtube.com/watch?v=a3FUPmqyz74,child directed,Play and Adventure,outdoor summer activities and pool
https://www.youtube.com/watch?v=kB4ZaJQwpTE,irrelevant,Fashion,fragrances
https://www.youtube.com/watch?v=fH2jD_AqbqY,irrelevant,Home and Office,home and office furniture
https://www.youtube.com/watch?v=3yqLnwf2ORE,irrelevant,Home and Office,vacuum cleaner
https://www.youtube.com/watch?v=Lk6Lgm02x20,irrelevant,Travel & Adventure,online flight website
https://www.youtube.com/watch?v=YxgjC2AH0kk,irrelevant,Autos & Vehicles,auto tyres 
https://www.youtube.com/watch?v=Qx7kfnN8624,irrelevant,Home and Office,furniture
