Video Link,Primary Tag,Secondary Tag,Description
https://www.youtube.com/watch?v=WD5meI7vQ-k,irrelevant,Fashion,perfume ad
https://www.youtube.com/watch?v=z_RqlCZAKKg,irrelevant,Home and Office,mattress ad
https://www.youtube.com/watch?v=s8QapmBahDo,inappropriate,Scariness,smoking kills ad includes a few disturbing clips
https://www.youtube.com/watch?v=5dTtmZ3PUgI,irrelevant,Home and Office,kitchenette ad
https://www.youtube.com/watch?v=HYK0QJnuCgE,irrelevant,Tech & Gadgets,google pixel ad
https://www.youtube.com/watch?v=wCRL3PJixBg,irrelevant,Health and Wellness,prescription saving on med ad
https://www.youtube.com/watch?v=ixupw9tFXUM,irrelevant,Finance & Legal,finance management ad
https://www.youtube.com/watch?v=XWjSPMhRAu4,irrelevant,Motivation & Inspiration,Video on David trone helping people
https://www.youtube.com/watch?v=1dpHBsOAqOk,irrelevant,Science & Technology,Bot that helps increase revenues by trading
https://www.youtube.com/watch?v=14G6xHIQn3o,inappropriate,Explicit Sexual Content,medication for allergies but contains sexual undertones
https://www.youtube.com/watch?v=Us2F3iWpSOo,irrelevant,Gaming & Entertainment,YouTube Premium ad
https://www.youtube.com/watch?v=6yT9YywZs-0,inappropriate,Physical Violence,transformers movie trailer contains violence and fight
https://www.youtube.com/watch?v=qiMoSsT07QQ,irrelevant,Home and Office,house sale ad
https://www.youtube.com/watch?v=Qi4J1OAv-5Q,irrelevant,Fitness & Exercise,Workout training app
https://www.youtube.com/watch?v=Ko_MFKNR5Y4,inappropriate,Scariness,smoking kills ad includes a few disturbing clips
https://www.youtube.com/watch?v=c6JmUPQm1OY,irrelevant,Autos & Vehicles,Hyundai ad
https://www.youtube.com/watch?v=mhFDhNWZhc8,irrelevant,Software,team collaboration software
https://www.youtube.com/watch?v=rs2t0PyaLBc,irrelevant,Software,adobe acrobat pdf editor/viewer
https://www.youtube.com/watch?v=QHB4jfB1PuU,excluded,,religious content
https://www.youtube.com/watch?v=lt6jqs-hNHk,irrelevant,Education & Learning,Universirty ad
https://www.youtube.com/watch?v=7eoLR6GHW24,irrelevant,Health and Wellness,medicine ad
https://www.youtube.com/watch?v=OtOigw2BsCM,inappropriate,Display of weapons,video game not for kids involves shooting
https://www.youtube.com/watch?v=5wq7G-D5Ca0,irrelevant,Home and Office,Smart bed ad
https://www.youtube.com/watch?v=S6uoq-8jOl0,irrelevant,Software,cyber security website maker
https://www.youtube.com/watch?v=rEJt7AlKjGw,child directed,Toys,water balloon ad
https://www.youtube.com/watch?v=1C35_ndm1nY,irrelevant,Fashion,makeup ad
https://www.youtube.com/watch?v=85GPDx7C3f8,irrelevant,Autos & Vehicles,Hyundai ad
https://www.youtube.com/watch?v=TqCQUr3XEkY,irrelevant,Tech & Gadgets,description of plug parts
https://www.youtube.com/watch?v=rLnRRqJbXaY,irrelevant,Parenting & Family,tips for moms
https://www.youtube.com/watch?v=UBCAJHJkTsk,irrelevant,Play and Adventure,maryland adventure land
https://www.youtube.com/watch?v=yujvWPvzvL8,irrelevant,Gaming & Entertainment,Animated Tv show ad
https://www.youtube.com/watch?v=x5gyR7lhJP0,irrelevant,Health and Wellness,health app
https://www.youtube.com/watch?v=-y0kWwJJegY,irrelevant,Health and Wellness,bandage ad
https://www.youtube.com/watch?v=lLbK2LfI1Uk,irrelevant,Autos & Vehicles,Hyundai car ad
https://www.youtube.com/watch?v=Ve-xhsC6DW4,irrelevant,Education & Learning,purdue university ad
https://www.youtube.com/watch?v=Uytmors2b4w,irrelevant,Software,Google chrome developers ad
https://www.youtube.com/watch?v=-U4e20JohnQ,irrelevant,Food and Cooking,Fastfood ad
https://www.youtube.com/watch?v=6CQsdKDRP4g,irrelevant,Business & Entrepreneurship,american express business app
https://www.youtube.com/watch?v=AaHCyRzE6Wc,irrelevant,Autos & Vehicles,Hyundai ad
https://www.youtube.com/watch?v=5o6LcdFQXJM,irrelevant,Educational Content,Summer school ad
https://www.youtube.com/watch?v=5Jw6FRnziSA,irrelevant,Educational Content,Grammarl ad for grammatical errors and help writing better
https://www.youtube.com/watch?v=QpVZwIjg-r4,irrelevant,Food and Cooking,snack ad
https://www.youtube.com/watch?v=jpe3xzFBJ7Y,irrelevant,Business & Entrepreneurship,walmart ad
https://www.youtube.com/watch?v=DF3UHpo-Cy8,inappropriate,Explicit Sexual Content,movie trailer on pedophiles
https://www.youtube.com/watch?v=2tI5ibyBnjg,irrelevant,Tech & Gadgets,earphones ad
https://www.youtube.com/watch?v=GwWfjYq2pBI,irrelevant,Autos & Vehicles,audi ad
https://www.youtube.com/watch?v=sY_73xMg0Co,inappropriate,Scariness,"horror movie trailer with blood, horror, violence and killing plus weapons"
https://www.youtube.com/watch?v=3KyyB1vGi9Y,irrelevant,Food and Cooking,breakfast biscuits
https://www.youtube.com/watch?v=zB0GNcmFRFs,irrelevant,Motivation & Inspiration,hospital ad for cancer patients
https://www.youtube.com/watch?v=1toFNig1A14,irrelevant,Travel & Adventure,Family toursim resort ad
https://www.youtube.com/watch?v=e8J8u_oE8Ug,irrelevant,Health and Wellness,medicine ad
https://www.youtube.com/watch?v=bG7CxJwCQVA,child directed,Play and Adventure,Play area and arcade zone ad
https://www.youtube.com/watch?v=srmeVTizUzo,inappropriate,Offensive language,movie trailer with racist jokes and guns
https://www.youtube.com/watch?v=LaQSSiDE2uo,irrelevant,Software,adobe acrobat pdf reader app
https://www.youtube.com/watch?v=nZ5v4yN9QAg,irrelevant,Food and Cooking,juice ad
https://www.youtube.com/watch?v=5K3fe0Z6nYo,inappropriate,Fight sports,stunts not suitable for kids
https://www.youtube.com/watch?v=w6NcDEwDj3s,irrelevant,Fashion,aldo clothing brand ad
https://www.youtube.com/watch?v=QpnHaKNCaT0,inappropriate,"Drinking, drugs, smoking",ads about tools but contains a clip with a person drinking alcohol
https://www.youtube.com/watch?v=5u5MK5VOEig,child directed,Toys,lego ads
https://www.youtube.com/watch?v=U6BovNVh-FA,irrelevant,Personal Care & Beauty,Detergent/softener
https://www.youtube.com/watch?v=6dYBtdfwjyc,irrelevant,Health and Wellness,medicine ad
https://www.youtube.com/watch?v=lhdlMNRu3RE,excluded,,religious content
https://www.youtube.com/watch?v=Vms2qh9AOyU,irrelevant,Software,Amazon ad
https://www.youtube.com/watch?v=h0pXBrprI-A,irrelevant,Health and Wellness,med ad
https://www.youtube.com/watch?v=wPwzBUui1GA,irrelevant,Gaming & Entertainment,movie trailer
https://www.youtube.com/watch?v=1uXgHs7rxXQ,irrelevant,Software,liquid web brand for businesses
https://www.youtube.com/watch?v=_-9F6mSr-qg,irrelevant,Food and Cooking,meal planning ap
https://www.youtube.com/watch?v=CC3AE61x0Fs,irrelevant,Tech & Gadgets,google pixel ad
https://www.youtube.com/watch?v=eZvaciULBkU,irrelevant,Gaming & Entertainment,manga comic book ad
https://www.youtube.com/watch?v=umjz5hU3qCY,irrelevant,Food and Cooking,icecream or flavored yoghurt ad
https://www.youtube.com/watch?v=McvURqImWVM,irrelevant,Educational Content,Grammarly ad for grammatical errors and help writing better
https://www.youtube.com/watch?v=bY5UCzMvqgA,irrelevant,Health and Wellness,Medicine for constipation
https://www.youtube.com/watch?v=JGDTbiPmgZ4,inaudible,Different Language,different language cant understand the woman speaking
https://www.youtube.com/watch?v=qZcNaQHqpzk,irrelevant,Health and Wellness,treatment/medication for cats
https://www.youtube.com/watch?v=VERikeXAEmI,irrelevant,Education & Learning,online study material for cscs exams
https://www.youtube.com/watch?v=qQagxwqyBXk,irrelevant,Education & Learning,remington college program ad
https://www.youtube.com/watch?v=mVKDrykzpAY,irrelevant,Finance & Legal,insurance company ad
https://www.youtube.com/watch?v=Z92KBycHuQg,irrelevant,Health and Wellness,Alzheimer association donation ad
https://www.youtube.com/watch?v=c1ayrXo5xQY,irrelevant,Autos & Vehicles,instituition ad for auto training
https://www.youtube.com/watch?v=Z_FrgzI6EKY,irrelevant,Food and Cooking,cooking pan ad
https://www.youtube.com/watch?v=71SYQOYL578,irrelevant,Home and Office,clothes detergent ad
