Video link,Primary Tag,Secondary Tag,Description
https://www.youtube.com/watch?v=Wma_iVqKRWw,inappropriate,Scariness,"lyric video, fire, forest burning, explosion"
https://www.youtube.com/watch?v=1dtzSRlfBDk,child directed,Educational Content,ad about a Math and logic based visual game.  Contained no monetary information
https://www.youtube.com/watch?v=5KRcG9gVhio,inappropriate,Offensive language,spanish mv; lyrics inappropriate
https://www.youtube.com/watch?v=LEvKob0Kdi8,irrelevant,Personal Development,Become a Better Listener: Tips for Active Listening & Improved Relationships
https://www.youtube.com/watch?v=1EYvCnQj1uQ,inappropriate,Offensive language,spanish mv; inapp lyrics
https://www.youtube.com/watch?v=hkworAjntAI,inappropriate,Scariness,"song about stopping domestic abuse, yelling, breaking vase and furniture, may be distressing"
https://www.youtube.com/watch?v=0I5z4YcjBTU,irrelevant,Software,Ad for an AI software to map images onto your face
https://www.youtube.com/watch?v=Wxw30ZAMhRI,child directed,Cartoons,mario movie clips
https://www.youtube.com/watch?v=IK2OFWzmXm0,irrelevant,Music & Performance,kpop album Highlight Medley
https://www.youtube.com/watch?v=EgOI6Nc2PxQ,irrelevant,Music & Performance,ad for concert
https://www.youtube.com/watch?v=0jVeb-caO3s,irrelevant,Music & Performance,woman singing live
https://www.youtube.com/watch?v=qGJziQ8L7UY,inappropriate,Explicit Sexual Content,kissing
https://www.youtube.com/watch?v=PZHQSzm35fE,inappropriate,Explicit Sexual Content,scene focusing on lady's legs
https://www.youtube.com/watch?v=tl4bGyK-dIk,irrelevant,Personal Care & Beauty,ad for sanitary pads
https://www.youtube.com/watch?v=0lSxjDYdvpQ,irrelevant,Music & Performance,travel song 
https://www.youtube.com/watch?v=Ju5fRjOJk7M,inaudible,Different Language,spanish mv
https://www.youtube.com/watch?v=91RtI6ZG2bc,inappropriate,Explicit Sexual Content,"music video, scene showing women surrounding one man, inapp clothing"
https://www.youtube.com/watch?v=XYZqASRpVjw,irrelevant,Music & Performance,
https://www.youtube.com/watch?v=tveNRvq_AHQ,irrelevant,Fashion,
https://www.youtube.com/watch?v=JI1wKCWXs-k,irrelevant,Food and Cooking,cereal ad
