,id,title,description,channelId,channelTitle,thumbnail,tags,categoryId,madeForKids,duration,duration seconds
0,8sLS2knUa6Y,"Phir Aur Kya Chahiye| Zara Hatke Zara Bachke| Vicky K, Sara Ali K, Arijit Singh,Sachin-Jigar,Amitabh","Lose yourself in the magic of love with the much-awaited song ""Phir Aur Kya Chahiye'' from the film 'Zara Hatke Zara Bachke'. Mesmerizing vocals of Arijit Singh perfectly complement the intense chemistry between Sara Ali Khan and Vicky Kaushal. The music is composed by the talented duo Sachin-Jigar, and is here to make your heart skip a beat!

The soulful lyrics penned by Amitabh Bhattacharya will make you feel the love. A must watch movie directed by Laxman Utekar, featuring Sara Ali Khan and Vicky Kaushal.

Listen on other OTT platforms:
Spotify : https://spoti.fi/42IIHHY
Wynk : https://bit.ly/457cKKY
Amazon Music : https://amzn.to/3WaJMFW
JioSaavn: https://bit.ly/3Wd7Urn
Hungama : https://bit.ly/45aR1C3
Apple Music : https://apple.co/42IXmCO
You Tube Music : https://bit.ly/3Mw6XHF

Credits:
Singer - Arijit Singh, Sachin- Jigar
Music - Sachin- Jigar
Lyrics - Amitabh Bhattacharya
Programmed & Arranged By - Sachin- Jigar
Music Production Head - Romil Ved
Live instruments -
Flute : Tejash vinchurkar
Guitar : Kalyan baruah
Cello : Tatiana Kritskaya
Backing Vocals / Chorus-
Pratiksha Kale , Maanuni Desai, Sahil Vishvakarma
Mix & Mastered By Eric Pillai - FSOB Studios
Assistant Mix Engineer- Michael Edwin Pillai
Recording Engineer - Swar Mehta - White Noise studios

Lyrics:
Badle tere maahi
Laa ke jo koi saari
Duniya bhi de de agar
Toh ..
Kise duniya chaahiye
Tu hai toh mujhe
Phir aur kya chaahiye
Tu hai toh mujhe
Phir aur kya chaahiye
Kisi ki na madad
Na dua chaahiye
Tu hai toh mujhe
Phir aur kya chaahiye
Sun haaniye
Jind jaaniye
Sau baar janam loon
toh bhi tu hi
Humdum har dafa chaahiye
Tu hai toh mujhe
Phir aur kya chaahiye
Tu hai toh mujhe
Phir aur kya chaahiye

CHORUS
Tu hi re
Tu hi re
Tu hi re
Ni heeriye
Tu hi re
Tu hi re
Tu hi re
Ni heeriye tu meri
Main hun tera raanjha

ANTARA
Jab tak teri neend na toote
Ugta nahin hai sooraj mera
Khwab  rahe kis kaam ke mere
Khwab se pyaara tu sach mera
Sun haaniye
Jind jaaniye
Zakhmon ko mere marham ki jagah
Bas tera chhua chaahiye
Tu hai toh mujhe
Phir aur kya chaahiye
Tu hai toh mujhe
Phir aur kya chaahiye
Kisi ki na madad
Na dua chaahiye
Tu hai toh mujhe
Phir aur kya chaahiye

CHORUS
Tu hi re
Tu hi re
Tu hi re
Ni heeriye
Tu hi re
Tu hi re
Tu hi re
Ni heeriye tu meri
Main hun tera raanjha 

#PhirAurKyaChahiye 
#ZaraHatkeZaraBachke 
#SaraAliKhan 
#VickyKaushal  
#SaregamaMusic  
#ArijitSingh 
#SachinJigar 

Buy Carvaan Mobile- Feature phone with 1500 Pre-loaded songs at http://sarega.ma/ycmbuy

Aawaz Aapki, Gaane Hamare, Ab Sunegi Duniya Saari
Make your own cover on this song and we’ll launch it on our Openstage Youtube Channel.
Send it on content@saregama.com 

To buy Saregama Carvaan, visit  https://www.saregama.com/carvaan/carvaanhindi
To buy virus free original tracks, visit  https://www.saregama.com/musicstore

Label:: Saregama India Ltd, A RPSG Group Company

To buy the original and virus free track, visit www.saregama.com

Follow us on:

YouTube: http://www.youtube.com/saregamamusic

Facebook: http://www.facebook.com/Saregama

Instagram: https://www.instagram.com/saregama_official/

Create your videos on Moj and tag Saregama: https://mojapp.in/@saregamaindia

Twitter: https://twitter.com/saregamaglobal",UC_A7K2dXFsTMAciGmnNxy-Q,Saregama Music,https://i.ytimg.com/vi/8sLS2knUa6Y/default.jpg,"['phir aur kya chahiye', 'phir aur kya chahiye by arijit singh', 'zara hatke zara bachke', 'zara hatke zara bachke songs', 'phir aur kya chahiye lyrics', 'vicky kaushal new song', 'sara ali khan new song', 'vicky kaushal', 'sara ali khan', 'arijit singh songs', 'best of arijit singh song', 'kesariya', 'o bedardiyan', 'apna bana le', 'jhoome jo pathaan', 've maahi', 'pachtaoge', 'channa ve', 'aankh mare', 'namo namo', 'kya loge tum', 'tu meri roja', 'new hindi song 2023', 'latest romantic song']",10,False,PT3M36S,216.0
1,zNt0yispEhM,marjanemall متوفر على  King Jouet,marjanemall على King Jouet احسن الألعاب للصغار والكبار عند,UC44pLxGj5x31paxJqnI-Pbw,marjanemall,https://i.ytimg.com/vi/zNt0yispEhM/default.jpg,"['marjanemall', 'achat en ligne maroc', 'marketplace marocaine', 'E-commerce maroc', 'السوق الالكترونية مغربية', 'مرجان مول', 'الشراء عبر الإنترنت', 'موقع التسوق الإلكتروني']",22,False,PT23S,23.0
2,gHbrMZZ1Tyo,2023 2D Animation @ Work Contest Coming in June! Create with Reallusion Cartoon Animator 5,"Learn More about Cartoon Animator 5 Features: Spring Effects
https://www.reallusion.com/cartoon-animator/spring-animation.html

The 2023 Animation@Work Contest is coming in June! This time you can apply spring dynamics to your characters and props in Cartoon Animator 5 to easily generate secondary animations like a pro! DOWNLOAD today and start! 

Know More: https://www.reallusion.com/cartoon-animator/default.html
Free Trial: https://www.reallusion.com/cartoon-animator/download.html

✦WATCH MORE:
Learn how to use Cartoon Animator 5 for secondary animation:

Free-from Deformations
https://courses.reallusion.com/home/cartoon-animator/secondary-animation/free-form-deformation

Spring Animations
https://courses.reallusion.com/home/cartoon-animator/secondary-animation/spring-animation

✦FOLLOW US!
Facebook: https://www.facebook.com/ReallusionSoftware/
LinkedIn: https://www.linkedin.com/company/94371
Twitter: https://twitter.com/reallusion
Instagram: https://www.instagram.com/reallusionofficial/
Blog: https://magazine.reallusion.com/
Forum: https://forum.reallusion.com/Cartoon-Animator-5/General

✦ONLINE HELP 
Cartoon Animator : https://courses.reallusion.com/home/cartoon-animator

#CartoonAnimator #2DAnimation #CharacterAnimation",UCgigyhFYBO-trin-NBtJWeQ,Reallusion,https://i.ytimg.com/vi/gHbrMZZ1Tyo/default.jpg,"['reallusion', 'cartoon', 'cartoon animator', '2D animation', 'character animator', 'anime studio', '2D character creator', '2D avatar creator', 'animate image', 'animate photo', 'image animation', '2D animation software', 'animation software', 'audio lipsync', 'PSD', 'Adobe Character Animator', 'spring animation', 'secondary animation', '12 principles of animation', 'secondary action', 'Spring Physics', 'props', 'animation contest', 'animated 2d character', 'cartoon animation contest', 'explainer video', 'cartoon maker']",1,False,PT48S,48.0
3,4PG7Y2V7FRc,Aria Groupe - avec la nouvelle solution de technologie fixe nous passons 600 appels en simultané,,UC0z2g_qMHEyAmNg_oZDP_kQ,inwi,https://i.ytimg.com/vi/4PG7Y2V7FRc/default.jpg,"['inwi', 'INWI', 'inwi maroc', 'INWI MAROC', 'code', 'rezo', 'switcher', 'switchers', 'promo inwi', 'kabbour', 'kabor', 'KABOR', 'inwi maroc', 'INWI MAROC', 'code', 'rezo', 'switcher', 'switchers', 'promo inwi', 'kabbour', 'kabor', 'KABOR', 'publicité inwi', 'pub inwi', 'publicite inwi', 'inwi', 'INWI', 'inwi maroc', 'INWI MAROC', 'Meilleur reseau', 'reseau connexion', 'meilleur connexion', 'connexion numéro 1', 'numero 1 connexion', 'a7ssan connexion maroc', 'reseau inwi', 'rizo maroc', 'rezo', 'publicité inwi', 'publicité marocaine', 'publicité maroc']",24,False,PT59S,59.0
4,wMKvGAHJ-t4,Intro Lite English,,UCTV4e8JlEP2WTRb4T0awH5A,Joelle YTK,https://i.ytimg.com/vi/wMKvGAHJ-t4/default.jpg,N/A,22,True,PT4S,4.0
5,ElIpFUXHc4o,مصباح صاعق البعوض والحشرات الطائرة في نفس الوقت 😲 مع موجة الضوء الأرجوانية وداعًا للبعوض في المنزل 💯,"💯 وأخيرا في المغرب 😲 📢 جبنا ليكم الحل النهائي باش تهنا من الناموس وشنيولة جهاز مكافحة البعوض الكهربائي دبا نعس وبالك هاني.

✅ مصباح صاعق البعوض والحشرات الطائرة في نفس الوقت
✅ أنيق ، سهل الاستخدام ، سهل التنظيف 
✅ عالي الجودة والمتانة

💯 الدفع عند التسليم 💯
💯 ثمن مناسب والشحن مجاني مع الضمان 💯
💯 ضمان استبدال اواسترجاع لمدة 14 يوم 💯

👈 استفيدو من العرض قبل نفاد المخزون🏃‍♂.. الكمية محدودة

⬇️ قدم طلبك مباشرة من متجرنا ⬇️
👇👇 الرابط في أول تعليق 👇👇",UCDDD3_XcqHKugaOju1Ef5FQ,AFORYA SHOP,https://i.ytimg.com/vi/ElIpFUXHc4o/default.jpg,"['صاعق البعوض الكهربائي', 'مكافحة البعوض', 'قاتل البعوض', 'البعوض وسائل الوقاية منها', 'مصيدة البعوض', 'صراصير وحشرات', 'الصحة والبيئة', 'تدابير الصحة العامة', 'السلامة المنزلية', 'التحكم في الحشرات', 'الصحة العامة', 'الحشرات الطائرة', 'معدات مكافحة الحشرات', 'البعوض والأمراض المنقولة', 'الكهرباء والأمان', 'العناية بالبيئة']",22,False,PT23S,23.0
6,SMVfsCiguRo,"En Urava - Lyrical | Saandrithazh | Harikumar, Roshan Basheer, Ashika | Baiju Jacob | JVR | Karthik","Here is the first single 'En Urava' from 'Saandrithazh' featuring Harikumar, Roshan Basheer, Ashika in lead roles. Directed by JVR. Music composed by Baiju Jacob

For more latest songs and videos, subscribe now  @SaregamaTamil  

Song Credits:
Singer :Karthik
Music : Baiju Jacob
Lyrics :Jvr
Director. :Jvr
Choreography :Dhina
Cinematography:
S.S.Ravimaaranshivan.D.F.T
Art Director :Nanjil P.S. Robert
Lyrical Video Editor:
S.Ravi (Rider Studio)
Musicians Credit:
Bass & Accoustic Guitar:Richard
Flute:Sathish
Vialo, Violin, Cello :Balaji Team
Recording Studios:
Sound Modified
Contrabass
2keys Studio
Sound Engineers:
Lokesh Vijayakumar
Vysakh
Jeba Raj
Mix And Mastered By Ijaz@I Studio
Mastered @ Access Analog Usa

Movie Credits:
Cast:
Harikumar
Roshan Basheer
Datho. Radharavi
Abu Khan
Ravimariya
Manobala
Aruldass
Kowsalya
Ashika Ashokan
Tanisha. Kuppanda
Adithya Kathir
Jenson Alappat
C. Ranganathan
Subburaj
Vishva
Nanjil. P. S. Robert
Written & Director: Jvr
Cinematography:
S.S.Ravimaaranshivan.D.F.T
Music Director: Baiju Jacob
Editor: J.F.Castro
Art: Nanjil P. S. Robert
Stunts: Danger Mani
Lyricist: Jvr
Choreographers: P. V. Noble.Dhina.
L.Radhika
Sound Designer: Ukl. Ayyappan (G Studios)
Sound Efx: Randy Raj
Vfx Desginer: Hocus Pocus Vfx
Di: Baywood Virtual Fx
Still: M.S.Raja
Publicity Desginer: Design Point
Pro: Nikil Murukan
Production Executive: P. Sangareswaran
Production Manager's:Muthaiah. Seithur
K.Elango ,S. Velmurugan
Accounts Manager : 3 Ram
Producer By: Sjs. Sundharam & Jvr
Production: Vettrivel Cinemas
Audio Label: Saregama


Label: Saregama India Limited, A RPSG Group Company

 
To buy Carvaan, visit https://www.saregama.com/carvaan/tamil
To buy virus free original tracks, visit  https://www.saregama.com/musicstore
Follow us on: YouTube: https://www.youtube.com/user/Saregamatamil
Facebook: http://www.facebook.com/Saregamatamil
Twitter: https://twitter.com/saregamasouth​​",UCzee67JnEcuvjErRyWP3GpQ,Saregama Tamil,https://i.ytimg.com/vi/SMVfsCiguRo/default.jpg,"['En Urava', 'En Urava song', 'En Urava lyrical song', 'Santrithal', 'Santrithal movie', 'Santrithal tamil movie', 'Santrithal Tamil songs', 'tamil songs', 'latest songs tamil', 'latest songs tamil 2023', '2023 tamil movies', 'tamil movies 2023', 'new songs tamil', 'new songs tamil 2023', 'Harikumar', 'Roshan Basheer', 'Datho', 'Baiju Jacob', 'JVR', 'rajalakshmi', 'rajalakshmi songs', 'rajalakshmi senthil ganesh song', 'mainaru vetti katti', 'aga naga', 'ponniyin selvan songs']",10,False,PT4M45S,285.0
7,nAPMfJsZ_Zw,Ali Deek - El Kbir Bidal Kbir [Official Music Video] 2023 | علي الديك - الكبير بيضل كبير,"Lyricist: Fadi Merjan
Composer: Thaer & Maher Al Ali 
Arrangement: Fadi Jiji
Directed By: Adel Serhan
Social Media : Khbria Music 

Listen to ""El Kbir Bidal Kbir"" on all Music Platforms
https://alideek.lnk.to/ElKbirBidalKbir

Subscribe To Ali Deek Channel 
https://goo.gl/mUS8Co

Follow Ali Deek on:
Facebook: https://www.facebook.com/alideekofficial
Instagram:  https://www.instagram.com/ali__aldeek
Tiktok: https://www.tiktok.com/@alideekofficial

Keep Listening to Ali Deek on:
Anghami: https://bit.ly/3LOKMfr
Apple Music: https://apple.co/413e1PU
Deezer: https://bit.ly/3Vo4HoJ
Spotify: https://spoti.fi/3NzlXFI
YouTube Music: https://bit.ly/44q0Lro

#الكبير_بيضل_كبير
#علي_الديك",UCMlS1ftMjlBEeQgikfs9HZQ,Ali Deek,https://i.ytimg.com/vi/nAPMfJsZ_Zw/default.jpg,"['Ali Deek - El Kbir Bidal Kbir [Official Music Video] 2023 | علي الديك - الكبير بيضل كبير', 'el kbir bizal kbir', 'الكبير بيظل كبير', 'Ali al Deek', 'top 1', 'MENA', 'ترند', 'best arabic playlist', 'hot arabic music', 'ghanilie ta ghanilak', 'اغاني علي الديك', 'ali deek songs', 'الرقم الصعب', 'الرقم الاول', 'غنيلي ت غنيلك', 'best arabic artists', 'warta', 'numberone', 'يا زغيرة كبرتي', 'لمجانين', 'حلوين عيونك علي الديك', 'اغاني شعبية', 'Hobik Balwi', 'لعيونك', 'علوش', 'ya zghire kberti', 'جايي تسنبل ورايي', 'عتابات', 'يا صغيرة كبرتي']",10,False,PT4M22S,262.0
8,7J7EvR-oVaI,Ostrich in Space - AutoRigging a Blender Model with Character Creator 4 and iClone 8,"https://www.reallusion.com/character-creator/auto-rig.html 
https://www.reallusion.com/character-creator/blender.html Get ready to soar into space with the help of 3D character designer Tom Breuer! In this insightful YouTube video, Breuer shares his streamlined workflow for creating a super fly ostrich that's out of this world, using the powerful combination of Character Creator, Blender, and iClone. With the lightning-fast CC AccuRIG tool, you can turbocharge your character preparation process for animation and customize auto-rigging steps that give you complete creative control. 

Plus, you can easily add spring bones and cloth simulation to make your animated accessories even more awesome! And with AccuLips, precise lip-sync animation has never been easier. So buckle up and get ready for an epic ride as Breuer takes you on a journey through the Reallusion-Blender pipeline, proving that anything is possible when you create your own little world! https://magazine.reallusion.com/2023/04/19/ostrich-in-space-autorigging-a-blender-model-with-character-creator-4-and-iclone-8/

00:00 Opening
00:17 Character Concept
00:33 Modeling Process
01:29 Texturing in Substance Painter
01:55 Rigging with CC AccuRIG in Character Creator
03:10 Adding Custom Bones in Blender
04:00 Skin Weight Transfer
04:57 Adding More Bones in Blender & Character Creator
05:10 Making Facial Expressions
06:29 Animating Dynamic Accessories in Character Creator: Adding Spring Bones & Cloth Simulation
07:38 Animating in iClone
08:34 Create Animated Accessories: Adding Spring Bones
09:06 Animation Clips & Lip-Sync Animation with AccuLips 
09:26 Wrap-Up & Final Animation

*Tom Breuer* is a dynamic and talented freelance 3D designer with a particular flair for Blender and Unity in game-based applications and character creation. With ardent storytelling, he has created a whole world filled with fascinating 3D creatures with unique backstories that he loves to share. You can explore Breuer's stunning creatures thriving in their natural habitats by visiting his pages listed below.

▪ Sketchfab: https://sketchfab.com/TomBreuer
▪ ArtStation: https://www.artstation.com/flyingillustration
▪ Twitter: https://twitter.com/flyingillu
▪ Instagram: https://www.instagram.com/flyingillustration/

Voice actor of Ostrich: *Vincent Fallow*
▪ Twitter: https://twitter.com/vincentfallow
▪ Instagram: https://www.instagram.com/vincentfallow/

Character Creator 4 (CC4) connects industry leading pipelines ,such as iClone, Maya, Blender, Unreal Engine, Unity, with one system for 3D character generation, animation rig, asset management, look-dev rendering, and interactive design.

iClone is the fastest real-time 3D animation software in the industry. Integrated with groundbreaking real-time technologies, iClone simplifies the world of 3D Animation in a user-friendly production environment that blends character animation, scene design and cinematic storytelling; quickly turning imagination into a reality.

✦WATCH MORE
Learn about Character Creator: https://www.reallusion.com/character-creator/default.html
Learn about iClone animations: http://www.reallusion.com/iclone/default.html

✦FOLLOW US!
Facebook: https://www.facebook.com/ReallusionSoftware/
LinkedIn: https://www.linkedin.com/company/94371
Twitter: https://twitter.com/reallusion
Instagram: https://www.instagram.com/reallusionofficial/
Blog: http://blog.reallusion.com/
Forum: http://forum.reallusion.com/default.aspx

✦ONLINE HELP
[Character Creator]
TUTORIALS: https://courses.reallusion.com/home/character-creator
MANUAL: https://manual.reallusion.com/Character-Creator-4/Content/ENU/4.0/01_Welcome/Welcome.htm

[iClone]
TUTORIALS: https://courses.reallusion.com/home/iclone
MANUAL: https://manual.reallusion.com/iClone-8/Content/ENU/8.0/01-Welcome/Welcome.htm

#charactercreator #iclone #blender",UCgigyhFYBO-trin-NBtJWeQ,Reallusion,https://i.ytimg.com/vi/7J7EvR-oVaI/default.jpg,"['3D character creator', 'game character', 'Character Base', 'rigged 3D character', 'character maker', 'video game characters', 'custom character', 'avatar maker', 'realistic cartoon character', 'animated character', 'blender character creation', 'b3d', 'rigged character', 'character builder', 'realistic avatar creator', 'create a character', 'make your own character', 'make a character', 'character design generator', 'blender 3d', 'physics', '3d cloths', 'blender addon', 'replace mesh', 'blender modeling', 'space ostrich']",1,False,PT10M28S,628.0
9,z2E2MUYzqIc,Orange Maroc : X25 X15,"السخاوة X25 هاد رمضان مع اورنج 🧡
استافد من الروشارج إبتداءً من 5 دراهم X15 و X25 إبتداءً من 30 درهم. 😍
عرض صالح الى غاية 24 مارس !

https://oran.ge/X25 
#NtaLawal",UCnweOLpbF1c1wJGxzbSkQ5Q,Orange Maroc,https://i.ytimg.com/vi/z2E2MUYzqIc/default.jpg,"['internet', 'mobile', 'maroc', 'téléphonie', 'opérateur téléphonique', 'publicité', 'vidéo', 'pub', 'promotion', 'gratuit', 'orange']",26,False,PT28S,28.0
