,id,title,description,channelId,channelTitle,thumbnail,tags,categoryId,madeForKids,duration,duration seconds
0,hgjNGN7UNR8,The new brand look & feel | Kia,"Optimistic, Purposeful, and Bold. Experience the new brand look and feel of Kia.

Read more: https://www.kia.com/se/om-kia/movement-inspires-ideas/

#Kia #MovementThatInspires #NewKia #Movement #Inspiration",UC5Duy0wUv10CYCbu9WY3zkg,Kia Sweden,https://i.ytimg.com/vi/hgjNGN7UNR8/default.jpg,"['Kia sverige', 'nya bilar', 'tjänstebilar', 'personbilar', 'kia motors sweden', 'nybilsgaranti', 'design', 'Kia Motors (Organization)', 'Design (Industry)', 'cars', 'bil', 'bilar', 'sweden', 'kia motors', 'automobil', '7 års nybilsgaranti']",2,False,PT1M34S,94.0
1,NEliG_wYYic,Vi har Sveriges nöjdaste privatlånekunder,,UCUCuZkP1Qnj25rLe7wfdW-Q,Ikano Bank Sverige,https://i.ytimg.com/vi/NEliG_wYYic/default.jpg,N/A,27,False,PT15S,15.0
2,kpDl6K2uRb8,Ett storslaget äventyr på Kolmården!,"Ta med familjen på ett storslaget äventyr! Hälsa på Bamse och hans vänner i sagolika Bamses Värld, sväva över savannens mäktiga djur i linbanan Safari och åk en av världens bästa berg- och dalbanor i trä; Wildfire! 🦒🎢💚

Boka på https://www.kolmarden.com/",UCxPMaMEpjGWXAh1Ro0aMIVw,Kolmårdens Djurpark,https://i.ytimg.com/vi/kpDl6K2uRb8/default.jpg,N/A,24,False,PT6S,6.0
3,Afb1c6vDkmw,Andreasson Musik – Musikinstrument och tillbehör i Göteborg,"Andreasson Musik är butiken för dig som vill få inspiration, grym service och spetskunskap när du ska köpa ditt instrument. Ska ditt barn börja spela blockflöjt eller är du professionell konsertpianist? Kanske har du spelat elgitarr så länge du kan minnas men letar fortfarande efter rätt sound? Vi kan hjälpa dig oavsett!

När du kommer in till oss tar vi oss alltid tid att snacka, ge tips och råd. Vi vill skapa bästa möjliga förutsättningar för ditt musicerande och för att du ska bli så nöjd som möjligt. Butiken har dedikerade avdelningar för bland annat elgitarr, akustisk gitarr, piano, keyboard, studio, trummor och bas där du kan prova ett stort urval av instrument och tillbehör. Ända sedan starten 1949 har vi haft ambitionen att hålla ett brett utbud för att kunna hjälpa alla som vill syssla med musik. Välkomna!

Odinsgatan 9, 411 03 Göteborg
https://andreassonmusik.se/

Följ oss gärna här på YouTube och på våra övriga Sociala Medier:
https://www.instagram.com/andreassonmusik/
https://www.facebook.com/andreassonmusik",UCs9uv4S1k_EYuU1EatLA6Fg,Andreasson Musik,https://i.ytimg.com/vi/Afb1c6vDkmw/default.jpg,"['Musikbutik', 'Gitarr', 'Trummor', 'Musikaffär', 'Musikaffär i Göteborg', 'Musikinstrument', 'Musikinstrument i Göteborg', 'Andreasson Musik', 'studioutrustning', 'elgitarr', 'gitarrförstärkare', 'elbas', 'cymbaler', 'mikrofoner']",10,False,PT15S,15.0
4,atE1zCE23e8,Res till Gotland i sommar för 285 kr per person,,UC0RLKxU6a31dgRw4uJyglKg,Destination Gotland,https://i.ytimg.com/vi/atE1zCE23e8/default.jpg,N/A,19,True,PT32S,32.0
5,Cm-FBnVQ5yw,Fello.se,Mobilabonnemang för dig som vill skapa utgifterna - inte friheten!,UCS2KBUhhk3_3KBBaWgnlWcw,Fello,https://i.ytimg.com/vi/Cm-FBnVQ5yw/default.jpg,"['Fello', 'mobilabonnemang', 'abonnemang']",28,True,PT25S,25.0
6,B_HPCuTw7Ps,Öresunds VVS - Säker och trygg webshop,"Köp produkter komplett installation, tryggt och säkert. Beställ idag!


ADIP_UBERVERSAL_GENERAL:229018758:16566110820:6443826735:6160590753545309769:ADV2_PEDESTAL",UCktQ0lODEwEh9YnL3SewB-Q,Öresunds VVS,https://i.ytimg.com/vi/B_HPCuTw7Ps/default.jpg,['YouTube Autodirector Video'],22,False,PT16S,16.0
7,ZIlihJvmhVk,Conholdate.Total-04-30s,,UCi77hnbGUnKECQIRg6H4EAQ,Conholdate,https://i.ytimg.com/vi/ZIlihJvmhVk/default.jpg,N/A,22,False,PT31S,31.0
8,bQES_F6c7c8,Incentive Ad Desktop,,UCMMkOy1OtB1OkjB6PNTk9Sw,AdaptedMind,https://i.ytimg.com/vi/bQES_F6c7c8/default.jpg,N/A,22,True,PT1M52S,112.0
9,EPz4eo2HSbk,Fello.se - mobilabonnemang för alla,Reklamfilm - pris,UCS2KBUhhk3_3KBBaWgnlWcw,Fello,https://i.ytimg.com/vi/EPz4eo2HSbk/default.jpg,N/A,28,True,PT28S,28.0
