,id,title,description,channelId,channelTitle,thumbnail,tags,categoryId,madeForKids,duration,duration seconds
0,NIIAMAlQfXM,VS 000044 L79 VR351 16x9 2m30s 230522T,https://bettervisionway.com/researchNR/,UCtmX7R6UKU0QJ2gzEqJ8J1A,Healthy Vision For Life,https://i.ytimg.com/vi/NIIAMAlQfXM/default.jpg,N/A,22,False,PT2M27S,147.0
1,2ZQMZKggf-w,A.L.A - S3ib (Official Music Video),"Produced by: FATSAM
Directed by: ALAA EDDINE RAIS
DOP: AMINE ELKHADRAOUI
Exec Prod: OG THAREAL
Photography: AZEDDINE CHRAYBI
Editor: YUSSEF KIRAOUI & ALAA EDDINE RAIS
VFX: SOS Vision
Colorist: YUSSEF KIRAOUI & ALAA EDDINE RAIS
Prod Visuelle: SOS Vision 
Remerciment: Amine Labied, Hades, Joe


Follow us on :

https://www.Facebook.com/alaofficielle
https://www.Instagram.com/a.l.a_official
https://www.Twitter.com/alaofficielle

alarapperbooking@gmail.com",UCldUc3lPRbibHFOomDrypXA,A.L.A,https://i.ytimg.com/vi/2ZQMZKggf-w/default.jpg,"['A.L.A', 'ala', 'zzh.5', 'nouveau ALA', 'new A.L.A', 'rap tunisien', 'tunisian rap', 'rapping', 'music', 'tunisie', 'tunisia']",10,False,PT3M38S,218.0
2,FBhXBSMPBIs,NIVEA LUMINOUS630,"NIVEA LUMINOUS630 قولي وداعا للبقع الداكنة مع مجموعة 

Luminous630 اكتشفي الروتين الكامل مع تركيبة

الحاصلة على براءة اختراع، واللي كتستهدف جميع البقع الداكنة كيفما كان
السبب ديالها : الشمس ، السن أو التغيرات الهرمونية

جربيها الآن 

: زوروا متجرنا عبر الانترنيت 24/7 على الموقع 

https://www.jumia.ma/mlp-boutique-officielle-nivea-luminous/?utm_source=referral&utm_medium=partnership&utm_campaign=nivea-luminous&=youtube-preroll#scrolldown


Dites adieu aux taches brunes avec la gamme
NIVEA LUMINOUS630 !

Découvrez une routine complète avec un actif
breveté, qui cible toutes les taches pigmentaires quel
que soit leur cause : le soleil, l’âge ou les
changements hormonaux !

Qu’attendez-vous pour la tester ?

Découvrez notre boutique en ligne 24/7 sur le lien suivant
: https://www.jumia.ma/mlp-boutique-officielle-nivea-luminous/?utm_source=referral&utm_medium=partnership&utm_campaign=nivea-luminous&=youtube-preroll#scrolldown

#NIVEAMAROC#FACECARE#INNOVATION#LUMINOUS630",UCB3JXW5sQznbHvRRjy000oA,NIVEA MAROC,https://i.ytimg.com/vi/FBhXBSMPBIs/default.jpg,N/A,24,True,PT20S,20.0
3,UNgTc25GfqE,We Love Actifit 🌾 We Love Breakfast 🥣,"🌾NEW🌾

Révey’s breakfast game just got even better! Introducing our newest addition : Acti Fit - packed with nutrition and deliciousness, these cereals will make your mornings even brighter.

جديد
الإفطار مع Révey أصبح أفضل! اكتشفوا أحدث الإضافات : رقائق الحبوب Acti Fit اللذيذة و المغذية، باش تخلي صباحك أكثر حيوية !

#Révey
#WeLoveBreakfast
#WeloveActifit",UCjBes9bsy48phtMtO4sz2-A,Révey,https://i.ytimg.com/vi/UNgTc25GfqE/default.jpg,N/A,22,False,PT6S,6.0
4,7AHQl_wcUmk,hw_canyondungeon2a_h_en_75,,UC-Q7nMi5vUN0Z-gy9-uHHGg,Hero Wars Web,https://i.ytimg.com/vi/7AHQl_wcUmk/default.jpg,N/A,22,False,PT1M15S,75.0
5,1dtzSRlfBDk,Incentives Ad (Monster House) All Pets Desktop,,UCMMkOy1OtB1OkjB6PNTk9Sw,AdaptedMind,https://i.ytimg.com/vi/1dtzSRlfBDk/default.jpg,N/A,22,True,PT2M45S,165.0
6,0P5OGExLfYE,NIVEA LUMINOUS630,"قولي وداعا للبقع الداكنة الناتجة عن التعرض المفرط للشمس بفضل
NIVEA LUMINOUS630 !

: زوروا متجرنا عبر الانترنيت 24/7 على الموقع                                                                          

https://www.jumia.ma/mlp-boutique-officielle-nivea-luminous/?utm_source=referral&utm_medium=partnership&utm_campaign=nivea-luminous&=youtube-preroll#scrolldown


Dites adieu aux taches brunes causées par l’exposition au
soleil grâce à NIVEA LUMINOUS630 !

Découvrez notre boutique en ligne 24/7 sur le lien suivant
: https://www.jumia.ma/mlp-boutique-officielle-nivea-luminous/?utm_source=referral&utm_medium=partnership&utm_campaign=nivea-luminous&=youtube-preroll#scrolldown

#NIVEAMAROC#FACECARE#INNOVATION#LUMINOUS630",UCB3JXW5sQznbHvRRjy000oA,NIVEA MAROC,https://i.ytimg.com/vi/0P5OGExLfYE/default.jpg,N/A,24,True,PT31S,31.0
7,PDIsOIK6zGM,Fulfillment in Europe - European Fulfillment Center in Spain,"Fulfillment in Spain - we store, we pack and we ship in Europe!",UCukqnombq4GLlZeK_7vQUwA,European Fulfillment Center,https://i.ytimg.com/vi/PDIsOIK6zGM/default.jpg,N/A,22,False,PT1M34S,94.0
8,1rAgIaxYm3A,Nawal El Zoghbi - Rayto [Official Music Video] (2023) / نوال الزغبي - ريتو,"Written By: Mazen Daher
Composed By: Fadel Suleiman
Arranged and Mix & Mastering By: Omar Sabbagh
Directed By: Fadi Haddad
Produced By: U Music

Digital Distribution @WataryProduction 

Listen to ”Rayto“ on all the digital platforms: 
https://lnk.to/Rayto

Subscribe to ""Nawal El Zoghbi"" channel for all the best and latest official music videos, behind the scenes and live performances:
https://www.youtube.com/channel/UCqFBD6pWYqaZ1I2VLaSxFlg

Keep Listening to ""Nawal El Zoghbi"" on:
Anghami: https://play.anghami.com/artist/302
Spotify: https://open.spotify.com/artist/1KqJqf6cDp26AtuXFqrJaK
Apple Music: https://music.apple.com/lb/artist/nawal-al-zoghbi/14715658
Deezer: https://www.deezer.com/us/artist/407332
Youtube Music: https://music.youtube.com/channel/UCVAUyEbRLnfsfrucT1wfeuQ

Follow ""Nawal El Zoghbi"" on:
Facebook: https://www.facebook.com/NawalZoghbi
Instagram: https://www.instagram.com/nawalelzoghbi/
Twitter: https://twitter.com/nawalelzoghbi

Lyrics | كلمات

إنت بغرامك هالقلب صايب
دايب عليك وآخ شو دايب
لو يجمعو قلوب الدني بإيدي
غيرك ما برضى أي بدل غايب
حدّك أنا بدّي العمر كفّي
إنت بِكفّي والدّنيي بِكفّي
زايد جمالك وبحياتي صار
ساحر غلبني بلعبة الخفّة

ريتو ما يبلى هالحلا ريتو
إنت اللي حب كبير حبيتو
إنت حبيبي وبالقلب موجود
إسمك حبيبي عا ذوقي نقّيتو

بعلمي أنا اللي وعّتا إمّا
إنو ما أوقع بالعشق لمّا
لاقي حبيب بهالدني لكن
وقعت وعقلبي ما حدا سمّا
بتعرف ب إنو عيوني بتحبك
كل ما شافوك بصير بتلبّك
بتعرف بإني صرت مغرومي
بشكلك وروحك يا حلو وقلبك

ريتو ما يبلى هالحلا ريتو
إنت اللي حب كبير حبيتو
إنت حبيبي وبالقلب موجود
إسمك حبيبي عا ذوقي نقّيتو",UCqFBD6pWYqaZ1I2VLaSxFlg,Nawal El Zoghbi,https://i.ytimg.com/vi/1rAgIaxYm3A/default.jpg,"['Nawal el Zoghbi', 'Nawal Zoghbi', 'نوال الزغبي', 'official channel', 'artist', 'songs', 'Arabic', 'music', 'Lebanese', 'مطربة', 'فنانة', 'مغنية', 'لبنانية', 'nawal al zoghby', 'nawal', 'طرب', 'أغاني عربية', 'جديد', 'new', 'nawal al zoghbi', 'nawal zoghby', 'nawal el zoghbi', 'نوال زغبي', 'new nawal', 'new nawal zoghbi', 'جديد نوال الزغبي', 'rayto', 'raytou', 'nawal rayto', 'نوال ريتو', 'ريتو', 'نوال الزغبي ريتو', 'nawal el zoghbi rayto', 'nawal el zoghbi 2023', 'نوال الزغبي 2023', 'أغاني نوال الزغبي', 'new nawal el zoghbi', 'arabic music', 'arabic pop']",10,False,PT3M40S,220.0
9,hHF-FRKOmmY,Good Quality CNC Machine Supplier -- China CHENcan CNC,"CHENcan® is one of the leading large format CNC solution provider in China, providing a complete line of 5-Axis CNC Machining Centers, CNC Mills, CNC Routers, and 3D Printers. For over 21 years, we have dedicated to providing one of the highest Quality-Cost-Ratio CNC machining solutions for our clients. 
More details, contact us www.chencancnc.com.",UCpxVuSEBk542zs0YO_n-thQ,CHENcan CNC,https://i.ytimg.com/vi/hHF-FRKOmmY/default.jpg,N/A,22,False,PT29S,29.0
10,XeAIA1_1APs,أجعل زياراتك اليومية للتسوق أكثر راحة مع هذه العربة الرائعة,"للطلب اضغط على زر ""اطلب هنا""
أو عبر الموقع :  https://shopbigmall.com/lp1/shopping-trolley/adw/AW-10833921260
أو عبر الواتساب https://wa.me/212660137819
أو الاتصال بالرقم التالي : 0660137819
التوصيل لجميع المدن المغربية
الدفع نقدا عند الاستلام",UC0KHShl0XuQT-8cgO509aAg,Shopping Net,https://i.ytimg.com/vi/XeAIA1_1APs/default.jpg,N/A,22,False,PT26S,26.0
11,obuuEGFDEV0,"Vatika Henna Hair Color | Natural, Safe & Ammonia - Free",,UCJi2iXWRwORHl2yXkQRlTcw,Vatika Arabia,https://i.ytimg.com/vi/obuuEGFDEV0/default.jpg,N/A,26,False,PT30S,30.0
12,zR7-12NSMlo,hw_mightytower150a_h_en_60,,UC-Q7nMi5vUN0Z-gy9-uHHGg,Hero Wars Web,https://i.ytimg.com/vi/zR7-12NSMlo/default.jpg,N/A,22,False,PT1M,60.0
