,main video url,main video duration,video ad ids,ad skippable,ad counts,total unique ads,banner ad img srcs,banner ad urls,sidebar,in-feed
0,https://www.youtube.com/watch?v=CoqTMFENkbo,125.561,"['i5fIB4Gqaec ', 'EHxvnhw1Uyc ']","[1, 1]","[1, 1]",2,[],[],[],[]
1,https://www.youtube.com/watch?v=JycXUQx9Nik,1109.341,[],[],[],0,[],[],[],[]
2,https://www.youtube.com/watch?v=yWpY2GlFoTM,660.0,"['Puh2x-UKXIY ', 'gRpp9tVpeIE ']","[1, 1]","[1, 1]",2,[],[],[],[]
3,https://www.youtube.com/watch?v=LE0ByS-MoYA,467.721,['YXgXw25E5RU '],[1],[1],1,[],[],[],[]
4,https://www.youtube.com/watch?v=MfolYPNoOIg,136.701,"['1dtzSRlfBDk ', 'EDD3gjuX3sE ']","[1, 1]","[1, 1]",2,[],[],[],[]
5,https://www.youtube.com/watch?v=Lq3GZnwIJmM,2065.541,"['B3sBWB-fyPE ', 'aO3AJ7SMUUI ', 'AkFDrd8MOB0 ']","[1, 0, 1]","[1, 1, 1]",3,[],[],[],"[{'Img': '', 'Title': 'Keyframing in Filmora', 'Channel': 'Wondershare Filmora Video Editor', 'Link': 'https://www.googleadservices.com/pagead/aclk?sa=L&ai=CJYSTwuhjZIHEFvCj6MEPoIWhuAXMzoGmb-fI1KzPEMCNtwEQASAAYMkGggEXY2EtcHViLTYyMTk4MTE3NDcwNDkzNzGgAcOBj6ICqAMEqgTuAk_QtERhMGmO9f46y_SBQ4Q0oeQXzG2HXNdFkyTv-yfTpgZKPP4tRcE6xAz1MEtEc9TZSWSwkZZJb-TE_pxX7rxETeNScvXESiutcQvJ3I7PYQM1ckcms4VH17WUcXM6JPM2ecVpNwrbv4SQRa1yPu_th1EkmrCs3fntvr90KdOnG7vjG0sV0BoE-bl3DyUkgsss1SmVcoz4gT-Ez5z8k_Xq6NejQhr0do5ZAjNMmTqy3gR5OK8lCeIJjfFPYVaEJhj7HDRXnZJ-qcw0drfMAa2VKbJSxk8lr4KAIqSRT9S0gkFd9DGwGEz6OlrImOxysXSt8Jzkj8lsHyxqAzQxjp4H_TncmJztP85olJbQZFAbcsZifDffve8FzahI13OhTj6Xwu7aWoJhNmU8tXneyDTpFQoS6xRqKG4ribpnlyDRtXUic5Xr6ELGQW-7RyLwEqPxVaBO56iTPDp6GCJzHg65RRX2_Qk9cGrkJivlz5IFDAgSMNusleCi0pHiU5IFCggTaAJ4zMyX3gOgBlWAB5i3_8YDkAcEqAfnnbECqAfonbECqAfwobECqAfvobECqAeCqrECqAeECKgHqNIbqAe2B6gH4M8bqAfp1BuoB4zNG6gHsdwbqAekmrECqAeRn7ECqAewm7ECqAffobECqAemqrECqAeBxhuoB9XOG6gHq8UbqAec3BuoB-adsQKoB8ifsQKoB7ehsQKSCAtVOFJHa2l3RlZsc6gIAdIIGAiAwYCgAhABGF4yAtICOgiAwICQgICABvIIH2NhLXl0LWhvc3QtcHViLTU1MzM3NTMxNDk5ODcwMTKxCVIgzNXkju0NyAkXyAmPAZgLAaEL-NRRSKHpljG6Cz4IARAFGAYgBigBMAZAAUgAUAFYC2AAaABwAYgBAJgBAaIBEgoAWAFwAagBAZgCAqgCAtACAdgBAYACAYgCBNALE7gMAZoNARO4E____________wGwFAHAFYGAgEDQFQHYFQGYFgGAFwGKFxQIAxgBIAEoATABOAFAAUgBUAFYAaAXAQ&num=1&cid=CAASFeRo1OLrcHFd6Ufo78cfbc-LqWlBMA&ad_cpn=%5BCPN%5D&sig=AOD64_1UXUUVXgx1YKHa3jaFwM4bAhqsZQ&adurl=https://www.youtube.com/watch%3Fv%3DU8RGkiwFVls&ctype=21&video_id=U8RGkiwFVls&client=ca-pub-6219811747049371'}]"
6,https://www.youtube.com/watch?v=_QBRr6PkS08,138.0,"['bD36W_4C3dc ', 'DKNWDOYPbG4 ']","[0, 1]","[1, 1]",2,[],[],[],[]
7,https://www.youtube.com/watch?v=pn9dURRfRoE,457.0,"['vJobSVitRbo ', 'POmJSqVnGSI ', 'Ea_t_TkoImg ']","[0, 1, 1]","[1, 1, 1]",3,[],[],[],[]
8,https://www.youtube.com/watch?v=BqXWH19G6NQ,150.0,['3mB25Gk1QH0 '],[0],[1],1,[],[],[],[]
9,https://www.youtube.com/watch?v=T23cIBYy36U,148.541,"['kXpdYYnR8dY ', 'nYBO3hgfl3U ']","[1, 1]","[1, 1]",2,[],[],[],[]
