,main video url,main video duration,video ad ids,ad skippable,ad counts,total unique ads,banner ad img srcs,banner ad urls,sidebar,in-feed
0,https://www.youtube.com/watch?v=K0HvvjeaTco&ab,298.0,"['7k0Lq8Jqk6Q ', 'KrC0pPv1RwY ']","[1, 1]","[1, 1]",2,[],[],[],[]
1,https://www.youtube.com/watch?v=tn-Y0Rr1JLQ&ab,189.621,[],[],[],0,[],[],[],[]
2,https://www.youtube.com/watch?v=metpFkwRmps&ab,246.781,['TzsQq1Ri3oc '],[1],[1],1,[],[],[],[]
3,https://www.youtube.com/watch?v=p7_EemV-k6s&ab,213.261,[],[],[],0,[],[],[],[]
4,https://www.youtube.com/watch?v=GcYXuQPlRvw&ab,223.261,[],[],[],0,[],[],[],[]
5,https://www.youtube.com/watch?v=43rGq_Mum5Q&ab,295.761,[],[],[],0,[],[],[],[]
6,https://www.youtube.com/watch?v=kMstrkv7Twg&ab,203.781,[],[],[],0,[],[],[],[]
7,https://www.youtube.com/watch?v=0PSXmLP12XY&ab,130.181,['hlWK3UKvW8A '],[0],[1],1,[],[],[],[]
8,https://www.youtube.com/watch?v=52RG2JGhuBY&ab,162.121,[],[],[],0,[],[],[],[]
9,https://www.youtube.com/watch?v=X54vAwRUfso&ab,278.161,['BdhAepVzgK0 '],[0],[1],1,[],[],[],"[{'Img': '', 'Title': 'Meine erste Barbie Episode in voller Länge', 'Channel': 'Barbie Deutsch', 'Link': 'https://www.googleadservices.com/pagead/aclk?sa=L&ai=CB4bWAeF6ZMSZOPyM6MEPy4us-A7Kq6fvcNqU9-bcEcCNtwEQASAAYJWipIKwB4IBF2NhLXB1Yi02MjE5ODExNzQ3MDQ5MzcxoAH91LPDKKkCuHfyXPX2sT6oAwSqBMkCT9DZe9E0FjTK5slvt04XN74MdGLysXCgImKj9Re2ZiNe-PHWQO9Pec49Gpd_pKF8MMEaPAY_S8sKi-gzr78Oi_uhJmKcC43n6eP3awR1-caZEOABNnO_rkf4ftjONw5KGDIfkcTatoPIJjcpQMZPbWmS-k-aA7cgH2U6fP32jSgASqlOIseuRMwNx_ERoxArRCaSlOPu0t3ocr2jwtaBhPhacvTlSUC0TZsbj-0d3FVrfXKityfIlPzwGlv6VPDW9RHuw-BDm6NwObt1dmjjj3sjtapX_zDiM50CspWOkwn-2FQnjqK2kknK2W6F_8Z6vZTZ-bgGb5ajrdQHpkjxBFWLsFYbmIF-gcdrNTxydGvHWWPt-E7OSvEdhiaXSV54uNoCuUGfN1191EUrwIeXJhfoOvsADBC8pzQEa5aRFtHkuR1wJ9nv242IBcjVjaxLkgUMCBIw_oDBl5a5w4w1kgUKCBNoAnig9POlA5IFBAgDEAKgBlWAB_2MhKMDkAcEqAfnnbECqAfonbECqAeCqrECqAeECKgHqNIbqAe2B6gH4M8bqAfp1BuoB4zNG6gHsdwbqAekmrECqAeRn7ECqAewm7ECqAffobECqAemqrECqAeBxhuoB9XOG6gHq8UbqAec3BuoB-adsQKoB8ifsQKoB7ehsQKSCAtOUmtOeVdMd1FINKgIAdIIFwiAwYAQEAEYXjICogI6CIDAgICAkIAG8ggfY2EteXQtaG9zdC1wdWItOTI5NzAwMTYyNzg0NzA3NrEJ9CtM90zWoiXICRfICY8BmAsBoQsAavq_L5BhAroLOwgBEAUYBiAGKAEwBkABSABYC2AAaABwAYgBAJgBAaIBDgoAmAIBqAIC0AIB2AIBqAEB2AEBgAIBiAIE0AsTuAwBmg0BE7gT____________AbAUAcAVgYCAQNAVAdgVAYAXAYoXFAgDGAEgASgBMAE4AUABSAFQAVgBoBcB&num=1&cid=CAASFeRoZZs0G1bsM7-x0geMAknzx0M90w&ad_cpn=%5BCPN%5D&sig=AOD64_2jUDdPXcbAGiFU8vLjIQ58e6mlNA&adurl=https://www.youtube.com/watch%3Fv%3DNRkNyWLwQH4&ctype=21&video_id=NRkNyWLwQH4&client=ca-pub-6219811747049371'}]"
