,main video url,main video duration,video ad ids,ad skippable,ad counts,total unique ads,banner ad img srcs,banner ad urls,sidebar,in-feed
0,https://www.youtube.com/watch?v=ch5xj5wstMw,816.0,"['ggg57-VBjfY ', 'W8amwBmutvA ', 'qQ38edZdkoo ', 'wS6lHja5R_w ']","[0, 1, 1, 0]","[1, 1, 1, 1]",4,[],[],[],[]
1,https://www.youtube.com/watch?v=FhVLNkSqkYs,607.061,"['s-hK8stBxo4 ', 'KEiy-_Wdtn8 ']","[0, 1]","[1, 1]",2,[],[],[],[]
2,https://www.youtube.com/watch?v=J0LNpnD1u2U,625.021,"['y0fgcGu858k ', 'j55oJ8NHXlw ', 'gzPhNmmnPGs ']","[1, 1, 0]","[1, 1, 1]",3,[],[],[],[]
3,https://www.youtube.com/watch?v=OK5t4IpXSKo,756.821,"['ec1-rs1qFE4 ', 'pKnpOH5aemo ', 'aMQrGDsK5-0 ', 'IYy690eJYXg ']","[0, 1, 0, 0]","[1, 1, 1, 1]",4,[],[],[],[]
4,https://www.youtube.com/watch?v=ap4YKU173iA,558.621,"['zYd2Xln-PVs ', 'WBMPfAsravk ']","[0, 1]","[1, 1]",2,[],[],[],[]
5,https://www.youtube.com/watch?v=VsEP8ALBYPs,940.0,"['gXBMJBzWpZc ', 'femh7vUPvqo ', 'dRje7cZhls4 ', '7G53XSJiPgs ']","[0, 1, 1, 1]","[1, 1, 1, 1]",4,[],[],[],[]
6,https://www.youtube.com/watch?v=nGoY8JhF3W8,740.021,['UpxUMf4i9CU '],[1],[1],1,[],[],[],[]
7,https://www.youtube.com/watch?v=_e6yZgnUEd4,1414.0,"['wS6lHja5R_w ', 'yPFTHg8U4aQ ', '5FqwvAaxqC0 ']","[0, 0, 0]","[1, 1, 1]",3,[],[],[],[]
8,https://www.youtube.com/watch?v=H5umehycNwg,69.321,[],[],[],0,[],[],[],[]
9,https://www.youtube.com/watch?v=F0_dIiyvVvI,605.081,"['ggg57-VBjfY ', 'dRje7cZhls4 ', 'GAf7eq8TkDM ']","[1, 1, 0]","[1, 1, 1]",3,[],[],[],[]
10,https://www.youtube.com/watch?v=AKR1ey-Xgdc,98.481,[],[],[],0,[],[],[],[]
11,https://www.youtube.com/watch?v=5q_4ZMpwNyY,635.0,"['bgG-2tO4K5I ', 'GAf7eq8TkDM ', 'DLz6BXzi0h0 ']","[0, 0, 1]","[1, 1, 1]",3,[],[],[],[]
12,https://www.youtube.com/watch?v=LPypGxJ3eJI,824.181,"['Qlj8qCgknGU ', 'zYd2Xln-PVs ']","[1, 0]","[1, 1]",2,[],[],[],[]
13,https://www.youtube.com/watch?v=7J7l13y_jN0,398.061,[],[],[],0,[],[],[],[]
14,https://www.youtube.com/watch?v=a_FiuHOiJiY,229.781,[],[],[],0,[],[],[],[]
15,https://www.youtube.com/watch?v=plmw8CB_4xM,815.021,"['RBNWrSdbe_Y ', 'nhhX8vieWbg ', 'ggg57-VBjfY ']","[1, 1, 1]","[1, 1, 1]",3,[],[],[],[]
16,https://www.youtube.com/watch?v=5-ZPzkFgFqA,815.741,"['3ZFWKk7Fv0E ', 'uMrFUwjk7gA ', 't7mKUNGAltw ']","[1, 1, 0]","[1, 1, 1]",3,[],[],[],[]
17,https://www.youtube.com/watch?v=nzM1s52MHYg,293.0,"['ZdEEAtokL-g ', 'XQEdLrYweZE ']","[0, 1]","[1, 1]",2,[],[],[],[]
18,https://www.youtube.com/watch?v=7dnLvW5Iv-E,493.021,"['e8rdPR9tm3g ', 'dRje7cZhls4 ']","[0, 1]","[1, 1]",2,[],[],[],[]
19,https://www.youtube.com/watch?v=UaiONhrKClA,867.0,"['wS6lHja5R_w ', 'Y9NV9V1T49I ', 'pKnpOH5aemo ', 's-hK8stBxo4 ', 'WT5vpyIx9lM ']","[0, 0, 1, 1, 0]","[1, 1, 1, 1, 1]",5,[],[],[],[]
20,https://www.youtube.com/watch?v=ZlOWVCA5MzY,291.281,['ggg57-VBjfY '],[1],[1],1,[],[],[],[]
21,https://www.youtube.com/watch?v=uNDHPtWxncA,756.821,['ggg57-VBjfY '],[1],[1],1,[],[],[],[]
22,https://www.youtube.com/watch?v=BqBuG2hHVTQ,292.0,"['LfCDmK96RfA ', 'pKnpOH5aemo ']","[0, 1]","[1, 1]",2,[],[],[],[]
23,https://www.youtube.com/watch?v=vcYiybsRPJ0,95.361,[],[],[],0,[],[],[],[]
24,https://www.youtube.com/watch?v=Vab-5lRD3S0,452.061,[],[],[],0,[],[],[],[]
25,https://www.youtube.com/watch?v=LfVFW_rv-OA,625.021,"['O-Gvr96sO-0 ', 'gXBMJBzWpZc ']","[1, 0]","[1, 1]",2,[],[],[],[]
26,https://www.youtube.com/watch?v=KDkhNT3wpb4&ab_channel,690.0,"['ec1-rs1qFE4 ', 'aCF6JXLTOPE ', 'dRje7cZhls4 ', 'RBNWrSdbe_Y ']","[0, 0, 1, 1]","[1, 1, 1, 1]",4,[],[],[],[]
27,https://www.youtube.com/watch?v=83x0Y2-biqM,183.321,[],[],[],0,[],[],[],[]
28,https://www.youtube.com/watch?v=jpmVq5Wepd4,885.821,"['VVDTZzPkTPw ', 'dRje7cZhls4 ']","[0, 1]","[1, 1]",2,[],[],[],[]
29,https://www.youtube.com/watch?v=1hCgSSfPA2g,751.0,"['bgG-2tO4K5I ', 'GAf7eq8TkDM ', 'dRje7cZhls4 ', 'VVDTZzPkTPw ', 'IYy690eJYXg ']","[0, 0, 1, 1, 0]","[1, 1, 1, 1, 1]",5,[],[],[],[]
30,https://www.youtube.com/watch?v=3EUX3y9hyjI,578.0,"['Xck1GHa8D2o ', 'femh7vUPvqo ', 'pKnpOH5aemo ', 'YxgjC2AH0kk ', 'QowjhxuLU4k ']","[0, 1, 1, 1, 0]","[1, 1, 1, 1, 1]",5,[],[],[],[]
31,https://www.youtube.com/watch?v=vcYiybsRPJ0,95.361,[],[],[],0,[],[],[],[]
32,https://www.youtube.com/watch?v=KOmZrGeyoBI,168.061,[],[],[],0,[],[],[],[]
33,https://www.youtube.com/watch?v=0wzpPYukxbU,790.461,"['UmpAPT3j98Q ', 'Vh_4s8rY66c ', 'GB6LShOj4EE ']","[1, 1, 0]","[1, 1, 1]",3,[],[],[],[]
34,https://www.youtube.com/watch?v=_6dqSkE5vEY,713.981,"['ggg57-VBjfY ', 'j55oJ8NHXlw ', 'gVSwW54UmX4 ']","[1, 1, 0]","[1, 1, 1]",3,[],[],[],[]
35,https://www.youtube.com/watch?v=mbFL8jjXyqA,776.0,"['INkjYWOo7So ', 'RBNWrSdbe_Y ', '9ZJ2QLVZLMM ']","[0, 0, 1]","[1, 1, 1]",3,[],[],[],[]
36,https://www.youtube.com/watch?v=cazLd6gaLbY,291.201,[],[],[],0,[],[],[],[]
37,https://www.youtube.com/watch?v=DK-jGEcY4dM,168.061,[],[],[],0,[],[],[],[]
38,https://www.youtube.com/watch?v=cWGo1tJqJXg,115.701,[],[],[],0,[],[],[],[]
39,https://www.youtube.com/watch?v=uUqBNRUUVM4,223.641,[],[],[],0,[],[],[],[]
40,https://www.youtube.com/watch?v=25jHtR9x1Ds,314.101,"['PNWEMUixyzE ', 'Gwl3HdDkRdc ']","[1, 1]","[1, 1]",2,[],[],[],[]
41,https://www.youtube.com/watch?v=b_iyfsH6tuw&ab_channel,776.421,[],[],[],0,[],[],[],[]
42,https://www.youtube.com/watch?v=j_tyyvVVwHU,475.0,"['XQEdLrYweZE ', 'MO1V-iezJfs ', 'zAAuHsY5baw ']","[0, 0, 0]","[1, 1, 1]",3,[],[],[],[]
43,https://www.youtube.com/watch?v=8pWzBQ9tZUc,827.021,[],[],[],0,[],[],[],[]
44,https://www.youtube.com/watch?v=F2--yrkAtO8,690.301,['wS6lHja5R_w '],[0],[1],1,[],[],[],[]
45,https://www.youtube.com/watch?v=nkwRyfE67EI,209.941,['Oq1cYjTmelk '],[0],[1],1,[],[],[],[]
46,https://www.youtube.com/watch?v=_BAf-ybiLOw,407.141,[],[],[],0,[],[],[],[]
47,https://www.youtube.com/watch?v=wcOx8saL5-w,827.0,"['bgG-2tO4K5I ', 'wS6lHja5R_w ', 'ggg57-VBjfY ']","[0, 0, 1]","[1, 1, 1]",3,[],[],[],[]
48,https://www.youtube.com/watch?v=GpjPsIzGRY4&ab_channel,780.061,[],[],[],0,[],[],[],[]
49,https://www.youtube.com/watch?v=N0gttvG9y_8,552.661,[],[],[],0,[],[],[],[]
50,https://www.youtube.com/watch?v=4x8Nu2PYUUo,671.541,['5FqwvAaxqC0 '],[0],[1],1,[],[],[],[]
51,https://www.youtube.com/watch?v=mFAQr2nv2B0,693.381,[],[],[],0,[],[],[],[]
52,https://www.youtube.com/watch?v=fWQqVc87vXI,700.021,[],[],[],0,[],[],[],[]
53,https://www.youtube.com/watch?v=ZOzuJfg0usI,630.0,"['EXZunOo_tEA ', 'PnDOAKPb7dI ']","[0, 1]","[1, 1]",2,[],[],[],[]
54,https://www.youtube.com/watch?v=fkualPBp4-g&ab_channel,776.0,"['lM01TQKLYF0 ', 'cqX9yekkwVs ', 'T-jqJzRz_Ic ']","[0, 0, 1]","[1, 1, 1]",3,[],[],[],[]
55,https://www.youtube.com/watch?v=yoreD-kbmOw,650.661,[],[],[],0,[],[],[],[]
56,https://www.youtube.com/watch?v=4x6DPsWe52c&ab_channel,780.0,"['TjTOG8bm4KM ', '3DSRKTHSfWU ']","[0, 1]","[1, 1]",2,[],[],[],[]
57,https://www.youtube.com/watch?v=_ipdXHswiYc,776.0,"['NsWt1CUg6Jg ', 'cqX9yekkwVs ', 'ttOwcQaEzX0 ']","[0, 0, 1]","[1, 1, 1]",3,[],[],[],[]
58,https://www.youtube.com/watch?v=6oa7oUXpDXU,949.0,"['4vW9a2tgiS8 ', 'ybG-qZttyjY ', 'FkjGcvNBCuo ', 'bmEmgo8ssL8 ']","[0, 0, 0, 1]","[1, 1, 1, 1]",4,[],[],[],[]
59,https://www.youtube.com/watch?v=OcuFA6MQcWs,565.701,['IO-kDXScZCQ '],[1],[1],1,[],[],[],[]
60,https://www.youtube.com/watch?v=phRNBD6c2n8,3442.0,"['EJagv5vBZ2w ', 'Oq1cYjTmelk ', 's-hK8stBxo4 ', 'K00EqVb4W-I ', '4vW9a2tgiS8 ', 'AxgN3Nn0Hg0 ', '2vB0QVTvz54 ', 'bmEmgo8ssL8 ', 'IYy690eJYXg ', 'QbhIUDODqVU ']","[0, 0, 1, 0, 0, 0, 0, 1, 0, 1]","[1, 1, 1, 1, 2, 1, 1, 1, 1, 1]",10,[],[],[],[]
61,https://www.youtube.com/watch?v=b8zyL2RfrOU,790.461,"['ic0D1pzrIdM ', 'dqbESjSy4qM ']","[1, 1]","[1, 1]",2,[],[],[],[]
62,https://www.youtube.com/watch?v=95yDHjxRo0E&ab_channel,700.0,"['XQEdLrYweZE ', 'h9YijRr8Kew ']","[0, 1]","[1, 1]",2,[],[],[],[]
63,https://www.youtube.com/watch?v=-NEC_OpPhyw,369.341,['4vW9a2tgiS8 '],[0],[1],1,[],[],[],[]
64,https://www.youtube.com/watch?v=ilRvGHHpyDg,758.721,"['HUorJQebtGA ', 'j55oJ8NHXlw ', 'bmEmgo8ssL8 ', 'kB4ZaJQwpTE ']","[1, 1, 1, 0]","[1, 1, 1, 1]",4,[],[],[],[]
65,https://www.youtube.com/watch?v=8EtPVMPnDG4,775.941,"['zuA8Dbj3VYA ', 'HBDaHjQW0lI ']","[0, 0]","[1, 1]",2,[],[],[],[]
66,https://www.youtube.com/watch?v=N2dQepFeedY,749.941,"['s-hK8stBxo4 ', 'bW-SSb6bz6M ', '4vW9a2tgiS8 ']","[1, 1, 0]","[1, 1, 1]",3,[],[],[],[]
67,https://www.youtube.com/watch?v=w3yg2FpKStA,493.341,[],[],[],0,[],[],[],[]
68,https://www.youtube.com/watch?v=05yMNoOPAFc,1093.061,"['f8CI0b99ieQ ', 'zpifMjj-5WI ']","[1, 1]","[1, 1]",2,[],[],[],[]
69,https://www.youtube.com/watch?v=ooWTGQNYiaE,248.021,['ULLhYIdpdZw '],[1],[1],1,[],[],[],[]
70,https://www.youtube.com/watch?v=yETKAKzd860,946.0,"['zuA8Dbj3VYA ', 'bmEmgo8ssL8 ']","[0, 1]","[1, 1]",2,[],[],[],[]
71,https://www.youtube.com/watch?v=Ijkw_xZrxE8,314.101,"['sd84bsRWSLY ', 'hyQCo1jHU30 ']","[1, 0]","[1, 1]",2,[],[],[],[]
72,https://www.youtube.com/watch?v=ix6kO2o1_jI,708.621,"['dRje7cZhls4 ', 'zpifMjj-5WI ', '4vW9a2tgiS8 ', 'QbhIUDODqVU ']","[1, 1, 0, 1]","[1, 1, 1, 1]",4,[],[],[],[]
73,https://www.youtube.com/watch?v=9n__hhygz1A,784.921,"['FkdBbpzFpqo ', 'tLIS4p1jZ40 ']","[1, 1]","[1, 1]",2,[],[],[],[]
74,https://www.youtube.com/watch?v=35OVcioB5Bk,651.0,"['wS6lHja5R_w ', 'ybG-qZttyjY ', '1tEvevI6_S4 ']","[0, 0, 0]","[1, 1, 1]",3,[],[],[],[]
