,ad_video_id
0,c_kqo39UIr8
1,hJ2UmBqP1aU
2,6_-rTRfH2FA
3,h62L9Al6pyQ
4,H3QcKR5vIr4
5,WBEwLwreX-g
6,GnymbIhPyxM
7,L84EGi027OQ
8,zTIdVh7t2W4
9,sAF3BKHheTc
10,ls-5Z6IsK3I
11,pA7tvN7zwyg
12,HV6N6IKBJ9M
13,mEmV3aPKo3I
14,wMKvGAHJ-t4
15,foFeXhEc0wI
16,4ciwW5Qdzwc
17,Magi9oDBcf4
18,1dtzSRlfBDk
19,5O_Ato83aUg
20,bQES_F6c7c8
21,tqO3affWX9g
22,Hxy0AEktdaQ
23,ynFF7R1da8w
24,ZVzP-G-bDmA
25,h_4gdzkWzCM
26,Tr9xWcn2jdI
27,m2JlmfB9DJs
28,UGD4NQDIhko
29,I6HFNRdrx38
30,FmUGrLo5Yjg
31,lH62LDVEdWc
32,tUNcPrRHD9k
33,6hzPyBNoXNw
34,wv68v_2XSB4
35,srsDcnlPeOo
36,XC4vIvBBRls
37,lqmcxjb_5Eg
38,8Hk-eDwlIvw
39,aeOTILojd38
40,iqr7NYQEvYI
41,TTDutQ1FoZo
42,J5g0B3sfOI8
43,AvXntekzuWM
44,so9E513lLFw
45,McqNypaj1uY
46,wB0D4KI5Qxo
47,nOxZiav_pv8
48,q0S8wQNK-pE
49,AgUXf1b4GIo
50,b_p4Fd5jgxw
51,Vi01wGdyLys
52,KkpYvdzpDSI
53,_skr2ry5Efk
54,Mq2gkxpvI0c
55,rP4Y3aEVGSw
56,MNgFELH4KyY
57,3XwCyfrCplI
58,_LMU8ehlctk
59,yhHeNYI6n60
60,3-zNe4zdOFU
61,7bM14r3eP_0
62,WXGX9c7WBBk
63,v8-9NMB1a7E
64,-8xuko7PTO8
65,Oo43l0fMcAg
66,KXeTb0qEdbU
67,Z4bkszzj-lc
68,7LCndXtkTQU
69,6vZzIQlTzVA
70,Jm2FtxPupS4
71,L62faWn-sa8
72,p0yfY5qWOBQ
73,10NuWGwQBIk
74,pqXx6V7XSiM
75,3RoG1Tx1tgI
76,34u1sOLrgVo
77,asxeoJNgr8s
78,LanXh3xjk_E
79,HsPEbp18Rog
80,6B18zyv7TCU
81,ZdAb9Ipn9xs
82,6HBiawTZ4wc
83,spZmTy3mLa0
84,Fzf6BSbINPQ
85,3uJw2Gh_lwk
86,aIdykBglBpo
87,r8W3vpotuTY
88,BEFjnwlJs5w
89,cdxgmugZMws
90,E6qv4L0itvA
91,6NodSJBtZqM
92,rwdLyzYmQDY
93,62fhnp6Ywug
94,dr-Jh-Q2M6M
95,5A1LAX7sEMw
96,3yrHQfIgkUg
97,sFqmxtQkgrc
98,_m8EwrVwzLo
99,1sShSxgIjWg
100,aNbVG5pilO8
101,-6dleqTJs0o
102,g9Fvta7RCrM
103,ofk4EX1_-RY
104,yTmbVk1whg8
105,6Jftr2jDBdI
106,1fpZrgAOOKg
107,BILwMq8heEg
108,wzgKO-QZ1cU
109,ZIlihJvmhVk
110,jiqt2Fs6Ws4
111,vfXa8FYrrc4
112,53xUYob6o2Q
113,0itlxgJCbyE
114,7rgkHKmUPGE
115,yBuNDyga8xw
116,z1m1g4pHg84
117,IHcdHuAdNNQ
118,NS8gVtKHlF0
119,6UdvlHZXPKg
120,V18FtTASIhY
121,fJXHJoekXV8
122,iL7hb8SVQ-k
123,PNLjw8ZS6IU
124,-wDPSzN3d1Y
125,TnQNJxl-uKQ
126,r2SJZir8zis
127,CDDaI8G4Yzg
128,Xh1JjomiWaA
129,Nq7-5uLIj9g
130,vKp2YdhnOFM
131,kWgpgGMM5Zw
132,LJ_o_ZeuXDU
133,xJFSnkwE0Ao
134,4MBFlvPmaJY
135,plEpVlDHZKo
136,5iPuRx1aEP0
137,bN0O7BTSaXA
138,C4eImvXoQ78
139,2BE3xMLNfUM
140,ZhCIXJD3rlE
141,k-rZbeZ7ofk
142,nbdseLjx87Q
143,y7GxO2N-z2E
144,fvYpJpRPkqo
145,LQYoreruLIU
146,jge_7LY6nGA
147,JTRrOVJooYQ
148,H4IaloVkfbc
149,Jz85z2g0Dy0
150,z-SJEwyKRo0
151,3DWXbIDZfRg
152,k23XmtlRpqk
153,9pGJCXS3i5Q
154,zNsgbp21FfY
155,fOdo1GkzZAk
156,wfxjuFAvdTM
157,yiYI8AW8Juo
158,r9xAjyyqCHQ
159,LiijunvHHQ8
160,QxW7vB9HWmU
161,ytxBLEGRh34
162,9u0J7rPvXnI
163,VYOIyzA9JD0
164,4M3co8W1zZ8
165,Q0U2zgipGlw
166,SpIoK6iXPfE
167,LUN9TWbOgXc
168,ppld4dlZTzI
169,O0nzNip2KjY
170,yhRb6o-8DSY
171,5_fp6OVrQek
172,3TycVod42zQ
173,gTQddBYiHOM
174,2yQ7JnrdO5A
175,GsOh-Kvy6pE
176,7LzSw5cHSfs
177,d5WnunFXMBU
178,LXDLd1LKq7g
179,6LzGnUhlsDs
180,mbNpLxPBKpg
181,0iJyIFOaKgc
182,q2YOb6K1qMY
183,j55oJ8NHXlw
184,BEoOOCd9OKE
185,L0xubZaNNgk
186,-Ui1fJcPod8
187,GIULJPu8RnU
188,CiRQ3tOaIxA
189,iiB0m3tADRU
190,n1uMusIM9AA
191,JTxDEr8LV-o
192,27EZWduOKos
193,8AKVhsxjtP4
194,7odlKJmADjg
195,BI1vSTb-VzA
196,aigl0HZO49g
197,RyRv1VmbxBg
198,6Dz0NB7XcN8
199,fkRxcQo5420
200,q-jrhuKvJZQ
201,WW4OV5xlLtA
202,9WqaRVPEUwc
203,kOQfZl9d1Uw
204,pVQzRnbk9jk
205,hKo4hq5ir6w
206,W4KpKRAt89E
207,Zgy3yiELJKA
208,schg8G9kVaI
209,LxLB3tII79Q
210,5XWIusZXsW0
211,cLXbzi8rC7s
212,4yd-zCjrM9o
213,3vXeaauiX50
214,W5sPZdpIQy8
215,JtNs1oeNhwU
216,HJ3wvVx2INw
217,5oaHDxK3MBo
218,1g4KBnVI8hs
219,HNzm1VGs4Ig
220,zDAAofaGMDw
221,pkh1qXYhoRk
222,8v1l97dY4KQ
223,LeX_UIMGQAA
224,_ZvE8vIkpWY
225,9-t35hefEQI
226,JG0iBZJtw-M
227,7d1XSMM0Qm8
228,d-4Zs1eeVLw
229,1GLo7TbWR2g
230,RJ-CbvS8gag
231,nxz59CCzFYs
232,YyDHfOv9GlM
233,fNanZs3k9NA
234,O_GVDaYLtJ4
235,VzeKZ_49K8c
236,6YXGkrXctLE
237,OBvT-GIacpE
238,SeCYy7SvBFI
239,L9QTT4zg6vU
240,OtznsUupZJM
241,egf6ijcd9ds
242,yhRhOpjpAMc
243,aIN5gWvIKvE
244,vZ4Bi_9ViP0
245,jPX2JY4Za38
246,eSQancwNo8E
247,I8dvguGONfE
248,fY1iPBWGxfE
249,tFOfWPEUaAc
250,0sz2aOuYOvU
251,NiQZ3NbRpwc
252,ns61GnCnpMg
253,QtOemkWSzOI
254,B6ClL-XTlrc
255,X_NQDvcNXpA
256,e-4Pkeuths4
257,YddOwinqzGY
258,CBbhJUUxRKw
259,PeGn6YwIyF4
260,hdCTIhY-52Y
261,tWfOXPparbk
262,c2CP6IhXO9c
263,sgY6Gx7o22s
264,QG_UrUXAVT8
265,7RYH2fqK8eE
266,jYKWjdVauUg
267,IwQeU1WJhH8
268,RCSC2jGDBos
269,4lJwi0aJt-8
270,QEOLc30idG0
271,DCIVu0nOh48
272,4tvtYAMPsxI
273,vb_-LSdG7YY
274,M6SaS-1t94c
275,4cvhk9V9fjw
276,-aQHtWYUB1A
277,gBXZamxrhbc
278,66xN-llcaZQ
279,mA2yRfp76_A
280,O0lMj_ur4mA
281,CBwmhPTYgBo
282,nblfBPFIa0E
283,TWsambmmUxs
284,oNQTXw-zMag
285,k2AWuvxP1sQ
286,L3p74HLw_8M
287,kYG3qryo9sw
288,3oynCski7Ns
289,a5pQPgoNP7Y
290,FgmZUfDFk1Y
291,nmxekS2Gk1U
292,HNh0AAg8CuM
293,qxHc3zDXjjo
294,Xq4hSkcuLCI
295,6rtJtAQEoJc
296,01Jqh2veeYc
297,-f69srbfzZE
298,zXOoza3sxiw
299,M-RYPktKLmo
300,l8otXmBNXVA
301,u6B18MxmzlA
302,yhT87HNT_LM
303,y2DHF4AFMHI
304,6XZg64tEF4c
305,tvZmbvOnXQ8
306,FkXlV-v7uSs
307,kp6g-Lgti4U
308,9hTXrRZQLM0
309,fu5Na9dizrs
310,ptsW-MZtEng
311,7Q4Gy9lyS08
312,LvooQvrOxys
313,_5RG1BhYtz4
314,kio-GvJRkZo
315,dOeRq9b9-uU
316,h5ULXlpOEr0
317,nQl1kcT7Kkc
318,-xHou2dIbY0
