,ad_video_id
0,bQES_F6c7c8
1,DwNatxJHBGo
2,W-Ardr2Oeu8
3,nOxZiav_pv8
4,VMulqQDWDbI
5,9SJMjAqe6J4
6,Kp44T_rGZ98
7,x7ZA5_lD8mI
8,9KzmHSOlvng
9,34u1sOLrgVo
10,T5PSSGXascc
11,U2xmfJEUQgQ
12,k2GNcev8kaA
13,VbNWceCA31Q
14,7pM9ItUtWeM
15,qmInuV9B1d4
16,-6dleqTJs0o
17,9CvLVLrzro8
18,xQhOCdnkYh0
19,q-NVK13mzcA
20,wMKvGAHJ-t4
21,Hxy0AEktdaQ
22,1dtzSRlfBDk
23,QScWs4jsMW0
24,3QZ_BkJDBb8
25,-bBQvEo02CA
26,-QFqUSTt8IM
27,sjsghUoy-d0
28,XlUrLwkXTAc
29,SaOd0DC-tD8
30,rffvbECTzkY
31,M880b1yqy4s
32,gsXOUOlnot8
33,Y3Ymm8j15K4
34,lgh45wEHyP4
35,VYQPuKvmTHM
36,A4hniRECcME
37,SNUCYMMDqqI
38,UEyxJP1Nssg
39,w6TwSpuhA4g
40,GChWEIEWdp4
41,rN5YCNZ9K0M
42,BFK-4Saok6o
43,YVUwLB2_7Fc
44,DoOweIO2Czc
45,kFn7BtiLaQE
46,8u_jzS1APjs
47,MpszGxkLGEY
48,CpYoMDK3XIs
49,XEJu8DKjj20
50,tzJIIi4Q1m0
51,MgIsckApoHs
52,Oc9vA7cjAA8
53,vtMyHw9OpTE
54,ei1H0pX9iZg
55,H04TCxLTgvI
56,Lrgk65yn3d8
57,YDJcbH_HgjY
58,lQWhcfM6V-k
59,oMupLmuPuj8
60,0kt6Vc-tmpU
61,Uix8kB4TPnY
62,8IK_PecdXmc
63,gRIsS2GwuBA
64,ZTUoDmiUzRo
65,OHiotm-WzYE
66,oWCK5j_XNbQ
67,i--qBLB_Wfg
68,rbqiDETBsyc
69,VHFlPRdeSQ8
70,lXLT25mCiKE
71,T5Mgj5fI6gc
72,lu3jxD-nzSQ
73,egz8WFlk9r4
74,u4I93RiV0w0
75,yRQWFoyFuWQ
76,Pgbaen2eXB8
77,X2pnuCvs7c8
78,Hgge3iTiJfY
79,1dDNuWywXdA
80,slniKxBEVSA
81,f0h2FRK_HjE
82,WuQPgslOExk
83,5YUAQh0NemA
84,NLeg435A9CE
85,K77-yXo-0r0
86,OKE1JmVIi_o
87,NY3dMQeV-nQ
88,z2su3BKlbj4
89,9aJIa5iJkWM
90,YZXSDz2nc_o
91,QNXeE1ehBh0
92,qWFcB3ZqYpQ
93,YT2Tcehr36Y
94,r4q8RrVQEcE
95,TjxskTJd9eM
96,zz1xcDrqplM
97,CxUcLE-SuqE
98,c7kUBqwvuQg
99,96CgTFsdjJQ
100,gUrEMgV-rV0
101,TlWQUx7dRxg
102,BNYSEpzgdDA
103,ctt7UuK0yLE
104,zlVtzB4HN28
105,5ODxRNXxoWg
106,vEx_ygFUZqE
107,dTyc7gG7szc
108,zaDth3Gsl8U
109,oWbhqm4zjP0
110,stZF4lcAAjU
111,I4FM2nhMo6E
112,QD32dTMemkI
113,-l7BKQv_CIc
114,16frQEcxeeY
115,2ntIi23mRTk
116,fOdo1GkzZAk
117,y7sMr3EXLwY
118,S1t90ucM-54
119,PoUvDV-wRkk
120,kQ01TEjln7U
121,tYKduNKGmUI
122,EwcalNeQp6s
123,JpNCpykjPqk
124,DoaYEnxbOeE
125,L93BUjHLgCk
126,Rr2i3L5LgeQ
127,2ORtf3b2NJU
128,1UKKXFir0Cc
129,0I5z4YcjBTU
130,t02fDghn-t8
131,pF42nmrP6d4
132,5708Yvss0bo
133,CrM0k0bJ73Q
134,MA4I7SwfLEQ
135,Mw6ytQMQGNI
136,a3jqI73JMLs
137,8sLS2knUa6Y
138,NLZYlTZ7xto
139,F8RezGsOVho
140,VhHE1Cog4MM
141,KjK06CxurgA
142,fP9Zw0Qbg8I
143,QsDLXpIH9Cg
144,BqQRPRNRZ3U
145,MISqtaNt1vg
146,acHWusVlU_M
147,ZelVyOCWqAU
148,Ucog1ghGMUM
149,JUo8SAJXS_I
150,DR4ytzPOAlo
151,sKKRzx6GXv8
152,KxWZp4uOQAA
153,BBv-yWjHehY
154,hPhHF6uCttk
155,gIBKqh_OMYc
156,WCjFo-mbE1g
157,HDrqtgQVTgg
158,iU2rMRZcn1U
159,cAMHx-m9oh8
160,zLE2AdYO0M4
161,SMVfsCiguRo
162,xbmDg5mnaps
163,vPwNZ_4cvQ8
164,SPcyXSmnnEI
165,CVicaOPYO8k
166,Bt_cDnlEeoo
167,LY6ZmEGlsTQ
168,vkBR70LAMuE
169,-fcdpZdnRPM
170,TljfaTh6-hI
171,-JlqGqRYKcw
172,gBaZV7qB-sc
173,hssveOP_8uo
174,ol65vGzjAv0
175,morS4Hb9HHo
176,c46Psa0YiuA
177,Kc93ILm-_CM
178,Ovz4PzLbaj4
179,0fxHu4MVujg
180,sb_W-blUXY8
