,ad_video_id
0,hgjNGN7UNR8
1,NEliG_wYYic
2,kpDl6K2uRb8
3,Afb1c6vDkmw
4,atE1zCE23e8
5,Cm-FBnVQ5yw
6,B_HPCuTw7Ps
7,ZIlihJvmhVk
8,bQES_F6c7c8
9,EPz4eo2HSbk
10,xis-u5vGsFs
11,vXC8d9tfFBY
12,N9o-YzKcvKE
13,1Vjhcjq9c8Q
14,K63LtubqNKE
15,wMKvGAHJ-t4
16,-koeCj6mPVo
17,gE6ohsQdiyk
18,BILwMq8heEg
19,CptNKHajiMk
20,5d4y_3j3N_E
21,1dtzSRlfBDk
22,KCuji3qWmZQ
23,Hxy0AEktdaQ
24,sFdKlSQKUXA
25,YG8GVvWzmiU
26,ggYOG2-m8Jg
27,Qf0IyyBcG-c
28,JwE0HDhUBNg
29,S_5KRKd1ifo
30,rc4e3EPKXys
31,3ZFWKk7Fv0E
32,ttOwcQaEzX0
33,eDbizobB4cY
34,uIpwvHXm0do
35,d9SPayPA0Co
36,OqGmZFiZDT8
37,MpFx9BWzrJ8
38,yoseoGqKc8c
39,NmKL8hq4El0
40,KK-lKMteE4E
41,Fzf6BSbINPQ
42,KmdBo7--oqQ
43,OxFvMqEBmpQ
44,c1D_6-RFhC8
45,ayamCB0kINw
46,-bBjmpW76H4
47,-oS66OR0DjQ
48,NJYYseJfask
49,IxzkXzmNxCM
50,VzLXl_cZjVQ
51,34u1sOLrgVo
52,ygJN6flMcqI
53,8N_kmGoROQQ
54,7K4CDOxK-f8
55,uUiNpIctGow
56,4lRv4Iv7WIA
57,YOOZH2oI07A
58,_y2CaMwwymE
59,hPU9FY0DATI
60,-tp43AxnO18
61,AFLRSFqcqiI
62,zlLaQSSV2bk
63,IXf-qkSRER4
64,l8_JVbBQGi8
65,dnLinECk01g
66,23qjg7kcLk4
67,Imlwc6AB5R8
68,nGfcfLt3Aro
69,6_-rTRfH2FA
70,8ypZH-bSqno
71,KMfRgxuhTzc
72,oC8J7BnW0-0
73,XnQmfKR1rJ4
74,AO-PQu2uoGQ
75,ZiG6_qOoWOc
76,CjVaMGx97qQ
77,xsJoxAm31nQ
78,cpKJWVPHMfk
79,TZNRLDrwtI8
80,-7mSXKxLcMA
81,S07Jw63zp-o
82,nOxZiav_pv8
83,VzWlUcoxvmY
84,I9lMQ7jo3m0
85,-4okerAjycc
86,yLSOcKmWvAQ
87,NEjtT-18lwI
88,u3G5zR3a-XQ
89,kXz2t48t4zo
90,arkz3a6cRfc
91,9suvAhpbQXo
92,BXGXV5N1eKE
93,1eZsBXISbTI
94,4QEaEgj_bz4
95,fFtaNMPNv4k
96,EQbT2Usi2iY
97,-8hb56xP_Z8
98,XfhRPZprDa4
99,BTpKhsOV2Pw
100,TvCJk1CWiSE
101,KXLgI6h3FQs
102,dh33LgiFZtc
103,2uP7iKtRLRY
104,3sHJMZhJ9Ow
105,_JVlq6z_aGo
106,xACunz5Owuc
107,QahROQ0QOSw
108,8iWD7UtQ0H4
109,rFgBGGMv1kE
110,Zh2mcgM-APM
111,pQCEjKkSvdA
112,HHLyLhaLybE
113,qBq83xuwq4U
114,qI-Kwgk0hsQ
115,fOdo1GkzZAk
116,0Ahim5aJmp8
117,MFciThGsY4s
118,jR-gYFNLVxs
119,6__mSOfmq4E
120,ohTGoh6wFOw
121,z7HeRmSIA9o
122,kiQJIb4dZ5I
123,6xnbGZADld8
124,UuVZrrO3wHc
125,mjxewpQ35wI
126,SznZQ968H78
127,c0JoY05GDww
128,5zl9griwpHM
129,uT3X3lWQkZ0
130,BtrXmISKGuk
131,88by4J-ufTY
132,Q3IZ_njcyMc
133,b-_3iyF9RnA
134,0do7UojnECU
135,jZnmUV4eZew
136,rAZ1ky2kzFY
137,SHqsuu1i81c
138,pNNEnG7yDjo
139,1G-JMUbv8Os
140,x87688smkAA
141,cwcgn1MMMOk
142,kQCZdCqMnl0
143,UBvDEjqlYlw
144,IFUn373eiXA
145,DGDrkv-3L0s
146,H4KUH9keX3Y
147,zmm0ME1QZ9k
148,RTMiACyItPM
149,cGoIOvxD2rA
150,5OinM-Qxwhw
151,PK4YNR7jlsE
152,H5bXx-L6koA
153,1ukwVGn_v-s
154,Ml20zvP_uVI
155,2VY2FWTUi-Y
156,1cDeAfoe8H8
157,vyn3ErKURCA
158,xDTVvN1HpIA
159,4FWCW3T9n7M
160,ERNCT_cYCdI
161,3Cjc3PsVLEQ
162,VUXzKs2jGpw
163,3pLbcWC12Ow
164,sBvw3som2Qw
165,jNe1gIKrETg
166,yj6HCBFc0Hw
167,F3dDHDF4ZTk
168,Vh_4s8rY66c
169,PmKJQyA8IoY
170,qhvwsEkd9iI
171,dtwFPBY7zdo
172,Y4q5vI3pfHE
173,fbrYdYk6mRE
174,lpD5S3gCDZU
175,OCL0ew1n-6o
176,F4dLefOYUIU
177,p1MaI8tYl50
178,GW5kGGbXDrc
179,FOjro-vK1PY
180,3-cAaUy9q5s
181,e08cYB9K97c
182,DE_Q8nFmko0
183,VxOpAILi20Q
184,kUbFzG5dPa8
185,qXciDz26gZQ
186,oGdJGsmw3Tk
187,F_u203QGvWI
188,juv7jiH6Buk
189,-F5YRmzWY-M
190,I_C1NBLvcgw
191,3yqLnwf2ORE
192,ozedJXVSVQk
193,iCKsGTbd4Dg
194,-Yzi707xf5Y
195,Tn9WmqyoH-E
196,i8K9tIf89JY
197,BoPjJn83yXQ
198,YlYGBPh2j30
199,duj4ZLK5mEs
200,k96F2_3WYY8
