,ad_video_id
0,UNk8YilXVQc
1,fOdo1GkzZAk
2,Fe0Yn8O5kNw
3,3hJawHSCqfg
4,XzFLa8aR12c
5,Ws3V7A6gepA
6,bQES_F6c7c8
7,4uEZzOMBbus
8,3S13NGzXhj4
9,fysVod7eanc
10,1dtzSRlfBDk
11,wiCoUwtw7l4
12,ySmihdz6MFc
13,0p0Ip9K09B4
14,SswRvbJlmCQ
15,nOxZiav_pv8
16,v8UkcODWhAU
17,vOoJVWITR-E
18,AtDwRIp91tc
19,MiNZLkGhEOE
20,eB969B8OQFc
21,AE9BTVpyuuQ
22,ZelVyOCWqAU
23,3vkgNy8mgwE
24,J9h3vC1WM4g
25,4HtoyJ68Pro
26,zpjtz3wCWnQ
27,6zP_KnLDHGY
28,mF7FvOe1MTc
29,TxLrHB0Ogas
30,cAMHx-m9oh8
31,kmdwzPH9T_I
32,u9PcmUSr3TQ
33,c0JoY05GDww
34,LU1wQ9xP2dI
35,D2OFZhYs9jY
36,gJY0MyGDru8
37,dxHh8vifYJ0
38,2fp25a5eoVM
39,0-671kdnP5c
40,idBh9yDZd2o
41,c7e4ktm7otA
42,fnMwCP9Wljo
43,2S1SIRHDsz8
44,Ix-mCljuPgI
45,Szt7IphR5HA
46,JKXAX40agNM
47,Hxy0AEktdaQ
48,nxsgvdqhMJk
49,f8RyNW07Dso
50,Ez7AZWa_hfw
51,oJOKRI3ThwA
52,fZfOEBQsJpc
53,lVEiZUq5dow
54,Ijwq-tTAwGg
55,rss4fwYspec
56,n4VmTxvEedo
57,WhQfqd5WpE0
58,tDKWhvlUmA4
59,7KkPDl0a6V8
60,yGhg56aq1nI
61,t02fDghn-t8
62,EfFuL8XEn-Y
63,99nUfBVgA6E
64,-I0Yj7NLxu0
65,KXv3swGWvSY
66,2iaE1ayfc1I
67,ynOtYmpZxak
68,NRk2CH0gIeI
69,Ux9HOt0twoY
70,XinhiEXV3UE
71,1syUmlPYvdA
72,MISqtaNt1vg
73,m7RrQTP51aQ
74,0KRF7JPsQSo
75,6S4fZ7atjp0
76,aAGZzkyAQaY
77,524IYIf07EE
78,PX6n0upPVoA
79,eCXqMHPlaoE
80,V2vcFHLUAX8
81,C5M7YUxHZZc
82,3iVNxOrrtLw
83,4XjPFzefWhk
84,NvYDEN1m_AQ
85,NjgqRS1ZpZY
86,X_LKGwM0He8
87,Q4A13weeYNc
88,ciBYXhBGZx0
89,Aimd6ZOY3m0
90,07JGCc2n9iQ
91,rNoGVKHAud8
92,drvkOz-2bDY
93,0Ahim5aJmp8
94,7JRAwn40q_0
95,I6PSyvWiD-Y
96,Ixo7QTX2Xgk
97,6z90tA5_Vlw
98,66xsCTz7Luo
99,DAp5f9GaxM0
100,ZYO9LyvARwM
101,8ypZH-bSqno
102,TP9sWpfMTpM
103,1SzADSaEB8g
104,M5tAkwK_FgY
105,4gPJcamEUpE
106,vnoIflFPx_E
107,tRUtoAw_e8Y
108,WilnmR4lX6k
109,FtbiSbl_5KE
110,8wYSPQp8jNQ
111,59JHu2voGZM
112,DyIMb0oO8Qw
113,5JysgNEAe44
114,cTR9djV91pU
115,ndAW3VgSdb4
116,brGcBfpqLSs
117,FbH_LCxiIVM
118,Ou6aoi8oylQ
119,u8CL8Zgmv-w
120,zWZEgEjNjx8
121,NXsN-3R00OQ
122,eNTohrsr7m4
123,Qf6mnCY2pKk
124,CV4fQ_BPraE
125,SqV6nXx22Rk
126,97C4VnI0oXc
127,QDCjl8AebT4
128,_AyNlth2XIU
129,0I5z4YcjBTU
130,mLVEM5rdS-c
131,639ATgYAP0g
132,PfB8vsFm2Qk
133,1NGP4bhbzR0
134,9s7ym96C9uk
135,Ril7ROmazvQ
136,tiOk6kAjlJs
137,RQ5wXpePzGE
138,FnfyZyXdjFY
139,gbrqzWNvriw
140,pV5r5yMwz1c
141,OmPQSY_IbJw
142,DzUgCln0WWY
143,Vdr4_LDtCss
144,tTGWp4jvx48
145,ci_U3H-mL0M
146,OuUPTy4i4Oo
147,rBy7zFDDspM
148,34u1sOLrgVo
149,Eq1wBOY25ak
150,nNydFpDWY6k
151,TZNRLDrwtI8
152,Skc5cIf1-OE
153,5KJMNlLgBWc
154,5qt9KyoX1PU
155,P-hCNCUT_gU
156,xFU0M2cl8FM
157,Q4LQi6Vp13k
158,UtEoi-vI7s0
159,yZYuyoWc6ZI
160,mHGbPJ2tY90
161,U3PTLHaeZSM
162,fUMyW153aUc
163,c1-w-tamCeM
164,TjxskTJd9eM
165,DeiFjs7gFyY
166,KjK06CxurgA
167,CnZjeTc1ps0
168,R_2dY1reH-Y
