,ad_video_id
0,RJjfACkbhv8
1,g_qO0fcqKCk
2,nXgNvvvxUd8
3,8MQ0p6mNccU
4,rg2aZV7UmEY
5,KdU9xHBcafI
6,3P1VvqqiVjM
7,9WuiTpFRjBM
8,opNK4iEb5RI
9,MX_307s6-CE
10,hhh4S_LtCyM
11,D25XFwlPxhU
12,rEgOwG3aKNc
13,dSEL_7__Clc
14,g_UwapIcPPM
15,DJ29aNbaVUw
16,JyU27baiE5c
17,UmXXzO7xs9s
18,aAI1aYieI7U
19,xbi5T4cVZ1g
20,C3f2Wy_ejcI
21,OCLazxIy0WM
22,JsOOis4bBFg
23,PiubytzLmOE
24,oWbhqm4zjP0
25,p3M02xT9dA4
26,xqMha_x6U_s
27,qYr6UhlAC-4
28,3116XH-dqO8
29,P4BYDo8b6qM
30,gFN0zeQUf_0
31,UUxJlzEVicI
32,pHDt9MALFhc
33,X1iQ8GbQEHY
34,tY_CyFmMDFE
35,HQRv8ppYxos
36,bQES_F6c7c8
37,CkiLXvRxfhA
38,ucE5VXW51tQ
39,_4ecS3YN150
40,u_iMibw8dKE
41,1dtzSRlfBDk
42,lllasGckgT0
43,HxLVoQM98xE
44,tQnz_XdWYfY
45,jTudg6Qu0fY
46,mrWhoeOiZVg
47,XFiXpi9Q1mc
48,-kGC-gustpA
49,QQrL-dvevKM
50,YsbcuirOiaA
51,TjxskTJd9eM
52,CxUcLE-SuqE
53,639ATgYAP0g
54,a9RalTVpotE
55,MjZkmUrqdHY
56,IEuh17Uik7k
57,ellAUet1RRk
58,Od5zyGTKJos
59,JWpxZS0bpiM
60,UjSU8dL1Ak4
61,vP3Mtics0-E
62,LsU9wuqg8wQ
63,OncmY2TJKps
64,GgwiXCm_HjM
65,-VLuAbSwfvw
66,ewBAfUWPFU4
67,wnpNJTYI2kQ
68,hkeAZyhRvNM
69,nOxZiav_pv8
70,YgIU77KJoXo
71,RAVwQ2aCAEU
72,m7STSpzapgA
73,EgVdeVvQ8yk
74,HXmejgokKAs
75,APq1yCB8-Cs
76,iNA0HvT6oio
77,3zCn5KW0fU0
78,KJ8CdoBQnXI
79,5WJpSAWtI_4
80,wh2WWQlJH9c
81,EwfdED4AQ0Q
82,2XKb-_PIYtg
83,bN-yM3Obh2c
84,S8d_ntH7OSo
85,DEjgK96R0GA
86,88-At_qSBn4
87,JODnaRXljW0
88,tQk6tR89eb0
89,sKKRzx6GXv8
90,p6aw8mqT_fM
