,ad_video_id
0,7k0Lq8Jqk6Q
1,KrC0pPv1RwY
2,TzsQq1Ri3oc
3,hlWK3UKvW8A
4,BdhAepVzgK0
5,aYNbC3-76kE
6,rdeOQS4boAA
7,1KcrecLB1Iw
8,mfVnAbV_JHo
9,rXjhDWK-GzM
10,2AD4yRPRFnQ
11,5Ox8wzzWYp4
12,oqsjlvY6Mvo
13,bxMkgGl-1Ns
14,FCLkQZK8u3A
15,kaVcteFA6pw
16,5qEKAECJpiI
17,rH7rC3bsx7w
18,Zfy5q7z7bM0
19,9RmQnIbDttI
20,yNMfKKv7E7s
21,PLg_cijRcUc
22,yx8qIn-_aHA
23,RSdSmr-2xWg
24,OE1KlfN3P6o
25,0F95YWy9des
26,8MH3Kbb--us
27,HFlVf_sW4y8
28,xUmXCrS-Eak
29,FmppPuml_gU
30,FwuE0YTYO90
31,7G-noqiV6U0
32,Y7I0tVoV6ac
33,VAlIsUKLmcc
34,gbXxxupgL_g
35,VsSE-PTdmwo
36,FJP7PpJGJ0Q
37,bYEnuy0KEog
38,xu3F9-b-Kuo
39,ewti_wm92Qw
40,42uydRH19Sc
41,5dDjQ3FmGxY
42,OtOigw2BsCM
43,bUZJ_sk-oyc
44,8bepIdZSBgo
45,v6S1_f5hW1g
46,UsxFpC2P320
47,HTCyMb06nm4
48,WRLtqwT4kHY
49,04JUMueQnns
50,gDPCpab4d28
51,ofvm_yNuMg0
52,OBUeGODFO9g
53,Cz0MFOdENHc
54,MfzXVjV90rE
55,qWhj4qq3uXc
56,nM9Of6fX3wI
57,IBygTTdDO7c
58,8_iSFbqndO4
59,Y2StdhQOEXo
60,ZaMNmlVdxEM
61,Led__Ol4WDE
62,a8Rt2EOU-rw
63,6T4NjOTe25w
64,OmS1h6FavB0
65,ts2Ndv35bl0
66,WEljhxbBDsY
67,clxkfQq192E
68,_xaY7l6zIVI
69,en2deJgDen4
70,aUzaR66-xJg
71,eBvCo1ImAH4
72,xlo5a96XFPs
73,YRY3KVvGEOw
74,v8R6eLngGhk
75,rZze9ag4dPs
76,HPju28Slh1k
77,J1Puc4-cGXQ
78,9IwqWcQqo3k
79,lUNLXqgIIKY
80,MCS77oF45pY
81,WAVSUwy-UFE
82,MD2ribzjJdw
83,f4M8mKcWYbY
84,hZRa0rJYJoQ
85,ooHYuWktWfA
86,rUC6VmZNFbs
87,_I2ZErT1vB8
88,lLYGsAEeNlw
89,zpbmMMXsAbI
90,G_yw6M841A4
91,GccX3iAajRI
92,eWgYo55oOQk
93,MmWuvW-3GKg
94,-9qlQ3KDuwk
95,0ynf9UdE49A
96,MbpgCuplfuE
97,g77I4cEz7o0
98,UIbxjXEF5Kk
99,ZyVePu0tlk0
100,80JDlAheU5M
101,5D5wk_DSxqs
102,eJ5FpTltXZU
103,-VN-kkZOWss
104,Y48liWNx2yQ
105,WKXktlYwHnI
106,UEOZYNvAmBo
107,wMKvGAHJ-t4
108,u304MggBuFs
109,x05W1QYHkZ0
110,RPG9k9A-_EI
111,X2vZ45N40jA
112,mRM_WtAO6DI
113,40PbrDzcd9c
114,YaowoX5kZ7A
115,8sN_qoejXiI
116,FNMGCOZs5cY
117,T318UTSkd2U
118,5Jew3ePmvbA
119,LecXbioVG14
120,bzDD8ItXmXY
121,tZDL7aR3Hdg
122,Hcjf0BMmaEs
