,ad_video_id
0,NIIAMAlQfXM
1,2ZQMZKggf-w
2,FBhXBSMPBIs
3,UNgTc25GfqE
4,7AHQl_wcUmk
5,1dtzSRlfBDk
6,0P5OGExLfYE
7,PDIsOIK6zGM
8,1rAgIaxYm3A
9,hHF-FRKOmmY
10,XeAIA1_1APs
11,obuuEGFDEV0
12,zR7-12NSMlo
13,y23TEVYJo28
14,ndlOQLdrc6w
15,c7DXf_MDoBQ
16,UMMahJmVm58
17,UNIH4MDMOko
18,s-hK8stBxo4
19,QDrNLfZe8tU
20,uzlrhq1DVbs
21,wMKvGAHJ-t4
22,YQwr3ldtL_0
23,Hxy0AEktdaQ
24,ZSpkPrOezDY
25,a352rj-2heg
26,E8AkFNlbE0g
27,fOdo1GkzZAk
28,gDm6-eLClFU
29,0KGU2pvnYgQ
30,CxUcLE-SuqE
31,peB7AxBWJjc
32,e1jhITLMBLM
33,25CTmfakE0w
34,Hmc_66CUjBg
35,kWuGFW42Vjo
36,HfCHvD9pISI
37,Dk2anlJ-TX8
38,U1lBjrkc64E
39,gWOLjye_M98
40,GuQFBO27N4s
41,d7_R3Tf9rSc
42,JRwI_9MUggQ
43,mDqjcBgdKvU
44,qCVsliRfse8
45,YxgjC2AH0kk
46,_licfbVDSFU
47,3_HD_ndZnFQ
48,h2kqeFzUmk4
49,Pg4R-rMPNPk
50,MtOl0yTsdoE
51,8QV-sqFx9is
52,_akeek3zTa0
53,Vvs8P816Ut8
54,2Hc1OjFxv-M
55,mM89D7_Fo3M
56,eoq-jPn6quQ
57,u727VQHbAlo
58,IRMOmgwdP-s
59,9f3PBrD_HXU
60,TITlnP1wz-s
61,Thd0ytC77V0
62,EZKhTwS3cVw
63,CY7_jubZ5EM
64,gi3v86GGFS8
65,Am_A3xHQbnM
66,Xuu7Q_UGU_M
67,RsXSuM1silc
68,qNIgGkNMd1I
69,PJWE9RV0Ut0
70,MH0yHPxZDYg
71,nOxZiav_pv8
72,AVzDeCSXjJk
73,muYBmNwrC1A
74,FFEPPZu2tFA
75,2FRCJIGzIok
76,DQLQE-gjUoc
77,arrcOsc-DTY
78,iyygZJMIlbg
79,uZ1WUENox-I
80,HEpYBZVVe6A
81,DdSY3NAtboQ
82,lIEevJ3td5Y
83,loGvvHIG3kQ
84,BEiktqebOiA
85,guSK2ypeUwU
86,T7IYeXzNce4
87,9YWUqlgQnWk
88,ICTKhr95XAE
89,0ssIF4S-phw
90,q9BqjQZO9DI
91,5IweIDfW_Ws
92,HSzfq4aGECQ
93,pxy849Tlmw8
94,G-dh_L1Mah8
95,3_31hMRUT3Y
96,Tu_r1RhtMaM
97,arUgPA2ztMA
98,af23BtFBkvo
99,xQOBkMe5uOk
100,YZUYFX0Avt0
101,XDrxAPGnCUs
102,TuEV_YMJQhE
103,blYu5bRrMSI
104,bQES_F6c7c8
105,heIo1r78YZ4
106,xfedYImS2Dk
107,oWbhqm4zjP0
108,5-MP30epvIw
109,K_LfSldpyGU
110,MUlCcY8Bfk0
111,OAHjT4EMCvU
112,4OXu6LxWBsE
113,rSickeJuceE
114,DBZzLD06Ogg
115,TU6flY0QdPw
116,5FxMDTgh1Qg
117,U5GQxZQLnOU
118,58nGTplkrl8
119,Trm9JwF-zXk
120,s9VKBnVdfOQ
121,3L7TDhXxJXY
122,E1xQ_Ykxv-0
123,DbOZGqx7mZQ
124,9w23J5SQkQo
125,U1_LF1VkEjg
126,Zo0CoC6Cmnw
127,6jOlKKzYnZo
128,TPwfnuiPylM
129,MZ2BxkfWuEg
130,qLaog_g56X0
131,vCCa5qbzRb8
132,K3jQy4a2wUw
133,MPLWw4-q93U
134,Z_zPF3e-byk
135,sX8F0OOgjK8
136,loCI-H0Q8Bc
137,-EoD6eetxxc
138,XfqXC2DN7dI
139,tQk6tR89eb0
140,PcYtJRSMXGM
141,orUpjQ_K4WI
142,hJFryqrTxmU
143,mQi7jyTQYXU
144,NsHiu_FxcE4
145,T4CSrcvDvUM
146,DEjgK96R0GA
147,_HUvFBI9eTk
148,dfIvKla5bew
149,ZM4-AAdOgJo
150,s623SVMgrCM
151,OGrIg7S4d4c
152,audcEXFTYnY
153,Sh45ARO-Vzg
154,0aqbRxiDjPg
155,YZvjnBkroJo
156,BPI_NYvo1cs
157,n2RXS1u7Spg
158,_szuVTzbM5g
159,80Ix2aHGwO8
160,94Tz9L2ft8U
161,vGLs1L60oG8
162,E2XUmg1Dll4
163,hs-EoczNRo4
164,yrsdBBs_tag
165,JGolv5Pi9Yg
166,LES-FOwK6PM
167,T6RWrolRR80
168,QrYIOjs7K8E
169,Lm7g849RtkU
170,_PmFP2jsXM8
171,RWKB6yNyAMg
172,5MkzBHAqeR0
173,MjZkmUrqdHY
174,cxtjQHQnYcs
175,FwZ_45B8OiU
176,o9D6xmOGyW4
177,eo90vN-56T4
178,xS62mFy9Po4
179,woxEq60K7hI
180,vkY9K2cy69A
181,yGTdJau-7mU
182,-VLuAbSwfvw
183,M35KpBHeRXw
184,nFX-GWQjeeI
185,YXgXw25E5RU
186,yUVJLYndRx4
187,0ufSoTDQFoo
188,2oAirpNXxIY
189,aRdn5VK9Ag8
190,mHizTw_GKGY
191,wET5doW5SCw
192,xSDIr5FgdLo
193,Nls5C1theNM
194,GdRpST6yE_U
195,LsepJIzOD4U
196,MwECfTmFyMg
197,aqykHkZ5vBI
198,6cZnRXITFvs
199,Y1aP7G0vNg4
200,uj1Ge213HhA
201,udNcin69XAE
202,zg0O6p-sfmE
203,IkyTgjWS484
204,D44zVCnTiIM
205,WxGTEmicixs
206,uVEuXE6dOOY
207,bLfdbNfs3Js
208,AVRRMmg7rnY
209,MXA7KZ1rBz0
210,VbDJW-ktTpg
