,ad_video_id
0,nw4usfg8z3s
1,5IcAsUnVXfs
2,fEe5QCRJiCE
3,_FCwqB7wJBA
4,WYDk5kbbsHo
5,h8_iBoGxDjE
6,VxeT4KiLYnw
7,NvhTO2eOULI
8,2VpEGg3EdXY
9,YNt-AuVraKU
10,4ZQTZNnIOdc
11,qLGZbo_YjqE
12,imqiCsmdhPc
13,ACmiCwq3WMI
14,RkL3YP2usOE
15,QMO0v386OUE
16,oWbhqm4zjP0
17,1dtzSRlfBDk
18,tq3vbJhfXr4
19,NF8pXXVzbXA
20,oEaucVYvyNc
21,ruF5Noqn6Rw
22,4cFzr0_S19M
23,xWGIhigpI_A
24,Ls07fEP9aXs
25,EKJ-ivwfbMw
26,FYIDBhtSuzw
27,XDnwfv8zp9s
28,Etvl8z6CNOg
29,zlVtzB4HN28
30,ZWRkNUWEooU
31,o4qx-tZUUfE
32,ISQmLEJ3jUU
33,EVQZJ8sHBK4
34,2S3BH3DGtTI
35,IZztwWFVvdk
36,xVkHIB1HR74
37,Dag3bf4Jt-s
38,Q1bhWjVrjlQ
39,iQRupvJLXvg
40,R31f6oVGp8E
41,4g8Jd9EGSFk
42,2E3MGTVPego
43,tRAzdprnNNk
44,lDxgcYFVmrU
45,mBhrqfCaCFE
46,h-nhJamKAMQ
47,kHkYUmvmT6Y
48,DPxwoi7cLUM
49,LHpjtxOhRUM
50,634JgqPP2dQ
51,3IgwyzD8cQA
52,lTbTfNXyd6U
53,Hxy0AEktdaQ
54,9DruMGx2mNA
55,E5Igdeq-6lY
56,UjtTw99FBGY
57,TTZIUnhmyps
58,52RG2JGhuBY
59,VLQDPs5P3ig
60,s5j8G0Fbask
61,JuNzYzIXcJY
62,dYFnY-QZuUg
63,-ll9RelW_QI
64,6cqjBjmORZ4
65,qnBGKbLab1c
66,GML6jl_Ohzo
67,f7_CBM5ro70
68,Hq521Hsxzrg
69,K_BVirVhkS8
70,iP69G8_t5GA
71,08_d4byzPcg
72,BlQh_YJHbGw
73,sA0-p2Wukwo
74,BjoOUjZ3x4k
75,9YXd0T7_idA
76,3kjQ8OuAnz8
77,_rrErcP4E5Q
78,bkttDNQq370
79,UP2FtbCBjZM
80,PH8fXOAFxRY
81,YS2SEvQcGBw
82,NuKNRFi-sJw
83,9e_cbq2ks-U
84,976W2UzTlrQ
85,N1bAF_htR08
86,uF9vqe8GLUk
87,K37YkZ0uOkE
88,GShTjdqa2rY
89,h1E66HcEh5Y
90,o9PXRA1sWAc
91,lncgzELl14Y
92,DFqWfvc5XAM
93,LgcIiA4jDso
94,1HVcrC1s0t0
95,dsSKSUePfsQ
96,mqBjNjRRl0o
97,SsVKhvrj5zs
98,f5Pb2c18sNE
99,ThC2MTHPa4g
100,oLDIuiRXirk
101,AUn3cGd0eWA
102,XWOKvjA9Zwg
103,Uo2XqNIyipI
104,kr_J6Lb-eYo
105,XAnDc2FdA5E
106,TMi9bCJaHHs
107,5CZaE3lHksQ
108,B3pfsuryHIQ
109,K5DVaaP1DPY
110,9XqXxO2yVcw
111,5hj4jtPUxDk
112,Mn8_DspA3fY
113,bQES_F6c7c8
114,PVvDpKQo4Pc
115,2QH0bKkTJ_U
116,Aimd6ZOY3m0
117,WbzKmhi4lFQ
118,kkso0VUIlCw
119,cy-PfperPX0
120,UNOh5ZcJ9wc
121,ZmKPAVV6AIU
122,kLp7rcrq_bU
123,-I0Yj7NLxu0
124,DeiFjs7gFyY
125,8--j57eQKLI
126,hbDAT4GEWwI
127,gmpKcJIaqSY
128,m24PlfBMr14
129,TjxskTJd9eM
130,7KrbVTzkU0M
131,LAzioiP0em4
132,IEuh17Uik7k
133,GWAVshatzXE
134,eBZTPwbfPIc
135,kUlpO0DgLNQ
136,XP2BM0Pmnn0
137,plDV2xtOr00
138,tycY-YZsUwk
139,CbQoi533ofw
140,S3ER9nfQQao
141,ftZ4w10sJXA
142,zZ57njFNURk
143,GWlRnl4pFIg
144,AB9rbmhnups
145,QNOzadiX41U
146,ynOtYmpZxak
147,eOIQUii89BM
148,GWTcj4pvBtw
149,0Ahim5aJmp8
150,sAXSkxfFrzg
151,_MFBdUXYuZU
152,gmAnkpLX0c4
153,wPuK5ggEBEE
154,NPKtpHcjrkE
155,pYJCC2fWUyA
156,k7vIGznjP1Y
157,ctt7UuK0yLE
158,X6MAjL5LvuE
159,eRT3QOFHD3M
160,NdyQ6eYUtW0
161,Lv6zPyuLOP0
162,STkP7wC3K7Q
163,J0xPxNef6qY
164,X7sOXWsa15E
165,6pIeZIDa_4w
166,ZDul1_8lLvg
167,T3Fv4IoatxE
168,VDVDzQ-iPAI
169,RDWfSerDYTI
170,nPaOL6qFlZ4
171,6CuOUeYSfVY
172,qAAtab7A1ZU
173,BbXwQ48r5SQ
174,JY7JIw2-Ktg
175,ObaNtPVwa1Y
176,ogeaBz72_qM
177,wtK208kxNjA
178,xTkqrW5nbZM
179,vnBmHM9SkZ4
180,lhphLFP3bjs
181,HQDrs4t1Zyk
182,xonat9Y9oVM
183,uYXmVQS-5po
184,NJbCFav8Pbo
185,juMmiiqJU-o
186,pklAqeyIrug
187,X54vAwRUfso
188,vdhg3PRUC7g
189,p7_EemV-k6s
190,hwjOTU1bcTM
191,cE-0vnmGnhc
192,0-0vriZAUEM
193,nOxZiav_pv8
194,gN9VKcnm7is
195,wMKvGAHJ-t4
196,7iA6dkaXYoo
197,PdMeUv_EDl8
198,lLQs7sfJXTw
199,BJP3aIFCdXc
200,i--qBLB_Wfg
201,zyf2kwnOELg
202,ZusntpGYo5g
203,i6tr1mKLIkc
204,qOlIXcU0O-Q
205,8xjtzHw-LrU
206,N4YLcwZxJlo
207,-CaoOjlpEaM
208,rUFV5_56kbY
209,beKT_DKihxY
210,HMEHWACkblg
211,hml_A7h0yQg
212,KyWJOd7vn7k
213,vp5ByKt3h_k
214,rm43fgMY0Hk
215,Txr8HJokGPg
216,EHxs-h__HEo
217,o_HUUMIADyE
218,DqaiTPvpZKQ
219,BNYSEpzgdDA
220,-V9tu8rqWIg
221,PJMv1FL97cI
222,O_jR9sJMdBo
223,DbwDqSM5w3o
224,e3UpR_EJp_I
225,uL5CbkfFCGs
226,4oHk3HNyp6g
227,34u1sOLrgVo
228,7uQTdlx1K60
229,gWbhoYOWiCg
230,XXrFg43fnaU
231,vSPYUJm4MoM
232,U2xmfJEUQgQ
233,YDJcbH_HgjY
234,lvyHA4UmEVw
235,OgmJMMI523U
236,5YUAQh0NemA
237,jL4cQuSas30
