,ad_video_id
0,86fxnQKSAq4
1,wMLW4XmBccw
2,McvURqImWVM
3,PcRSLXJpBII
4,GwWfjYq2pBI
5,OTkCh02V74o
6,-dMItePoUBU
7,MO--pv3r56c
8,e8J8u_oE8Ug
9,7kZ3CJjvl30
10,4E5Lpz6-IW8
11,tuHktqLum1Y
12,_uHZZmTXzQw
13,LaQSSiDE2uo
14,LtApwvdzB_o
15,dtiPc7rOc3Q
16,3d1pcr-CNl4
17,HEaikVlUgMY
18,pwMN6HKJoRU
19,nZct5UW3hkE
20,5wq7G-D5Ca0
21,Xg-T404ArPw
22,ozvJ1_Od7Dw
23,Q0SEpSq-Cwo
24,GXwu9lsSPMU
25,WG5bVsbROz4
26,OtOigw2BsCM
27,mxD7bUeJb74
28,vJ2a_jB_Ui0
29,8Uw-LMvu1Fw
30,ZW9QbZ0mVGY
31,H5q5BclgVmM
32,OvZ75Vu2E04
33,mgsjz1M-hOw
34,Jbir6yDKZUE
35,-Lox9byYtlo
36,YbVM4K26gdg
37,KOezlfBaIHg
38,lvRwG0feF20
39,15441E_onAY
40,coNx1nGYpuU
41,WD5meI7vQ-k
42,LfU83ZJrwyQ
43,TumidNOY810
44,1llLy0JM1TM
45,srmeVTizUzo
46,qZcNaQHqpzk
47,k6s5EtJ0Qv0
48,cQw2mK2S2oA
49,w6NcDEwDj3s
50,_rlUys5a844
51,ISP6ZSBTg44
52,AzMttDsSdyM
53,6t-DFcUiKD4
54,q5ArDzUdvh4
55,nUw8e4NjM94
56,5nqQJh7s0o0
57,rs2t0PyaLBc
58,vRmw1Pw-KRU
59,YH-Hd-YnsBI
60,6dUBFiqFpHU
61,SaTEvAknaeY
62,itk0T1IlbsQ
63,ba9Ka70VCgg
64,RHZEwlHSmf4
65,ptAuJrTBXQ0
66,k_6EwqSKR6U
67,OSVt9LgdMyw
68,8F9drrbU20k
69,NCTjp5JQ4pQ
70,eJ5FpTltXZU
71,W1IEHvQ8D78
72,FbI2NOTgyLM
73,SRwQAb7DBi0
74,870Y2tYULTc
75,c6JmUPQm1OY
76,JJVWW1PgQAo
77,lhdlMNRu3RE
78,eZvaciULBkU
79,8NTWI26mGKI
80,Zh0EvOHHMH0
81,3poCVbxp8rk
82,txfEYuVoY5g
83,duP4BCBMAL0
84,XtH9bCRXets
85,cByVnljQKM4
86,O6kRVOQIres
87,U6BovNVh-FA
88,edCRmGdcx1s
89,scuc2Po0YQk
90,O4IA4pcYzqo
91,Ma3P1eeyXi4
92,R5Zj0akTlO8
93,_Qi9853lyb4
94,im1yY9_54tI
95,CwJ1v4luLSw
96,8eI3JrlbHhc
97,uzuktn8DgD8
98,CMqRbYoY2fk
99,1_pJv49v6xw
100,tJokxL_HEoo
101,DeCchwQNyJY
102,8tTIivaOhpE
103,t8rCimgNEyI
104,acHWusVlU_M
105,asQxg47L94U
106,nQMO1asXss8
107,nYBO3hgfl3U
108,E4dKDfThrnQ
109,J1Kah8POl74
110,5Jw6FRnziSA
111,KCTGgG21rZE
112,p8mtI1fiyT8
113,dDrf5oYEJmE
114,pWw3_hDCjEo
115,3wxVBxjlAlc
116,DJHWsxs22jg
117,LnjjZmCNcoA
118,mhFDhNWZhc8
119,UMqklbu8bK0
120,0_GybqzY2fU
121,E0jY8jN-9Jk
122,qklZCdkLHh4
123,VgBKUofIdVo
124,Sx9suKjt3pk
125,Qi4J1OAv-5Q
126,FV62iGk5h4Q
127,fyq8aO32CW8
128,KUQ-qpWQNIc
129,1xi1XneyQ2g
130,2v7wAOWSG0A
131,6FRmx6utZt4
132,K0LRupTUR8I
133,5migCYgrQnU
134,UkSyLnVUoD4
135,U92P8zBoJDo
136,nZ5v4yN9QAg
137,OsQlryVOoTE
138,fg1wJ6eeZc4
139,6UdvlHZXPKg
140,ivss_CyyWUU
141,yEvRdXdQjDE
142,si4jLVzYfN8
143,afkZHbr0ocQ
144,rLnRRqJbXaY
145,Kf5x4Cx7y9Y
146,J1Mse8Oolkc
147,tFAtLA77fUA
148,n7QJV-FTEnA
149,7IVRM2C_ybc
150,7EZTNo6uJu4
151,1egLgFxXYeo
152,Mj2TgtTzjnM
153,pe9uKui7alE
154,OWiuI0fLR44
155,9rf80kh8JYY
156,Vms2qh9AOyU
157,B1zyJGOr5-s
158,0ugMdmCxqKU
159,PDHQtkAwJYo
160,lLbK2LfI1Uk
161,c3vXG14FcZ8
162,4XqiFV803XI
163,GZ11_rjvBnI
164,WxA1n2BEe4U
165,ixupw9tFXUM
166,ytQhJ4vorRg
167,dKZ_-zSYpBo
168,3KZd2LzU0W0
169,hRg5HCeykno
170,VA6Jr6L9Yc8
171,lC1nK82Cblk
172,2H4tMSpoIus
173,kLS6v0J9Z7k
174,p9CCw0G_zO0
175,15fHN1God4U
176,BjIGP-L_caA
177,qy0R2IEjny8
178,cfUBnCznzRY
179,wPd-5waQInc
180,NCaaMStHEUc
181,4FfeQcMaz98
182,IKNDl4Zo6AM
183,f3BN72vtvxY
184,j55oJ8NHXlw
185,HEKD0Ni2n-8
186,gy76B3AMaG0
187,kyCYyH9uh7E
188,o5QbtrffzFo
189,BkW31UKg4Ko
190,JoqcXiYThBU
191,CC3AE61x0Fs
192,lyHzP8_XTSM
193,HuJnGyKXLeE
194,S6uoq-8jOl0
195,AeWeYXwnxEg
196,X8WkW6zMWTw
197,F6sEXcRp2X8
198,op4ciJhEgnM
199,0u03iZ_3bWI
200,5o6LcdFQXJM
201,3KyyB1vGi9Y
202,eb0hC9D48CQ
203,vmbiRotQAug
204,apZ_4KMoOXE
205,kvjttbrCLjk
206,tTiC_Gmg3Wc
207,eRkpFnLCDr8
208,2gTUbWusCj8
209,3FTr7_I0v4M
210,KJQ2J-MhX3I
211,JmJhh6XKiJQ
212,ZnEhbWjcFZE
213,WPFlurvkFqk
214,FvEJpmTJUwQ
215,JCFsfzldWRg
216,KfQCF-KO1j4
217,iNEB82RRY7A
218,XETllYA1Um0
219,no88ifSOfck
220,CZxydiEh5yU
221,G-V6vXAouSk
222,ZpyQ3dR9dgY
223,SMkWmEdzm0M
224,3UcT7u0KsmA
225,yyqrwQXtVE8
226,WlOlqyf0HJ4
227,0RIz1mGwxAA
228,qJk_tIKuLG4
229,0VvtpcgahYY
230,Wv5oSyiWiDE
231,G6vAHiBgJRo
232,BLpGMvoXkt8
233,t6AjNhcEHJE
234,rYmlNuNMrD0
235,QVdZphtEzwc
236,SsL6RVQlIRk
237,id8XwPxwNJ8
238,zsWSnj9obv0
239,f7CkrmzEx30
240,UG20ocyf9as
241,yqF1mtCuRAU
242,37OZYsRU5Qc
243,Bc23U8ACTiM
244,Yr2Onq_8mzQ
245,GpVCnEgRxQ8
246,3EXy1Pei8qY
247,nbq4VJxsilk
248,gXS0OvWp98M
249,1toFNig1A14
250,1dtzSRlfBDk
