,ad_video_id
0,4lfREv23G4w
1,Ikn8CUkpTaU
2,1dtzSRlfBDk
3,trhrBTl1noM
4,MjZkmUrqdHY
5,89Q_lECj2vE
6,CRZLC1YpC1Y
7,TZ2tr__Hfrg
8,No7jRMxrghc
9,0jVeb-caO3s
10,Vohr-M78WYg
11,WgGpOY5qgNc
12,KTBh2LKoEdk
13,bN-yM3Obh2c
14,9Y8YVG7AFdc
15,tl4bGyK-dIk
16,PZR__M3uen4
17,Tu_r1RhtMaM
18,2S1SIRHDsz8
19,Ju5fRjOJk7M
20,tutsijNjRxQ
21,Wbohb3fCYmM
22,Dcb6Y_SfBHY
23,6t9HsaW7PR8
24,CM1ECm3jWGA
25,coYo56eBrSg
26,VlJKIFKZrLY
27,cXCVZ2UW-1A
28,5MkzBHAqeR0
29,Uu5qqNSbYwk
30,u6yyLxaAd7A
31,d6EnefjrccY
32,1VUvCY1VlIw
33,BHWlOpk4RJQ
34,RfiB9Ab5wx0
35,B-Mtaxj598g
36,-9hNB-jt8_s
37,avCEqFbuHx0
38,Wxw30ZAMhRI
39,EgOI6Nc2PxQ
40,yvHfl1JEPc0
41,11OWuPcElJw
42,NRdEMpEZ1PA
43,MWuAZjeloLU
44,y4Oba5bJM7M
45,3hJawHSCqfg
46,rMnxnd9HvsQ
47,zYiRzDrA0q0
48,dFECS-YPuU8
49,4USYueHKaPo
50,DqjHWE1AUOM
51,Z3_-_BYJ2fU
52,0Ahim5aJmp8
53,38qdJY1Oazg
54,XYZqASRpVjw
55,1ePJdC--C6k
56,5KRcG9gVhio
57,4QfrtRI2CAM
58,jizAb-SLvtM
59,8EPJiFfWRfw
60,D9rmlzoZJIQ
61,vivHkjAovo4
62,NRYh8isfzXc
63,NPNMvrbmp6Y
64,DxcMs7DhS0Q
65,brk41Rl4TXk
66,Ucog1ghGMUM
67,3kf_B3-z9-c
68,UMMahJmVm58
69,400QfMKiCFs
70,OT0LZQDGBYk
71,drvkOz-2bDY
72,oaEb34AYL48
73,6X40BogK2k0
74,VlzZPsxtkn8
75,IXfk7jF-Ldo
76,j0fA5DXQsQs
77,W9pHa9YWgOg
78,_qvMIBv2iS4
79,oMrun6sejGw
80,-K_OvS5gQ-0
81,Zv293NHz0ns
82,MR_8YK7ocCI
83,7rSy73Cxc-Q
84,vYLlWWT1mCI
85,lTqAA1lcGw4
86,SxXDAbkouW8
87,RL5J0U0ms3g
88,CY7_jubZ5EM
89,5WXtbxIYtSQ
90,wh2WWQlJH9c
91,GnUDKfX3uZ0
92,IyRo9-1azUQ
93,M98NqbcWdyI
94,K25-4m1-cO0
95,8cmVqnmcNiM
96,qp1vT15ZQ-M
97,-mCT5buMN1Y
98,e6BZ6U8wUow
99,rUYztldN940
100,hTLQtIlNo9A
101,Od5zyGTKJos
102,QJ67Pf8PLdk
103,M8h2vG8UHcA
104,eUl9bfFTU3c
105,eOkExGPO_SU
106,KP1uspaXO5g
107,EOutA6oiyMg
108,6QROv8vhL-w
109,FqFE28DLUWI
110,xkHnVDobfXs
111,sdE8YWXN07s
112,daZaS7-HmJQ
113,YFesvtD3KUY
114,JI1wKCWXs-k
115,-OAFDo7493A
116,qGJziQ8L7UY
117,3-4On39BEik
118,wylnwtXNzYw
119,zZDMTqrVt5Y
120,NsJrW2FGl_Q
121,JGUXTWTyMUs
122,hYMt88pNRHE
123,cJLq1xzqc8w
124,1EYvCnQj1uQ
125,7gVy4JW762U
126,kKlXkmoaf6M
127,UpZvRarHOPI
128,FqbOmiKBHFg
129,91RtI6ZG2bc
130,tnpOnWgKW7w
131,_YGDmPVUqu8
132,cMkCx4MIKPc
133,BQiHkfI10Pw
134,LRSfV-iLlMc
135,Q8ni68lNkY0
136,TjKtTYJ6HIc
137,0bm4NHfPJ0I
138,SxVyxfaMIrw
139,SVEKXcznKns
140,klfzVK6oMP8
141,lMyrleYdPwU
142,q21cMlzObMQ
143,9T9I56-c72g
144,iZwE_Im3bVY
145,-wp99xFa76U
146,MNtCwe2AS0w
147,OPzz5EjD19s
148,CFCO8sbh3W0
149,gAr_ZFnMY0s
150,SkAcOG-lNr0
151,PZHQSzm35fE
152,wRphOClTu6U
153,PaEopu0Bnec
154,KNq7oHYnt1I
155,ZGyTgXc7tqY
156,bQES_F6c7c8
157,Re11zER6JSo
158,AwnvKUgQypY
159,mXuT0TT3Dz0
160,cCp9Wa0Dvjw
161,nOxZiav_pv8
162,80Ix2aHGwO8
163,9agloaYj4tY
164,5eAMChvBuu0
165,T8vrzOt8nGk
166,p6DYtzpDoTo
167,dKyzYGvG7pI
168,_-_A8HBMDaE
169,cSMutPyGq-U
170,sK1D7UTdEPQ
171,639ATgYAP0g
172,oUA2EO98BWo
173,g1Qx0CnFBNo
174,s_nc1IVoMxc
175,P8xzvbVA13g
176,tLK9GXAopC8
177,dVigyoE4lqo
178,p_z9oqW1vOs
179,dGhuw8FRlRk
180,3s8_Eebgmd4
181,rensua3mgXw
182,Jbir6yDKZUE
183,yQMfrFpOgL4
184,wEnY7LMuXPQ
185,rCPqE1ZM80g
186,sfGkB6P2U5Y
187,M48S5A7QIXo
188,h2kqeFzUmk4
189,P-hCNCUT_gU
190,dUmjAq0rJwM
191,m0ROtuAfOLg
192,UUxJlzEVicI
193,iqJaybitsEk
194,rqqKfyyOdEc
195,QrYIOjs7K8E
196,XjXjbpl56CY
197,AE9BTVpyuuQ
198,OTi4VyYkd-0
199,KqXbX8dcelw
200,kZKLpTHMjY4
201,zTcvKQLVL_Q
202,Uyq9OE8lIz8
203,A4xK-Xr4CMQ
204,DtrSy4KN0Bw
205,XbGX93Q1XJk
206,b6yk2B1MpRc
207,_wh_XpouW_8
208,Zn5qysFbJhw
209,XJ1Bmb3ZwE8
210,ZgMw8pFhi9s
211,lw8SHsU55-U
212,WBs5B6N92ss
213,yakFFhXckyI
214,vwaV_fSHElM
215,DFItmKvqrjg
216,Vdr4_LDtCss
217,z3qslhKSFos
218,KEvNXGM4cEM
219,Fyn4dTuuBBs
220,dMbrrm88x0Y
221,5sEh9ehSVKY
222,3FsjCqCTX_w
223,0I5z4YcjBTU
