,ad_video_id
0,HHrQMVb8fUE
1,30o1wAvMnzs
2,iutAdxs88YI
3,9cWTgf553is
4,yoF5cEB0UNk
5,CaKjiOufsNM
6,Qy-aoaMFi84
7,0D729RM4Of4
8,JxalJAMQE_k
9,qZi18DrtiPI
10,pLRjAsL54UM
11,cJs7FdGuBpU
12,sEhWuhezQMA
13,gI8qLRhwssE
14,iYOgKAbOt10
15,O6jq5uqtd5I
16,0pYHFBku6DE
17,adVGScCEpxI
18,73kv3MQx6yY
19,OjDFweJK1Js
20,CxKeL4Su3LA
21,t1P33Rl3m1c
22,4bh6r5Im3OU
23,p5yYqqFNVic
24,7ANyt4o3DaI
25,UNDmnKJpbLY
26,0-fFJP7nye4
27,T_K5-wAWAKU
28,3dE4PukQmek
29,QyEMEOe-u1o
30,8e1-CyEtl_Q
31,UIvqkQ1Xxls
32,CJVhHFKt-W8
33,-sYV2DonEzY
34,JIBCmnJFiNI
35,gD_TDVY4m28
36,cfuHuMm00OQ
37,BdHOy0Sg-N0
38,1LkMHqpYksA
39,B219Igabc_Y
40,ViG1VO0pUDc
41,BZxlg_hofbE
42,krLuuTqCGBw
43,CZxQ0nK_LIw
44,Vi01wGdyLys
45,TgS-BondGe8
46,eF8EvWq0elk
47,TN9_1GxCzz8
48,e_yV1psueYY
49,9j5V_MW8kE4
50,7nhm_waQV6o
51,jyHALVNHV2Q
52,iN77umaTs6Q
53,12mV5FwPw2w
54,wMKvGAHJ-t4
55,yiYI8AW8Juo
56,xMpgWFVXAhY
57,mvAU-6OBTvI
58,v_7GGavHPkE
59,6hkUFYgoeyU
60,FBY563UQeLw
61,sE1fN1igzSQ
62,nkKmTPRZ_q8
63,7u0L6-DSijY
64,IHLsLdnIyaU
65,jUWssnv3BeM
66,bN0O7BTSaXA
67,XcXxdWbEbdg
68,dLzTc25dYPw
69,3V8ArF9NIY0
70,Et0hNQ1mjSI
71,aYEJoPvyYoE
72,tT0fvwUog-g
73,CEQFSONQ3VY
74,BZKOtCWAt_o
75,Hk7sEfmtUVs
76,gIfXRdhgmRM
77,Pt9rrHUgWAE
78,R2fvPwXNpkY
79,L4pOi8nXVww
80,KTHd09COUdY
81,kPSQJzqm8YQ
82,yqwM6JS7GxM
83,2T6F6A_Wdk4
84,Jf2aVZ41fV8
85,F26Qm5YrQKU
86,J2AGkmsHtqU
87,FCY7_uiQLqo
88,cgyxKNM1R2U
89,S-XnVoR0Rr4
90,grRoE-vilrI
91,6zKSZGO5pZw
92,V-FbYL3Prrk
93,QlfkzllxY2Q
94,v8vskMJ7TaI
95,Yr3UqYUwmrg
96,zBv03aKE3K4
97,lR_LcwfGFpM
98,GfIiCV86P_k
99,7Kj9S9FjkiA
100,0chwlNLTMxc
101,Kp2uiUUc4yw
102,daZEuDDz5z0
103,SL2ZEI0ThLQ
104,h5ZaxQJEVVk
105,d4wXpYfzgxg
106,LIImH4UtJOk
107,jge_7LY6nGA
108,cyvu1ZyAZAU
109,ua-EviKOk7A
110,3v4nxcdE0sM
111,z6uNxFfBisU
112,G2EwTxKA7QI
113,HWbf7Uvj5U0
114,D0pz0eHVAzI
115,Or71Skn8oBk
116,qnLEpIxQar4
117,ryTeGeJvB0A
118,ikyGbAxzvog
119,9w23J5SQkQo
120,fLlxAsJ6C0Q
121,evG_TqrjkNg
122,YzwBaq_kEf0
123,UblaK51tiC0
124,OuWbv1I3I7g
125,t52FBW4hsls
126,Qhe6FLeKdjU
127,Gpy3TvCLGaE
128,nJgi-zqBKjA
129,yR5uTkE1a8w
130,iA9I71TQnic
131,Xays6rxfX6Q
132,e2ezOrp0sLc
133,lCqgsuPWGbk
134,xLcScq-8xVk
135,leW_AhwJm98
136,XyQopw8jjTE
137,Rs3CwFHRVqE
138,ZEpt4OURuhg
139,2xz0JALPTvI
140,rNNEcodKgvs
141,M4fA3j9LK5M
142,zef1GB8yebM
143,wigkoRmxma4
144,QmHNIJcYi0Y
145,86I5yuhuPqM
146,-_MnGdF00cM
147,qqt0qsDkya4
148,Q3qwz4bveY8
149,9WqaRVPEUwc
150,POoejRgxKqc
151,RwHzi556ve0
152,u_xcmRa6swo
153,OtOigw2BsCM
154,OptgP4QLtW4
155,iFAT2s6nwUA
156,rdeOQS4boAA
157,q2SjOj7BytY
158,S6CALaddPC8
159,DLlDms39puw
160,3kDJyq-0tHw
161,iqr7NYQEvYI
162,mEmV3aPKo3I
163,RMZFWM5vLzw
164,ioKB_lYpjzk
165,YAxQiXIQVRg
166,2G_GcqesLF0
167,ezqVp-CSv3o
168,m6r_lb_pYo8
169,T5apLwK7Pwk
170,xZ7TRqzu4ag
171,GdV2WuSEdo4
172,0aGaOQfYj4w
173,ule_Ge2aGm4
174,6244VKirfjw
175,D0duOEn3lzY
176,Jr1zOTGu2O0
177,cR6JN7IZl6M
178,4o-QzF4YK_g
179,yV-cGG2wQNw
180,-3SuWDOEEa4
181,-ij5R2JMlXM
182,LI61eo-F-_4
183,g6LNJ0rWHcI
184,4mQ23yJm1gg
185,7dfL_hCZlDY
186,_SmOEoF_jBA
187,25WLqFQABeY
188,ZFj-nl3UJK8
189,OiC1rgCPmUQ
190,u4sTBFBAxmY
191,D_6119eRylE
192,NImlMrtzDEo
193,WkWCw0XvSRM
194,iYk1owPze4I
195,KqVhsgNP_r4
196,HUN5O0LP-P0
197,B4J-PUT2Rvk
198,nW1BhMeHIQ0
199,y7T_grXZf9I
200,xvP5GOcQp7M
201,ustpaS9BLGI
202,qJTUSPoqOJE
203,3HPyvNegM2A
204,ZpyQ3dR9dgY
205,PYZjlnOIBmM
206,ov87NHZS_Gs
207,BxYG7LNqKlQ
208,MS9_BkOMkuE
209,y_Q-0HXsmbI
210,1pLCG6eH4d0
211,_8elgmFfHU0
212,GH8VY9pUdCI
213,bKWh135hr1c
214,LAsbAXXjZ0o
215,16sAt3Ar8Tg
216,rGqj6U7SawA
217,IIdqaGTmfpg
218,sAFrf_KSNCI
219,SrpcISoRhIg
220,j__PEkaL3ik
221,0YO5dOyWPbY
222,lEAQOsCiOn0
223,a3i7rZ_8rUI
224,wmkhLrKcSL4
225,Kxv2ZCN0ZDc
226,-2m1rHZ0T9I
227,KLCT0iPKP2s
228,mpgXAqnmU2c
229,HYKViZdU5y0
230,-w78qDJK-x4
231,fjQggV-7bcc
232,1uB5VZ44zYM
233,4Xo6cUUHbeI
234,6c79R-HVVZk
235,Wt2fuNtgYDM
236,qRI_F8mcKjg
237,A97b87K9rT0
238,Nfegz9EPpYg
239,NeMlu-agdi0
240,OzqvWtOEgkU
241,TnQNJxl-uKQ
242,rVMcipXYJCE
243,bIqU3WiroEk
244,3qI0-3VufZ0
245,vP3f_S4gKx8
246,si0unEc3j3M
247,6YfvmQmvcUc
248,Y2MnN_oz6yI
249,SEkTDY0nkww
250,IGOYlSrvYOE
251,3RoG1Tx1tgI
252,t1YinpEGbtQ
253,-UOrcpxfkG4
254,W32b2mJ3MdE
255,wzgKO-QZ1cU
256,vKYMjXPvkYY
257,sgHLu7Te0yM
258,aoHEoSnc_5s
259,1b7gYun6F74
260,wt7pcbQ7xR0
261,75CQceca0CQ
262,vK8em5Vkr50
263,ANpLbTTVeM8
264,13jpdVe-_MI
265,A8K2oAfSmhc
266,kXAvmQrpACY
267,aao52Ycg2uo
268,cHal_aNqbtc
269,aLcbmbyaaI4
270,g2_h4PcSjtY
271,Hxy0AEktdaQ
272,GzMjnVdX9Zs
273,v7Bi3Qq5w_0
274,bwcLn6c6cZE
275,xKiqXsb2R8s
276,AGnwbJxyA1M
277,cNBJJAqyhyc
278,EldbbLAok90
279,ruwf_EJVVQk
280,WXnsHtUkBXs
281,0YsJyas_SAA
282,eE1dETrQqR4
283,oOmqXYkpN14
284,nW9B67cptaw
285,hvpRf6Kjk-g
286,H7-ArL4QmeI
287,rXykKKXtx4s
288,JEnTet76Q6k
289,GWMNvXKPKIo
290,Mxe6uuud7w4
291,d9U8Q5UmbiY
292,e4LZ3pQZ624
293,MsOk3VYdqoE
294,_JylCbAujn4
295,FF5X6Cg8hAc
296,bGetkCS-x7o
297,5RLkfi-u-10
298,jTNq9EHRsDI
299,GHgA-I9d_Mc
300,6tVXOUlCJSs
301,Ev3kE8jGxPY
302,yihVvoQ7ks4
303,sjLWFM9tDyc
304,ues0_hDNwvM
305,gUvU6Q1BCqY
306,cQhds45HP7c
307,3H4iHnT0mDA
308,D1UzEFIR3Uo
309,P4nrX1JnTA4
310,d-IN3DLKVh8
311,ddTMT8bFlBk
312,okasFWsQCck
313,fqX2LF-7SCs
314,IZ-L89q4koM
315,up0HWpnYFN8
316,E-lGdlT-Mh4
317,DrVB0IHByzY
318,Cy2vhU3oz8c
319,70khbK9TEdU
320,5FjTab8Lj54
321,l5QagIRFji4
322,V-mwjFQQhpc
323,su91jWaBIfQ
324,dwwAa3Y8e98
325,jFLs87PmQX8
326,tk_-V4omuAQ
327,VG-3_QpPqk8
328,bWEj6OWynJo
329,nW2oiTec0X4
330,xdU9xlRRlZk
331,ZvFhyhDunCQ
332,GWp6-Q6IJic
333,r2IfDBQNGRA
334,nrwolYI5i8E
335,lqmcxjb_5Eg
336,UPu1btbi1Tg
337,f2E8uhnzMCQ
338,d2ANMbQ1X4c
339,4zb7Uzn5kiw
340,bEwuIRLP8SU
341,PCR3u0KAdgY
342,Wt85fkS5Y5U
343,RPNaYj6etb8
344,7bM14r3eP_0
345,zs9YdLjmhD4
346,TEjp_hD-bMM
347,_LMU8ehlctk
348,-E4jBMMolq4
349,JTRrOVJooYQ
350,t6hjy001Xcw
351,xaGe4W0iSm8
352,_m8EwrVwzLo
353,_44dzK-TwZQ
354,fT0jKKbq3KY
355,oHstuAnzYrI
356,jn8ZncjrZ6Q
