,id,title,description,channelId,channelTitle,thumbnail,tags,categoryId,madeForKids,duration,duration seconds
0,lM01TQKLYF0,Furuvik Huvudkampanj,,UCRirhhHMjuv25I37indodeQ,Furuvik,https://i.ytimg.com/vi/lM01TQKLYF0/default.jpg,N/A,22,True,PT10S,10.0
1,cqX9yekkwVs,Yony x Malla - Simon Säger (Official Music Video),"Hoppas ni gillade videon! Vårat andra släpp nu! Mer påväg snart!❤️🎮

Musikvideo: Yony
Produktion: Yony 
Text: YonyxMalla
Sång: Malla




Instagram:
Yony x Malla @yonyxmalla 
Röst.xyz @rost.xyz
Malla @mallamehrens
Yony @datboiyony

TikTok:
Yony x Malla @yonyxmalla 
Yony @rost.xyz
Malla @mallste3







#yonyxmalla #SimonSäger",UCLqZKSlzcHWQwzj0EjzvrKg,Röst,https://i.ytimg.com/vi/cqX9yekkwVs/default.jpg,"['yony malla', 'yony x malla', 'yony android', 'röst malla', 'eeoyre röst', 'android tiktok', 'tiktok sped up', 'yony malla android', 'drum n bass', 'pinkpantheress', 'pinkpantheress type beat', 'liquid drum and bass', 'liquid dnb', 'dnb 2023', 'webcore', 'webcore edit', 'blender', 'blender animation', 'animation video', 'cyber pop', 'cyber pop music', 'alt pop video', 'musikvideo android', 'tiktok viral', 'breakcore mix', 'breakcore', '88rising', 'pinkpantheress ice spice', 'tiktok pinkpantheress', 'simon säger', 'yonyxmalla']",10,False,PT3M17S,197.0
2,T-jqJzRz_Ic,SALE | Boozt.com,SE TVC 15s,UCdQMJ1Zxx1eLEng_yWhCTZA,Boozt.com - Boozt Fashion AB,https://i.ytimg.com/vi/T-jqJzRz_Ic/default.jpg,N/A,24,False,PT15S,15.0
3,TjTOG8bm4KM,Löplabbetmetoden™,"Löplabbetmetoden™ är Löplabbets utprovningsprocess som bygger på många års erfarenhet att hjälpa alla slags löpare att hitta rätt sko. Med utgångspunkt från löparen studerar vi i tur och ordning fotens anatomi, kroppens individuella förutsättningar och slutligen löpsteget. Med det nya systemet MX2 förfinas metoden och tar ett par rejäla löpsteg in i framtiden, en Löplabbetmetoden 2.0 om man så vill.

Hur fungerar då Löplabbets nya teknik? När en kund provspringer på bandet med inbyggda kraftsensorer filmas och mäts kroppens reaktion på den sko som provas. Kunden ser sig själv på en skärm framför löpbandet och när löpningen är slut kommer sedan mätresultatet blixtsnabbt i form av en analys, som redovisar löparens stabilitet i löpsteget, stötdämpningen i skon och hur mycket energi skon ger tillbaka till löparen. Dessa data ger sedan även en löparprofil för kunden, som i sin tur bygger på data insamlad från mer än 50 000 unika löpare, och därför har en mycket hög träffsäkerhet.

Vi utgår ju alltid från dig som löpare och hur du springer, inte skon. Och med det nya systemet blir vi ännu mer träffsäkra på att hitta rätt sko, vi får en fördjupad förståelse för kundens behov på ett sätt som inte varit möjligt tidigare, och det gör ju löpningen både roligare och mer skonsam för kroppen.

Man behöver inte boka tid och testet kostar inget extra.",UC95mIBK5QVIyS2_JOwH20hQ,LÖPLABBET,https://i.ytimg.com/vi/TjTOG8bm4KM/default.jpg,N/A,17,False,PT1M29S,89.0
4,3DSRKTHSfWU,Upplands Bilforum | Köp din begagnade bil via Upplands Bilforum,"Upplands Bilforum är en heltäckande bilförsäljare och har ett utbud av både nya och begagnade bilar i lager.

Hos oss hittar du helt säkert det fordon du söker, oavsett vilka behov det ska fylla. Vårt erbjudande omfattar allt från personbilar och företagsbilar till transportbilar och självklart vårt eget bilmärke Kia.",UCI_tvK9Ztj6QEJwYICSiv5w,Upplands Bilforum,https://i.ytimg.com/vi/3DSRKTHSfWU/default.jpg,N/A,2,False,PT55S,55.0
5,NsWt1CUg6Jg,N/I,N/I,N/I,N/I,['N/I'],N/I,N/I,N/I,N/I,
6,ttOwcQaEzX0,Kolmårdenpaketet,"Fullmatade dagar i parken med populära Kolmårdenpaketet! Unna er övernattning på Vildmarkshotellet och äventyr i Kolmårdens djurpark. 

Läs mer och boka: https://www.kolmarden.com/boende/kolmardenpaketet",UCxPMaMEpjGWXAh1Ro0aMIVw,Kolmårdens Djurpark,https://i.ytimg.com/vi/ttOwcQaEzX0/default.jpg,N/A,24,False,PT30S,30.0
7,4vW9a2tgiS8,The Swarm - Streama nu,"Viaplay är Nordens ledande streamingtjänst för serier, film, sport och barninnehåll.
 
Gilla Viaplay Sverige på Facebook: https://www.facebook.com/viaplay
Följ oss på Instagram: @viaplaysverige
Föl oss på TikTok: @viaplaysverige",UC37RKSk8YVMhyPyBIo_JK7g,Viaplay Sverige,https://i.ytimg.com/vi/4vW9a2tgiS8/default.jpg,"['viaplay', 'viaplay sverige', 'NENT group', 'Viaplay Originals', 'Viaplay Youtube', 'viaplay sweden', 'viaplay original']",24,False,PT20S,20.0
8,ybG-qZttyjY,Fame_15s_16.9_VA_NOCTA | PACO RABANNE,"Still haven’t subscribed to PACO RABANNE on YouTube? 
🡺 https://www.youtube.com/pacorabanne

Follow us on:
Instagram : https://www.instagram.com/pacorabanne
_
Facebook Fashion: https://www.facebook.com/pacorabanne
Facebook Fragrances: https://www.facebook.com/pacorabanneparfums
_
Twitter: https://twitter.com/pacorabanne
_
Spotify: https://spoti.fi/3c5dc0U
_
More on: https://www.pacorabanne.com",UCrM2dXon1LYEq63xH9Wc8pQ,Paco Rabanne,https://i.ytimg.com/vi/ybG-qZttyjY/default.jpg,"['paco rabanne', 'paco rabanne fashion', 'paco rabanne parfums', 'paco rabanne pub', 'paco rabanne ad', 'paco', 'rabanne', 'paco rabanne advertising']",24,False,PT15S,15.0
9,FkjGcvNBCuo,Pizza Rustica från Dr. Oetker,"Pizza Rustica - Great to share, too tasty to do it fair",UCJRtGRaLeJ67kUKiB9c4nBA,Dr. Oetker Sverige,https://i.ytimg.com/vi/FkjGcvNBCuo/default.jpg,N/A,24,False,PT15S,15.0
