Video link,Primary Tag,Secondary Tag,Description
https://www.youtube.com/watch?v=3Jv0Fycjc-w,inappropriate,"Drinking, drugs, smoking",display of a man smoking a cigratte
https://www.youtube.com/watch?v=V7vbNsPTJ2I,irrelevant,Home and Office,smart television ad
https://www.youtube.com/watch?v=0I5z4YcjBTU,irrelevant,Software,software to add expressions to pictures
https://www.youtube.com/watch?v=AFDe2rgqv08,inappropriate,Explicit Sexual Content content,"nudity, Explicit Sexual Content display"
https://www.youtube.com/watch?v=rbqiDETBsyc,irrelevant,Education & Learning,TOFEL test ad
https://www.youtube.com/watch?v=X2dDJ5NpCv0,irrelevant,Home and Office,"fridge, smart tv etc ad"
https://www.youtube.com/watch?v=zXOoza3sxiw,irrelevant,Music & Performance,korean song
https://www.youtube.com/watch?v=bQES_F6c7c8,child directed,Educational Content,"adapted mind ad, mathematical animated ad"
https://www.youtube.com/watch?v=NJYYseJfask,inappropriate,Adult Suggestive Content,"physical Adult Suggestive Content, relationships"
https://www.youtube.com/watch?v=nOxZiav_pv8,child directed,Educational Content,"adapted mind ad, mathematical animated ad"
https://www.youtube.com/watch?v=zUATlmQ9LK0,irrelevant,Music & Performance,hindi video song
https://www.youtube.com/watch?v=fOdo1GkzZAk,child directed,Educational Content,animated video with mathematical questions
https://www.youtube.com/watch?v=_9XhKVKlVDI,irrelevant,Personal Care & Beauty,dettol soap ad
https://www.youtube.com/watch?v=8AR3nVH22C0,irrelevant,Finance & Legal,financial services company
https://www.youtube.com/watch?v=PoUvDV-wRkk,inappropriate,Adult Suggestive Content,too much physical and non physical Adult Suggestive Content to be display to children
https://www.youtube.com/watch?v=IqX7dda9w4I,child directed,DIY & Arts and Crafts,colouring sun
https://www.youtube.com/watch?v=twql3OLp6Lk,irrelevant,Home and Office,ac ad
https://www.youtube.com/watch?v=9eDd9rGftA4,inappropriate,Adult Suggestive Content,slight physical and non physical Adult Suggestive Content
https://www.youtube.com/watch?v=i6ao_PLOLOg,inaudible,Different Language,arabic music video
https://www.youtube.com/watch?v=0d1mlqnRdyQ,irrelevant,Tech & Gadgets,network service provider company ad
https://www.youtube.com/watch?v=4uEZzOMBbus,inappropriate,Offensive language,song with slang and inappropriate language
https://www.youtube.com/watch?v=1UKKXFir0Cc,irrelevant,Gaming & Entertainment,roblox video game with people and cars
https://www.youtube.com/watch?v=4sQ8oORxWiU,irrelevant,Finance & Legal,bangladeshi financial service department helping people
https://www.youtube.com/watch?v=XljKLCQgh54,irrelevant,Music & Performance,song in a differnet language
https://www.youtube.com/watch?v=1dtzSRlfBDk,child directed,Educational Content,"adapted mind ad, mathematical animated ad"
https://www.youtube.com/watch?v=3rW86CuFfIk,inappropriate,Adult Suggestive Content,show of relationships
https://www.youtube.com/watch?v=QNXeE1ehBh0,irrelevant,Music & Performance,freestyle type beat
https://www.youtube.com/watch?v=SAEW80hDsOk,irrelevant,Home and Office,home cleaning/surface cleaning liquid
https://www.youtube.com/watch?v=u4I93RiV0w0,child directed,Play and Adventure,guess the logo game with a kid
https://www.youtube.com/watch?v=RkL3YP2usOE,irrelevant,Software,GoDaddy ad
https://www.youtube.com/watch?v=uPuvbkHiJuw,irrelevant,Home and Office,air conditioner ad
https://www.youtube.com/watch?v=hfgPlWQim4U,irrelevant,Food and Cooking,biscuits with tea ad
https://www.youtube.com/watch?v=xHesTfXX2sg,inappropriate,"Drinking, drugs, smoking",too much cigarette smoking and Adult Suggestive Content and relationships
https://www.youtube.com/watch?v=gTGJa1BUIII,inappropriate,Gambling,display of casinos and chips
https://www.youtube.com/watch?v=DnuCGZTOLRA,irrelevant,Finance & Legal,digital solution to financial problems
https://www.youtube.com/watch?v=IX3_QifUVNc,irrelevant,Personal Care & Beauty,dettol soap ad
https://www.youtube.com/watch?v=tfpjMJGDs7g,irrelevant,Science & Technology,equipments for tractors 
https://www.youtube.com/watch?v=rutBKYlNfyM,irrelevant,Music & Performance,korean song / music video
https://www.youtube.com/watch?v=W7q-n_V1lyg,inappropriate,Adult Suggestive Content,song with slight display of Adult Suggestive Content
https://www.youtube.com/watch?v=bcpcUv4KIxU,inappropriate,Adult Suggestive Content,physical and non physical Adult Suggestive Content
https://www.youtube.com/watch?v=NBVfKWzlrP4,irrelevant,Tech & Gadgets,5g service for mobiles
https://www.youtube.com/watch?v=URPjeqQgkUg,inappropriate,Display of weapons,"knife, guns, fire, blood, drinking, Explicit Sexual Content content, intimcy"
https://www.youtube.com/watch?v=LJIYPaDiASA,inappropriate,Display of weapons,"weapons, physical violence, Adult Suggestive Content., drinking"
https://www.youtube.com/watch?v=drJbZqH7_Y8,irrelevant,Education & Learning,educational resources for TOFEL
https://www.youtube.com/watch?v=D4MEXlLNjCA,inaudible,Different Language,arabic song
https://www.youtube.com/watch?v=s8UBhncev2A,irrelevant,Tech & Gadgets,"mobile network company ad, person helping people shown"
https://www.youtube.com/watch?v=l5lH6lIoHOA,irrelevant,Home and Office,ceiling fans ad
https://www.youtube.com/watch?v=8XxFPSUKWrM,irrelevant,Tech & Gadgets,mobile network company ad
https://www.youtube.com/watch?v=0dhpnvRi6u0,irrelevant,Home and Office,fridge ad
https://www.youtube.com/watch?v=ZTUoDmiUzRo,inappropriate,Adult Suggestive Content,telugu song with portrayal of Adult Suggestive Content
https://www.youtube.com/watch?v=Lp-VL7MxNbQ,irrelevant,Music & Performance,"mother's day song sung in a group by children and elders, actually an ad of milk powder"
https://www.youtube.com/watch?v=kjCExokb8z0,inappropriate,Adult Suggestive Content,"physical Adult Suggestive Content, relationships"
https://www.youtube.com/watch?v=1w0kjsSqIBM,inappropriate,Self-harm & Suicide,"jumping into water, smoking"
https://www.youtube.com/watch?v=CrKid-xco4E,irrelevant,Software,"go daddy, web services provider"
https://www.youtube.com/watch?v=34u1sOLrgVo,child directed,Educational Content,"adapted mind ad, mathematical animated ad"
https://www.youtube.com/watch?v=7uQTdlx1K60,inappropriate,Physical Violence,"cambodian patriarchical song, a scene showed men fighting with each other, as well as fire"
https://www.youtube.com/watch?v=BHLVY4NNF6A,inappropriate,Adult Suggestive Content,"relationships, Adult Suggestive Content, romance"
https://www.youtube.com/watch?v=XjGOVVjeIk0,inappropriate,Gambling,online betting app
https://www.youtube.com/watch?v=EpitP0JzuPc,irrelevant,Education & Learning,online programming learning 
https://www.youtube.com/watch?v=si0FrZabezw,irrelevant,Music & Performance,freestyle type beat
https://www.youtube.com/watch?v=7rOMr_dz5so,inappropriate,Explicit Sexual Content content,"songs with Explicit Sexual Content content, Explicit Sexual Content dances, and exposing clothes"
https://www.youtube.com/watch?v=TjxskTJd9eM,irrelevant,Software,software to make robots
https://www.youtube.com/watch?v=sg1WqIvCcmA,irrelevant,Food and Cooking,biryani masala
https://www.youtube.com/watch?v=KDn3ndvz7SI,irrelevant,Music & Performance,hindi video song
https://www.youtube.com/watch?v=tqkOFNE4CdM,irrelevant,Home and Office,"hometex company, for bedsheets, towels etc"
https://www.youtube.com/watch?v=22D6eXrC4Q0,inappropriate,Gambling,display of casinos and chips
https://www.youtube.com/watch?v=NLeg435A9CE,irrelevant,Music & Performance,punjabi song
https://www.youtube.com/watch?v=AYiAJnzFILc,inappropriate,Display of weapons,"weapons, guns, gun shooting, fire, drugs, drinking, fighting, physical violence, relationships"
https://www.youtube.com/watch?v=-6dleqTJs0o,inaudible,Different Language,"punjabi song, but not much understandable punjabi"
https://www.youtube.com/watch?v=D25XFwlPxhU,irrelevant,Home and Office,air refreshener powder
https://www.youtube.com/watch?v=oWCK5j_XNbQ,inappropriate,"Drinking, drugs, smoking","smoking, drinking, gambling, inappropriate exposure of skin, fire"
https://www.youtube.com/watch?v=K77-yXo-0r0,irrelevant,Nature & Environment,huge garden with many different types flowers
https://www.youtube.com/watch?v=5Ww2HbuFbtw,irrelevant,Personal Care & Beauty,women sanitary pads
https://www.youtube.com/watch?v=tCtPNIvBqjo,irrelevant,Machinery,equipment to cut through metal and other stuff
https://www.youtube.com/watch?v=Ah-EkDjU2oQ,irrelevant,Travel & Adventure,uber rentals
https://www.youtube.com/watch?v=L1HkxUlsybs,child directed,Health and Hygiene for Kids,dettol soap kids ad
https://www.youtube.com/watch?v=B1z2h_tZZq0,inappropriate,Adult Suggestive Content,"physical Adult Suggestive Content, relationships"
https://www.youtube.com/watch?v=IFJpD1Z73ac,inappropriate,Explicit Sexual Content content,"explicit Explicit Sexual Content content though for 3/4 seconds only, rest of the video mostly very creepy and scary showing clowns etc"
https://www.youtube.com/watch?v=CzHeUrM5B8Y,inappropriate,Gambling,online betting app
https://www.youtube.com/watch?v=YT2Tcehr36Y,inappropriate,"Drinking, drugs, smoking","drugs, weapons"
https://www.youtube.com/watch?v=PiubytzLmOE,irrelevant,Food and Cooking,cold drink/fizzy drink ad
https://www.youtube.com/watch?v=OFrKdSnItqQ,irrelevant,Personal Care & Beauty,dettol body wash
https://www.youtube.com/watch?v=xnXCQoNrmWc,inappropriate,Adult Suggestive Content,"relationships, Adult Suggestive Content, romance"
https://www.youtube.com/watch?v=dC51cBNNXDI,irrelevant,Education & Learning,paraphrasing tool
https://www.youtube.com/watch?v=1Tz5ddp6_CU,child directed,Gaming & Entertainment,child vlog
https://www.youtube.com/watch?v=OPmKWunKuoo,inappropriate,Scariness,"people screaming and crying loudly, fighting/physical violence, knife"
https://www.youtube.com/watch?v=UbKoyCSNjyE,inappropriate,Explicit Sexual Content content,"Explicit Sexual Content frames in a song, display of guns, inappropriate clothing"
https://www.youtube.com/watch?v=kHdUFZ16Yt0,irrelevant,Nature & Environment,huge garden with many different types flowers
https://www.youtube.com/watch?v=D2OFZhYs9jY,irrelevant,Art & Design,arts and creators contest
https://www.youtube.com/watch?v=neJdiNIGrxQ,irrelevant,Tech & Gadgets,mobile network service ad
https://www.youtube.com/watch?v=5WJpSAWtI_4,irrelevant,Education & Learning,online programming learning 
https://www.youtube.com/watch?v=zBRQ8r1IfmA,inappropriate,Gambling,casino shown
https://www.youtube.com/watch?v=yA7Nffk-p84,child directed,Play and Adventure,cycles for kids
https://www.youtube.com/watch?v=wwMZQ-8Jtdw,inappropriate,Display of weapons,"display of guns, fire, physical violence, blood,"
https://www.youtube.com/watch?v=i--qBLB_Wfg,inappropriate,"Drinking, drugs, smoking","resort ad, showing glasses of wine, and fire at one point too"
https://www.youtube.com/watch?v=dcvjm9SNk1s,inappropriate,Gambling,display of casinos and chips
https://www.youtube.com/watch?v=CxUcLE-SuqE,irrelevant,Software,"software to make online shoping platform, live product options and customising products"
https://www.youtube.com/watch?v=aXR2qwuRqek,irrelevant,Finance & Legal,online/mobile banking app
https://www.youtube.com/watch?v=eoxbY6EDKlY,irrelevant,Home and Office,pools for home
https://www.youtube.com/watch?v=yAJblJsBih4,irrelevant,Home and Office,mosquito repellent liquid
https://www.youtube.com/watch?v=FOb6OV_FiLQ,irrelevant,Home and Office,aluminium ad
https://www.youtube.com/watch?v=w-nKkDw94QA,inappropriate,Scariness,"scary statue, people wearing scary masks, zombies, spiders"
https://www.youtube.com/watch?v=mxrZqIA4660,inappropriate,Gambling,display of casinos and chips
https://www.youtube.com/watch?v=ApYnaPf814I,inappropriate,Explicit Sexual Content content,"Explicit Sexual Content dance moves, inappropriate clothing"
https://www.youtube.com/watch?v=lQWhcfM6V-k,irrelevant,Tech & Gadgets,smart phone ad
https://www.youtube.com/watch?v=Q7zJ7sKKyVQ,irrelevant,Tech & Gadgets,different laptops and their functions
https://www.youtube.com/watch?v=JeNzJE-H9_w,inaudible,Different Language,animated cartoon in a differnet language
