Video Link,Primary Tag,Secondary Tag,Description
https://www.youtube.com/watch?v=vWTs0sUQsF0,irrelevant,Finance & Legal,"ad for realtor.com, to find a house"
https://www.youtube.com/watch?v=i5fIB4Gqaec,irrelevant,Software,"ad for grammarly GO, grammarly with AI"
https://www.youtube.com/watch?v=iUPJ00AHpMU,irrelevant,Home and Office,pet food
https://www.youtube.com/watch?v=998MLAXmtys,irrelevant,Travel & Adventure,Visit panama - tourism ad
https://www.youtube.com/watch?v=Vp4vm73t2UY,irrelevant,Home and Office,ad for trash bags
https://www.youtube.com/watch?v=HEaikVlUgMY,irrelevant,Software,ad for adobe acrobat - featuring kid playing in treehouse
https://www.youtube.com/watch?v=100tfTCiVmc,irrelevant,Gaming & Entertainment,VEX IQ Robotics Competition: Full Volume | 2023 - 2024 Game
https://www.youtube.com/watch?v=e51mgdg_BvU,irrelevant,Fashion,"ad for kohl's shopping - fashion, luggage"
https://www.youtube.com/watch?v=gc9-4oq1idA,child directed,Cartoons,Elemental | In Theaters June 16
https://www.youtube.com/watch?v=t5GktF4DmPE,irrelevant,Machinery,CAT heavy duty batteries for machines
https://www.youtube.com/watch?v=Jbir6yDKZUE,irrelevant,Software,grammarly ad
https://www.youtube.com/watch?v=yjTveODKR04,irrelevant,Gaming & Entertainment,"With Verizon, your family gets the network they can rely on and the Disney Bundle with Disney+, Hulu, and ESPN+. All for just $35 a line."
https://www.youtube.com/watch?v=ZFiyfTy7Ljo,irrelevant,Fashion,formal wear -  Jos A Bank
https://www.youtube.com/watch?v=WG5bVsbROz4,irrelevant,Software,ad acrobat game - adobe document cloud
https://www.youtube.com/watch?v=EXl4cwkpMPU,irrelevant,Software,ad for squarespace - make a webiste
https://www.youtube.com/watch?v=aO3AJ7SMUUI,irrelevant,Tech & Gadgets,ad for Google Pixel 7a with %G plans
https://www.youtube.com/watch?v=oavcsKN_VgM,child directed,Cartoons,Thomas & Friends: All Engines Go! Short Story Adventures - Muddy Thomas + More kids videos!
https://www.youtube.com/watch?v=hYwsXoFeTh8,inappropriate,Offensive language,"jump scare, yelling, shut the ****, offensive language"
https://www.youtube.com/watch?v=bzDD8ItXmXY,irrelevant,Business & Entrepreneurship,"Hotjar - Your marketing questions, answered - business helping tool ig"
https://www.youtube.com/watch?v=H2r9HkQxXhc,irrelevant,Autos & Vehicles,CARFAX - buy used cars
https://www.youtube.com/watch?v=vKYEA7ZqC8c,irrelevant,Music & Performance,Youtube music premium
https://www.youtube.com/watch?v=YXgXw25E5RU,irrelevant,Software,ad for grammarly
https://www.youtube.com/watch?v=y5yMEcs2TzU,irrelevant,Family friendly gaming,print out family memeories with ShutterFly
https://www.youtube.com/watch?v=SbaTHhyV7kE,irrelevant,Business & Entrepreneurship,ad for a staffing agency
https://www.youtube.com/watch?v=iTt18nwB2EU,irrelevant,Home and Office,ad for ASHLEY mattress
https://www.youtube.com/watch?v=2Lo6DbYZ7Tc,child directed,Poems/Songs/Nursery Rhymes/Music,youtube music premim - kids songs
https://www.youtube.com/watch?v=prFicXqS1OU,irrelevant,Music & Performance,youtube music premium
https://www.youtube.com/watch?v=YSs1BYZkeiI,child directed,Storytelling,The Little Mermaid | In Theaters May 26
https://www.youtube.com/watch?v=Ne2qtEUcqO4,irrelevant,Fashion,designer shoe warehouse
https://www.youtube.com/watch?v=OBHnHt1yEZ4,irrelevant,Home and Office,sofa ad
https://www.youtube.com/watch?v=sVYQ6XkOIqY,child directed,Storytelling,ad for The Little Mermaid | In Theaters May 26
https://www.youtube.com/watch?v=wS-5y9kWcBk,irrelevant,Software,ad for web.com - building a website
https://www.youtube.com/watch?v=X5hM3au1cjs,irrelevant,Gaming & Entertainment,ad for Youtube music premium
https://www.youtube.com/watch?v=yQgCqK2pHSI,irrelevant,Software,vimeo for teams
https://www.youtube.com/watch?v=GZkcly75-rU,child directed,Cartoons,LEGO DreamZzz new series streaming now
https://www.youtube.com/watch?v=SJMohopLW_g,irrelevant,Education & Learning,"informative series: In season 2 of Supply Chain Transformed, we look at how the world is tackling new and ever-present challenges in global logistics. Recent years have shown how much risk truly exists between point A and B, and in this season, we’ll explore how technology is poised to provide visibility and insight into where risk lies, and how to ensure nothing catches us off-guard again.

Billions of dollars are being invested into semiconductor production to combat component shortages. In this episode, we explore the steps needed to ensure that future supply chains are ready and able to meet unexpected surges in demand."
https://www.youtube.com/watch?v=_b6WFgchtOI,irrelevant,Autos & Vehicles,ad for honda car
https://www.youtube.com/watch?v=8lKOsKvGmrQ,child directed,Toys,"smythys toys superstore, lego ad (lego for adults tho)"
https://www.youtube.com/watch?v=X8WkW6zMWTw,irrelevant,Business & Entrepreneurship,Running a Business from Anywhere: Vivi et Margot - using Wix
https://www.youtube.com/watch?v=F1opwvyo6f8,child directed,Storytelling,Enter the Splat (Rollercoaster) | Brand 2023 | Nickelodeon - kids channel
https://www.youtube.com/watch?v=aVrkN-Ut4iA,irrelevant,Autos & Vehicles,hyundai santa fe car ad
https://www.youtube.com/watch?v=JMzg1KIZE5w,child directed,Educational Content,adapted mind math game
https://www.youtube.com/watch?v=w3ZkUoAa79Y,irrelevant,Business & Entrepreneurship,Wix Reliability Traffic Spike - website runs smoothly 
https://www.youtube.com/watch?v=vtvKLFh2oRs,child directed,Storytelling,American Born Chinese | Disney+ | Action Sell | Pre-Premiere | 15
https://www.youtube.com/watch?v=QAJy2g8VKPU,irrelevant,Business & Entrepreneurship,WE SHOOT CONTENT - 4Media Marketing
https://www.youtube.com/watch?v=DJHWsxs22jg,irrelevant,Software,ad for canva video
https://www.youtube.com/watch?v=B1zyJGOr5-s,irrelevant,Software,grammarly ad
https://www.youtube.com/watch?v=JqyEJlxV_p4,irrelevant,Education & Learning,South University National Ad
https://www.youtube.com/watch?v=7lgCLCJrP60,irrelevant,Business & Entrepreneurship,"At ADP, we understand what it takes to run a business today. That’s why use data-driven insights to design solutions and services to help you manage HR, benefits, payroll, and time more easily. So you can have more success tomorrow."
https://www.youtube.com/watch?v=XrRJ0c_Ldp4,child directed,Storytelling,Enter the Splat (T-Rex) | Brand 2023 | Nickelodeon
https://www.youtube.com/watch?v=lfOQu8x2slk,irrelevant,Autos & Vehicles,national car rental
https://www.youtube.com/watch?v=LaQSSiDE2uo,irrelevant,Software,adobe acrobat
https://www.youtube.com/watch?v=vDXMDbIQ5fE,irrelevant,Tech & Gadgets,Enter the Splat (T-Rex) | Brand 2023 | Nickelodeon
https://www.youtube.com/watch?v=LdcSU8QUo9I,irrelevant,Tech & Gadgets,Thinkmate AMD servers maximize all the benefits of AMD EPYC 9004 series processors
https://www.youtube.com/watch?v=bD36W_4C3dc,irrelevant,Tech & Gadgets,verizon cellphone plan
https://www.youtube.com/watch?v=t8rCimgNEyI,irrelevant,Software,adobe acrobat
https://www.youtube.com/watch?v=-veqakjpiRU,irrelevant,Software,speechify voice over studio - AI
https://www.youtube.com/watch?v=S6uoq-8jOl0,irrelevant,Software,Security’s on Us｜Wix Website Security
https://www.youtube.com/watch?v=fdDnIZhns4M,child directed,Cartoons,The Super Mario Bros. Movie - Own Or Rent Now
https://www.youtube.com/watch?v=E0jY8jN-9Jk,irrelevant,Finance & Legal,mortage/ house buying
https://www.youtube.com/watch?v=aBpSfU6IwuU,child directed,Toys,monster high doll unboxing
https://www.youtube.com/watch?v=6OymTXVO_Is,child directed,Toys,monster high doll
https://www.youtube.com/watch?v=LtApwvdzB_o,irrelevant,Autos & Vehicles,car ad
https://www.youtube.com/watch?v=2BVILYtTs1o,child directed,Family friendly gaming,nintendo ad for animal crossing
https://www.youtube.com/watch?v=JW4t_hE5bO0,irrelevant,Business & Entrepreneurship,Element Fleet Management has the expertise that identifies billions in savings.
https://www.youtube.com/watch?v=x14rlbcHGbw,irrelevant,Education & Learning,TOEFL Home Edition 2022
