Video Link,Primary Tag,Secondary Tag,Description
https://www.youtube.com/watch?v=_MFBdUXYuZU,irrelevant,Sports & Athletics,Music ad for a sports club (arabic)
https://www.youtube.com/watch?v=vtMyHw9OpTE,excluded,,Sufi poetry
https://www.youtube.com/watch?v=1UKKXFir0Cc,irrelevant,Gaming & Entertainment,"The Sandbox (https://www.sandbox.game) is building a unique virtual world where players can build, own, and monetize their gaming experiences using NFTs (non-fungible tokens) and $SAND, the main utility token of the platform that serves as the basis of transactions and interactions, enabling players to play, own, govern, trade, and earn. In The Sandbox, players create digital assets in the form of NFTs, upload them to the marketplace, and integrate them into games with the #nocode Game Maker."
https://www.youtube.com/watch?v=gRIsS2GwuBA,irrelevant,Software,GoDaddy 
https://www.youtube.com/watch?v=s27kADZ-qeg,irrelevant,Software,Grammarly
https://www.youtube.com/watch?v=0kt6Vc-tmpU,inaudible,Different Language,Tamer Hosny Romantic Medley with new Vision - arabic music
https://www.youtube.com/watch?v=8wYSPQp8jNQ,child directed,Storytelling,Adapted mind reading
https://www.youtube.com/watch?v=dpUO2FpSNT4,inappropriate,Display of weapons,"Army show, weapons"
https://www.youtube.com/watch?v=Rcl5omP9slA,irrelevant,Gaming & Entertainment,TheSandboxGame 
https://www.youtube.com/watch?v=ChnFz2pRH9o,irrelevant,Home and Office,Home interior furnishings
https://www.youtube.com/watch?v=exaTYMyuTeA,irrelevant,News & Current Affairs,winner of korea children's award
https://www.youtube.com/watch?v=bQES_F6c7c8,child directed,Educational Content,adapted mind maths game
https://www.youtube.com/watch?v=-8DkqpUK_DQ,irrelevant,Personal Development,Surviving Ain’t Thriving – Break Free From The Herd | Chris Jarvis | TEDxDerryLondonderryStudio
https://www.youtube.com/watch?v=CxUcLE-SuqE,irrelevant,Software,Shopify Live Product Options App
https://www.youtube.com/watch?v=UUxJlzEVicI,irrelevant,Software,Use LinkedIn and Email to Automate Lead Generation 
https://www.youtube.com/watch?v=YAGV7-qVYEo,inaudible,Different Language,Gameplay of Gang Beasts a game made for ages 7 up - spanish
https://www.youtube.com/watch?v=EW9CtqXZGFg,irrelevant,Music & Performance,Mckenna Grace Talks New Music Dropping | Billboard News
https://www.youtube.com/watch?v=0I5z4YcjBTU,irrelevant,Software,"ad for xpression camera, app which lets you choose an imag and make expressions in the form of the character"
https://www.youtube.com/watch?v=dN1ZqEuvVGQ,inappropriate,Physical Violence,"movie trailer, violence, gun, sensual themes, blood, man without a shirt"
https://www.youtube.com/watch?v=u8CL8Zgmv-w,irrelevant,Fashion,women's collection
https://www.youtube.com/watch?v=DDB3hb2Opts,irrelevant,Sports & Athletics,Man talking about cricket
https://www.youtube.com/watch?v=AbfLobuCMX4,irrelevant,Music & Performance,"Seems Like The Other Day"" Live (Official Music Video)"
https://www.youtube.com/watch?v=RkL3YP2usOE,irrelevant,Software,GoDaddy - get a professional email
https://www.youtube.com/watch?v=Mw6ytQMQGNI,inappropriate,"Drinking, drugs, smoking","offensive word at start, alcohol, breaking glass bottle, gun, smoking"
https://www.youtube.com/watch?v=34u1sOLrgVo,child directed,Educational Content,Adpated Mind ad
https://www.youtube.com/watch?v=yZYuyoWc6ZI,irrelevant,Software,"Checkmk - realtime monitoring software - powerful monitoring of networks, servers, clouds, containers and applications"
https://www.youtube.com/watch?v=1dtzSRlfBDk,child directed,Educational Content,Incentives Ad (Monster House) All Pets Desktop
https://www.youtube.com/watch?v=-tWvKMLaXVg,irrelevant,Home and Office,Office chairs?
https://www.youtube.com/watch?v=hbu7U50_5SY,irrelevant,Machinery,"Automatic Enveloping and Stacking Machine (AGM, with Plate Group Wrapping)"
https://www.youtube.com/watch?v=W9dHVieO37g,inaudible,Different Language,Turkish lyric video
https://www.youtube.com/watch?v=H04TCxLTgvI,irrelevant,Home and Office,"No more ghisai, 3X* zyada safai, only with Lemon Max Liquid!"
https://www.youtube.com/watch?v=0LbnsXgE8ro,child directed,Kids Cooking & Food,Candy ad
https://www.youtube.com/watch?v=7zEcEU1vx5c,irrelevant,Autos & Vehicles,Car seats
https://www.youtube.com/watch?v=ulN4LSNaluo,excluded,,Navratri day special
https://www.youtube.com/watch?v=CxftomuwufY,inappropriate,Inappropriate Clothing,"Music video, solo lady but shots focusing on body, tight clothing, midriff exposed"
https://www.youtube.com/watch?v=IbbbOor0c8Y,irrelevant,Personal Care & Beauty,Junaid Jamshed fragrances
https://www.youtube.com/watch?v=RnfuJRtFQD8,irrelevant,Education & Learning,Get into your top choice university with the TOEFL® test
https://www.youtube.com/watch?v=F5bdUEBwXBQ,irrelevant,Education & Learning,"Subscribe, I’m learning Russian"
https://www.youtube.com/watch?v=L5SGkW8BLbk,child directed,Play and Adventure,Vist dubai ad with theme parks 
https://www.youtube.com/watch?v=3ZwSvEx-txQ,irrelevant,Fashion,Stylo Summer Upgrade'23
https://www.youtube.com/watch?v=RF_nUpc4JAk,inappropriate,Offensive language,"n-word, sh*t, b*tch"
https://www.youtube.com/watch?v=OkJdnxuvYjA,inappropriate,Explicit Sexual Content,"dancing on the floor, suggestive, inappropriate clothing, f-word"
https://www.youtube.com/watch?v=cAMHx-m9oh8,inappropriate,"Drinking, drugs, smoking","physical Adult Suggestive Content, interpersonal violence, drinking - akhsay kumar mv"
https://www.youtube.com/watch?v=nOxZiav_pv8,child directed,Educational Content,Adapted mind math game
https://www.youtube.com/watch?v=hRyFE5xFjfY,inappropriate,Adult Suggestive Content,"Some romanric intercations, punjabi mv"
https://www.youtube.com/watch?v=18Iut7YmzM4,irrelevant,Music & Performance,Music video shocasing love for Kolkata 
https://www.youtube.com/watch?v=4NFUR9vn2MU,irrelevant,Fashion,Stylo sale
https://www.youtube.com/watch?v=wRKzTijbyK4,child directed,Play and Adventure,Fun Factory Park | At Emporium Mall - A place where endless fun begins
https://www.youtube.com/watch?v=JpNCpykjPqk,irrelevant,Software,"Help protect your site with a SSL certificate, goDaddy"
https://www.youtube.com/watch?v=wBq6vj35CoE,irrelevant,Travel & Adventure,Qatar Airways
https://www.youtube.com/watch?v=yWXANMPFT_I,irrelevant,Machinery,Ad for titanium lug bolts
https://www.youtube.com/watch?v=Kupqm7v_GEE,inaudible,Different Language,
https://www.youtube.com/watch?v=EJl7zwKsUuw,inappropriate,Physical Violence,"blood, weapon, violence, cigarette, movie trailer"
https://www.youtube.com/watch?v=Oc9vA7cjAA8,irrelevant,Finance & Legal,JSBank credit cards
https://www.youtube.com/watch?v=BJP3aIFCdXc,irrelevant,Food and Cooking,Olpers ad for milk
https://www.youtube.com/watch?v=SDdpT3kg9qs,irrelevant,Music & Performance,I Made A Song With All The SCAM MESSAGES I Got
https://www.youtube.com/watch?v=wifNQgQFywo,irrelevant,Personal Development,Welcome to Wednesday's edition of Perfect 10! We're bringing you 10 brand new questions to sharpen your mind. Tune in during your daily routine or whenever you have a moment to spare. Subscribe to get daily episodes right in your feed.
https://www.youtube.com/watch?v=CrKid-xco4E,irrelevant,Software,goDaddy domain name
https://www.youtube.com/watch?v=fnMwCP9Wljo,inappropriate,Display of weapons,toy gun used to threaten
https://www.youtube.com/watch?v=pjv66UC09AQ,irrelevant,Music & Performance,Middle-aged man reactiong to babymonster's debut
https://www.youtube.com/watch?v=vqDo11b5dEA,irrelevant,Gaming & Entertainment,Chess championship
https://www.youtube.com/watch?v=dkomGdeG6Dk,inappropriate,Adult Suggestive Content,"Jay Wheeler - Trampa (Official Visualizer), cartoon of kissing"
https://www.youtube.com/watch?v=QVS6fdze_z8,irrelevant,Software,Engineers Benefit from Grammarly Business Analytics | Grammarly Business
https://www.youtube.com/watch?v=EO5XT4UvpYw,inaudible,Different Language,SkillBox russian ad
https://www.youtube.com/watch?v=nT8qQmQlTGQ,irrelevant,Music & Performance,#Nadanthavaraikumey - Hiphop Tamizha ft. Vozhi | Hiphop Tamizha | official music video
https://www.youtube.com/watch?v=rqgs32MInm0,irrelevant,Personal Development,"Perfect10 youtube video, lady asking 10 questions to sharpen your mind"
https://www.youtube.com/watch?v=wdSVuTHNGfc,irrelevant,Music & Performance,punjabi mv
https://www.youtube.com/watch?v=eJzsVAlqj-A,irrelevant,Software,"Create a job-winning cover letter in minutes.
Use our professional cover letter templates to create a message that wows employers!"
https://www.youtube.com/watch?v=72XuyxqeE_8,irrelevant,Music & Performance,Punjabi song
https://www.youtube.com/watch?v=gWbhoYOWiCg,irrelevant,Music & Performance,"Goodhertz is an audio plugin company, in the sense that we make audio plugins. Ad for promotion, discount "
https://www.youtube.com/watch?v=hfzpV-EPtww,inappropriate,Explicit Sexual Content,music video: clothing not that revelaing but camera angles are weird an theres some sensual dance steps
https://www.youtube.com/watch?v=ZGZCJw2JXKM,irrelevant,Fashion,Stylo summer sale
https://www.youtube.com/watch?v=ClGLi--xPZ8,irrelevant,News & Current Affairs,prmotional/thank you video froma ukranian public figure
https://www.youtube.com/watch?v=l924xlPeY4s,inappropriate,Adult Suggestive Content,"inappropriate clothing, gun, very close proximity, Adult Suggestive Content"
https://www.youtube.com/watch?v=dMbrrm88x0Y,irrelevant,Software,"ad for xpression camera, app which lets you choose an imag and make expressions in the form of the character"
https://www.youtube.com/watch?v=SjzX6VPzTtw,irrelevant,Gaming & Entertainment,"looks like some vietnamese show with music, cooking?"
https://www.youtube.com/watch?v=I4FM2nhMo6E,irrelevant,Music & Performance,Fastest Land Animal - Next to You (Official Music Video)
https://www.youtube.com/watch?v=9o32X-90aXg,irrelevant,Music & Performance,"Music video, romantic ig but nothing inapp"
https://www.youtube.com/watch?v=WP7SVKcWJEY,irrelevant,Music & Performance,Becky G Accepts The Impact Award | Billboard Women In Music Awards 2023
https://www.youtube.com/watch?v=_R_Z9uKGrqw,irrelevant,Machinery,4220 RF Capacitance Level Transmitter
https://www.youtube.com/watch?v=vEx_ygFUZqE,irrelevant,Software,grammarly business
https://www.youtube.com/watch?v=xht9srvO8gU,irrelevant,Gaming & Entertainment,"looks like some vietnamese show with music, cooking?"
https://www.youtube.com/watch?v=lncgzELl14Y,irrelevant,Tech & Gadgets,"smart home appliances, robovacuum, fridge, tv, samsung ad"
https://www.youtube.com/watch?v=PoJvTWd1lYE,irrelevant,Fashion,Almirah men's collection
https://www.youtube.com/watch?v=VzWlUcoxvmY,inappropriate,"Drinking, drugs, smoking","smoking, club, weirdo dances, weird lyrics"
https://www.youtube.com/watch?v=c7kUBqwvuQg,irrelevant,Software,automate your linkedIn outreach using Waalaxy
https://www.youtube.com/watch?v=HkxHxN8gREs,irrelevant,Machinery,Rosemount™ 3051 Pressure Transmitter New Capabilities
https://www.youtube.com/watch?v=_7-3okF7t9U,excluded,,
https://www.youtube.com/watch?v=-5Nn9YiCFyA,irrelevant,Music & Performance,cover of anti hero by taylor swift
https://www.youtube.com/watch?v=9jKIxTegjZ4,irrelevant,Music & Performance,cover of a song?
https://www.youtube.com/watch?v=-CaoOjlpEaM,irrelevant,Software,CreateStudioPro Explainer Video - make 3d animations
https://www.youtube.com/watch?v=YMmfmpfrjEY,inappropriate,Physical Violence,music video teaser
https://www.youtube.com/watch?v=mF7FvOe1MTc,inaudible,Different Language,Lady singing in arabic
https://www.youtube.com/watch?v=NJYYseJfask,irrelevant,Music & Performance,shows couple going on a date but nothing sensual or inappropriate
https://www.youtube.com/watch?v=7-gLmYJTDtI,inappropriate,Explicit Sexual Content,"lyrics sexual, guy talks about smoking a joint, alcohol, club, inappropriate clothing"
