Video Link,Primary Tag,Secondary Tag,Description
https://www.youtube.com/watch?v=3sHJMZhJ9Ow,irrelevant,Autos & Vehicles,ad pertains to Glosser car care product
https://www.youtube.com/watch?v=KMfRgxuhTzc,irrelevant,Software,"ad pertains to Swish, which is an app for online payments "
https://www.youtube.com/watch?v=yoseoGqKc8c,child directed,Play and Adventure,"ad pertains to Jump Yard, a trampoline park for kids"
https://www.youtube.com/watch?v=bQES_F6c7c8,child directed,Educational Content,ad pertains to AdaptedMind's game for teaching math
https://www.youtube.com/watch?v=BILwMq8heEg,irrelevant,Fashion,ad pertains to Swatch's wrrist watches
https://www.youtube.com/watch?v=NEliG_wYYic,irrelevant,Finance & Legal,ad pertains to IIkano Bank
https://www.youtube.com/watch?v=pQCEjKkSvdA,irrelevant,Finance & Legal,"ad pertains to Anyfin, a fintech company"
https://www.youtube.com/watch?v=K63LtubqNKE,irrelevant,Home and Lifestyle,ad pertains to Elaway's home EV station charging installation
https://www.youtube.com/watch?v=atE1zCE23e8,irrelevant,Travel & Adventure,ad pertains to Gotland as a travel destination
https://www.youtube.com/watch?v=Cm-FBnVQ5yw,irrelevant,Tech & Gadgets,ad pertains to mobile subscriptions by Fello
https://www.youtube.com/watch?v=gE6ohsQdiyk,irrelevant,Fashion,ad pertains to linen clothes
https://www.youtube.com/watch?v=xACunz5Owuc,irrelevant,Autos & Vehicles,ad pertains to a youtube video of an autoexpert (Autoexperten)
https://www.youtube.com/watch?v=5d4y_3j3N_E,irrelevant,Fashion,ad pertains to summer dresses for women
https://www.youtube.com/watch?v=juv7jiH6Buk,irrelevant,Sports & Athletics,ad pertains to bicycles by Skeppshultcykeln
https://www.youtube.com/watch?v=sFdKlSQKUXA,child directed,Play and Adventure,ad pertains to a theme park; shows a cartoon promoting the theme park
https://www.youtube.com/watch?v=34u1sOLrgVo,child directed,Educational Content,ad pertains to AdaptedMind's game for teaching math
https://www.youtube.com/watch?v=uIpwvHXm0do,irrelevant,Nature & Environment,ad pertains to Balcony cultivation by HasselforsGarden
https://www.youtube.com/watch?v=rc4e3EPKXys,irrelevant,Software,"ad pertains to a banking app, Western Union"
https://www.youtube.com/watch?v=i8K9tIf89JY,irrelevant,Business & Entrepreneurship,ad pertains to a n airline; features kittens
https://www.youtube.com/watch?v=JwE0HDhUBNg,irrelevant,Tech & Gadgets,ad pertains to tech deals at a gaming store
