Video Link,Primary Tag,Secondary Tag,Description
https://www.youtube.com/watch?v=3OlWU45Sq9Q,irrelevant,Software,"Though the ad was in a different language, could guess from a few keywords that it was trying to promote an AI software"
https://www.youtube.com/watch?v=w1zAujwY7j4,irrelevant,Travel & Adventure,tourism destination place ad
https://www.youtube.com/watch?v=JuixW8CWOd8,irrelevant,Travel & Adventure,Turkish airlines ad
https://www.youtube.com/watch?v=Vf7C6ys7I9Q,irrelevant,Fashion,Vans ad
https://www.youtube.com/watch?v=hXzcyx9V0xw,child directed,Gaming & Entertainment,elemental movie trailer
https://www.youtube.com/watch?v=oVpvaUBdTjA,irrelevant,Fashion,Advertisment for a shoe brand
https://www.youtube.com/watch?v=vDXMDbIQ5fE,irrelevant,Tech & Gadgets,Phone shop ad
https://www.youtube.com/watch?v=P02F6HMsl6s,irrelevant,Home and Office,Home and washroom related equipment
https://www.youtube.com/watch?v=Ng3c6jkUpAs,irrelevant,Software,Cyber Security App
https://www.youtube.com/watch?v=znSF23DfUBk,irrelevant,Fashion,watch collection ad
https://www.youtube.com/watch?v=bQES_F6c7c8,child directed,Educational Content,Website to help kids with educational content and learning
https://www.youtube.com/watch?v=C0FYvI-bJYU,irrelevant,Health and Wellness,Stairlifts for old people ad
https://www.youtube.com/watch?v=npyn7CDAFO8,inappropriate,Scariness,"Yu-Gi cards unboxing video. The cards contain illustrations that might be inappropriate for younger audience, showing weapons, violence and scary characters that may not be suitable for younger audience"
https://www.youtube.com/watch?v=6df9J1CzWQw,irrelevant,Tech & Gadgets,Polaroid film ad
https://www.youtube.com/watch?v=7iA6dkaXYoo,irrelevant,Education & Learning,"AI Grammarly ad, software that helps with grammatical errors and sentence structure."
https://www.youtube.com/watch?v=diN58Umvr2w,child directed,Toys,toys for kids ad
https://www.youtube.com/watch?v=tXlcxpRBX-U,irrelevant,Travel & Adventure,Farm park
https://www.youtube.com/watch?v=XdA8PKZujIk,irrelevant,Autos & Vehicles,Hyundai ad
https://www.youtube.com/watch?v=Z-BoqF2UZrw,irrelevant,Fitness & Exercise,online workout app
https://www.youtube.com/watch?v=1dtzSRlfBDk,child directed,Educational Content,Website to help kids with educational content and learning
https://www.youtube.com/watch?v=H3Uk9WAOI08,irrelevant,Software,wix ad for making websites
https://www.youtube.com/watch?v=HS0iDUzk-pc,child directed,Toys,pokemon toy ad
https://www.youtube.com/watch?v=G7U7vt9bGy8,irrelevant,Education & Learning,"AI Grammarly ad, software that helps with grammatical errors and sentence structure."
https://www.youtube.com/watch?v=BzCeRS3tov4,irrelevant,Software,video editing software ad
https://www.youtube.com/watch?v=xPwjJCrBmD4,child directed,Fashion,kids bathing suits ad
https://www.youtube.com/watch?v=RH45frlpUcE,irrelevant,Parenting & Family,Pram/ baby walker ad. Even though the ad looks child directed at the start because includes animations but kids are not the target audience to sell walkers to
https://www.youtube.com/watch?v=VC7MFU0ucSk,irrelevant,Tech & Gadgets,printer ad
https://www.youtube.com/watch?v=CrKid-xco4E,irrelevant,Software,Godaddy ad for creating personalized emails
https://www.youtube.com/watch?v=c6VUi_x8Epk,irrelevant,Machinery,tools ad in a different language
https://www.youtube.com/watch?v=J5AY-qrhbKc,child directed,Toys,pokemon card ad
https://www.youtube.com/watch?v=ad6swDchVsE,irrelevant,Personal Care & Beauty,dyson hair ad
https://www.youtube.com/watch?v=34u1sOLrgVo,child directed,Educational Content,Website to help kids with educational content and learning
https://www.youtube.com/watch?v=oWbhqm4zjP0,irrelevant,Software,developer tool ad
https://www.youtube.com/watch?v=tUAomLTdfZQ,child directed,Toys,barbie toys
https://www.youtube.com/watch?v=GdBCpAc8MKQ,irrelevant,Education & Learning,TOEFL Preparation ad for higher education (admissions in colleges and universities
https://www.youtube.com/watch?v=PUozchh0LnA,child directed,Toys,toy ad for kids
https://www.youtube.com/watch?v=Adi3jT1-h4g,irrelevant,Business & Entrepreneurship,app for keeping track of profits
https://www.youtube.com/watch?v=TV5CBOLNh4U,irrelevant,Fashion,watch collection ad
https://www.youtube.com/watch?v=x7AUsb22XCM,irrelevant,Education & Learning,teaching idioms ad
https://www.youtube.com/watch?v=_L-YeF2UtV4,irrelevant,Fashion,online shopping store
https://www.youtube.com/watch?v=M6SaS-1t94c,irrelevant,Fashion,watch ad
https://www.youtube.com/watch?v=5wRioKSF_YE,inaudible,Different Language,cant understand ad
https://www.youtube.com/watch?v=yPv9em4hJvs,irrelevant,Software,some software ad but in a different language so cant understand
https://www.youtube.com/watch?v=t3pSVPS7cw8,irrelevant,Education & Learning,"AI Grammarly ad, software that helps with grammatical errors and sentence structure."
https://www.youtube.com/watch?v=YbMoadcRuzY,irrelevant,Software,AI software ad to organize voicemail transcriptions
https://www.youtube.com/watch?v=bzDD8ItXmXY,inappropriate,Offensive language,"Software for people in marketing and business. The narrator uses wtf once, but the rest of it is irrelevant"
https://www.youtube.com/watch?v=H-4W7cbO3gc,child directed,Cartoons,cartoon show for kids
https://www.youtube.com/watch?v=YlZCuMfScJI,irrelevant,Home and Office,furniture ad
https://www.youtube.com/watch?v=d2IzseAyykg,irrelevant,Travel & Adventure,morocco tourist destination ad
https://www.youtube.com/watch?v=ge-4WM2GuiE,irrelevant,Parenting & Family,ways to massage premature babies
https://www.youtube.com/watch?v=Je4R6Uuuc8c,irrelevant,Fashion,clothing brand ad
https://www.youtube.com/watch?v=5csqf3G6H5I,child directed,Cartoons,cartoon show for kids
https://www.youtube.com/watch?v=EcjBmyqTRTQ,irrelevant,Home and Office,real estate ad
https://www.youtube.com/watch?v=qSpB2DaWGNc,irrelevant,Travel & Adventure,resort ad
https://www.youtube.com/watch?v=v0ilN9wB2Cw,irrelevant,Education & Learning,The ad was in a different language so wasn't able to fully understand but was could guess from a few keywords that it was probably about their bachelors degrees from a certain instituition that they were trying to promote
https://www.youtube.com/watch?v=B1zyJGOr5-s,irrelevant,Education & Learning,"Grammarly ad, software that helps with grammatical errors and sentence structure."
https://www.youtube.com/watch?v=CsHrVJ9VjcE,irrelevant,Science & Technology,science research association ad
https://www.youtube.com/watch?v=YHGUnllob6E,irrelevant,Software,Teleprompter for zoom to help read of screen without anyone seeing
https://www.youtube.com/watch?v=asD8zHHntxM,irrelevant,Business & Entrepreneurship,customized business ads online app
https://www.youtube.com/watch?v=AZl0knF_25k,irrelevant,Finance & Legal,Advertisment promoting a management consultancy company
https://www.youtube.com/watch?v=OZVZ0epAEqc,irrelevant,Gaming & Entertainment,YouTube Premium ad
https://www.youtube.com/watch?v=BCrtP7AROsE,irrelevant,Fashion,watch ad
https://www.youtube.com/watch?v=R3bOs9ovU0M,irrelevant,Personal Care & Beauty,dyson hair roller
https://www.youtube.com/watch?v=_g0EhUr9KVc,irrelevant,Software,whiteboards online for drawing
