Video link,Primary Tag,Secondary Tag,Description
https://www.youtube.com/watch?v=3OlWU45Sq9Q,irrelevant,Business & Entrepreneurship,copywriting tool
https://www.youtube.com/watch?v=w1zAujwY7j4,irrelevant,Travel & Adventure,fun place with activites like a resort to spend summers
https://www.youtube.com/watch?v=JuixW8CWOd8,irrelevant,Travel & Adventure,Turkish airlines ad
https://www.youtube.com/watch?v=Vf7C6ys7I9Q,irrelevant,Fashion,"shoes ad, Vans company"
https://www.youtube.com/watch?v=hXzcyx9V0xw,child directed,Gaming & Entertainment,"movie trailer, elemental movie"
https://www.youtube.com/watch?v=oVpvaUBdTjA,irrelevant,Fitness & Exercise,trainers for running /jogging
https://www.youtube.com/watch?v=vDXMDbIQ5fE,irrelevant,Tech & Gadgets,mobile phone ad by a wireless company called verizon
https://www.youtube.com/watch?v=P02F6HMsl6s,irrelevant,Home and Office,bathroom retailer ad
https://www.youtube.com/watch?v=Ng3c6jkUpAs,irrelevant,Software,cybersecurity tech company ad
https://www.youtube.com/watch?v=znSF23DfUBk,irrelevant,Fashion,swiss watch ad
https://www.youtube.com/watch?v=bQES_F6c7c8,child directed,Educational Content,"adapted mind incentive ad, mathematical content for very young kids"
https://www.youtube.com/watch?v=C0FYvI-bJYU,irrelevant,Tech & Gadgets,"a chair for older people to go up/down stairs, those who can't climb stairs"
https://www.youtube.com/watch?v=npyn7CDAFO8,irrelevant,Gaming & Entertainment,card game pack review
https://www.youtube.com/watch?v=6df9J1CzWQw,irrelevant,Tech & Gadgets,new polaroid sheets ad which are reclaimed blue
https://www.youtube.com/watch?v=7iA6dkaXYoo,irrelevant,Software,grammarly ad
https://www.youtube.com/watch?v=diN58Umvr2w,child directed,Toys,"puppy corn, stuffed small puppy toy ad"
https://www.youtube.com/watch?v=tXlcxpRBX-U,child directed,Play and Adventure,outdoor farm with animals and activites for children
https://www.youtube.com/watch?v=XdA8PKZujIk,irrelevant,Autos & Vehicles,hyundai car ad
https://www.youtube.com/watch?v=Z-BoqF2UZrw,irrelevant,Software,"squarespace, web service for website building"
https://www.youtube.com/watch?v=1dtzSRlfBDk,child directed,Educational Content,"adapted mind incentive ad, mathematical content for very young kids"
