Video Link,Primary Tag,Secondary Tag,Description
https://www.youtube.com/watch?v=OzqvWtOEgkU,irrelevant,Home and Office,ad for detergent
https://www.youtube.com/watch?v=2Hn6qfvS6AA,irrelevant,Parenting & Family,family photobook ad 
https://www.youtube.com/watch?v=6244VKirfjw,irrelevant,Tech & Gadgets,mobile and gadget site
https://www.youtube.com/watch?v=4Xo6cUUHbeI,inaudible,Different Language,"music video, parcoeur voisin, lyrics in french"
https://www.youtube.com/watch?v=YAxQiXIQVRg,irrelevant,Tech & Gadgets,speaker ad
https://www.youtube.com/watch?v=INv-ZW8Mmtk,irrelevant,Personal Care & Beauty,bath and shower refills
https://www.youtube.com/watch?v=OjlT2B1eSyc,inappropriate,Display of weapons,"rap mysuc video, features people smoking, one wheeling, shows gun, shows middle finger, called ""shoot"""
https://www.youtube.com/watch?v=Qy-aoaMFi84,irrelevant,Home and Office,bedding and cushions ad
https://www.youtube.com/watch?v=Jf2aVZ41fV8,irrelevant,Travel & Adventure,shows woman's journey on a roadtrip
https://www.youtube.com/watch?v=D1UzEFIR3Uo,irrelevant,Tech & Gadgets,go pro travel camera
https://www.youtube.com/watch?v=Q3qwz4bveY8,irrelevant,Fashion,uniqlo ad
https://www.youtube.com/watch?v=3v4nxcdE0sM,inappropriate,Display of weapons,"game that features fantasy violence, guns (hero wars), age rating is 13+"
https://www.youtube.com/watch?v=-_MnGdF00cM,irrelevant,Finance & Legal,"incorrectly marked made for kids, financial assurance service ad"
https://www.youtube.com/watch?v=qZi18DrtiPI,irrelevant,Fashion,boss watches ad
https://www.youtube.com/watch?v=sE1fN1igzSQ,irrelevant,Business & Entrepreneurship,dept store carrefour ad
https://www.youtube.com/watch?v=wmkhLrKcSL4,irrelevant,Tech & Gadgets,LG TV ad
https://www.youtube.com/watch?v=mEmV3aPKo3I,irrelevant,Autos & Vehicles,volvo car ad
https://www.youtube.com/watch?v=3V8ArF9NIY0,irrelevant,Home and Office,interior sale 
https://www.youtube.com/watch?v=olhqStQmAEc,irrelevant,Music & Performance,deezer music app ad
https://www.youtube.com/watch?v=Hk7sEfmtUVs,irrelevant,Food and Cooking,ad for icecream
https://www.youtube.com/watch?v=fM97KaMKrMI,irrelevant,Food and Cooking,"ad for dept store, shows food sales -Grand Fais"
https://www.youtube.com/watch?v=nrwolYI5i8E,child directed,Family friendly gaming,Taonga Island game
https://www.youtube.com/watch?v=7u0L6-DSijY,irrelevant,Autos & Vehicles,ad for electric charging station for cars
https://www.youtube.com/watch?v=mv6938DWwrM,irrelevant,Software,amazon ad
https://www.youtube.com/watch?v=sEhWuhezQMA,irrelevant,Food and Cooking,mug cake mix ad
https://www.youtube.com/watch?v=a5wA-L3JX-E,irrelevant,Finance & Legal,ad for digital services for insurance company
https://www.youtube.com/watch?v=adVGScCEpxI,irrelevant,Travel & Adventure,ad promoting cultural activities
https://www.youtube.com/watch?v=W32b2mJ3MdE,irrelevant,Gaming & Entertainment,lord of the rings card game
https://www.youtube.com/watch?v=xdU9xlRRlZk,irrelevant,Personal Care & Beauty,perfume ad
https://www.youtube.com/watch?v=f_owQ19kssM,irrelevant,Travel & Adventure,psa for metro disruption 
https://www.youtube.com/watch?v=cuJjngO6uxk,inappropriate,Extreme stunts ,"running out of window, glass shattering - ad for tag hueuer, car speeding, fire as well"
https://www.youtube.com/watch?v=vwD8raSjRgg,irrelevant,Personal Care & Beauty,ad for face cream by vichy
https://www.youtube.com/watch?v=0suTnYrGR1Y,child directed,Family friendly gaming,pokemon collectible cards
https://www.youtube.com/watch?v=RwHzi556ve0,irrelevant,Personal Care & Beauty,p&g france braun razor
