Video Link,Primary Tag,Secondary Tag,Description
https://www.youtube.com/watch?v=MUlCcY8Bfk0,inappropriate,Scariness,"ad for Poppy Playtime game, creepy characters"
https://www.youtube.com/watch?v=WsiFEkxrZpk,irrelevant,Music & Performance,arabic mv
https://www.youtube.com/watch?v=QDrNLfZe8tU,irrelevant,Personal Care & Beauty,ad for garnier shampoo
https://www.youtube.com/watch?v=0KGU2pvnYgQ,irrelevant,Tech & Gadgets,ad for internet (inwi)
https://www.youtube.com/watch?v=7T3qIOIDJ5w,irrelevant,Personal Care & Beauty,ad for colgate toothpaste
https://www.youtube.com/watch?v=tFy0geWLrdc,inappropriate,"Drinking, drugs, smoking","mv, smoking, bottles of alcohol"
https://www.youtube.com/watch?v=JRwI_9MUggQ,irrelevant,Food and Cooking,ad for marjane farms
https://www.youtube.com/watch?v=_PmFP2jsXM8,irrelevant,Music & Performance,Hooked On Me I Sandeep I Jodha I Biggsmokkie I K2 Records I New Punjabi Song 2023
https://www.youtube.com/watch?v=q9BqjQZO9DI,irrelevant,Personal Care & Beauty,ad for colgate toothpaste
https://www.youtube.com/watch?v=muYBmNwrC1A,irrelevant,Education & Learning,tutorial for how to remove jitters 3D animation
https://www.youtube.com/watch?v=eoq-jPn6quQ,irrelevant,Finance & Legal,mastercard ad featuring messi
https://www.youtube.com/watch?v=mM89D7_Fo3M,irrelevant,Travel & Adventure,"ad for inDrive, ride sharing app"
https://www.youtube.com/watch?v=Pg4R-rMPNPk,irrelevant,Music & Performance,arabic mv
https://www.youtube.com/watch?v=HEpYBZVVe6A,irrelevant,Gaming & Entertainment,ad for electronic gaming tournament
https://www.youtube.com/watch?v=xQOBkMe5uOk,inappropriate,Offensive language,"music video, smoking, bad language,"
https://www.youtube.com/watch?v=PDIsOIK6zGM,irrelevant,Business & Entrepreneurship,ad for European Fulfillment Center
https://www.youtube.com/watch?v=TU6flY0QdPw,irrelevant,Food and Cooking,ad for marjane farms
https://www.youtube.com/watch?v=0P5OGExLfYE,irrelevant,Personal Care & Beauty,ad for nivea serum
https://www.youtube.com/watch?v=metpFkwRmps,child directed,Storytelling,Barbie All Day Routine | Evening Routine & play with toys | Barbie playing videos for kids
https://www.youtube.com/watch?v=nFX-GWQjeeI,inaudible,Different Language,
https://www.youtube.com/watch?v=MPLWw4-q93U,irrelevant,Music & Performance,indian wedding song from movie
https://www.youtube.com/watch?v=UNIH4MDMOko,irrelevant,Personal Care & Beauty,FIT ME FRESH TINT Maybelline - makeup
https://www.youtube.com/watch?v=XDrxAPGnCUs,irrelevant,Gaming & Entertainment,ad for a show
https://www.youtube.com/watch?v=XmCHxT4nAmc,irrelevant,Machinery,ad for LED and lighting displays
https://www.youtube.com/watch?v=NsHiu_FxcE4,irrelevant,Music & Performance,kpop dance performance
https://www.youtube.com/watch?v=LXzxF9mGyeo,child directed,Educational Content,ad for AdpatedMind - children's learning app
https://www.youtube.com/watch?v=QrYIOjs7K8E,irrelevant,Music & Performance,kpop mv
https://www.youtube.com/watch?v=MjZkmUrqdHY,inappropriate,Explicit Sexual Content,"ad for hero wars web - female characters depicted sus, weapons"
https://www.youtube.com/watch?v=FBhXBSMPBIs,irrelevant,Personal Care & Beauty,ad for nivea serum
https://www.youtube.com/watch?v=ILGY39I5u2Y,inappropriate,Display of weapons,"clip of fortnite, shooting"
https://www.youtube.com/watch?v=lIEevJ3td5Y,irrelevant,Autos & Vehicles,ad for toyota car
https://www.youtube.com/watch?v=qLaog_g56X0,irrelevant,Home and Office,ad for fridge
https://www.youtube.com/watch?v=OAHjT4EMCvU,inappropriate,Scariness,"ad for PUBG game, gun shown, dinosaurs"
https://www.youtube.com/watch?v=rSickeJuceE,irrelevant,Autos & Vehicles,ad for car
https://www.youtube.com/watch?v=Hmc_66CUjBg,inappropriate,Explicit Sexual Content,rap mv 
https://www.youtube.com/watch?v=8QV-sqFx9is,irrelevant,Fashion,ad for watches
https://www.youtube.com/watch?v=E8AkFNlbE0g,child directed,Family friendly gaming,ad for minecraft app
https://www.youtube.com/watch?v=1dtzSRlfBDk,child directed,Educational Content,Incentives Ad (Monster House) All Pets Desktop
https://www.youtube.com/watch?v=uZ1WUENox-I,irrelevant,Food and Cooking,ad for mcdonald's
https://www.youtube.com/watch?v=s-hK8stBxo4,irrelevant,Autos & Vehicles,ad for tires
https://www.youtube.com/watch?v=7AHQl_wcUmk,inappropriate,Explicit Sexual Content,"ad for hero wars web - female characters depicted sus, weapons"
https://www.youtube.com/watch?v=34u1sOLrgVo,child directed,Educational Content,"Adpated Mind ad, children's math game app"
https://www.youtube.com/watch?v=ZM4-AAdOgJo,child directed,Kids Cooking & Food,ad for kinder chocolate
https://www.youtube.com/watch?v=VbDJW-ktTpg,inappropriate,Adult Suggestive Content,"punjabi mv, Adult Suggestive Content, sensual themes"
https://www.youtube.com/watch?v=DJkcu1VJwGA,irrelevant,Software,ad for 3d animation software
https://www.youtube.com/watch?v=9f3PBrD_HXU,irrelevant,Food and Cooking,ad for instant coffee
https://www.youtube.com/watch?v=DQLQE-gjUoc,irrelevant,News & Current Affairs,recent events regarding Royal moroocan football association
https://www.youtube.com/watch?v=s623SVMgrCM,irrelevant,Personal Care & Beauty,ad for loreal serum
https://www.youtube.com/watch?v=3L7TDhXxJXY,irrelevant,Travel & Adventure,ad for Radisson Hotels 
https://www.youtube.com/watch?v=a352rj-2heg,irrelevant,Tech & Gadgets,football themed ad for wifi/interent
https://www.youtube.com/watch?v=2FRCJIGzIok,irrelevant,Software,ad for micro-jobbing app to get paid
https://www.youtube.com/watch?v=BPI_NYvo1cs,inaudible,Different Language,arabic lyric video
https://www.youtube.com/watch?v=c7DXf_MDoBQ,irrelevant,Tech & Gadgets,ad for mosquito repellant device
https://www.youtube.com/watch?v=MwECfTmFyMg,irrelevant,Food and Cooking,ad for tomato paste
https://www.youtube.com/watch?v=yUVJLYndRx4,irrelevant,Software,ad for marjan mall online
https://www.youtube.com/watch?v=G-dh_L1Mah8,irrelevant,Business & Entrepreneurship,Axiomatics State of Authorization Report
https://www.youtube.com/watch?v=DBZzLD06Ogg,irrelevant,Home and Office,ad for dish washing liquid
https://www.youtube.com/watch?v=Dk2anlJ-TX8,irrelevant,Tech & Gadgets,ad for mobile data
https://www.youtube.com/watch?v=MH0yHPxZDYg,irrelevant,Music & Performance,#Video | Tohre Se Bhor | #Ritesh Pandey #Harshika Poonacha | Bhojpuri Movie Sanam Mere Humraaj Song
