Video Link,Primary Tag,Secondary Tag,Description
https://www.youtube.com/watch?v=oVSZeq6CqS8,irrelevant,Travel & Adventure,ad pertains to attractions at Changi Airport
https://www.youtube.com/watch?v=6h5r6vuqhaw,irrelevant,Tech & Gadgets,ad pertains to the Mistral Induction Cooker
https://www.youtube.com/watch?v=25CTmfakE0w,inappropriate,Physical Violence,ad pertains to Fortnight; includes shooting 
https://www.youtube.com/watch?v=pxy849Tlmw8,child directed,Non-violent video games,ad pertains to building a sea fort in Minecraft
https://www.youtube.com/watch?v=2Hc1OjFxv-M,irrelevant,Music & Performance,ad pertains to a KPOP song
https://www.youtube.com/watch?v=6HPrtKiPRmE,irrelevant,Cooking and Food,ad pertains to Nescafe gold 
https://www.youtube.com/watch?v=ez6f-aYXfSU,irrelevant,Finance & Legal,ad pertains to Nations Trust Bank; largely inaudible 
https://www.youtube.com/watch?v=5Dpk6GyunJU,irrelevant,News & Current Affairs,ad pertains to a news segment about providing emergency relief to families
https://www.youtube.com/watch?v=8CRSP1wCppA,irrelevant,News & Current Affairs,ad pertains to a news segement about Fadna being awarded for their T-shirt quality and innovation
https://www.youtube.com/watch?v=uomGqi_nFxo,inappropriate,Adult Suggestive Content,ad pertains to a Haryanvi song; some displays of Adult Suggestive Content present
https://www.youtube.com/watch?v=AZZZpZ7ez2o,inappropriate,Offensive language,ad pertains to a music video; contains offensive language; inappropriate physical contact 
https://www.youtube.com/watch?v=qGJziQ8L7UY,inappropriate,Explicit Sexual Content,ad pertains to  what seems like a health app; shows two people kissing 
https://www.youtube.com/watch?v=DNAgL7JDnoE,irrelevant,Cooking and Food,ad pertains to Lankasoi's meat products
https://www.youtube.com/watch?v=nOxZiav_pv8,child directed,Educational Content,ad pertains to Adapted Mind's cartoon for teaching kids math
https://www.youtube.com/watch?v=trhrBTl1noM,inappropriate,Scariness,"ad pertains to a game; shows a character being burnt in lava, and a dog being killed with spikes"
https://www.youtube.com/watch?v=xnYwITwhLVM,irrelevant,Parenting & Family,ad pertains ot Nangrow's formula for babies
https://www.youtube.com/watch?v=MjZkmUrqdHY,inappropriate,Scariness,"ad pertains to a game, shows a character being shot at and crushed; violence and scariness present"
https://www.youtube.com/watch?v=EIMLG8uKK5Y,irrelevant,Cooking and Food,ad pertains to Nestle's nutritional products
https://www.youtube.com/watch?v=wURw58DWiOA,irrelevant,Software,ad pertains to Dialog's data plans
https://www.youtube.com/watch?v=DwNatxJHBGo,irrelevant,Personal Care & Beauty,ad pertains to Sensodyne for tooth sensitivity
https://www.youtube.com/watch?v=0fxHu4MVujg,irrelevant,Gaming & Entertainment,ad pertains to building worlds in TheSandboxGame; since the game is 18+ it is not child directed
https://www.youtube.com/watch?v=0eOQOwTnsGg,irrelevant,Home and Lifestyle,ad pertians to Spring Pal's mattress
https://www.youtube.com/watch?v=tQk6tR89eb0,inappropriate,Scariness,ad pertains to a KPOP song; shows coffin; depicts death; a ghost; and what seems like hell
https://www.youtube.com/watch?v=bQES_F6c7c8,child directed,Educational Content,ad pertains to Adapted Mind's cartoon for teaching kids math
https://www.youtube.com/watch?v=dnU4qj-ZT2I,irrelevant,Cooking and Food,"ad pertains to ENO, a drink for better digestion"
https://www.youtube.com/watch?v=9n6Q3LKurHc,inappropriate,Adult Suggestive Content,ad pertains to a turkish music video; inherently romantic lyrics
https://www.youtube.com/watch?v=-kGC-gustpA,inappropriate,Adult Suggestive Content,ad pertains to a punjabi music video; interent romantic dynamic; 
https://www.youtube.com/watch?v=pPs_ftHlRuE,irrelevant,Parenting & Family,ad pertains to Pampers for babies
https://www.youtube.com/watch?v=vNTz1bQ9o0Q,irrelevant,News & Current Affairs,ad pertains to weekly roundup news about Sri lanka's economics
https://www.youtube.com/watch?v=EErQSV7Xph0,irrelevant,Social Issues & Activism,ad pertains to a message about educational descrimination by Monash university
https://www.youtube.com/watch?v=-JlqGqRYKcw,irrelevant,Education & Learning,ad pertains to a foundation certificate for continuing studies and finding jobs in Australia
https://www.youtube.com/watch?v=m3MI_GZk2Xs,irrelevant,Health and Wellness,ad pertains to AED Market's emergency medical supplies
https://www.youtube.com/watch?v=EDn5Wo8okXk,inappropriate,Physical Violence,"ad pertains to a gaming addon called Powder, shows a shooting game; display of weapons"
https://www.youtube.com/watch?v=OnzaZ4JUrfg,irrelevant,Business & Entrepreneurship,ad pertains to Hotel and Cafe Rubus
https://www.youtube.com/watch?v=bcdM17Yub4w,irrelevant,Fashion,ad pertains to The OEDL Unisex clothes collection
https://www.youtube.com/watch?v=s27kADZ-qeg,irrelevant,Software,ad pertains to GrammarlyGO
https://www.youtube.com/watch?v=gi3v86GGFS8,irrelevant,Personal Care & Beauty,ad pertains to Body mists by Forest Essentials
https://www.youtube.com/watch?v=D0PuuZeX2qk,irrelevant,Home and Lifestyle,ad pertains to blenders for kitchen
https://www.youtube.com/watch?v=OiPiBpbuoJE,irrelevant,Nature & Environment,ad pertains to lions in the wild
https://www.youtube.com/watch?v=1tStpmg7HF8,irrelevant,Home and Lifestyle,ad pertain to an interior designing company
