Video link,Primary Tag,Secondary Tag,Description
https://www.youtube.com/watch?v=yPFTHg8U4aQ,irrelevant,Food and Cooking,McDonald's ad
https://www.youtube.com/watch?v=JfLuWKJbS7I,irrelevant,Food and Cooking,dairy products company ad
https://www.youtube.com/watch?v=uRJkOrnFVx4,irrelevant,Home and Office,philips airfryer ad
https://www.youtube.com/watch?v=4vW9a2tgiS8,inappropriate,Scariness,"Scary creepy animal and shark, scary background sounds"
https://www.youtube.com/watch?v=hN5eHa-Zh3o,irrelevant,Autos & Vehicles,car workshop ad
https://www.youtube.com/watch?v=g9_UzA4Tr4E,irrelevant,Home and Office,Ikea ad
https://www.youtube.com/watch?v=p9Xgp3-_8cY,inappropriate,"Drinking, drugs, smoking","bottle of wine shown, liquor company ad"
https://www.youtube.com/watch?v=cuJjngO6uxk,inappropriate,Extreme stunts ,"man jumping down window, swords, extreme car driving"
https://www.youtube.com/watch?v=nOxZiav_pv8,child directed,Educational Content,"adapted mind ad, mathematical animated ad"
https://www.youtube.com/watch?v=ULLhYIdpdZw,inappropriate,Display of weapons,"man cutting wood using axe, fire"
https://www.youtube.com/watch?v=dRje7cZhls4,inappropriate,Scariness,"Avatar movie clip, showing avatar, scary for children"
https://www.youtube.com/watch?v=S07Jw63zp-o,irrelevant,Autos & Vehicles,car charging box
https://www.youtube.com/watch?v=2N4TGOoRpUQ,irrelevant,Autos & Vehicles,Uber ad
https://www.youtube.com/watch?v=cJR25ndPunQ,irrelevant,Health and Wellness,software for healthcare
https://www.youtube.com/watch?v=FCs7KnEXOno,irrelevant,Personal Care & Beauty,veet hair removal cream ad
https://www.youtube.com/watch?v=Gwl3HdDkRdc,irrelevant,Parenting & Family,skincare for kids
https://www.youtube.com/watch?v=7G53XSJiPgs,irrelevant,Food and Cooking,food chain ad
https://www.youtube.com/watch?v=ozb_fBPGe4g,irrelevant,Software,platform to sell stuff at home
https://www.youtube.com/watch?v=txzacC5VaiU,irrelevant,Home and Office,"gas cylinder for home, delivery"
https://www.youtube.com/watch?v=CQ3gpfOh2ZM,irrelevant,Home and Office,home mopping robot
https://www.youtube.com/watch?v=nhhX8vieWbg,irrelevant,Fashion,clothing brand ad
https://www.youtube.com/watch?v=s-hK8stBxo4,irrelevant,Autos & Vehicles,car tires ad
https://www.youtube.com/watch?v=vNTXVsXdQVY,irrelevant,Home and Office,robotic vaccum cleaner
https://www.youtube.com/watch?v=hPyFWKs9jak,irrelevant,Machinery,"metal company, different types of metals"
https://www.youtube.com/watch?v=lM01TQKLYF0,child directed,Gaming & Entertainment,"movie poster, labelled as 'Made for Kids'"
https://www.youtube.com/watch?v=ggg57-VBjfY,irrelevant,Home and Office,supermarket ad
https://www.youtube.com/watch?v=9Ucj75HtaPA,inappropriate,"Drinking, drugs, smoking","drinking shown, video of carpenters making furniture, use of tools such as drill, knife shown"
https://www.youtube.com/watch?v=ec1-rs1qFE4,irrelevant,Software,platform to sell stuff at home
https://www.youtube.com/watch?v=6ieS_k8HAjY,irrelevant,Personal Care & Beauty,dentist ad
https://www.youtube.com/watch?v=W8amwBmutvA,irrelevant,Gaming & Entertainment,horsing video game
https://www.youtube.com/watch?v=mPV4Z0kjEBA,irrelevant,Personal Care & Beauty,chewy pastilles for dental care
https://www.youtube.com/watch?v=iviCwMZYxZE,irrelevant,Travel & Adventure,travel SL card topup app
https://www.youtube.com/watch?v=-LaCtfsEjJk,irrelevant,Autos & Vehicles,car tires ad
https://www.youtube.com/watch?v=tLIS4p1jZ40,irrelevant,Home and Office,developers of housing and residential areas
https://www.youtube.com/watch?v=GOQYdY6loqI,irrelevant,Science & Technology,flow accelerators for lean portfolio maagement
https://www.youtube.com/watch?v=j55oJ8NHXlw,irrelevant,Autos & Vehicles,car tires ad
https://www.youtube.com/watch?v=7N-gertdkEk,irrelevant,Machinery,house fixing tools
https://www.youtube.com/watch?v=7vxYn55D51o,irrelevant,Gaming & Entertainment,tv show ad
https://www.youtube.com/watch?v=l-wtFtZn-QU,irrelevant,Gaming & Entertainment,"lego group, disney ad"
https://www.youtube.com/watch?v=bgG-2tO4K5I,irrelevant,Software,platform to sell stuff at home
https://www.youtube.com/watch?v=MO1V-iezJfs,irrelevant,Personal Care & Beauty,veet hair removal pack
https://www.youtube.com/watch?v=cqX9yekkwVs,irrelevant,Gaming & Entertainment,video game ad
https://www.youtube.com/watch?v=dMBevlP_R_g,child directed,Toys,lego toys ad
https://www.youtube.com/watch?v=Lfvv89hmpsA,irrelevant,Parenting & Family,diapers ad
https://www.youtube.com/watch?v=ggP_MVVOxAs,inappropriate,"Drinking, drugs, smoking","display of shark, glasses of wine"
https://www.youtube.com/watch?v=PnDOAKPb7dI,irrelevant,Home and Office,cat food ad
https://www.youtube.com/watch?v=TjTOG8bm4KM,irrelevant,Sports & Athletics,lab testing to find perfect shoes for runners
https://www.youtube.com/watch?v=8AaYqSXBLFM,irrelevant,Autos & Vehicles,Uber ad
https://www.youtube.com/watch?v=4xLbmdqdbO4,irrelevant,Home and Office,cat food ad
https://www.youtube.com/watch?v=1vYQjBJXFHc,irrelevant,Personal Care & Beauty,dentist ad
https://www.youtube.com/watch?v=o3cH4GixdoQ,irrelevant,Food and Cooking,"energy drink, redbull"
https://www.youtube.com/watch?v=9x9Miio1Nng,irrelevant,Music & Performance,pop band's music
https://www.youtube.com/watch?v=O80y5qIm9u8,irrelevant,Autos & Vehicles,bicycle ad
https://www.youtube.com/watch?v=K00EqVb4W-I,irrelevant,Home and Office,"pasting strips, like double sided tape to stick anything anywhere"
https://www.youtube.com/watch?v=ZOfVWeanwNk,irrelevant,Home and Office,interior designing company
https://www.youtube.com/watch?v=enNOZJSDFFs,irrelevant,Travel & Adventure,adventurous outdoor area with many activities for everyone
https://www.youtube.com/watch?v=pNQvIPHsNT4,child directed,Toys,"lego toys ad, 'Made for Kids' labelled"
https://www.youtube.com/watch?v=-kjFZkSFqRs,irrelevant,Fashion,clothing brand ad
https://www.youtube.com/watch?v=zpifMjj-5WI,irrelevant,Finance & Legal,ad of a bank
https://www.youtube.com/watch?v=awjbc_gYjX8,irrelevant,Home and Office,"tools and products for garden, bathrooms or other interior designing"
https://www.youtube.com/watch?v=WkA4aQm-h2s,irrelevant,Travel & Adventure,"shopping, travel, activities"
https://www.youtube.com/watch?v=a3FUPmqyz74,irrelevant,Travel & Adventure,arena with sports pool and other recreational activities
https://www.youtube.com/watch?v=kB4ZaJQwpTE,irrelevant,Personal Care & Beauty,perfume ad
https://www.youtube.com/watch?v=fH2jD_AqbqY,irrelevant,Home and Office,"online store for home furniture, decor, and other products"
https://www.youtube.com/watch?v=3yqLnwf2ORE,irrelevant,Home and Office,home mopping robot
https://www.youtube.com/watch?v=Lk6Lgm02x20,irrelevant,Travel & Adventure,software to seacrh and compare flights
https://www.youtube.com/watch?v=YxgjC2AH0kk,irrelevant,Autos & Vehicles,car tires ad
https://www.youtube.com/watch?v=Qx7kfnN8624,irrelevant,Home and Office,interior designers ad
https://www.youtube.com/watch?v=EXZunOo_tEA,irrelevant,Personal Care & Beauty,hair dye ad
https://www.youtube.com/watch?v=BtrXmISKGuk,irrelevant,Autos & Vehicles,"car charging box, especially for bad weather"
https://www.youtube.com/watch?v=PFNtS5E5VTo,child directed,Play and Adventure,"disney lego ad, labelled"
https://www.youtube.com/watch?v=v7EBCttmA4Q,irrelevant,Tech & Gadgets,"mobile services ad, repairing etc"
https://www.youtube.com/watch?v=3DSRKTHSfWU,irrelevant,Autos & Vehicles,"car dealer, new and used cars"
https://www.youtube.com/watch?v=9BL7IIYINKk,irrelevant,Personal Care & Beauty,skin care for a healthy skin
https://www.youtube.com/watch?v=XFPuWIUpRQE,irrelevant,Finance & Legal,bank that help enterpreneurs with loans and advice
https://www.youtube.com/watch?v=HtH4irH2xJs,inappropriate,"Drinking, drugs, smoking","clear display of wine bottle and drinking, knife display to cut meat, originally a cooking video"
https://www.youtube.com/watch?v=UUWmUd_X5sc,irrelevant,Travel & Adventure,turkish airlines ad
https://www.youtube.com/watch?v=y5fzgkuEvjg,irrelevant,Tech & Gadgets,water bottle which adds taste to water
https://www.youtube.com/watch?v=RBNWrSdbe_Y,irrelevant,Personal Care & Beauty,colgate toothpaste ad
https://www.youtube.com/watch?v=c7qiydT_yFY,irrelevant,Personal Care & Beauty,"gucci flora, perfume ad"
https://www.youtube.com/watch?v=RW1s5PjvEVg,irrelevant,Travel & Adventure,travel agency ad
https://www.youtube.com/watch?v=bW-SSb6bz6M,irrelevant,Gaming & Entertainment,online place to buy video games ad
