Video link,Primary Tag,Secondary Tag,Description
https://www.youtube.com/watch?v=j6SdxLsnye4,irrelevant,Travel & Adventure,Hotel Tacande
https://www.youtube.com/watch?v=emJVhrICD4I,irrelevant,Gaming & Entertainment,cineworld memebership ad
https://www.youtube.com/watch?v=96taVO8ln7Y,irrelevant,Travel & Adventure,visit USA ad
https://www.youtube.com/watch?v=34bPDFN_trU,child directed,Play and Adventure,Disney World ad
https://www.youtube.com/watch?v=_CgmXm_bZfU,child directed,Toys,kids toys
https://www.youtube.com/watch?v=bzDD8ItXmXY,irrelevant,Software,Hotjar marketing software
https://www.youtube.com/watch?v=tVb3VEnyfRI,irrelevant,Parenting & Family,H&M baby clothes
https://www.youtube.com/watch?v=C1JXIkp2x90,irrelevant,Software,squarespace software to make websites
https://www.youtube.com/watch?v=4nWFHckih18,inappropriate,"Drinking, drugs, smoking",koppaberg drink ad
https://www.youtube.com/watch?v=rtX3DujJPZk,irrelevant,Software,android developers ad
https://www.youtube.com/watch?v=gAOi_Ts5vYk,inappropriate,Scariness,Diablo Video game  includes dark and horror themes with weapons
https://www.youtube.com/watch?v=cIKCVA5NxHY,irrelevant,Software,Chrome ad
https://www.youtube.com/watch?v=t3pSVPS7cw8,irrelevant,Education & Learning,"Grammarly ad, software that helps with grammatical errors and sentence structure."
https://www.youtube.com/watch?v=1T70-_kMhD0,irrelevant,Science & Technology,chromatography 
https://www.youtube.com/watch?v=S6uoq-8jOl0,irrelevant,Software,Wix secure websites
https://www.youtube.com/watch?v=eJ5FpTltXZU,irrelevant,Software,Chrome ad
https://www.youtube.com/watch?v=KUeeOocvpgU,irrelevant,Gaming & Entertainment,Spiderman movie trailer
https://www.youtube.com/watch?v=HjLk1aes5Cs,irrelevant,Tech & Gadgets,earphones ad
https://www.youtube.com/watch?v=ERDKViDj3Xw,irrelevant,Social Issues & Activism,Recycling and preventing ocean plastic
https://www.youtube.com/watch?v=0EFyK5CsZus,irrelevant,Personal Care & Beauty,rimmel concealer
https://www.youtube.com/watch?v=bQES_F6c7c8,child directed,Educational Content,App for kids for education and learning
https://www.youtube.com/watch?v=PShp8livnbk,irrelevant,Software,squarespace software to make websites
https://www.youtube.com/watch?v=icJIHroeu6M,irrelevant,Travel & Adventure,Melia Hotel and resorts
https://www.youtube.com/watch?v=zuuLAQy-FpM,irrelevant,Tech & Gadgets,4G network service ad
https://www.youtube.com/watch?v=JeC8aH2C6VY,irrelevant,Gaming & Entertainment,The Kardashians trailer
https://www.youtube.com/watch?v=SvKkIoqukZU,irrelevant,Health and Wellness,concious education
https://www.youtube.com/watch?v=WOj4Agh7x3o,irrelevant,Fashion,clothing brand
https://www.youtube.com/watch?v=C0FYvI-bJYU,irrelevant,Tech & Gadgets,stair lifts for old people
https://www.youtube.com/watch?v=80VnJrLcJd8,irrelevant,Software,Hotjar marketing software
https://www.youtube.com/watch?v=LKtXc08x7Bw,irrelevant,Software,android developers ad
https://www.youtube.com/watch?v=9dbeQnX0yPI,irrelevant,Music & Performance,music video
https://www.youtube.com/watch?v=dCy18q5LUxo,irrelevant,Health and Wellness,Sanitary pads
https://www.youtube.com/watch?v=YbMoadcRuzY,irrelevant,Software,voice maile transcription ad
https://www.youtube.com/watch?v=1dtzSRlfBDk,child directed,Educational Content,App for kids for education and learning
https://www.youtube.com/watch?v=pQcRrzsFa1U,irrelevant,News & Current Affairs,Hiroshima summit conference
https://www.youtube.com/watch?v=QRXw38cMeRg,irrelevant,Finance & Legal,website for financial services
https://www.youtube.com/watch?v=bV-2M0pvZHQ,irrelevant,Autos & Vehicles,Hyundai autos
https://www.youtube.com/watch?v=Avn01qcTGOE,irrelevant,Music & Performance,music video
