Video link,Primary Tag,Secondary Tag,Description
https://www.youtube.com/watch?v=WD5meI7vQ-k,irrelevant,Personal Care & Beauty,perfume ad
https://www.youtube.com/watch?v=z_RqlCZAKKg,irrelevant,Home and Office,mattresses sale ad
https://www.youtube.com/watch?v=s8QapmBahDo,irrelevant,Health and Wellness,ad about worst downsides of smoking and that it should be quit
https://www.youtube.com/watch?v=5dTtmZ3PUgI,irrelevant,Home and Office,kitchen applicances/pans ad
https://www.youtube.com/watch?v=HYK0QJnuCgE,irrelevant,Tech & Gadgets,"mobile phone ad, google pixel"
https://www.youtube.com/watch?v=wCRL3PJixBg,irrelevant,Finance & Legal,app for prescription savings
https://www.youtube.com/watch?v=ixupw9tFXUM,irrelevant,Finance & Legal,basic needs help for people who cannot afford by government
https://www.youtube.com/watch?v=XWjSPMhRAu4,irrelevant,Finance & Legal,ad of a person from a political party helping people
https://www.youtube.com/watch?v=1dpHBsOAqOk,irrelevant,Finance & Legal,"AI Bot for trading, automated trading system to earn better"
https://www.youtube.com/watch?v=14G6xHIQn3o,irrelevant,Health and Wellness,allergy relief ad
https://www.youtube.com/watch?v=Us2F3iWpSOo,irrelevant,Gaming & Entertainment,youtube premium and music ad
https://www.youtube.com/watch?v=6yT9YywZs-0,inappropriate,Scariness,"transformers, huge robotic animals"
https://www.youtube.com/watch?v=qiMoSsT07QQ,irrelevant,Home and Office,ad of homes in a new place and features in the homes and that area
https://www.youtube.com/watch?v=Qi4J1OAv-5Q,irrelevant,Fitness & Exercise,home workout challenge
https://www.youtube.com/watch?v=Ko_MFKNR5Y4,irrelevant,Health and Wellness,ad about worst downsides of smoking and that it should be quit
https://www.youtube.com/watch?v=c6JmUPQm1OY,irrelevant,Autos & Vehicles,hyundai car ad
https://www.youtube.com/watch?v=mhFDhNWZhc8,irrelevant,Software,remote access to one's desktop tool
https://www.youtube.com/watch?v=rs2t0PyaLBc,irrelevant,Business & Entrepreneurship,adobe acrobat ad
https://www.youtube.com/watch?v=QHB4jfB1PuU,irrelevant,Education & Learning,a platform where everyone believes in science
https://www.youtube.com/watch?v=lt6jqs-hNHk,irrelevant,Education & Learning,University's ad
https://www.youtube.com/watch?v=7eoLR6GHW24,irrelevant,Health and Wellness,kidney disease's awareness
https://www.youtube.com/watch?v=OtOigw2BsCM,irrelevant,Gaming & Entertainment,space game
https://www.youtube.com/watch?v=5wq7G-D5Ca0,irrelevant,Home and Office,cooling and warming bed
https://www.youtube.com/watch?v=S6uoq-8jOl0,irrelevant,Software,secure website platform
https://www.youtube.com/watch?v=rEJt7AlKjGw,child directed,Toys,water balloon toys ad
https://www.youtube.com/watch?v=1C35_ndm1nY,irrelevant,Personal Care & Beauty,elf make up brand ad
https://www.youtube.com/watch?v=85GPDx7C3f8,irrelevant,Autos & Vehicles,hyundai car ad
https://www.youtube.com/watch?v=TqCQUr3XEkY,irrelevant,Machinery,industrial use tool
https://www.youtube.com/watch?v=rLnRRqJbXaY,irrelevant,Parenting & Family,transitioning one's child to use open cup for food
https://www.youtube.com/watch?v=UBCAJHJkTsk,irrelevant,Travel & Adventure,a place's membership for activites for families
https://www.youtube.com/watch?v=yujvWPvzvL8,inappropriate,Extreme stunts ,"racing car, too much speeding"
https://www.youtube.com/watch?v=x5gyR7lhJP0,irrelevant,Health and Wellness,"app for help with health, doctor appointments, meetings etc"
https://www.youtube.com/watch?v=-y0kWwJJegY,irrelevant,Health and Wellness,liquid bandage for cuts and other skin issues
https://www.youtube.com/watch?v=lLbK2LfI1Uk,irrelevant,Autos and Vehicles,hyundai car ad
https://www.youtube.com/watch?v=Ve-xhsC6DW4,irrelevant,Education & Learning,Prude university's online degree platform
https://www.youtube.com/watch?v=Uytmors2b4w,irrelevant,Software,chrome i/o ad
https://www.youtube.com/watch?v=-U4e20JohnQ,irrelevant,Food and Cooking,"food chain, burger ad"
https://www.youtube.com/watch?v=6CQsdKDRP4g,irrelevant,Finance & Legal,business credit cards
https://www.youtube.com/watch?v=AaHCyRzE6Wc,irrelevant,Autos & Vehicles,hyundai car ad
https://www.youtube.com/watch?v=5o6LcdFQXJM,irrelevant,Education & Learning,online summer school ad
https://www.youtube.com/watch?v=5Jw6FRnziSA,irrelevant,Software,grammarly ad
https://www.youtube.com/watch?v=QpVZwIjg-r4,irrelevant,Food and Cooking,twizzlers chewers ad
https://www.youtube.com/watch?v=jpe3xzFBJ7Y,irrelevant,Home and Office,walmart ad
https://www.youtube.com/watch?v=DF3UHpo-Cy8,inappropriate,Scariness,"child abduction, gun, gun shooting, physical violence"
https://www.youtube.com/watch?v=2tI5ibyBnjg,irrelevant,Tech & Gadgets,beats ear buds ad
https://www.youtube.com/watch?v=GwWfjYq2pBI,irrelevant,Autos & Vehicles,audi car ad
https://www.youtube.com/watch?v=sY_73xMg0Co,inappropriate,Display of weapons,"dispaly of gun, shooting, iviolence using other objects, dark trailer"
https://www.youtube.com/watch?v=3KyyB1vGi9Y,irrelevant,Food and Cooking,healthy breakfast biscuits ad
https://www.youtube.com/watch?v=zB0GNcmFRFs,irrelevant,Health and Wellness,child cancer story by a hospital 
https://www.youtube.com/watch?v=1toFNig1A14,irrelevant,Travel & Adventure,"resort for holidays with activites for kids and adults, family holidays"
https://www.youtube.com/watch?v=e8J8u_oE8Ug,irrelevant,Health and Wellness,medicine ad
https://www.youtube.com/watch?v=bG7CxJwCQVA,irrelevant,Gaming & Entertainment,gaming/activity/playarea ad with games
https://www.youtube.com/watch?v=srmeVTizUzo,inappropriate,Display of weapons,"drinking, weapons such as guns and gun being shot on people, scary mask person"
https://www.youtube.com/watch?v=LaQSSiDE2uo,irrelevant,Software,adobe acrobat ad
https://www.youtube.com/watch?v=nZ5v4yN9QAg,irrelevant,Food and Cooking,healthy juice ad
https://www.youtube.com/watch?v=5K3fe0Z6nYo,inappropriate,Extreme stunts ,extreme physical stunts
https://www.youtube.com/watch?v=w6NcDEwDj3s,irrelevant,Fashion,aldo shoes ad
https://www.youtube.com/watch?v=QpnHaKNCaT0,inappropriate,"Drinking, drugs, smoking",display of beer in the end
https://www.youtube.com/watch?v=5u5MK5VOEig,child directed,Toys,lego toys ad
https://www.youtube.com/watch?v=U6BovNVh-FA,irrelevant,Home and Office,laundary detergent ad
https://www.youtube.com/watch?v=6dYBtdfwjyc,irrelevant,Health and Wellness,cream for eczema treatment
https://www.youtube.com/watch?v=lhdlMNRu3RE,excluded,,religious talk
https://www.youtube.com/watch?v=Vms2qh9AOyU,irrelevant,Software,multilpe uses of amazon
https://www.youtube.com/watch?v=h0pXBrprI-A,irrelevant,Health and Wellness,medicine for a disease 
https://www.youtube.com/watch?v=wPwzBUui1GA,inappropriate,Display of weapons,display of a huge gun being shot
https://www.youtube.com/watch?v=1uXgHs7rxXQ,irrelevant,Software,secure hosting for websites
https://www.youtube.com/watch?v=_-9F6mSr-qg,irrelevant,Food and Cooking,company that provides prepared meals
https://www.youtube.com/watch?v=CC3AE61x0Fs,irrelevant,Tech & Gadgets,google pixel mobile phone ad
https://www.youtube.com/watch?v=eZvaciULBkU,irrelevant,Gaming & Entertainment,"manga, korean comicbooks service"
https://www.youtube.com/watch?v=umjz5hU3qCY,irrelevant,Business & Entrepreneurship,departmental store in Iceland 
https://www.youtube.com/watch?v=McvURqImWVM,irrelevant,Software,grammarly ad
https://www.youtube.com/watch?v=bY5UCzMvqgA,irrelevant,Health and Wellness,video on dietary guidance about constipation
https://www.youtube.com/watch?v=JGDTbiPmgZ4,inaudible,Different Language,a women sspeaking in vietnamese
https://www.youtube.com/watch?v=qZcNaQHqpzk,irrelevant,Home and Office,"cat health, for fleas"
https://www.youtube.com/watch?v=VERikeXAEmI,irrelevant,Education & Learning,online study platform for materials for exams
https://www.youtube.com/watch?v=qQagxwqyBXk,irrelevant,Education & Learning,university ad 
https://www.youtube.com/watch?v=mVKDrykzpAY,irrelevant,Finance & Legal,life insurance company
https://www.youtube.com/watch?v=Z92KBycHuQg,irrelevant,Health and Wellness,alzehimer's support video
https://www.youtube.com/watch?v=c1ayrXo5xQY,irrelevant,Education & Learning,university to study and learn cars
https://www.youtube.com/watch?v=Z_FrgzI6EKY,irrelevant,Home and Office,non stick pans for cooking
https://www.youtube.com/watch?v=71SYQOYL578,irrelevant,Home and Office,"laundary detegent, liquid, powder and other items ad"
https://www.youtube.com/watch?v=pYHSZ2t4uSI,irrelevant,Comedy & Entertainment,comedy podcast/live show
https://www.youtube.com/watch?v=WjpHZKI3rYw,irrelevant,Home and Office,kitchen applicances/pans ad
https://www.youtube.com/watch?v=G6vAHiBgJRo,irrelevant,Tech & Gadgets,tech market
https://www.youtube.com/watch?v=9S_-u-loSGI,irrelevant,Parenting & Family,health expert care for kids
https://www.youtube.com/watch?v=870Y2tYULTc,irrelevant,Fashion,valentino purse ad
https://www.youtube.com/watch?v=gc9-4oq1idA,child directed,Gaming & Entertainment,"elemental movie, animated, different elements like fire and water together"
https://www.youtube.com/watch?v=cByVnljQKM4,irrelevant,Home and Office,mattresses ad
https://www.youtube.com/watch?v=AzMttDsSdyM,irrelevant,Education & Learning,school of medicine
https://www.youtube.com/watch?v=WPFlurvkFqk,irrelevant,Personal Care & Beauty,concealrs ad
https://www.youtube.com/watch?v=vRmw1Pw-KRU,irrelevant,Software,"wix, website builder"
https://www.youtube.com/watch?v=NCTjp5JQ4pQ,irrelevant,Gaming & Entertainment,youtube updates
https://www.youtube.com/watch?v=mr7lps2J0cI,irrelevant,Home and Office,cat food
https://www.youtube.com/watch?v=E-ZiUhrhkqY,irrelevant,Home and Office,dish soap
https://www.youtube.com/watch?v=3poCVbxp8rk,irrelevant,Health and Wellness,diabetes awareness
https://www.youtube.com/watch?v=4E5Lpz6-IW8,irrelevant,Autos & Vehicles,hyundai car ad
https://www.youtube.com/watch?v=S5gSVpPLIpk,irrelevant,Gaming & Entertainment,youtube premium ad
https://www.youtube.com/watch?v=1dtzSRlfBDk,child directed,Educational Content,"adapted mind ad, mathematical animated ad"
https://www.youtube.com/watch?v=eGmtjBqdrJs,irrelevant,Food and Cooking,natural environment grown beef and lamb
https://www.youtube.com/watch?v=asQxg47L94U,irrelevant,Tech & Gadgets,"music gadgets such as mic, headphones ad"
https://www.youtube.com/watch?v=UEt6bedQyFY,irrelevant,Autos & Vehicles,KIA car ad
https://www.youtube.com/watch?v=eJ5FpTltXZU,irrelevant,Software,the new google i/o ad
https://www.youtube.com/watch?v=zpE9jKxjnHs,irrelevant,Health and Wellness,awareness and help with constipation
https://www.youtube.com/watch?v=QJdeFsehV0c,irrelevant,Fashion,sale on men's clothes ad
https://www.youtube.com/watch?v=OqGz3LdWeTg,irrelevant,Gaming & Entertainment,the kardashians show on hulu
https://www.youtube.com/watch?v=_q74KMT1_Oc,irrelevant,Food and Cooking,twizzlers chewers ad
https://www.youtube.com/watch?v=Mor7xMPSiLo,irrelevant,Autos & Vehicles,KIA car ad
