,id,title,description,channelId,channelTitle,thumbnail,tags,categoryId,madeForKids,duration,duration seconds
0,RJjfACkbhv8,গ্লো-এর জন্য সব কিছু এক ক্রিমেই | Glow & Lovely Advanced Multivitamin | Glow & Lovely Bangladesh,,UCMASK6HUcVVBNxv-IjHAdNA,Glow & Lovely Bangladesh,https://i.ytimg.com/vi/RJjfACkbhv8/default.jpg,"['sabila', 'sabila noor']",22,False,PT7S,7.0
1,g_qO0fcqKCk,rh_global_sub_16x9_15_bangladesh_bengali,,UCq2g8ncbYfSmdoj1gcuJCDw,inDrive,https://i.ytimg.com/vi/g_qO0fcqKCk/default.jpg,N/A,2,False,PT15S,15.0
2,nXgNvvvxUd8,Sargasso-131 | One and Two Seater | Sofa | HATIL BD | হাতিল । সোফা,"Sargasso is one of HATIL’s most ambitious sofa designs. It is innovation and elegance together. Sargasso gets its wooden structure from HATIL’s innovative bend wood technique which gives the sofa structural integrity. At the same time, this technique makes Sargasso a modern piece of furniture design. The wooden handle and open space design make Sargasso the perfect set piece for both commercial and residential use.

For more information about this sofa, please visit-
https://hatil.com/sofa/sargasso-131

About HATIL Furniture 
HATIL is considered to be the ‘game-changer in Bangladesh’s furniture industry. Carefully chosen raw material, environment-friendly business practice, and customer-centric approach is what made HATIL a beloved brand at home and abroad.

HATIL Furniture - Social Profile 
Official site: https://www.hatil.com
Facebook: https://www.facebook.com/hatilbd
Instagram: https://www.instagram.com/hatil.furni...
LinkedIn: https://bd.linkedin.com/company/hatil
Official site: https://www.hatil.com

ঘরে বসেই ভার্চুয়াল শোরুমের মাধ্যমে আমাদের বিশাল কালেকশন দেখতে ক্লিক করুন: 
https://hatil.link/v

নির্ঝঞ্ঝাট শপিংয়ের জন্য আপনার পছন্দের ফার্নিচার বেছে নিন আমাদের ফেসবুক শপ থেকে:
https://www.facebook.com/hatilbd/shop/

আপনার ইন্টেরিয়র এবং ফার্নিচার নিয়ে সময়োপযোগী নানা টিপস আছে আমাদের ব্লগে!
https://hatil.com/blog


⚠️ WARNING ⚠️
This content is Copyright to HATIL Furniture. Any unauthorized reproduction, redistribution or re-upload is strictly prohibited of this material. Legal action will be taken against those who violate the copyright of the following material presented!


#sofa #hatil #furniture #hatilbd #modularsofa #newsofa",UCx4Bo2f6MCA2D79gNuCfh4Q,HATIL,https://i.ytimg.com/vi/nXgNvvvxUd8/default.jpg,"['sofa', 'hatil', '1 seater sofa', '2 seater sofa', 'hatil sofa', 'sofa set']",22,False,PT23S,23.0
3,8MQ0p6mNccU,[NINE to SIX] 'Don't Call Me' MV,"[NINE to SIX] 'Don't Call Me' MV

NINE to SIX 1st Single Album ⟦GOOD TO YOU⟧
🎶 2023.05.31 18:00 (KST)

✔ To know more updates of DKZ : 
Youtube : http://www.youtube.com/dkz_dy
Twitter :  http://www.twitter.com/dkz_dy
Instagram :  http://www.instagram.com/dkz_dy
Facebook: https://www.facebook.com/dkzdyofficial
TikTok : http://www.tiktok.com/@dkz_dy
Fancafe : http://cafe.daum.net/DONGKIZ

#GOOD_TO_YOU
#NINEtoSIX #Dont_Call_Me 
#나인투식스 #9to6 #돈콜미 @DKZ_DY",UCxfDjve-GIgTy2C7ktFQP2w,DONGYO ENTERTAINMENT,https://i.ytimg.com/vi/8MQ0p6mNccU/default.jpg,N/A,22,False,PT3M15S,195.0
4,rg2aZV7UmEY,「勁賞全城PAY」- BoC Pay 2023年第二期消費券,「勁賞全城PAY」宣傳由人氣女星楊偲泳(Renci) 夥拍以精明見稱的人氣KOL小斯，推介以BoC Pay 登記及使用消費券的最著數攻略，盡享一系列消費及理財優惠。,UCo1NXE2A6b4YTSWp1gD_agw,中銀香港 BOCHK,https://i.ytimg.com/vi/rg2aZV7UmEY/default.jpg,"['中銀香港', 'BoC Pay', '2023年第二期消費券消費券', '勁賞全城PAY', '現金獎賞', 'CVS', '2023 CVS Second-instalment', '轉數快', 'FPS', 'UnionPay', '流動支付', 'Mobile payment', '雲閃付', '迎新獎賞', '消費']",27,False,PT35S,35.0
5,KdU9xHBcafI,Beat the summer heat at luxury resort | Kaalmegha Country Club & Resort,"On this Eid, vacation beat the summer heat with your friends & family on our private pool along with a jacuzzi. Kaalmegha Country Club & Resort is waiting for you. 
For booking & more contact : 01766668415, 01766668475, 01766668446, 01766668442
Please visit our website: https://kaalmegha.com
  Facebook: https://www.facebook.com/Kaalmegha",UCUJrdNnoX42N13ddK9N1Vjw,Kaalmegha Country Club & Resort,https://i.ytimg.com/vi/KdU9xHBcafI/default.jpg,"['luxury resort', 'resort', 'Kaalmegha Country Club & Resort']",22,False,PT34S,34.0
6,3P1VvqqiVjM,ঢাকায় রবি'র সেরা 4.5G,"ব্যস্ত শহর ঢাকাতে জীবনের গতি আরো বেড়েছে রবি'র সাথে! 
তাই আজই এক্সপেরিয়েন্স করুন রবি'র সেরা 4.5G নেটওয়ার্ক",UCGam1tnoq3O5uZIvfouGEvw,Robi Axiata Limited,https://i.ytimg.com/vi/3P1VvqqiVjM/default.jpg,['Commercial'],19,True,PT15S,15.0
7,9WuiTpFRjBM,SINGER ঈদে ঘষলেই ফ্রি-তে ফ্রিজ,"দেশব্যাপী যেকোনো সিঙ্গার আউটলেট থেকে রেফ্রিজারেটর অথবা ফ্রিজার কিনে স্ক্র্যাচ কার্ড ঘষে জিতে নিতে পারেন ১০০% পর্যন্ত ডিসকাউন্ট।
এছাড়াও, ডিরেক্ট কুল রেফ্রিজারেটরে থাকছে ৮০০০ টাকা পর্যন্ত নগদ ছাড় ও সাইড বাই সাইড রেফ্রিজারেটরে ২০,০০০ টাকা পর্যন্ত অদল-বদল অফার।",UCVpa8S1cWhfSPDiR1o2I-qg,Singer Bangladesh Limited,https://i.ytimg.com/vi/9WuiTpFRjBM/default.jpg,N/A,24,False,PT21S,21.0
8,opNK4iEb5RI,Jadur Ayna | Video Song | Antonagar | Chorki Original Film | Atiya Anisha | Saif Zohan | Jahid Nirob,"করলা কী যে তুক তুক তুক, বুক করে ধুকপুক
বাঁকা চোখের চাউনি তো নয়, তীর ছোড়া ধনুক 
ভালোবাসার মাসে আপনাদের জন্য চরকি-র আরেকটি উপহার। Chorki Original Film ‘আন্তঃনগর’-এর ‘জাদুর আয়না’ 

Music Composer : Jahid Nirob
Singer : Atiya Anisha & Saif Zohan
Lyricist: Atanu Tias
Music Arrangement : Jahid Nirob

কী দেখাইলা বন্ধু তুমি
আরে কী দেখাইলা বন্ধু তুমি
সুন্দর একখান আয়না  
জাদুর আয়নায় মুখ দেখিতে
পাগল মনের বায়না॥

কী দেখাইলা বন্ধু তুমি
সুন্দর একখান আয়না  
জাদুর আয়নায় মুখ দেখিতে
পাগল মনের বায়না ॥

করলা কী যে তুক
তুক তুক তুক 
তুক তুক তুক 
বুক করে ধুকপুক
হুম হুম হুম হুম 
বাঁকা চোখের চাউনি তো নয়
তীর ছোড়া ধনুক।।


যা হবার হোক যে যাই ভাবুক
কিছুই আসে যায় না।।
কী দেখাইলা বন্ধু তুমি
সুন্দর একখান আয়না  
জাদুর আয়নায় মুখ দেখিতে
পাগল মনের বায়না ॥
পাগল মনের বায়না ॥

পড়েছি কোন ফাঁদে
হাত বাড়িয়ে চাঁদে
প্রেমে পড়া মানুষ যারা
পাগল হয় কি সাধে?

দেহের ভাঁজে মন মজেছে
পথ খুঁজে তো পায় না ॥
জাদুর আয়নায় মুখ দেখিতে
পাগল মনের বায়না ।
পাগল মনের বায়না ॥

#Antonagar #JadurAyna #Chorki #BanglaFilm",UCot6_4CL7KESSNiDcjeBFCw,Chorki,https://i.ytimg.com/vi/opNK4iEb5RI/default.jpg,"['chorki', 'chorki app', 'chorki natok', 'chorki films', 'chorki movie', 'chorkie', 'chorki trailer', 'chorki new drama', 'chorki film', 'chorki original film', 'chorki songs', 'chorki series', 'corki', 'new chorki video', 'chorki new movie', 'chorki song', 'how to use chorki', 'chorki app review', 'new chorki song']",1,False,PT3M40S,220.0
9,MX_307s6-CE,Nodir Kul | Coke Studio Bangla | Season 2 | Idris X Arnob X Ripon (Boga),"As inhabitants of this beautiful delta- our lives have been forever bound with rivers. For ages rivers have given life as much as it had poised the fear of uncertainty. But that’s the beauty of Bangladesh, this beautiful string of emotion that binds us to the rivers is #RealMagic. Polli Kobi Jashimuddin skillfully captures this essence of life in his writings. His poetry feels like a countryside breeze that brings relief to the hardships and fatigue of city life. His deep knowledge of rural Bengal, acquired from childhood stories and the collection of folk tales, has resulted in the creation of timeless literary masterpieces in the form of songs and poetry. And then there is the enchanting melody of Abbasuddin, our Shurerpakhi, the melody that resonates with the spirit of the delta. When these two maestros come together, ""Nodir Kul"" reached an extraordinary pinnacle of its marvel. #NodirKul is not just a lyrical marvel but is distinct in its composition too. The fusion of ‘Kirtan’ and ‘Bhatiyali’ feels inseparable, representing the traditional, co-existing lifestyle of our community. The song has the ability to cross both time and borders, as Jalal's flute merges harmoniously with the clarinet of Idris, while Ripon's (Boga) captivating voice sways in harmony with Arnob's composition and accompanying musicians. It is an honor for Coke Studio Bangla to be able to pay tribute to this magic! Together, we travel through the endlessness of #RealMagic. 

#cokestudiobanglas2     

Listen on Spotify: http://open.spotify.com/track/2JAQDPp...

Curated & Produced by Shayan Chowdhury Arnob
Written and Composed by Jashimuddin 
Music Composed and Arranged by Shayan Chowdhury Arnob
Mixed by Shayan Chowdhury Arnob
And Ifte Khairul Alam Shubho 
Mastered by Faizan Rashid Ahmad
Mixed and Mastered at Kolorob Studio 

Artists:
Ripon Kumar Sarkar (Boga): Main Vocal
Idris Rahman: Clarinet
Shayan Chowdhury Arnob: Piano, Vocals 
Jalal Ahmed: Flute
Sayonton Mangsang : Clarinet, Additional beat 
Sunidhi Nayak: Vocals
Rubayat Rehman: Vocals
Jannatul Firdous Akbar: Vocals
Shuvendu Das Shuvo: Guitarlele, Vocals 
Mithun Chakra: Percussion, Khol 
Pradyut Chatterjea: Keys
Faizan Rashid Ahmad: Bass Guitar
Wadid Mahmood: Drums
Md. Mobarak Hossain: Mondira
Ashikul Islam Abir: Esraj
Shounak Debnath Wreek: Sarengi

CREATIVE AGENCY: GREY ADVERTISING BANGLADESH LTD.
Creative Producer: Syed Gousul Alam Shaon
Project Lead: Jihad Bin Tahzeeb
Creative Lead: Mehedi Hasan Ansari & Jaiyyanul Huq
Strategy Lead: Bitop Das Gupta
Art Lead: Ahsan Ullah
Project Supervisor: Martuza Jalal Antick
Art Supervisor: Mijan Islam
Servicing & Digital: Farsina Rahman
Art: Alefun Naher, Al Nasir
Copywriter: Kazuki Kunimoto 
Planning: Naimul Hoque, Nakibur Rahman

SOUND SQUAD
Live Audio Engineer: Zakir Hossain
Recording Engineer: Victor Tiash Das
Monitor & System Engineer: Shafayat Faisal Nahid
Assistant: Jamal Hossain, Atikul islam
Recording Assistant: Ifte Khairul Alam (Shuvo)
Head of Audio: Faizan Rashid Ahmad (Buno)
Voiceover: Armeen Musa

PROJECT COORDINATION
Project Coordinator & Co-Producer: Shamsur Rahman Alvi
Artist Manager: Amit Pramanik
Background research: Gowtam K Shuvo
Copyright Co-ordination: Zooel Morshed

VIDEO PRODUCTION BY DOPE PRODUCTIONS PVT. LTD.
Director: Krishnendu Chattopadhyay
Director of Photography: Kamrul H. Khosru
Co-Producer: Rumel Chowdhury
Assistant Producer: Shibbir Ahmed Shawon
Line Producer: Sobahan Naim
Asst. Line Producer: Zannatul Zaman Eshi, Tamjid Tonmoy 
Cinematographers: Ishtiaque Hossain Pablo, Abdul Mamun, Shohag Chowdhury, Tanveer Ahmed Shovon, Anik Rahman
Team Co-ordinator: Qazi Rahat 
Chief Assistant Director: Azmery Kowsser Tushi, Mohammad Majedul Huque Rana, Sreejan Halder
Assistant Directors: Will Hridoy, Muntaquem Al Mahian, Tarek Mahmud Shumon, Nahian khan, Tawfiq Taaseen, Mobesher Hossain Rahad, Azeezul Hakim Zarif, Biplob Yousuf
Set Designer: Shadab Zafar
Art Director: Shihab Nurun Nabi, Razim Ahmed, Tareq Bablu
On Set Art Director: MD. Fajle Rabby, MD. Saiful Islam
Props Master: MD. Tushar khan
Drawing support: Archt. Mosaddek Hossain Galib
Artist Appearance Team: Nuzhat Khan, Didarul Dipu, Nusrat Srabony
Editor: Sazal Alok
Asst. Editor: Abu Ihsan Rafi
Grade: Vayshak Shiva
Post-production Supervisor: Nazmul Ibne Azam
Online Switching Team: Sharafat Prithu, Drohi R., Sinjoy Saha (Ecube Inc.)
Online Edit: Rudro Tahsinn
CGI: Backlit Communications
Artist Co-ordinator: Troyee Islam, P. Joana
Set Builder: Khorshed Alam
Other Video Cinematographer, Editor, and Director: Asad Borhan
Event team: Communicators
Wardrobe
Main Vocal: Nabila
House Band: Raw Nation
Jewellery: Rongoboti
Makeover: Persona & Team Tarek
Light Designer: Shailesh Kalwar 
Associate Light Designer: Ridwaan Ahmed
TV Media Partner: Deepto Television (Kazi Media Limited)
Telco Partner: Grameenphone
Audio Streaming Partner: Spotify
Digital Distribution partner: Qinetic Music

Subtitle: Srabanti Datta 
Photographer: Zia Uddin, Raw Xposure",UCIB65_E_7XEScU2NB135wDw,Coke Studio Bangla,https://i.ytimg.com/vi/MX_307s6-CE/default.jpg,N/A,10,False,PT9M23S,563.0
