,id,title,description,channelId,channelTitle,thumbnail,tags,categoryId,madeForKids,duration,duration seconds
0,wMKvGAHJ-t4,Intro Lite English,,UCTV4e8JlEP2WTRb4T0awH5A,Joelle YTK,https://i.ytimg.com/vi/wMKvGAHJ-t4/default.jpg,N/A,22,True,PT4S,4.0
1,nOxZiav_pv8,Math Game Walkthrough Ad,,UCMMkOy1OtB1OkjB6PNTk9Sw,AdaptedMind,https://i.ytimg.com/vi/nOxZiav_pv8/default.jpg,N/A,22,False,PT1M8S,68.0
2,DwNatxJHBGo,දන්ත සංවේදීතාවය නොසලකා හරින්න එපා කල්ගතවෙද්දි එය බරපතල විය හැකSensodyne දැන් සියලුම ෆාමසි වල ඇත,"දන්ත සංවේදීතාවය නොසලකා හරින්න එපා කල්ගතවෙද්දි එය බරපතල විය හැක
Sensodyne දැන් සියලුම ෆාමසි වල ඇත #sensodyne",UCH3D6zUxAhanFrpVRgzfXuQ,Sensodyne LK,https://i.ytimg.com/vi/DwNatxJHBGo/default.jpg,N/A,22,False,PT6S,6.0
3,Hxy0AEktdaQ,Outro Lite,,UCTV4e8JlEP2WTRb4T0awH5A,Joelle YTK,https://i.ytimg.com/vi/Hxy0AEktdaQ/default.jpg,N/A,22,False,PT3S,3.0
4,5Dpk6GyunJU,Manudam Mehewara has recently provided emergency relief to families in Kandy | DIalog Axiata,"මනුදම් මෙහෙවර මානුෂීය ක්‍රියාන්විතය තුළින් පසුගියදා මහනුවර දිස්ත්‍රික්කයේ ආර්ථික දුෂ්කරතා නිසා දැඩි ලෙස පීඩාවට පත් පවුල්වලට හදිසි සහන සැලසීමට හැකිවිය.
 
මෙම ක්‍රියාන්විතය හරහා මේ දක්වා දිවයිනේ සියලුම දිස්ත්‍රික්ක ආවරණය කරමින් පීඩාවට පත් පවුල් 120,000 කට අධික සංඛ්‍යාවකට හදිසි සහන සැලසීමට හැකිවී තිබේ.
 
පරිත්‍යාගයෙන් දායකවීමට https://dlg.lk/455CG9Tවෙත පිවිසෙන්න.
 
மனிதநேய ஒன்றிணைவு - பல பெருநிறுவனங்களின் மனிதாபிமான கூட்டணியானது கண்டியிலுள்ள குடும்பங்களுக்கு அனர்த்த நிவாரணங்களை வழங்கியது. இத்திட்டமானது இதுவரை 25 மாவட்டங்களிலும் உள்ள 120000இற்கும் மேற்பட்ட குடும்பங்களுக்கு அனர்த்த நிவாரணங்களை அளித்து புதிய மைல்கல்லை எட்டியுள்ளது. 

நன்கொடை அளிப்பதற்கு  https://dlg.lk/455CG9T ஐ பார்வையிடுங்கள்
நாம் ஒன்றிணைந்தால் மாற்றம் உருவாகும்
 
Manudam Mehewara – a multi-corporation humanitarian alliance has recently provided emergency relief to families in Kandy. The project has reached a milestone of providing emergency relief to over 120,000 families in need, spanning all 25 districts.

To donate, visit https://dlg.lk/455CG9T
 
Together we can make a difference!

#ManudamMehewara",UCvnn7bguqhNwUTiKbkLo83A,Dialog Axiata,https://i.ytimg.com/vi/5Dpk6GyunJU/default.jpg,N/A,28,False,PT1M22S,82.0
5,lkcK9ACRHAw,BINELLI GAD- FIND OUT (OFFICIAL VIDEO),"BINELLI GAD-FIND OUT OFFICIAL VIDEO.


FOLLOW BINELLI GAD ON IG: https://instagram.com/binelli_gad_official?igshid=MmJiY2I4NDBkZg==",UCLHSUHjoeh0ODp9TqUquCxA,Teff U Deff,https://i.ytimg.com/vi/lkcK9ACRHAw/default.jpg,N/A,10,False,PT3M14S,194.0
6,DEjgK96R0GA,Come and Say G’day | TV Advert (60s) | Tourism Australia,"In Australia, G'day is the start of every great adventure. 

Join souvenir kangaroo Ruby (Rose Byrne) and toy unicorn Louie (Will Arnett) on theirs as they explore everything Australia has to offer. From sacred sites to bustling laneways and every laidback local in between, they’ll discover there really is nothing like Australia.

In this video, Ruby and Louie say G'day to:
Green Island, QLD
Sydney, NSW
Coles Bay, TAS
Maria Island, TAS
Melbourne, VIC
Canberra, ACT
Kangaroo Island, SA
Cottesloe Beach, WA
Nitmiluk National Park, NT
Uluru Kata-Tjuta National Park, NT

So, what are you waiting for? Come and say G'day: https://www.australia.com
 - - - - - - 
Subscribe to our channel: https://www.youtube.com/australia 
- - - - - - 
Connect with us: 
Web: https://www.australia.com 
Twitter: https://twitter.com/australia 
Facebook: https://www.facebook.com/SeeAustralia 
Instagram: https://www.instagram.com/australia 
TikTok: https://www.tiktok.com/@australia

#comeandsaygday #seeaustralia",UCmbP8N4zqO9UJtO2cNCQ0jQ,Australia,https://i.ytimg.com/vi/DEjgK96R0GA/default.jpg,"['Green Island', 'Sydney', 'Coles Bay', 'Maria Island', 'Melbourne', 'Canberra', 'Kangaroo Island', 'Cottesloe Beach', 'Nitmiluk National Park', 'Uluru Kata-Tjuta National Park', 'New South Wales', 'Queensland', 'Northern Territory', 'Western Australia', 'South Australia', 'Victoria', 'Australian Capital Territory', 'Tasmania', 'NSW', 'QLD', 'SA', 'WA', 'TAS', 'NT', 'Australia', 'Australia Holiday', 'Australia Vacation']",19,False,PT1M,60.0
7,K2zyrr8spXM,隻眼睛兩隻眼睛三隻眼睛 | One Eye Two Eyes and Three Eyes Story in Chinese @ChineseFairyTales,"一隻眼睛兩隻眼睛三隻眼睛 |  三姐妹 | One Eye Two Eyes and Three Eyes Story in Chinese | 睡前故事 | 童話故事 | 儿童故事 | 故事 | 4K UHD | 中文童話 | @ChineseFairyTales 

★ Subscribe us on YouTube : http://bit.ly/2zegiwL
★ Like us on Facebook : http://bit.ly/2OZVFPK
★ Follow us on Instagram : http://bit.ly/2CTL69P
★ Twitter : http://bit.ly/2PwsZxj

Watch Children's Stories in English on our English Fairy Tales Channel : http://www.youtube.com/c/EnglishFairyTales   

💙观看更多视频 💙 Watch More Videos in Chinese 💙

► 长发公主 - Rapunzel : https://youtu.be/1PlKwRB7eYI

► 灰姑娘 - Cinderella : https://youtu.be/0LZfmY4IyB0

► 睡美人 - Sleeping Beauty : https://youtu.be/F8SAVn_LEjs

► 十二个跳舞的公主 - 12 Dancing Princess : https://youtu.be/zaqW84X2PhA

► 狼和七个孩子 - Wolf And Seven Little Goats : https://youtu.be/0enRij1Osss

► 小美人鱼 - Little Mermaid : https://youtu.be/jiEBhPq_o70

► 白雪公主和七个小矮人 - Snow White And The Seven Dwarfs : https://youtu.be/rCIP3pBL668

► 小红帽 - Little Red Riding Hood : https://youtu.be/hNoWce-4A_0

► 韩塞尔与葛雷特 - Hansel And Gretel : https://youtu.be/PuWPFGgBlY8

► 三只小猪 - Three Little Pigs : https://youtu.be/anBo8Pq_9i4

► 美女与野兽 - Beauty And The Beast : https://youtu.be/leL0zu5hBp4

► 红鞋子 - Red Shoes : https://youtu.be/NK6g3g0dPGk

► 侏儒怪 - Rumpelstiltskin : https://youtu.be/GFODgi1_Kzg

► 冰雪女王 - Snow Queen : https://youtu.be/37s1wPdYKPs

► 拇指姑娘 - Thumbelina : https://youtu.be/0extHKaKdIA

► 老鼠公主 - Little Mouse Who Was A Princess : https://youtu.be/Q3wc8WvPAV4

► 野天鹅 - Wild Swans : https://youtu.be/GmVxwu6s_eE

► 公主童话故事 - Princess Fairy Tales 1 : https://youtu.be/ss9LKHDTtII

► 牧鹅姑娘 - Goose Girl : https://youtu.be/GRvJDg1NplU

► 彼得潘 - Peter Pan : https://youtu.be/3-M9YeNS6Oc


Parental guidance: Some material of this video may not be suitable for children’s Below 13 year’s of age.

Disclaimer ► 
The Chinese Fairy Tales Channel and all of its videos are not “directed to children” within the meaning of Title 16 C.F.R. § 312.2 of CHILDREN'S ONLINE PRIVACY PROTECTION ACT (USA) are not intended for children under 13 years of age. Chinese Fairy Tales CHANNEL and its owner(s), agents, representatives, and employees do not collect any information from children under 13 years of age and expressly deny permission to any third party seeking to collect information from children under 13 years of age on behalf of Chinese Fairy Tales CHANNEL. Further, Chinese Fairy Tales CHANNEL denies any and all liability or responsibility for the practices and policies of YouTube and its agents and subsidiaries, or any other affiliated third party, regarding data collection.",UCZh0I81cEMmC6MOk4WM8foA,Chinese Fairy Tales,https://i.ytimg.com/vi/K2zyrr8spXM/default.jpg,"['卡通', '儿童', '童话故事', '兒童故事', '中文童話故事', '卡通故事', '糖果屋', '中文童话', '兒童睡前故事', '一隻眼睛兩隻眼睛三隻眼睛', 'chinese fairy tale', '儿童睡前故事', '小美人鱼', '睡前小故事', '侏儒怪', '童話故事', '中文童话故事', 'One Eye Two Eyes and Three Eyes Story in Chinese', '童話', '中文童話', '#WingsCFT', 'chinese fairy tales', '睡前故事', '中文故事', '故事', '三姐妹', '儿童故事']",24,False,PT13M41S,821.0
8,6HPrtKiPRmE,Create moments that matter with NESCAFÉ Gold!,"Sometimes in life all you need is a good cup of coffee to strengthen the bond you have with your loved ones and to create more precious moments that last forever...

#NescaféGold #NescaféGoldBlend #MomentsThatMatter #NescaféLK",UC8RiXgM5VSLX41dAUTea8dg,Nestlé Lanka,https://i.ytimg.com/vi/6HPrtKiPRmE/default.jpg,N/A,22,False,PT30S,30.0
9,xnYwITwhLVM,Nangrow HMO,Nangrow HMO,UCX0Sis-gI_OY-Ogz221GGoQ,GrowingUp,https://i.ytimg.com/vi/xnYwITwhLVM/default.jpg,N/A,22,False,PT30S,30.0
10,CkiLXvRxfhA,hw towerlong25a h en 30,,UC-Q7nMi5vUN0Z-gy9-uHHGg,Hero Wars Web,https://i.ytimg.com/vi/CkiLXvRxfhA/default.jpg,N/A,22,False,PT30S,30.0
11,mhSdsJiIogw,GuitarTricks.com - The Easiest Way To Learn Guitar! Get A Free 14 Day Trial,"Get a 14 Day Trial Today! https://www.guitartricks.com/youtube

Guitar Tricks has helped over 3 million people learn how to play guitar since inventing online guitar lessons in 1998. Make progress with easy, step-by-step lessons, whether you're an absolute beginner or an advanced guitar player.

+ Over 11,000 lessons
+ Over 1,000 song tutorials
+ Step-by-step instruction


Better than YouTube (focus - shortened) Anders | Guitar Tricks trial",UCwSn2qQtmQ1r1nV9-0IQ3Xw,Guitar Tricks,https://i.ytimg.com/vi/mhSdsJiIogw/default.jpg,['guitar lessons'],10,False,PT1M31S,91.0
12,1dtzSRlfBDk,Incentives Ad (Monster House) All Pets Desktop,,UCMMkOy1OtB1OkjB6PNTk9Sw,AdaptedMind,https://i.ytimg.com/vi/1dtzSRlfBDk/default.jpg,N/A,22,True,PT2M45S,165.0
13,lhh8cEUNVd8,선악과 | 기억의 엔딩 15화 (SUB),"기억의 엔딩 15화
'기억을 찾으면 길이 보일까요?'


#연애상담 #기억의엔딩 #웹드라마 #웹드리밍 #드라마",UCi79CVgEYVBbvLzFXYMax6Q,웹드리밍 Webdreaming,https://i.ytimg.com/vi/lhh8cEUNVd8/default.jpg,"['기억의 엔딩', '웹드리밍', '웹드라마 추천', '드라마 추천', '웹드라마', '드라마', '로맨스', '사랑', '연애', 'Day lily', '데이트', '기억']",1,False,PT3M1S,181.0
