,ad_video_id
0,i5fIB4Gqaec
1,EHxvnhw1Uyc
2,Puh2x-UKXIY
3,gRpp9tVpeIE
4,YXgXw25E5RU
5,1dtzSRlfBDk
6,EDD3gjuX3sE
7,B3sBWB-fyPE
8,aO3AJ7SMUUI
9,AkFDrd8MOB0
10,bD36W_4C3dc
11,DKNWDOYPbG4
12,vJobSVitRbo
13,POmJSqVnGSI
14,Ea_t_TkoImg
15,3mB25Gk1QH0
16,kXpdYYnR8dY
17,nYBO3hgfl3U
18,ljukxJBbDds
19,yQgCqK2pHSI
20,Zmootr2iLYA
21,PitXTVNKLfo
22,BFcEbFIc8go
23,B37QsoWL07I
24,Hb6ZMPgpwLo
25,TKERQ35dsy0
26,bQES_F6c7c8
27,HEaikVlUgMY
28,80VnJrLcJd8
29,B8atVx2BjLU
30,tuHktqLum1Y
31,tQjcg_ZKeG4
32,fbCt6wmXaq8
33,moAgOJVQw28
34,779kvo2dxb4
35,s2x-Tw8f4Qs
36,tuQNeXVLUb4
37,m70tAFEG_Ag
38,vKYEA7ZqC8c
39,2L1s_Oiv2cg
40,vDXMDbIQ5fE
41,5Jw6FRnziSA
42,ZFiyfTy7Ljo
43,6B2BlVibJls
44,CgFfjof8BSc
45,GhhF8B48luE
46,bzDD8ItXmXY
47,AzFKFABTIA8
48,4rA5ueFbGO0
49,vf-Hrqo_PaQ
50,zw_3E2vt7rU
51,sVYQ6XkOIqY
52,10NuWGwQBIk
53,GZkcly75-rU
54,nxvmHFlLmho
55,83-czmXbYOQ
56,CcErBoI2UxQ
57,BNhf2113784
58,iUPJ00AHpMU
59,U_1wPwOJceg
60,FljZ3rQ1bAQ
61,fdDnIZhns4M
62,LtApwvdzB_o
63,Ne2qtEUcqO4
64,_zOcI-RDUnA
65,1NxEhKysbSg
66,vWTs0sUQsF0
67,OBHnHt1yEZ4
68,paEO9R5TFQ8
69,58CZsLEoSaM
70,1Goo_yPFM1I
71,iTt18nwB2EU
72,nbzVtZQDGso
73,8MxaeHunR94
74,E0jY8jN-9Jk
75,998MLAXmtys
76,_GOs5-EoKxM
77,Hcm1EP3AGEE
78,0VvtpcgahYY
79,ieUPM6k8kdQ
80,GeeCoGSPiX4
81,bClMURLd-mg
82,KVaqGAKb5gs
83,KUQ-qpWQNIc
84,Rf3y8pZ39dc
85,AprHE15pP4I
86,EXl4cwkpMPU
87,1X4T9zmwTa4
88,uwTOt1YcF5E
89,aVrkN-Ut4iA
90,M7LH_HVI-e4
91,yLgbqbNAiAg
92,jfRhd3jmDa0
93,meugKkKQ6gs
94,OKXBnR3N4Hc
95,5_QlLeVSdB8
96,McvURqImWVM
97,wMKvGAHJ-t4
98,e5yUD0JwyGM
99,pqXx6V7XSiM
100,Jbir6yDKZUE
101,Hxy0AEktdaQ
102,F1opwvyo6f8
103,QDuflAy2pyU
104,YUDzrh0Wn6U
105,YkVSw2RFGmY
106,vRmw1Pw-KRU
107,bCrPil7lzuU
108,gc9-4oq1idA
109,G2EG_JwoyKM
110,xez5Br-3wyM
111,X8WkW6zMWTw
112,amVl5JILVKE
113,S6uoq-8jOl0
114,XrRJ0c_Ldp4
115,ZnBRctb1qWc
116,VDF7M2xqkd4
117,fsgdsBPnvQA
118,Gg40OWQl3x4
119,e51mgdg_BvU
120,51_YxpvdBC4
121,ctFtM6aTlGU
122,viJFUjvR6Fo
123,h-rikwtb6wY
124,kfdhcG1-vOg
125,kEMXZu2scKE
126,dpaEYKP74lQ
127,YSs1BYZkeiI
128,GhltKtmm3fw
129,3K8jxMQXNoE
130,y-hphHH_iDM
131,uDIi1BNa_sA
132,8TrahT8-Ki0
133,_LWKwUcK3VI
134,9YfqeobW0Lc
135,9mMktivloH0
136,B1zyJGOr5-s
137,vmkQBqpfRBc
138,oavcsKN_VgM
139,NAVitm8GP5g
140,-LDZyoBx6k4
141,prFicXqS1OU
142,UCxJKSho8GI
143,t8rCimgNEyI
144,nlKJIdhRmNQ
145,2dZLgw-Vo5k
146,I27vdPN-f1o
147,MknO9EL6HSU
148,mECp2Vps7eQ
149,Dk4rbe-TUI0
150,S3GnywrceVc
151,G7U7vt9bGy8
152,G_g80C3RnAU
153,t3pSVPS7cw8
154,d---y4hZmzg
155,lfOQu8x2slk
156,DrPj1dF4MZU
157,100tfTCiVmc
158,LaQSSiDE2uo
159,hYwsXoFeTh8
160,vl5uNAcxmfA
161,7lgCLCJrP60
162,XdA8PKZujIk
163,lQ_DhnGxfT8
164,VQyA--o5Efw
165,kvrpVi0yd8o
166,w3ZkUoAa79Y
167,t28gcw4OgVE
168,63lBBt0lRyo
169,oMXUM4I_DZo
170,r7veNlZM8VY
171,1ENcOGJtcgI
172,7C6KI1RxR70
173,0ugMdmCxqKU
174,QTEDrTA_gxM
175,-3WJsexaHes
176,dyzGsYWrjPM
177,-X5g3fEJY3o
178,yjTveODKR04
179,og44o8EpaaM
180,QFAiHCusGkU
181,Vt0B3VjBDzQ
182,oQ7QfNDFPWQ
183,DBgUaieVgTc
184,Uo26IVcVjX0
185,HoPDI1T1kvI
186,GXwu9lsSPMU
187,EqCsugeRQQo
188,LdcSU8QUo9I
189,58keuNVZnLI
190,7iA6dkaXYoo
191,SreCPtk4sHA
192,rnzxqcARLBA
193,SbaTHhyV7kE
194,NWFe7jI4BCg
195,mi_NVWxOEfE
196,VwlIoP34lAk
197,rB4-5zasOX4
198,kf4AXyRwlDA
199,zz2o7dckvA4
200,JW4t_hE5bO0
201,x14rlbcHGbw
202,IRZ5TxeVmG0
203,T367E4I0n74
204,CkPilnJ1Zrg
205,6bF9pfrKpPE
206,tKvKvRvRdgU
207,JqyEJlxV_p4
208,rk7_htF8l7E
209,cByVnljQKM4
210,H3Uk9WAOI08
211,CWulWkr41zU
212,uvvSysa8x_A
213,nQeXRQ-_8z8
214,yiV7_cIiFrI
215,r6XcIStalEU
216,WHEWFTHS9_s
217,-ZVB73IU35I
218,JhMqc1aui_8
219,TXtxUiddIT4
220,hl6fj8KE3-w
221,DJHWsxs22jg
222,keGc1Yl4eCw
223,iNKr8dEP1-8
224,gAkDQbO9hAY
225,Mc2Fxmt06WA
226,hnnJkwk8j1o
227,xdBaGjRAl18
228,ZRbpmnFKBUY
229,VH0cyxj_Ro0
230,CkvDhm6Zf8s
231,t5GktF4DmPE
232,x4Y2HHE191c
233,9LcIvQnD3XQ
234,Nrk3JEBfi0g
235,NiJ7FOISK6I
236,CMqRbYoY2fk
237,TSm04mUxbA0
238,pYHSZ2t4uSI
239,dhKMmx8xwRw
240,d93BRjX4vOY
241,ZhwgyZRy2W4
242,_f6OQ34REoo
243,eYyFP3rfcGo
244,ppX3tdGq3Mo
245,hDr8_FRI9Mw
246,clIkpxWNmac
247,4JsZI6gE4_w
248,ijaTtMCiWm0
249,eJ5FpTltXZU
250,mQJqZpYA_3M
251,lY61MDhu9HU
252,pCdGOiR4Hf0
253,gi43Ktw5LxU
254,pkcJt2HPdGM
255,TN7NewL4CRk
256,-veqakjpiRU
257,3-9ClzX0oVE
258,34u1sOLrgVo
259,QAJy2g8VKPU
260,EeVtUhw4zg8
261,AbnvPB-IpZE
262,rukPePXtCm0
263,ehJQIXAOzps
264,YhLSb3p2s1M
265,y5yMEcs2TzU
266,_b6WFgchtOI
267,r5TQpgIBa-U
268,hzh4af7DOZ4
269,4gmDvFJeuZY
270,F6EcbxiX7PM
271,BFaHgAdRRak
272,XvqSqRiLJFs
273,wnCm5w39SxU
274,P7xw_LI5_Uk
275,zOpn29Mi558
276,mNBqAEXI3XI
277,U0SYJgzvDXM
278,MdWWpvgVdZA
279,SMxP1UzQSZ0
280,4n0oTeVXOyk
281,6OymTXVO_Is
282,--kJSB9zaME
283,-l7BKQv_CIc
284,MpddlxEGGwk
285,uwkI2Vcy6T4
286,NCTjp5JQ4pQ
287,oAOnYATEn3U
288,FUu-ereSgeY
289,i-pmmSqsXe8
290,NLZ6QcXJATs
291,WD5meI7vQ-k
292,21CWrexxpi8
293,Qg6cPmC3aZ0
294,P15S6ND8kbQ
295,E4dKDfThrnQ
296,KVffA4tDHxg
297,aBpSfU6IwuU
298,W640jvF6wYc
299,hl25jw8_G44
300,DsnoQafo0HY
301,6aZknrFd_s4
302,FLyBC_CQ-JM
303,624i1CQm7GA
304,X3kmWv2pHLU
305,XGoIgkw0wGM
306,8QjJGwIeKBE
307,FNMGCOZs5cY
308,PelhXfAaYsw
309,JMzg1KIZE5w
310,VJdpxuvN9io
311,-I7qszaq0EQ
312,ZDOy9Hkl9KI
313,jJ-2EHrgxCM
314,Uytmors2b4w
315,a0Da8TNMTyM
316,aEIZBfWF_jA
317,0XM_ZJVHdYQ
318,RRcYlXjc08o
319,ByNpZwPcXqA
320,NLypiQlLgyU
321,JyV1xagjdJc
322,lUNZuA3l5gM
323,pIWV6XOt8Go
324,X5hM3au1cjs
325,s27kADZ-qeg
326,oq2r5Ljy5q4
327,L4dk-uvWne4
328,xmqfmhV4eG8
329,p6wZ_l9Njv0
330,vtvKLFh2oRs
331,0i5e3KRXbto
332,xr-XqNmyzm0
333,WG5bVsbROz4
334,e8yr5iN2Pbw
335,4FLS3iOrhsY
336,E09AuOssrm0
337,pWw3_hDCjEo
338,BEFjnwlJs5w
339,4ErB6EGFmPk
340,GlUn7sODXJ0
341,wS-5y9kWcBk
342,BvHrxkfTeUE
343,LfU83ZJrwyQ
344,m4C31gujLZ4
345,2Z5IAdHvicc
346,FRIS66XzBkk
347,eik3bsBny9o
348,ezzgO7FdjQw
349,iLgKFeJmQ8c
350,42xRfrCVDxw
351,IumNbYbaqEc
352,1KcrecLB1Iw
353,2BVILYtTs1o
354,qT9oFrqkCLI
355,9pob2lGqOJQ
356,EdWq4nhyMLo
357,zbtfbLkIQ84
358,9hnGuprdivs
359,mRGmBsU5J70
360,UiiogkDZSuY
361,kHHZL3dzllc
362,VE-xk35Ttw0
363,T464KDPMnW4
364,KOrH3vzRBXk
365,P2BiGDmZNBg
366,xROz04VyHJo
367,WqvlKZhXXTE
368,WPPOYvNH4ik
369,0vS7PUUyocw
370,FBRmxHNbOrM
371,6Y4OumSD8nk
372,XjfoFCy4Mms
373,1OcWsNdunj8
374,SJMohopLW_g
375,2Lo6DbYZ7Tc
376,OnQS7BFDXDk
377,2D4GqfNyzKQ
378,15wtmcwmP8c
379,NnopzuCwXVI
380,dkAFzICbFVc
381,ThMN3guJ3yg
382,Rymbk5I_WlA
383,LM0JFJBGKbI
384,fqoXgk3HhQo
385,LEcprUy_0dQ
386,gm2SvAe_sgU
387,TwhigbfHq5U
388,E8AkFNlbE0g
389,8lKOsKvGmrQ
390,2hPQj-wzfPE
391,8c8gKD0h-DA
392,ig_sFw2XV9Q
393,giChObUhtbg
394,Ku6bkpbrIzA
395,QSqp92nDJx0
396,wHlwsE8znXA
397,dFCEm_IaVvQ
398,vdlYDxdT2G8
399,5u5MK5VOEig
400,PnVFviWFSnk
401,UYnJB3gThwU
402,G99Y1e5FYAk
403,WNl3g6tismc
404,J-JI5Iuge6I
405,H2r9HkQxXhc
406,fs3dWXdmdUs
407,ADvVrm5SBTw
408,eRaJzy7dtTk
409,ut9vFGg9S-E
410,BqHBzimyRbM
411,T5_WTs4y3uY
412,HAj95SNBPV8
413,p0kcQW6wHJ0
414,38lATPmzHaU
415,KniQOrA3Jqw
416,5IhqvvazFs4
417,l30fwbzaILU
418,1kcE_a5glwA
419,j9Py94gbEtU
420,pHiHNQwXrDk
421,fXf-TpyDrWA
422,IEMkrrW5B-M
423,t192AIsJc2o
424,YqbanIuxS0g
425,tTiC_Gmg3Wc
426,fRbmFwVmodM
427,0UBt95rYEzY
428,36CfX_QcaD8
429,sjyRCC35NYY
430,JJiYYqkoszs
431,wbo8C6kosjA
432,cOAZR2sOJqM
433,TumidNOY810
434,1nh2k8d5MYM
435,DWvTy0PjSXU
436,vSzv2jDEc20
437,bA_j9ePL8d8
438,f7G-n0MxB-w
439,t2l55wdcw0A
440,BBpIV9A1PXc
441,ixoQfmNNh00
442,Us2F3iWpSOo
443,dwExbF8b8ts
444,-L4L_rlWWjM
445,tt9_aWiSW5M
446,x4iwq6cH-Bg
447,pAMMnhIB0uc
448,NH9loNNZRPE
449,tuEWfeUfP8s
450,NA0c7kUerwQ
