,ad_video_id
0,8sLS2knUa6Y
1,zNt0yispEhM
2,gHbrMZZ1Tyo
3,4PG7Y2V7FRc
4,wMKvGAHJ-t4
5,ElIpFUXHc4o
6,SMVfsCiguRo
7,nAPMfJsZ_Zw
8,7J7EvR-oVaI
9,z2E2MUYzqIc
10,_HNmDnfAfco
11,Kxa-6j3BwtI
12,TjxskTJd9eM
13,1UKKXFir0Cc
14,bQES_F6c7c8
15,1dtzSRlfBDk
16,uxygkzPBlEU
17,83zGfs112zU
18,34u1sOLrgVo
19,aVSM5qeIyPs
20,6aHD_E8YfxE
21,yHlLTV7E_8Q
22,G6VlMqWlbug
23,IkyTgjWS484
24,GNjwqUcajNg
25,Wi32n3UiloY
26,DsJMtL39IXQ
27,1UOfwZXwNPI
28,UDL75pNyw64
29,Y-v1BLPUvSg
30,76oSfEFcOH0
31,-FtaYM3IdpM
32,9ZpbadFMqLo
33,TW0-4uEUp_A
34,erRjQLJR2dU
35,gJffNs6nie0
36,f2bUS3lnpbA
37,W-QRLo4fFw0
38,B6dJ4CrEWKo
39,_axD_oF_PU8
40,4uEZzOMBbus
41,VzWlUcoxvmY
42,9MpjGL15vDA
43,JUo8SAJXS_I
44,9jZdynsIacQ
45,bUltXkQt5gM
46,xbmDg5mnaps
47,qbJrszYEi6U
48,qYzYsaX-22c
49,XqXUblR5JE0
50,YiRty0R6vag
51,POzry-eNtgk
52,FobXWOeBLzQ
53,YT4Xgnuj9nU
54,NWNTcOd33Qs
55,cAMHx-m9oh8
56,gcY2wVhhX7Y
57,_SMiQqay3S4
58,QJFc44JQO90
59,pmJdFF_ahV0
60,sGPXOd9kKP4
61,eoq-jPn6quQ
62,XQRKPcDXv-g
63,WnSA6VYDJio
64,fOdo1GkzZAk
65,CxUcLE-SuqE
66,fnMwCP9Wljo
67,TZNRLDrwtI8
68,LQYoreruLIU
69,E8AkFNlbE0g
70,Un7HmxoS4FY
71,hHF-FRKOmmY
72,T2RKzleM_8E
73,8PGC6MtIgbI
74,clkS4T2rLNs
75,nOxZiav_pv8
76,M-3zDaqW45Y
77,73l6-IhMjlQ
78,1rAgIaxYm3A
79,b1_CCtZEKT0
80,QsDLXpIH9Cg
81,o5yBZ9ACfr0
82,Mw6ytQMQGNI
83,0D9FnfmPRnE
84,w2NHlzRwxRQ
85,Hxy0AEktdaQ
86,ElLBw-diCts
87,lhSlJkAobkE
88,KjK06CxurgA
89,ynOtYmpZxak
90,3a3Y-L0Ni2k
91,iSUSSjw3RVc
92,0Ahim5aJmp8
93,EWIchJ39uK8
94,TrfdONdAC0U
95,Zmf9ZdvtwhU
96,4QtUgqup_CY
97,k3IUJICf5io
98,ob-zL0He5-Y
99,c46Psa0YiuA
100,DP163sGCZ9o
101,vd7HYCY5B_U
102,c0JoY05GDww
103,DXs6JcFv1Os
104,iGB_BfUL2Go
105,IYeyj8dmTEk
106,quMf7BSW37g
107,Eq1wBOY25ak
108,Q4LQi6Vp13k
109,NhwFCVB6TJc
110,KmFEk-EdEN8
111,W-Ardr2Oeu8
112,8ZkE4jmX4YY
113,eq_7wqMobFs
114,Q4A13weeYNc
115,2nOdKMCD-a0
116,8Un2khGNb3U
117,DyIMb0oO8Qw
118,NvYDEN1m_AQ
119,BbXwQ48r5SQ
120,gx3p8TfBl0o
121,jgS5nO7mOOo
122,BPI_NYvo1cs
123,BRA01J9-F5I
124,Y7TNd_Z2edY
125,0I5z4YcjBTU
126,92gnFsTBcnk
127,y8PtMj070_E
128,owfKZ7CVw9s
129,Tdav_OW1nBs
130,8zIQ9PKYWDE
131,vz7Spp8E2Mo
132,_0oduxeq0PI
133,kBqrf1LvpPo
134,nxsgvdqhMJk
135,OqOoSEgMrNM
136,YlB8HsuXB-k
137,r7dBuZKS7X4
138,TITlnP1wz-s
139,dgIs4H6odHQ
140,adGpfVqKhnI
141,rss4fwYspec
142,gEox--IdjXU
143,ct6-aiSUp1Q
144,Huhc_1ykWOc
145,tiOk6kAjlJs
146,-5n4A0ahSPc
147,1q-l3Y2_szk
148,0I_HY4zAgSM
149,PX6n0upPVoA
150,d8RE4869Bgk
151,G8iRbdh8kLw
152,0p0Ip9K09B4
153,BLWDuLrCHxU
154,A2ajy4iu9xE
155,Gym3vzboXlY
156,ZelVyOCWqAU
157,XinhiEXV3UE
158,ylrMZ63hi2g
159,wg1L1-plA9A
160,_YEvglyuQFY
161,zfm3B9lGJ7s
162,lLYCNf1CGg8
163,-I0Yj7NLxu0
164,arrcOsc-DTY
165,8wYSPQp8jNQ
166,CWmVhmT5bgQ
167,6zP_KnLDHGY
168,pMCk7IX19WQ
169,oJOKRI3ThwA
170,Vdr4_LDtCss
171,Dgl2eUPf4tM
172,UK28Xu31_3M
173,AE9BTVpyuuQ
174,QVV1tWgcBhg
175,jQpdJar4qrI
176,G-uIluMU7Vw
177,fysVod7eanc
178,YORkUx3pvrk
179,Ye5exW5pP1k
180,BXGozbc8RN8
181,RButl2TvCPQ
182,PVjp81-Z2kw
183,rdBQppORntU
184,Fe0Yn8O5kNw
185,B84349ZaHyg
186,p6JzJ6u1BdE
187,22MsgCr-yX8
188,0ZTJpZULYfY
189,5R2SAzJvlY8
190,O8D_fMQiN48
191,6e-PaAe5mOg
192,oo9I8tToBHM
193,mFrGybls16s
194,WhQfqd5WpE0
195,_ZX6PT3vFnM
196,rc38wzEUPx4
197,_DWvtRHFnTs
198,1t3QgXiIZZY
199,EQcGp4gbo7U
200,qtp0SqLOEuE
201,UKToKw5fLyA
202,O85rODOt9BQ
203,kl_KL4YVTmo
204,Aimd6ZOY3m0
