,ad_video_id
0,SreCPtk4sHA
1,MEjJ3irIVpE
2,BzCeRS3tov4
3,Adi3jT1-h4g
4,zjTE48Ab9J0
5,C1JXIkp2x90
6,x_OQ9EEFb78
7,myUFp4vDJdY
8,ge-4WM2GuiE
9,Vf7C6ys7I9Q
10,tUAomLTdfZQ
11,HZuixNbQFOg
12,6VXFjRaouJI
13,BboGhse59Lc
14,og33B-umxe4
15,m0YK5hKBAP8
16,diN58Umvr2w
17,YC2GjFE6-D4
18,UbS3ijGc9HE
19,mManLnHyyek
20,dDCQ4xojKFE
21,eV3JbluDOEI
22,T367E4I0n74
23,Sk7zpdu7Yrc
24,an-96DZu5uk
25,Cb-3pBLqV_0
26,olrEPh0AQrI
27,HS0iDUzk-pc
28,TA-hCkhysbE
29,VXWtScDseJQ
30,-vYL4Nkmjx0
31,B1zyJGOr5-s
32,MrnSxNHwIP8
33,NIkzSBjVp8s
34,ZxKXWhpObKQ
35,72eS19X7Tyw
36,7TzJd05NrxE
37,knLEugyNYPM
38,H-4W7cbO3gc
39,FKZTS__QA4Q
40,gkw7VgngG-k
41,0CIJ0O03OtU
42,IdTbQwiRT7A
43,PUozchh0LnA
44,tXlcxpRBX-U
45,y-ulEmn1NFc
46,NcBU9Dm2sCo
47,xFevIAfHICk
48,eE65hDzjTnA
49,h5B9CmOLilg
50,89hxA08DHgE
51,sBdDsuhJD3s
52,dWibV_a852I
53,dr8ZZvt-MZU
54,bQES_F6c7c8
55,amT2wbz7So8
56,n0MfXP-xJwU
57,iQxed0fTtiQ
58,TgHAmQ1IWC4
59,CXiyPfWtuUc
60,hNY-BWJG1B8
61,rw_DW91Dt2k
62,0V2YFTNOj1w
63,Opz1yU2tax0
64,6kaU_LY1-v0
65,jFEKgMyFCP0
66,64iB8KwGZMk
67,_Ck1wyk1L6s
68,JMx_VsSU1e8
69,iwzxr7UXb7A
70,oWgQL_v2Pn0
71,ARiUla8Py6U
72,YHGUnllob6E
73,SRZaJ3G6720
74,NsTUaldZbS4
75,yqy5T3WcfmA
76,8F7tcKZoIp0
77,C0FYvI-bJYU
78,KV5zU7b95d0
79,T8OD3KwOnYg
80,9StGjJyY7Tc
81,cXkwUS2_hCE
82,-tnEqm9rric
83,uHyd2pskA2w
84,oeBBrr9yCNA
85,k_gclR0VcCo
86,_UnwG0a-CZ8
87,_HkArE4WSE4
88,bFemaIEZINM
89,4KW0i9N83FA
90,6lcXrESVBAE
91,I9lMQ7jo3m0
92,DiUXyRCz0OM
93,Z-BoqF2UZrw
94,SU7FwXBUfck
95,_7Ad4VWzZeo
96,e4dVH-moYU0
97,dgsrbpaJMe4
98,5UyVfXUwIa0
99,9D01rs31dmw
100,_g0EhUr9KVc
101,tP5_9QT7TTM
102,9cOnYnZsysw
103,1dtzSRlfBDk
104,8yo3gueXeyM
105,atBZePcakXQ
106,mi6HXsKbqwo
107,6df9J1CzWQw
108,34u1sOLrgVo
109,znSF23DfUBk
110,U2FWWxrMSrQ
111,Wkh1TrFmHPo
112,qwYsB7ba_x0
113,5hj4jtPUxDk
114,AHBHVD2nqA8
115,yJy-NpXFTPA
116,23-v6Y-6Y5M
117,0IUbZ2wfkQM
118,wMKvGAHJ-t4
119,tzmGUNGYpoU
120,Hxy0AEktdaQ
121,GrzT7im9lf0
122,-koeCj6mPVo
123,G7U7vt9bGy8
124,Jdd7G6_lwdM
125,O7_1sY3T5Wo
126,XDBqbkDZI7g
127,IXIdT9tBHm0
128,FwWxDaTc8nw
129,0Ixwuh5NqmE
130,8qzXrLPd1qY
131,LiaMSjN7ad0
132,gGbm0FOfLYo
133,kFSfL4cOoNc
134,o3F2fsebHp8
135,ZMdjYa-LVZs
136,VC7MFU0ucSk
137,tqO3affWX9g
138,-ma-zLlW8oE
139,UWSiPpMjEx8
140,ZD77RRQ6XDA
141,_GjyVo4iiC4
142,wz0_2onmG4o
143,lGQU_CNgzwE
144,RnMWASDr5hk
145,63lBBt0lRyo
146,K5Wf2RyqLTQ
147,LJ9n2u8X6Us
148,LLaAYf42OEc
149,rBQJgBf2vSk
150,5csqf3G6H5I
151,ZQnP1zZ0sVU
152,jggw-G1-VGM
153,LwXX7hcixEY
154,0B8Ab6FNmnQ
155,qSf0-HR24NQ
156,MjuIUhyr_pw
157,vQ-7qWREWiQ
158,x8yF1_n5w_k
159,GHxINEI_PfE
160,iQHvr9foPYg
161,pfw5eBFwY8g
162,fFmriZELQk0
163,ib32LmgLfOQ
164,UtMpKEFRxTg
165,5EPL1u6ZQKc
166,WSgIlvB_3jk
167,UBB1ulWykrM
168,AomTh8FqKsg
169,x7AUsb22XCM
170,a_0zhzLg8I0
171,MTyZxruPbsE
172,oYLz3MzwNRc
173,nOzWKOwQ-fk
174,2JCtG_URvBI
175,2MZorrqQ32U
176,iTHkrPgPTZQ
177,BJP3aIFCdXc
178,Vo_7jWTFTUU
179,ajA-x0P1qIM
180,-6KuSa0zgaA
181,sxBnrhncfP4
182,79uAnHPbkN8
183,wtHYL8KOFkI
184,gRIsS2GwuBA
185,SnhfEOClRdg
186,yfuxJfhc8zE
187,RkL3YP2usOE
188,fOdo1GkzZAk
189,JpNCpykjPqk
190,CxUcLE-SuqE
191,GdBCpAc8MKQ
192,PiM2dpZGh0U
193,PdMeUv_EDl8
194,eJzsVAlqj-A
195,17HgQ_on9Bo
196,CxjBzc720Lw
197,vtMyHw9OpTE
198,CrKid-xco4E
199,MiL1hMXpXdw
200,2Ep0Zet7OAY
201,7Qn-MH5CQT8
202,BbYiTFtQUR4
203,L5SGkW8BLbk
204,Qs74_kO8R2Q
205,D6f601Oa_do
206,Ngsa1bpa02w
207,oWbhqm4zjP0
208,gWbhoYOWiCg
209,YMFtTWhzH2k
210,dbUlV8HMAVc
211,BrOMAomsVMk
212,ukldidu9fNQ
213,rqHHFnV7hVc
214,zOLL_mgjHU4
215,aIzk4JKJ7V4
216,lpGAOyphvDE
217,gBHL7NYK4Wc
218,IHD2myLTapM
219,TV5CBOLNh4U
220,hFVolUn30Bc
221,6vtv3hHVyHw
222,KwIi29OqH2g
223,6JupiyL24T8
224,Pokisseja7M
225,U9HXi2quQRs
226,j1ObHbgNaEI
227,AMXj8hvu__E
228,lSGxjnk-0Rg
229,R5fOh-6MgdQ
230,sFI_tbA7rAM
231,xz-Xc_mfisM
232,UvwDlA_fwDk
233,WUj7vqcg5rE
234,OlT7v7_uYvA
235,7a_qRnWtqRg
236,DNo3WWBMZ2M
237,RtoNj_IWsvI
238,OKXBnR3N4Hc
239,LaQSSiDE2uo
240,J2ErJp5HZKU
241,TSUSGxh7pAI
242,LdGklmFjei4
243,zF3FBVvTeyY
244,BZx340HxD_k
245,vDXMDbIQ5fE
246,M7xaOFB8v3c
247,d1YiuSF_07I
248,Y6qe-g52zDc
249,2XAFFst5VSM
250,t3cO9A3uW0k
251,EqCsugeRQQo
252,2oy0R39zIC8
253,GhoMFg3EmRg
254,hXzcyx9V0xw
255,hj7IpncYmDw
256,IZY19_ikr-c
257,Jbir6yDKZUE
258,iETos7J-3SY
259,XESosEIIs00
260,BT7vZXrm5XM
261,o4AX7RzlivI
262,XdA8PKZujIk
263,9LcIvQnD3XQ
264,vJobSVitRbo
265,xez5Br-3wyM
266,7iA6dkaXYoo
267,B9XGUpQZY38
268,KaiXk59LfEI
269,moAgOJVQw28
270,h-MDuvkeR0c
271,BUy4C13HkJg
272,SbaTHhyV7kE
273,hCaJn-d18B8
274,MHhEFNlDXww
275,HoPDI1T1kvI
276,w0I6j4MVfBk
277,Ng3c6jkUpAs
278,HEaikVlUgMY
279,WG5bVsbROz4
280,-pZQ1msCIys
281,w9qFbZ6vZOQ
282,4pdb_4Pe0zI
283,XVucWDw9l_k
284,g_6cvRvW_lM
285,qjWnBy6OFP4
286,JuixW8CWOd8
287,bzDD8ItXmXY
288,ZvxP50DTGo0
289,NoWTD-l7-I0
290,SGLaiD55sgM
291,kEMXZu2scKE
292,xzsBG2hVqtc
293,VjCe3QqF6uw
294,P02F6HMsl6s
295,D1yEhc2tQbA
296,Pp3tlbqrk5Q
297,nptWP7G8hOY
298,J5AY-qrhbKc
299,M6SaS-1t94c
300,u7-0jdMoDiM
301,6RuGvUR29ZE
302,FWSFcZUsknA
303,YbMoadcRuzY
304,KaAmlBaUJu4
305,r0ahERY9kb0
