,ad_video_id
0,wMKvGAHJ-t4
1,nOxZiav_pv8
2,DwNatxJHBGo
3,Hxy0AEktdaQ
4,5Dpk6GyunJU
5,lkcK9ACRHAw
6,DEjgK96R0GA
7,K2zyrr8spXM
8,6HPrtKiPRmE
9,xnYwITwhLVM
10,CkiLXvRxfhA
11,mhSdsJiIogw
12,1dtzSRlfBDk
13,lhh8cEUNVd8
14,JsOOis4bBFg
15,ez6f-aYXfSU
16,8CRSP1wCppA
17,qaiVLPagwDs
18,2Vp58rTvryg
19,VgITlZ0yiwM
20,atHNjr5Bvjc
21,RCzbZbwT8JQ
22,-JlqGqRYKcw
23,SsL6RVQlIRk
24,EIMLG8uKK5Y
25,FQ95s2mrVVE
26,bQES_F6c7c8
27,YXgXw25E5RU
28,IezwrVC0EyM
29,FyqXehMy4lc
30,PHM_IyYulzM
31,7VBsBkzaBpc
32,cx_E3pKFaCU
33,jizAb-SLvtM
34,dnU4qj-ZT2I
35,1ScuEZbheXA
36,kVjk1W65B04
37,WURChfw46U8
38,wnpNJTYI2kQ
39,E8AkFNlbE0g
40,bcdM17Yub4w
41,TjxskTJd9eM
42,CxUcLE-SuqE
43,ZjHp29UlDTE
44,pxy849Tlmw8
45,zCyOQC1uBjE
46,fOdo1GkzZAk
47,0fxHu4MVujg
48,igVltXAqYP0
49,tQk6tR89eb0
50,EcBOyT-4Z6Y
51,TOj784PChEU
52,9Y8YVG7AFdc
53,6h5r6vuqhaw
54,v5Bi0CSfSHI
55,uQMcpv-eSuI
56,_vMTuHlpw8k
57,kyCwoc0knFY
58,Q1Ra9rvv66E
59,D0PuuZeX2qk
60,N_wj_lVMFFU
61,5-MP30epvIw
62,9n6Q3LKurHc
63,fj7R0ontDWg
64,gi3v86GGFS8
65,morS4Hb9HHo
66,FqFE28DLUWI
67,-VLuAbSwfvw
68,U1lBjrkc64E
69,Trfs2gXYi8k
70,xS62mFy9Po4
71,-qEWAZiWLp4
72,Fm9krnyIunE
73,mFq68GJpuGk
74,4EwxbCpsiyE
75,yzYYg2Pjayg
76,MZuyu9ZcQhU
77,O6aTDRKHMvk
78,v81vT7EID3Q
79,Dkz6C4lF8os
80,ej_Hi9lHyfc
81,25CTmfakE0w
82,OHb-N2yazfo
83,HoftgNuj8bE
84,5yChx37K2rQ
85,0I5z4YcjBTU
86,DNAgL7JDnoE
87,4sh2drCajmE
88,9xRu8LZ_IGE
89,JKDYEHOtx4s
90,uomGqi_nFxo
91,NOAq51QOdNE
92,11OWuPcElJw
93,2YKQRSzY3Rs
94,s27kADZ-qeg
95,34u1sOLrgVo
96,dxECfw_v6p0
97,-WKTSTHadv8
98,h2kqeFzUmk4
99,RTNpGJGF40k
100,VQyA--o5Efw
101,ujPC9wQNbtc
102,O53dIDTIaAY
103,H5lcd70KnBU
104,uRo3nIVEgZM
105,_YGDmPVUqu8
106,MPJAcEYq-jo
107,YRonKL4ywVo
108,ZPJnQ-9SAuc
109,AaQZrNJE9Yg
110,FqbOmiKBHFg
111,QHunKtqX57Y
112,dSEL_7__Clc
113,g_UwapIcPPM
114,lMyrleYdPwU
115,UUxJlzEVicI
116,G6EsZnQMhmw
117,lTkjomSZ0nQ
118,0Ahim5aJmp8
119,MjZkmUrqdHY
120,_gZMADvjcD8
121,c7kUBqwvuQg
122,v_yRVpoQ6LQ
123,6rGDTLfjzrM
124,4lfREv23G4w
125,ORxtisAtULA
126,lNdnOzZ8z_E
127,fY46dGONk0E
128,eUBkL9-o11M
129,YcG8Y5TPbk0
130,rYSTqeFRLo8
131,9qxfmGSMiLs
132,OOUlfHHNItU
133,o2579DKCvcc
134,XAbWGu6nP_k
135,F-wkDbgbqwE
136,U_pqPqyJkVQ
137,SrAkBIpY9t4
138,ulC6W_mbMMo
139,EFIFazsqKlw
140,4Bfit_2yitg
141,8Et50v3C554
142,OiPiBpbuoJE
143,93z_ePVDzUc
144,sKKRzx6GXv8
145,H359yw9Xe4I
146,EErQSV7Xph0
147,M35KpBHeRXw
148,WQTqHtcmTFY
149,HEwBIj-d-ZQ
150,5QiOO1bQc0k
151,EVAAxQSnTTg
152,trhrBTl1noM
153,RZEZTd5NP4M
154,lgh45wEHyP4
155,Ucog1ghGMUM
156,5I628v0Zn3s
157,kaJQCcz_lus
158,23tzKPBxpO8
159,jlw4MLCPoWE
160,hHF-FRKOmmY
161,QE-Wijy-8Qs
162,egzXxkiBQpc
163,5MkzBHAqeR0
164,6LQT9-gy_CE
165,cjkYpV5t0w0
166,laDw8twsOWM
167,TZ6ryPWaI9A
168,OnzaZ4JUrfg
169,vNTz1bQ9o0Q
170,wEnY7LMuXPQ
171,UVqQwh-Gv7s
172,-kGC-gustpA
173,9agloaYj4tY
174,9qEbP0NpZiU
175,ti53SexlYG0
176,Tu_r1RhtMaM
177,bZ8l8-aGVys
178,AZZZpZ7ez2o
179,mS3N54d7NQg
180,l20uUrBt7gU
181,dMbrrm88x0Y
182,7f0GovJVVhc
183,EDn5Wo8okXk
184,YN4m5373xxE
185,y2jLZeQGpF4
186,oWbhqm4zjP0
187,UmXXzO7xs9s
188,qGJziQ8L7UY
189,eEPsqQcn8FE
190,0E-ltNTgaMY
191,0DMa8a085EM
192,j3OgR2VU23I
193,rKcpXNFkuh4
194,Vohr-M78WYg
195,R3sSEyyW27Q
196,kOFGyG4FMjQ
197,2GrM_bRDabs
198,GwVKlRVAZtA
199,6AdafDg7CiU
200,cLthAiz_PnQ
201,nEuO3Ls39tI
202,yccxgG94IuM
203,4nSCaTz6MGM
204,yCehnCdFs3s
205,baAsEMqJ7YE
206,q4bEyn4j-4Y
207,PpCZPdLC6Cc
208,2zz14Yj5ACw
209,oVSZeq6CqS8
210,639ATgYAP0g
211,oUiEhA2pvGk
212,m3MI_GZk2Xs
213,aSl2cCH2XvU
214,v_Ax8MOomo4
215,tqNAYHiOgJE
216,6G4Bp8iroa8
217,V-n_w4t9eEU
218,PQJ4NsUbMJg
219,V8Z1cM9Rxvk
220,WqJ2gAK-w5E
221,F81Uekj_bTY
222,MA4I7SwfLEQ
223,7zOZbmm80kM
224,2qkAG6sKF04
225,qu56awOO6x8
226,GIE3P5w0xxs
227,255kGoxHBKM
228,d-ix-XfaNk8
229,ADN8ohKchZE
230,DqIXjewWklE
231,8PtIYM7mHz8
232,38jiWao2j8c
233,INZobbVDEL0
234,2XKb-_PIYtg
235,xbi5T4cVZ1g
236,LRSfV-iLlMc
237,Ae7mMVcQlXk
238,wh2WWQlJH9c
239,SKEzE5cQH6g
240,T1eENb8TgHM
241,pqUyfsm9TUA
242,GdHTTRMrPPg
243,DOxGOrSXrmM
244,WXNVLMgvoTg
245,7iNIPyDauxM
246,MUlCcY8Bfk0
247,xEf4zF0oQY0
248,uSXIluiEcjo
249,1Sq4xgGBdQM
250,1tStpmg7HF8
251,75yhYazRwRs
252,lTqAA1lcGw4
253,4iJbrZXwdmE
254,w7-llnFTk8Q
255,5FxMDTgh1Qg
256,Jgo4CEdqV1k
257,sYIZad3yLdk
258,Vynk_5pmSYw
259,acHWusVlU_M
260,NxzjcEr4Kdk
261,0eOQOwTnsGg
262,uTEU_etIEDo
263,6geRw7v--YY
264,6yFw7M_uF48
265,coaWomqZ2i8
266,2Hc1OjFxv-M
267,duOL2Im3aO8
268,J28XNArMxTU
269,wURw58DWiOA
270,pPs_ftHlRuE
271,aoYwuT_AEH8
272,Ji-f_JWYYYY
273,ofm_VNSAvKI
274,08RaG_Law-Y
275,-PP0YVDj2pA
276,MSemJkdbG5g
277,ped54nFNLys
278,ep5RoXJR91M
279,pOHA6iH-K3A
280,Q5sdKEmsrQY
281,CllAJ6PkRIA
282,dg4HX9W7yy4
283,j7Kx1oJPsAM
284,tGLZLGiLmU0
285,tIMsafydRDM
