,id,title,description,channelId,channelTitle,thumbnail,tags,categoryId,madeForKids,duration,duration seconds
0,HHrQMVb8fUE,Nouveauté: Ninjamas Pyjama Pants !,"Découvrez les sous-vêtements de nuit Ninjamas Pyjama Pants : une protection maximale en toute discrétion !

Retrouvez également Pampers sur : 
Site web : http://www.pampers.fr
Facebook : https://www.facebook.com/PampersFrance
Instagram: https://www.instagram.com/pampers_france
Twitter : https://twitter.com/PampersFrance",UClnd-x83HUpXxAwKIDgStLw,Club Pampers,https://i.ytimg.com/vi/HHrQMVb8fUE/default.jpg,N/A,26,True,PT17S,17.0
1,30o1wAvMnzs,KINDER BUENO - Tentez de gagner votre veste COLLECTOR !,"Tentez de GAGNER* la veste COLLECTOR KINDER BUENO co-créée par notre communauté de fans, pour l'achat d'un produit Kinder Bueno (barre ou glace). 

* Instant gagnant jusqu'au 25 juin 2023 inclus. 200 vestes en jeu.  

Pour connaître les modalités du jeu, rendez-vous sur https://www.kinder.com/fr/fr/",UCEuefQs-kctk-tfhaGt2kLw,Kinder Bueno France,https://i.ytimg.com/vi/30o1wAvMnzs/default.jpg,N/A,26,False,PT20S,20.0
2,iutAdxs88YI,Dordogne - A Colorful Palette of Emotion Trailer,"https://store.focus-entmt.com/w/dordogne?utm_campaign=DD_PaintingMemories&utm_medium=description&utm_source=YouTube

Meet artist Cédric Babouche in Sarlat, Dordogne, for a heart-to-heart moment about giving life to the game’s idyllic South of France backdrop as a vibrant and soothing watercolor world.

A heartfelt reminiscence

Dordogne is the brainchild of French visual artist Cédric Babouche. In today’s “A Colorful Palette of Emotions Trailer”, he shares his emotional connection to the game, an immersive adventure where you’ll explore the breath-taking landscapes of Dordogne, in the South of France. This region is as dear to Cédric Babouche as the hand-painted aesthetic of the game. All of its mesmerizing sceneries were made using the watercolor style and technique he has been honing for thirty years, since he was a child. 

Enjoy the second track of the unique music composed by Supernaive, these introspective sounds support the nostalgic and heart-warming journey to Dordogne. This exclusive single is part of Dordogne’s OST that will be released along with the launch of the game.

Dordogne releases June 13 on Nintendo Switch, PlayStation 5, PlayStation 4, Xbox Series X|S, Xbox One, and PC. Pre-order it now! Sign up as a Focus member now to get the latest info and upcoming exclusive offers for Dordogne and the whole Focus catalog.",UCaLdl0827np4QVPESo794og,Focus Entertainment,https://i.ytimg.com/vi/iutAdxs88YI/default.jpg,N/A,20,False,PT1M15S,75.0
3,9cWTgf553is,#TousHéros S5|E2 – France Pierron rencontre une yogiste hors du commun,"La journaliste sportive France Pierron participe à un cours de yoga inédit dispensé par Charlotte Chopin, une coach centenaire qui semble avoir découvert le secret de la longévité. 🧘‍♂️
 
Ouvrez vos chakras et découvrez ce nouvel épisode !
 
 
Théo Curin, nageur de l’extrême et ambassadeur Harmonie Mutuelle, vous donne rendez-vous pour découvrir de nouvelles histoires inspirantes dans cette saison 5 de #TousHéros  ! 😀
 
Aux côtés de Yoann Riou, France Pierron, Thomas Voeckler et Virginie Dedieu, Théo démontre les nombreux bienfaits de l'activité physique sur notre santé et sur notre société.
 
Parce que le sport c'est la santé, mais aussi :
💪 Se dépasser
👩🏾‍🤝‍👩🏼 Maintenir le lien social
🤝 Partager des valeurs communes et lutter contre les préjugés
⚡ Vivre ensemble
 
Toutes les infos sur notre web-série sur harmonie-mutuelle.fr/tous-heros

Retrouvez Harmonie Mutuelle sur https://www.harmonie-mutuelle.fr
Et également sur Facebook : https://www.facebook.com/harmoniemutuelle/ Twitter https://twitter.com/hmutuelle Instagram https://www.instagram.com/harmoniemutuelle/ et Linkedin https://www.linkedin.com/company/harmoniemutuelle/
Mutuelle prévention, santé, prévoyance",UCRwDZD4yMy7hhvKvvkx0EMg,Harmonie Mutuelle,https://i.ytimg.com/vi/9cWTgf553is/default.jpg,"['Mutuelle', 'Harmonie', 'Santé', 'Solidarité', 'Prévention', 'Prévoyance', 'Retraite']",29,False,PT5M34S,334.0
4,yoF5cEB0UNk,Rondnoir Glace - 2023 - 15s,,UCC9dxSufW6i-RSnjMcFCaRg,Ferrero Rondnoir France,https://i.ytimg.com/vi/yoF5cEB0UNk/default.jpg,"['rondnoir', 'rondnoir glace', 'ferrero']",26,False,PT15S,15.0
5,CaKjiOufsNM,"Nutella, le bon de nos régions",Redécouvrez toute la beauté de nos régions capturée dans les nouveaux pots Nutella.,UClSecao97A0CqpFkCOVuDyQ,Nutella France,https://i.ytimg.com/vi/CaKjiOufsNM/default.jpg,N/A,26,False,PT20S,20.0
6,Qy-aoaMFi84,Maison d'été avec La Redoute,"Et si on changeait la déco pour s’évader un peu ? 
​",UCa0Ku8ePPfPLebnkPZO5x7g,La Redoute,https://i.ytimg.com/vi/Qy-aoaMFi84/default.jpg,N/A,26,False,PT15S,15.0
7,0D729RM4Of4,Palace of Ice - Launch Trailer,"The new Palace of Ice DLC is now LIVE!
⫸ Play on Steam: https://bit.ly/POI_YouTube
⫸ Patch notes: https://www.solasta-game.com/news/174-palace-of-ice-full-release-patch-notes",UCgU90lGTUhVtkFS6p4sSUew,Tactical Adventures,https://i.ytimg.com/vi/0D729RM4Of4/default.jpg,"['Dnd', 'Solasta', 'Crown of the Magister', 'RPG', 'CRPG', 'Tactical', 'Turn-based', 'Grid-based', 'Old School RPG', 'Tactical Adventures', 'D&D', 'D&D Video Game', 'Cell-based', 'Trailer', 'Reveal Trailer', 'video game', 'OGL', 'SRD', '5E']",20,False,PT1M43S,103.0
8,JxalJAMQE_k,"Nutella, le bon de nos régions",Découvrez la beauté de nos régions et la saveur de leurs recettes phares revisitées au Nutella.,UClSecao97A0CqpFkCOVuDyQ,Nutella France,https://i.ytimg.com/vi/JxalJAMQE_k/default.jpg,['nutella'],26,False,PT11S,11.0
9,qZi18DrtiPI,BOSS_Watches_SR23,"Discover the collection at http://www.boss.com

Follow BOSS on

Facebook: http://www.facebook.com/hugoboss
Instagram: http://www.instagram.com/boss
Pinterest: http://www.pinterest.com/hugoboss",UCFKQYs1RovAG8SqFUjXAkTw,BOSS,https://i.ytimg.com/vi/qZi18DrtiPI/default.jpg,"['HUGO', 'BOSS', 'Hugo Boss', 'Hugoboss', 'Fashion', 'Fashion Show', 'Fashion Week', 'Collection', 'Runway', 'Music', 'Mode', 'Campaign', 'Hollywood', 'Model', 'Commercial']",26,False,PT16S,16.0
