,main video url,main video duration,video ad ids,ad skippable,ad counts,total unique ads,banner ad img srcs,banner ad urls,sidebar,in-feed
0,https://www.youtube.com/watch?v=Tldlt2RhrDw,445.0,"['1_FURuXWcMg ', 'l32QivrokIs ', 'jz6LIo-6uEQ ', 'OmmNhuT2n8Q ']","[1, 0, 0, 0]","[1, 1, 1, 1]",4,"['https://yt3.ggpht.com/-ik-aiMcBc_Flnnm_4yXGDLrU1jO9SAWfKEolIF2WfZ8YvcH880OCrRGJPT1NGQFdamj8jX9HA=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj', '', 'https://yt3.ggpht.com/-ik-aiMcBc_Flnnm_4yXGDLrU1jO9SAWfKEolIF2WfZ8YvcH880OCrRGJPT1NGQFdamj8jX9HA=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj', 'https://yt3.ggpht.com/Atb3hfvHQx-9An7hcgNDUEPdCTbhfo6e1l8z86q9fSEF-8appCqrGfjIwziPNt7hIVOI2TiSd74=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj']","['target.com', 'automobiles.honda.com', 'target.com', 'audiusa.com']","[{'Img': 'https://lh3.googleusercontent.com/proxy/g9X-NGAtj2eBeZGKtcsyF4jtvSrOKAfmyjibAe1VsOxUI3VdqpvPcUbVKQONnz2_VTka1MlY2_B64WCDt36f8vhmKQI0nQ2QMAXKJsBt7eMlbbdMq7ctXNDK_8hHbqKEH1Y', 'Title': 'Search Product Mngt Software', 'Description': 'Discover Product Management Software. Find Quick Results from Multiple Sources.', 'Link': 'us.ingosearch.com'}]",[]
1,https://www.youtube.com/watch?v=GcmDiyk3NJs,249.341,[],[],[],0,[],[],[],"[{'Img': 'https://i4.ytimg.com/vi/qseg5eoq5_g/0.jpg', 'Title': 'How to Add or Create Subtitles for Your Video Fast', 'Channel': 'Wondershare UniConverter Video Toolbox', 'Link': 'https://www.googleadservices.com/pagead/aclk?sa=L&ai=CJUFZwRUkZMLQIJe9n88P1tq86AmG4Pynb_qTqK__EMCNtwEQASAAYMne6IbIo5AZggEXY2EtcHViLTYyMTk4MTE3NDcwNDkzNzGgAcOBj6ICqAMEqgTtAk_Q9Ygtcq9uBUd-_znrdE7h7z-1M793xALCoDwJ5WSRe-m4VVjM79CMMgFeCKpA8j-bhPlABgw93pPNCkl9Y0ATuRsB2Di-0CnUYr7fjMQ48AlV4JuIH2mnCesryUDmrGkE28EjipLadaorzWzx-bblWWvZOFdhQkvbcBFpPuMeTjzKIEqf-ehdsEryPOcV0lzbT2vRDhaVASj-17nKghEpvjCf3i8zNZLzykYdp5cTmbls8XU9q8ioXqZ-ynATCgr9F3_fF5t8zWjxThrR8F3wuVtm3IQEowcYy-kr0fgt29l-V9XQiCisSMpgimPDGE_1VfhDBKUpC8bA7CMbESC3KKiOsTtx1Qon-GOveeF41nf1gsapVwJZ-TAeeHZbSgyGkQAiqnpDjXCsnHZdNM-4-6MYKXEzwdHefOYSPm0Qli_zj4Yg5bpNLpK-eOsHtHWjAgkUkaQDAK8mFBOJiR4Hf-K4_cup4_suj_XtkgUNCBIw-M-r0d6c6OOqAZIFCggTaAJ4t-qX3gOgBlWAB6WMhccDkAcEqAfnnbECqAfonbECqAeCqrECqAeECKgHqNIbqAe2B6gH4M8bqAfp1BuoB4zNG6gHsdwbqAekmrECqAeRn7ECqAewm7ECqAffobECqAemqrECqAeBxhuoB9XOG6gHq8UbqAec3BuoB-adsQKoB8ifsQKoB7ehsQKSCAtxc2VnNWVvcTVfZ6gIAdIIFAiAwYCgAhABGF4yAtICOgSAwIAQ8ggfY2EteXQtaG9zdC1wdWItOTk2MDk4MTM5MDA1ODI5MrEJY8JAOylE7S7ICRfICY8BmAsBoQsal-9VGQCwG7oLPggBEAUYBiAGKAEwBkABSABQAVgLYABoAHABiAEAmAEBogESCgBYAXABqAEBmAICqAIB0AIB2AEBgAIBiAIE0AsTuAwBmg0BE7gT____________AbAUAcAVgYCAQNAVAdgVAYAXAYoXDAgDGAEoATABOAFAAaAXAQ&num=1&cid=CAASFeRoyOAFnrXpijSOYJ0ORdd-604xoA&ad_cpn=%5BCPN%5D&sig=AOD64_2mZy79u0NM_mU4Aw2-8f4MIohZeA&adurl=https://www.youtube.com/watch%3Fv%3Dqseg5eoq5_g&ctype=21&video_id=qseg5eoq5_g&client=ca-pub-6219811747049371'}]"
2,https://www.youtube.com/watch?v=GJnR2StNHDc,869.0,"['2_yZriRs6fg ', 'wZ7Amwl-YAk ', 'WfTGeSPRU6Q ', '_T6D2JOszBs ']","[1, 0, 1, 0]","[1, 1, 1, 1]",4,"['https://yt3.ggpht.com/nGw-Ly4rs8t-sxdzjfCJ8TXKskzJq8F1kly8jOkpqLd2CNlpzCYfjxkDjEt2rpJfjvz26adhOns=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj', '']","['www.knotts.com/events/boysenberry-festival', 'acura.com']","[{'Img': 'https://lh3.googleusercontent.com/proxy/s2n9zpAaDBOw5CbWFuMvaHYU8iVgbNhqMHANq1Kz93lRrf9jpWNFVpwdJpt5QLyHLzsVZSZxINEWgsnebFCbaxhF2CmXcVpYfCxA1oT9VJZyqRTbOZYXf-uKqhEKpkSVl8YH', 'Title': 'Stay Ahead of Your Projects', 'Description': 'Compare Bookkeeping Software to Find The One That Works Best For Your Needs', 'Link': 'info.seekdept.com'}]",[]
3,https://www.youtube.com/watch?v=adn2wwLFAaQ,527.141,"['1_FURuXWcMg ', 'l32QivrokIs ']","[1, 1]","[1, 1]",2,"['https://yt3.ggpht.com/-ik-aiMcBc_Flnnm_4yXGDLrU1jO9SAWfKEolIF2WfZ8YvcH880OCrRGJPT1NGQFdamj8jX9HA=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj', 'https://tpc.googlesyndication.com/pagead/imgad?id=CICAgODK153OTBCsAhg8Mgjqh7-oY8sLYg', 'https://yt3.ggpht.com/-ik-aiMcBc_Flnnm_4yXGDLrU1jO9SAWfKEolIF2WfZ8YvcH880OCrRGJPT1NGQFdamj8jX9HA=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj']","['target.com', 'automobiles.honda.com', 'target.com']","[{'Img': '', 'Title': 'Computer Technology Schools', 'Description': 'Info on Computer Technology Schools. Get Results from 8 Search Engines', 'Link': 'us.ingosearch.com'}]",[]
4,https://www.youtube.com/watch?v=I6mBgZSZctk,454.0,"['Dl2sBmpw0Fs ', 'LY2dO81sJWg ']","[1, 0]","[1, 1]",2,[''],['dsw.com'],"[{'Img': 'https://lh3.googleusercontent.com/proxy/g9X-NGAtj2eBeZGKtcsyF4jtvSrOKAfmyjibAe1VsOxUI3VdqpvPcUbVKQONnz2_VTka1MlY2_B64WCDt36f8vhmKQI0nQ2QMAXKJsBt7eMlbbdMq7ctXNDK_8hHbqKEH1Y', 'Title': 'Search Best Web Builder', 'Description': 'Search Best Web Builder', 'Link': 'us.ingosearch.com'}]",[]
5,https://www.youtube.com/watch?v=Z-zihAj1SyQ,503.0,"['5t_XFUloS0M ', '_T6D2JOszBs ']","[1, 1]","[1, 1]",2,"['', '', 'https://tpc.googlesyndication.com/pagead/imgad?id=CICAgOCS1r3h3QEQrAIYPDII46oBGQb8NpA']","['forthepeople.com', 'acura.com', 'forthepeople.com']","[{'Img': '', 'Title': 'Stay Ahead of Your Projects', 'Description': 'Compare Bookkeeping Software to Find The One That Works Best For Your Needs', 'Link': 'info.seekdept.com'}]",[]
6,https://www.youtube.com/watch?v=tnjcYls8AaI,1195.0,"['l32QivrokIs ', 'N2VaBxkJfSw ']","[1, 1]","[1, 1]",2,"['', '', '']","['automobiles.honda.com', 'directv.com', 'automobiles.honda.com']","[{'Img': '', 'Title': 'Computer Technology Schools', 'Description': 'Info on Computer Technology Schools. Get Results from 8 Search Engines', 'Link': 'us.ingosearch.com'}]",[]
7,https://www.youtube.com/watch?v=NTQiuuqyFjc,602.021,[],[],[],0,[],[],[],"[{'Img': '', 'Title': 'Barbie Great Puppy Adventure', 'Channel': 'Barbie', 'Link': 'https://www.googleadservices.com/pagead/aclk?sa=L&ai=CAAelxx4kZPigEJ6vn88PhcGdkAv3gLaSb7PT1p21EcCNtwEQASAAYMne6IbIo5AZggEXY2EtcHViLTYyMTk4MTE3NDcwNDkzNzGgAeGOovICqAMEqgTqAk_QBAGo2FRwweAHHYlKJBxQH01EiMlJa8H27YrJ2DR3D5-vBNgwB9oDGaAK_QrcARhKVN-1_7CelszpVVasah4sa8wyfXGkpxP1p7dcHmhB5lCTNi-Jf15EnbbAecRksQJRSbPEWHt9JijtzTBKMSdSzq9eUtBzJwlPZYHr3pT8pBNTJ10eFkgoFwruY8wFwOTUICQbpzQ5KTjat-iCGpRdGcorRfbuayE8MkEA7h6rw6TwD22g_D1CJ92t4kN6qVHP5I8KEz57SxxZQdkdbuefPPWwRs7Xdr2EYcjelMLBqS4jP1V1UVP4dBylG0dBU1u8HlkXy-KN5A0wtOLkadFgniTJBy81yQDMLmwU70hdZBgWbaOrR2lfT44XU1QaxBgdtQauYR0YPUCKOpisEZT199g32mIlm_Kk2_PWh6QEuamr15fUFVXnAqcsUetvmoxyDSFMQO3mNXA9bBBeGpgKO667IwfclO0ziAWYu8W9SZIFDAgSMO6Xx7bN67CzeZIFCggTaAJ4yeb8jQGSBQQIAxACoAZVgAeH8d2NAZAHBKgH552xAqgH6J2xAqgHgqqxAqgHhAioB6jSG6gHtgeoB-DPG6gH6dQbqAeMzRuoB7HcG6gHpJqxAqgHkZ-xAqgHsJuxAqgH36GxAqgHpqqxAqgHgcYbqAfVzhuoB6vFG6gHnNwbqAfmnbECqAfIn7ECqAe3obECkggLZVdiRFhOYlJ5LTSoCAHSCBQIgMGAoAIQARheMgLSAjoEgMCAEPIIH2NhLXl0LWhvc3QtcHViLTk5NjA5ODEzOTAwNTgyOTKxCR5Ubbilqk9PyAkXyAmPAZgLAaEL6X1Tg6DvJX-6Cz4IARAFGAYgBigBMAZAAUgAUAFYC2AAaABwAYgBAJgBAaIBEgoAWAFwAagBAZgCAqgCAdACAdgBAYACAYgCBNALE7gMAZoNARO4E____________wGwFAHAFYGAgEDQFQHYFQGAFwGKFwwIAxgBKAEwATgBQAGgFwE&num=1&cid=CAASFeRovbUWGcde1SxPwLov7ymr8H1Abw&ad_cpn=%5BCPN%5D&sig=AOD64_3gNFGBiem31KTJjrMK3ROG637YIg&adurl=https://www.youtube.com/watch%3Fv%3DeWbDXNbRy-4&ctype=21&video_id=eWbDXNbRy-4&client=ca-pub-6219811747049371'}]"
8,https://www.youtube.com/watch?v=IWokdGbPk50,482.0,"['_T6D2JOszBs ', 'NQTlmeBEpiQ ']","[1, 0]","[1, 1]",2,"['https://tpc.googlesyndication.com/pagead/imgad?id=CICAgODKo-jAaBCsAhg8Mghie8RT_1JMYg', 'https://yt3.ggpht.com/q6l9Qz7MoNT3e59AxobwHeW_z-6E5faOQ7Qen9SoiBzbwqTAzfWJGY7teOqs-6DVDLuqTBeG=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj', 'https://tpc.googlesyndication.com/pagead/imgad?id=CICAgODKo-jAaBCsAhg8Mghie8RT_1JMYg']","['acura.com', 'safesteptub.com/walkintubs/price', 'acura.com']",[],[]
9,https://www.youtube.com/watch?v=0azd9SExi_s,1063.0,"['McvURqImWVM ', 'H30bJzJ9aS8 ', 'og44o8EpaaM ']","[1, 1, 1]","[1, 1, 1]",3,[],[],[],"[{'Img': 'https://i3.ytimg.com/vi/bfkcC7dfFyg/0.jpg', 'Title': 'Smashers | Treasure Chest Brawl & More Kids Cartoons | Zuru | Smashers World | Animated Stories', 'Channel': 'SMASHERS', 'Link': 'https://www.googleadservices.com/pagead/aclk?sa=L&ai=CVS1gr5hbZNT_EM2a2OMP7_Kg0A7CouOvcLnN_8rFEfXJnOmgBBABIABgyd7ohsijkBmCARdjYS1wdWItNjIxOTgxMTc0NzA0OTM3MaABy4P2kSmoAwSqBPACT9BCXHh-dMmZmVVfTFZ50gWz8gkQd_LGeDYYM1k-riIl8LCNokLeoa9NEDbrktVwwZ7V1kF_hj_lTdbBDgv5SdOwP7de-5-EsN8SEmir3J16Cv-NgKbkKdf5b5Bx_82mrF3z9dFacYu8mFcOT66ZoR2YcSQJTko6uHcH-Wj8uuLJ4vUllZ5Fm1VArnUCQbruFvLEtfjzIXpW-e2avZMkcgsT2HZhHdq5iXZbKzKCVIbqySzr8imP5Q59SnIq1gc83yALqbvvrq5JWXRtd6jMBO_-1J2q6YIjEpx1B8g2eP7GljPcbjgpkcxlqDa4TrPMNdOsKLwotBT7C-KfjNiIn2cHUtm4Uc3dQHljhgZEwNymdgfXlIvl7E8hyJGkYRIxJPbv1KIyelq4Cz_cssftCqEAyOALnp4yMdJfkpP-3gp5lUkLwsoeAa-GyjYvMNopIOoczJH_iY28MrlMTIZSpVmcRCrhj0yw-2hVmIXl6y6SBQwIEjCorvy6u4HH_G2SBQoIE2gCeJqVv5kEoAZVgAfLu8bxA5AHBKgH552xAqgH6J2xAqgHgqqxAqgHhAioB6jSG6gHtgeoB-DPG6gH6dQbqAeMzRuoB7HcG6gHpJqxAqgHkZ-xAqgHsJuxAqgH36GxAqgHpqqxAqgHgcYbqAfVzhuoB6vFG6gHnNwbqAfmnbECqAfIn7ECqAe3obECkggLYmZrY0M3ZGZGeWeoCAHSCBQIgMGAoAIQARheMgLSAjoEgMCAEPIIH2NhLXl0LWhvc3QtcHViLTk5NjA5ODEzOTAwNTgyOTKxCeqII-ZUet9KyAkXyAmPAZgLAaEL8V5ygu_TgTS6Cz4IARAFGAYgBigBMAZAAUgAUAFYC2AAaABwAYgBAJgBAaIBEgoAWAFwAagBAZgCAqgCAdACAdgBAYACAYgCBNALE7gMAZoNARO4E____________wGwFAHAFYGAgEDQFQHYFQGAFwGKFxYIAxAAGAEgASgBMAE4AUABSAFQAVgBoBcB&num=1&cid=CAASFeRo7mz6WXpwQq7BCn0S9_StCmWfOg&ad_cpn=%5BCPN%5D&sig=AOD64_2A9R5-vKXtGWBVvYBgOH9fQrFO_g&adurl=https://www.youtube.com/watch%3Fv%3DbfkcC7dfFyg&ctype=21&video_id=bfkcC7dfFyg&client=ca-pub-6219811747049371'}]"
