,main video url,main video duration,video ad ids,ad skippable,ad counts,total unique ads,banner ad img srcs,banner ad urls,sidebar,in-feed
0,https://www.youtube.com/watch?v=al9RjK31c0o,920.561,"['UNk8YilXVQc ', 'fOdo1GkzZAk ', 'Fe0Yn8O5kNw ']","[1, 0, 0]","[1, 1, 1]",3,[],[],[],[]
1,https://www.youtube.com/watch?v=tYG8g0gMaaI,1581.921,"['3hJawHSCqfg ', 'XzFLa8aR12c ', 'Ws3V7A6gepA ']","[0, 0, 0]","[1, 1, 1]",3,[],[],[],[]
2,https://www.youtube.com/watch?v=ryEmkMY0kKE,1856.0,"['bQES_F6c7c8 ', '4uEZzOMBbus ']","[0, 0]","[1, 1]",2,[],[],[],[]
3,https://www.youtube.com/watch?v=eNAgH7oodiI,1635.241,"['3S13NGzXhj4 ', 'fysVod7eanc ']","[0, 0]","[1, 1]",2,[],[],[],[]
4,https://www.youtube.com/watch?v=8ybUmueblYw,2957.0,"['1dtzSRlfBDk ', 'wiCoUwtw7l4 ']","[0, 1]","[1, 1]",2,[],[],[],[]
5,https://www.youtube.com/watch?v=wZS-318p0rw,1300.0,"['ySmihdz6MFc ', '0p0Ip9K09B4 ']","[0, 1]","[1, 1]",2,[],[],[],[]
6,https://www.youtube.com/watch?v=deTxoMaH1q4,2048.0,"['bQES_F6c7c8 ', '3hJawHSCqfg ']","[1, 0]","[1, 1]",2,[],[],[],[]
7,https://www.youtube.com/watch?v=4jf6lNkoLTo,1365.0,"['UNk8YilXVQc ', 'SswRvbJlmCQ ']","[0, 1]","[1, 1]",2,[],[],[],[]
8,https://www.youtube.com/watch?v=QmuPslsqVTI,169.0,['nOxZiav_pv8 '],[0],[1],1,[],[],[],[]
9,https://www.youtube.com/watch?v=vPf-CTAJEts,2153.281,"['v8UkcODWhAU ', 'Ws3V7A6gepA ']","[1, 0]","[1, 1]",2,[],[],[],[]
10,https://www.youtube.com/watch?v=OO53j1uN2oE,73.561,[],[],[],0,[],[],[],[]
11,https://www.youtube.com/watch?v=pifBpLAun6U,80.0,['bQES_F6c7c8 '],[0],[1],1,[],[],[],[]
12,https://www.youtube.com/watch?v=Us8YIiF08hU,83.121,[],[],[],0,[],[],[],[]
13,https://www.youtube.com/watch?v=vqkAoVJ-maQ,125.321,[],[],[],0,[],[],[],[]
14,https://www.youtube.com/watch?v=TD6pA5YvJ0s,531.301,"['vOoJVWITR-E ', 'UNk8YilXVQc ']","[0, 0]","[1, 1]",2,[],[],[],[]
15,https://www.youtube.com/watch?v=-aIhPtaTQ6c,89.621,[],[],[],0,[],[],[],[]
16,https://www.youtube.com/watch?v=uf8yPyl6Dpk,148.321,[],[],[],0,[],[],[],[]
17,https://www.youtube.com/watch?v=PkzCjjENNQg,411.501,[],[],[],0,[],[],[],[]
18,https://www.youtube.com/watch?v=lgJE0ZobiH0,708.341,[],[],[],0,[],[],[],[]
19,https://www.youtube.com/watch?v=89_ZIxJt2tI,108.181,[],[],[],0,[],[],[],[]
20,https://www.youtube.com/watch?v=EGymN-Lc87M,221.521,"['UNk8YilXVQc ', 'bQES_F6c7c8 ']","[0, 0]","[1, 1]",2,[],[],[],[]
21,https://www.youtube.com/watch?v=j8z7UjET1Is,252.481,[],[],[],0,[],[],[],[]
22,https://www.youtube.com/watch?v=XI2sXvesncc,253.0,"['UNk8YilXVQc ', 'AtDwRIp91tc ']","[0, 0]","[1, 1]",2,[],[],[],[]
23,https://www.youtube.com/watch?v=uhW1-YW73Dk,198.221,[],[],[],0,[],[],[],[]
24,https://www.youtube.com/watch?v=hvzMmwRNIfQ,231.461,[],[],[],0,[],[],[],[]
25,https://www.youtube.com/watch?v=_Wp0vZnR_FM,232.641,[],[],[],0,[],[],[],[]
26,https://www.youtube.com/watch?v=fefxdZANHSY,231.481,[],[],[],0,[],[],[],[]
27,https://www.youtube.com/watch?v=dS9cvu13jKs,114.241,[],[],[],0,[],[],[],[]
28,https://www.youtube.com/watch?v=hSQxjB1Jdkw,1236.261,[],[],[],0,[],[],[],[]
29,https://www.youtube.com/watch?v=pfdTXbNgyk4,259.461,[],[],[],0,[],[],[],[]
30,https://www.youtube.com/watch?v=YbrZc8YnagQ,412.101,[],[],[],0,[],[],[],[]
31,https://www.youtube.com/watch?v=qC4dDmsRkCg,225.081,[],[],[],0,[],[],[],[]
32,https://www.youtube.com/watch?v=PNiTB4tmt78,360.121,[],[],[],0,[],[],[],[]
33,https://www.youtube.com/watch?v=6lHjesO3cFA,421.121,[],[],[],0,[],[],[],[]
34,https://www.youtube.com/watch?v=QzABtvRCovg,209.961,[],[],[],0,[],[],[],[]
35,https://www.youtube.com/watch?v=4ji09BAwgpE,206.081,[],[],[],0,[],[],[],[]
36,https://www.youtube.com/watch?v=q-Emb8bGHls,262.301,[],[],[],0,[],[],[],[]
37,https://www.youtube.com/watch?v=zyQlhkBN7_k,273.061,[],[],[],0,[],[],[],[]
38,https://www.youtube.com/watch?v=7BpwDUkti40,319.121,[],[],[],0,[],[],[],[]
39,https://www.youtube.com/watch?v=4cz9JLamJa8,231.081,[],[],[],0,[],[],[],[]
40,https://www.youtube.com/watch?v=hq3yfQnllfQ,245.061,[],[],[],0,[],[],[],[]
41,https://www.youtube.com/watch?v=kHSFpGBFGHY,3964.281,[],[],[],0,[],[],[],[]
42,https://www.youtube.com/watch?v=Zu6o23Pu0Do,164.0,['Ws3V7A6gepA '],[0],[1],1,[],[],[],[]
43,https://www.youtube.com/watch?v=fHqjNHxmB7c,251.321,[],[],[],0,[],[],[],[]
44,https://www.youtube.com/watch?v=zAax3z5uQ2k,322.0,['vOoJVWITR-E '],[0],[1],1,[],[],[],[]
45,https://www.youtube.com/watch?v=CvKgP6Ei-U8,606.741,"['MiNZLkGhEOE ', 'ySmihdz6MFc ']","[0, 1]","[1, 1]",2,[],[],[],[]
46,https://www.youtube.com/watch?v=3xqqj9o7TgA,352.0,"['Ws3V7A6gepA ', 'vOoJVWITR-E ']","[1, 1]","[1, 1]",2,[],[],[],[]
47,https://www.youtube.com/watch?v=1dttq5p0xUM,158.741,[],[],[],0,[],[],[],[]
48,https://www.youtube.com/watch?v=h4eueDYPTIg,130.061,[],[],[],0,[],[],[],[]
49,https://www.youtube.com/watch?v=4GcLWywzQXY,292.621,[],[],[],0,[],[],[],[]
50,https://www.youtube.com/watch?v=JeLIYZJ3hfM,152.741,[],[],[],0,[],[],[],[]
51,https://www.youtube.com/watch?v=N-V_omSSi4M,126.0,['UNk8YilXVQc '],[0],[1],1,[],[],[],[]
52,https://www.youtube.com/watch?v=uLLpESPH-uA,93.021,[],[],[],0,[],[],[],[]
53,https://www.youtube.com/watch?v=vzEpSWITbyo,137.701,[],[],[],0,[],[],[],[]
54,https://www.youtube.com/watch?v=zZ8fqUIVWPo,121.521,[],[],[],0,[],[],[],[]
55,https://www.youtube.com/watch?v=_Xv59lQ2_XU,823.661,[],[],[],0,[],[],[],[]
56,https://www.youtube.com/watch?v=pYCRA2TX8Lo,133.0,['vOoJVWITR-E '],[0],[1],1,[],[],[],[]
57,https://www.youtube.com/watch?v=v9sejrIUNUQ,139.621,[],[],[],0,[],[],[],[]
58,https://www.youtube.com/watch?v=DERMiL7I5vo,133.661,[],[],[],0,[],[],[],[]
59,https://www.youtube.com/watch?v=pkjKMLtIemg,49.621,[],[],[],0,[],[],[],[]
60,https://www.youtube.com/watch?v=e_04ZrNroTo,228.661,[],[],[],0,[],[],[],[]
61,https://www.youtube.com/watch?v=MR5XSOdjKMA,165.0,"['UNk8YilXVQc ', 'vOoJVWITR-E ']","[1, 1]","[1, 1]",2,[],[],[],[]
62,https://www.youtube.com/watch?v=ohHYABXMqUQ,247.0,['bQES_F6c7c8 '],[0],[1],1,[],[],[],[]
63,https://www.youtube.com/watch?v=KTOwPz-zMWY,246.601,[],[],[],0,[],[],[],[]
64,https://www.youtube.com/watch?v=Y2T_rIZ4Pho,172.521,[],[],[],0,[],[],[],[]
65,https://www.youtube.com/watch?v=n38kGst16sI,195.861,[],[],[],0,[],[],[],[]
66,https://www.youtube.com/watch?v=wV3N-wCRL2k,1975.761,"['eB969B8OQFc ', 'AE9BTVpyuuQ ']","[0, 1]","[1, 1]",2,[],[],[],[]
67,https://www.youtube.com/watch?v=Wm4R8d0d8kU,169.181,[],[],[],0,[],[],[],[]
68,https://www.youtube.com/watch?v=w_IINnpSjY8,2048.061,['Ws3V7A6gepA '],[1],[1],1,[],[],[],[]
69,https://www.youtube.com/watch?v=Sjwl23rk6Tg,465.0,['1dtzSRlfBDk '],[0],[1],1,[],[],[],[]
70,https://www.youtube.com/watch?v=9_WBQISVHnw,622.201,"['fOdo1GkzZAk ', 'eB969B8OQFc ', 'UNk8YilXVQc ']","[0, 0, 0]","[1, 1, 1]",3,[],[],[],[]
71,https://www.youtube.com/watch?v=nSO51Kat_MI,1255.0,"['SswRvbJlmCQ ', 'fysVod7eanc ', 'ZelVyOCWqAU ', 'Ws3V7A6gepA ']","[0, 0, 0, 0]","[1, 1, 1, 1]",4,[],[],[],[]
72,https://www.youtube.com/watch?v=Aqvsug_Wv5A,617.0,"['3vkgNy8mgwE ', 'ySmihdz6MFc ', 'J9h3vC1WM4g ']","[0, 0, 0]","[1, 1, 1]",3,[],[],[],[]
73,https://www.youtube.com/watch?v=ic4QVAGkLPY,708.0,"['SswRvbJlmCQ ', 'UNk8YilXVQc ', 'AE9BTVpyuuQ ', '4HtoyJ68Pro ']","[0, 0, 0, 0]","[1, 1, 1, 1]",4,[],[],[],[]
74,https://www.youtube.com/watch?v=y6Fo4i_pLyc,600.0,"['1dtzSRlfBDk ', 'Fe0Yn8O5kNw ']","[1, 0]","[1, 1]",2,[],[],[],[]
75,https://www.youtube.com/watch?v=VxRQW4FGKNc,601.0,['Ws3V7A6gepA '],[0],[1],1,[],[],[],[]
