,main video url,main video duration,video ad ids,ad skippable,ad counts,total unique ads,banner ad img srcs,banner ad urls,sidebar,in-feed
0,https://www.youtube.com/watch?v=hCLLf3sZEW8,867.421,[],[],[],0,[],[],[],[]
1,https://www.youtube.com/watch?v=otNx20ruo84,940.0,"['HHrQMVb8fUE ', '30o1wAvMnzs ', 'iutAdxs88YI ', '9cWTgf553is ', 'yoF5cEB0UNk ', 'CaKjiOufsNM ']","[0, 0, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1]",6,[],[],[],[]
2,https://www.youtube.com/watch?v=vOmmygrs1c4,815.021,"['Qy-aoaMFi84 ', '0D729RM4Of4 ', 'JxalJAMQE_k ']","[1, 1, 0]","[1, 1, 1]",3,[],[],[],[]
3,https://www.youtube.com/watch?v=IBUZfuOP1c0,605.081,"['iutAdxs88YI ', 'qZi18DrtiPI ', 'pLRjAsL54UM ']","[1, 1, 0]","[1, 1, 1]",3,[],[],[],[]
4,https://www.youtube.com/watch?v=07oeB3cxuvc,749.941,"['cJs7FdGuBpU ', 'sEhWuhezQMA ', 'gI8qLRhwssE ']","[0, 1, 1]","[1, 1, 1]",3,[],[],[],[]
5,https://www.youtube.com/watch?v=uhxZ5e9rN80,671.541,"['iYOgKAbOt10 ', 'O6jq5uqtd5I ', '0pYHFBku6DE ']","[1, 1, 1]","[1, 1, 1]",3,[],[],[],[]
6,https://www.youtube.com/watch?v=v2tT05J3BvM,1093.061,"['adVGScCEpxI ', '73kv3MQx6yY ', 'OjDFweJK1Js ']","[1, 0, 1]","[1, 1, 1]",3,[],[],[],[]
7,https://www.youtube.com/watch?v=MlS8IOMVFbU,790.461,"['CxKeL4Su3LA ', 't1P33Rl3m1c ', '4bh6r5Im3OU ']","[1, 1, 0]","[1, 1, 1]",3,[],[],[],[]
8,https://www.youtube.com/watch?v=I9QcqzXZ5rc,693.0,"['p5yYqqFNVic ', 'adVGScCEpxI ', 'iYOgKAbOt10 ', '7ANyt4o3DaI ']","[0, 1, 1, 0]","[1, 1, 1, 1]",4,[],[],[],[]
9,https://www.youtube.com/watch?v=idHHyx-62Ys,945.341,"['CxKeL4Su3LA ', 'UNDmnKJpbLY ']","[1, 1]","[1, 1]",2,[],[],[],[]
10,https://www.youtube.com/watch?v=UVJwHk5AE_E,937.621,"['0-fFJP7nye4 ', 'T_K5-wAWAKU ']","[1, 1]","[1, 1]",2,[],[],[],[]
11,https://www.youtube.com/watch?v=ap0t1T_qvN8,832.181,"['CxKeL4Su3LA ', '3dE4PukQmek ', 'QyEMEOe-u1o ']","[1, 1, 0]","[1, 1, 1]",3,[],[],[],[]
12,https://www.youtube.com/watch?v=PL2BF4vE2TE,690.301,"['8e1-CyEtl_Q ', 'adVGScCEpxI ', 'UIvqkQ1Xxls ']","[1, 1, 1]","[1, 1, 1]",3,[],[],[],[]
13,https://www.youtube.com/watch?v=C1NV9yKNKw4,776.0,"['CJVhHFKt-W8 ', '-sYV2DonEzY ', '0-fFJP7nye4 ', 'JIBCmnJFiNI ']","[0, 1, 1, 1]","[1, 1, 1, 1]",4,[],[],[],[]
14,https://www.youtube.com/watch?v=gWrlJ1Oz80I,558.621,"['gD_TDVY4m28 ', 'cfuHuMm00OQ ']","[1, 0]","[1, 1]",2,[],[],[],[]
15,https://www.youtube.com/watch?v=ugw0Crfqfls,1147.0,"['BdHOy0Sg-N0 ', 'p5yYqqFNVic ', '1LkMHqpYksA ', 'adVGScCEpxI ', 'B219Igabc_Y ']","[0, 1, 1, 1, 0]","[1, 1, 1, 1, 1]",5,[],[],[],[]
16,https://www.youtube.com/watch?v=WfvS2ujt5hU,912.141,"['ViG1VO0pUDc ', '4bh6r5Im3OU ', 'BZxlg_hofbE ']","[1, 0, 0]","[1, 1, 1]",3,[],[],[],[]
17,https://www.youtube.com/watch?v=yT7WVCNahaA,891.441,['iYOgKAbOt10 '],[1],[1],1,[],[],[],[]
18,https://www.youtube.com/watch?v=FnsVTjNluhk,1182.421,"['-sYV2DonEzY ', 'krLuuTqCGBw ', 'CZxQ0nK_LIw ']","[1, 0, 0]","[1, 1, 1]",3,[],[],[],[]
19,https://www.youtube.com/watch?v=jRTatZE1f8o,911.001,"['Vi01wGdyLys ', 'TgS-BondGe8 ', 'eF8EvWq0elk ']","[1, 0, 1]","[1, 1, 1]",3,[],[],[],[]
20,https://www.youtube.com/watch?v=ODbk-P4bRPw,990.541,"['qZi18DrtiPI ', 'TN9_1GxCzz8 ', 'e_yV1psueYY ']","[1, 0, 1]","[1, 1, 1]",3,[],[],[],[]
