,main video url,main video duration,video ad ids,ad skippable,ad counts,total unique ads,banner ad img srcs,banner ad urls,sidebar,in-feed
0,https://www.youtube.com/watch?v=oApjtkaMfAI,754.021,"['nw4usfg8z3s ', '5IcAsUnVXfs ']","[1, 1]","[1, 1]",2,"['https://yt3.ggpht.com/Bclgkv9Vlc9tJUgqglUBEmgGDwvVKZUNmNeziQhi7K48ckYPDm8gIGMjcreaLs2Pm69QVlit=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj', 'https://yt3.ggpht.com/ZarEBqSQHjmDVotftP4h3xPdCivPFysY_u6xcysJLCambQxa47WfXYzxuHe8BAB-yxs6NHORpg=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj', 'https://yt3.ggpht.com/Bclgkv9Vlc9tJUgqglUBEmgGDwvVKZUNmNeziQhi7K48ckYPDm8gIGMjcreaLs2Pm69QVlit=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj']","['foodpanda.pk', 'www.sunsilk.pk/home.html', 'foodpanda.pk']",[],[]
1,https://www.youtube.com/watch?v=nnJbCsVQ0oM,709.0,"['fEe5QCRJiCE ', '_FCwqB7wJBA ', 'WYDk5kbbsHo ', 'h8_iBoGxDjE ', 'VxeT4KiLYnw ', 'NvhTO2eOULI ']","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]",6,"['https://yt3.ggpht.com/rT33AUzbGY90rorkBAxBYZXe8bFbSU-StatC6PTepdQn9mbTntfHM5HoWJJuTZoXPVrryqtS=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj', 'https://yt3.ggpht.com/rT33AUzbGY90rorkBAxBYZXe8bFbSU-StatC6PTepdQn9mbTntfHM5HoWJJuTZoXPVrryqtS=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj', 'https://yt3.ggpht.com/DWREGNpuT8k1IGCpTH8HQxrmtbhflLyfhjUQHLRNzy2mviFPrrnWh1oIS6PkJ0Fr1c90BzUA7w=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj']","['tryunilever.com/pages/lifebuoyshampoo', 'www.youtube.com/@DaldaFoodsOfficial', 'www.daraz.pk/shop/peek-freans/']",[],[]
2,https://www.youtube.com/watch?v=c1x9tb4MXeg,612.0,"['2VpEGg3EdXY ', 'YNt-AuVraKU ']","[1, 0]","[1, 1]",2,"['https://yt3.ggpht.com/NivEmcMwTfrhgrOxqROiArTbiRgE1cVv0Egexah_vcMYSmftz0VyhF7kcvm-chAM0dCNxDkp=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj', 'https://yt3.ggpht.com/jVxsz7lpatakQ2_tY38jm-zxEmmR7GfzPZbdxz8yNwGlHm8tncEzbddatDBSxj_S1cyygUO9=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj', 'https://yt3.ggpht.com/NivEmcMwTfrhgrOxqROiArTbiRgE1cVv0Egexah_vcMYSmftz0VyhF7kcvm-chAM0dCNxDkp=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj']","['www.blueband.com/en-pk/recipes', 'tabiyat.pk/product-detail/panadol-extend-665mg-11917', 'www.blueband.com/en-pk/recipes']",[],[]
3,https://www.youtube.com/watch?v=B3w2__SGUYQ,706.441,"['4ZQTZNnIOdc ', 'qLGZbo_YjqE ']","[1, 0]","[1, 1]",2,"['https://yt3.ggpht.com/_Kkji2lnneszCYMslHGz0eBx7sCjkmyjAcPmqSy2MtW_S5K76A0BzfSOWPeQIVwe1EdfIvueSw=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj']",['foodpanda.pk'],[],[]
4,https://www.youtube.com/watch?v=sAOyERiq2Ak,624.361,"['imqiCsmdhPc ', 'ACmiCwq3WMI ']","[1, 1]","[1, 1]",2,"['https://yt3.ggpht.com/VmS_FygZmpSrfdLhm7uf48FqZaqSQAN4nbsgJnU6h0GW5peGg1QLbZgZa1L_Ub5qVHMqoaCwPUo=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj']",['www.landroverusa.com/vehicles/new-range-rover-sport/index.html'],"[{'Img': 'https://lh3.googleusercontent.com/proxy/Q5R0kZCwraE0a5BTB879eLmMlZKfgB_9uf9szY2QVKBn3wrRIONysepuLVX-9p7So1PFR_9RGWddWzdE6sYNDMS6WGORQ9dFl4OvqTiMnv-xNYKdR_xjdyrj1-aQmAna6xs', 'Title': 'Videos For kids Free', 'Description': 'Songs nursery rhymes videos for kids, Nursery Rhymes with colourful 3D animation in HD', 'Link': 'odztv.com'}]",[]
5,https://www.youtube.com/watch?v=Gbz1Z4eoHu0,706.541,"['VxeT4KiLYnw ', 'RkL3YP2usOE ', 'QMO0v386OUE ', 'oWbhqm4zjP0 ']","[1, 1, 0, 0]","[1, 1, 1, 1]",4,"['https://tpc.googlesyndication.com/pagead/imgad?id=CICAgOCSgOGULhCsAhg8MgjBobzXih4J1Q', 'https://yt3.ggpht.com/xmJHxDztUhthFku47VYaGPEhdVCl0-BrUqC8R1qF6TOPBXZZOny1-OMjuMm24cY2EPObA5FC1Q=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj', 'https://yt3.ggpht.com/ZWBHMHoJAaFGRhKW-pCB_ah1-H-dn6al_xfd7FDi64Q7O4clgYZhoUSoaQfGf5amdFQyX95Ti24=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj', 'https://yt3.ggpht.com/xmJHxDztUhthFku47VYaGPEhdVCl0-BrUqC8R1qF6TOPBXZZOny1-OMjuMm24cY2EPObA5FC1Q=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj']","['godaddy.com', 'register.sandbox.game', 'viam.com/tryviam', 'register.sandbox.game']",[],[]
6,https://www.youtube.com/watch?v=uiHakl7zSrU,739.461,"['VxeT4KiLYnw ', '1dtzSRlfBDk ']","[1, 1]","[1, 1]",2,"['https://yt3.ggpht.com/vIXuXYbVJ3hJ2B8e3tX5GOLW324M0UBLST3bRWpS8cDrTbkDvcp-AX_K1IMsuG3Ak42kCT2Rfg=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj']",['adaptedmind.com'],"[{'Img': 'https://lh3.googleusercontent.com/proxy/Q5R0kZCwraE0a5BTB879eLmMlZKfgB_9uf9szY2QVKBn3wrRIONysepuLVX-9p7So1PFR_9RGWddWzdE6sYNDMS6WGORQ9dFl4OvqTiMnv-xNYKdR_xjdyrj1-aQmAna6xs', 'Title': 'Videos For kids Free', 'Description': 'Songs nursery rhymes videos for kids, Nursery Rhymes with colourful 3D animation in HD', 'Link': 'odztv.com'}]",[]
7,https://www.youtube.com/watch?v=pJ4bFtzUyF8,727.0,"['nw4usfg8z3s ', '5IcAsUnVXfs ', 'tq3vbJhfXr4 ', 'NF8pXXVzbXA ', 'VxeT4KiLYnw ', 'oEaucVYvyNc ', 'ruF5Noqn6Rw ']","[1, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 1]",7,"['https://yt3.ggpht.com/Bclgkv9Vlc9tJUgqglUBEmgGDwvVKZUNmNeziQhi7K48ckYPDm8gIGMjcreaLs2Pm69QVlit=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj', 'https://yt3.ggpht.com/ZarEBqSQHjmDVotftP4h3xPdCivPFysY_u6xcysJLCambQxa47WfXYzxuHe8BAB-yxs6NHORpg=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj', 'https://yt3.ggpht.com/Bclgkv9Vlc9tJUgqglUBEmgGDwvVKZUNmNeziQhi7K48ckYPDm8gIGMjcreaLs2Pm69QVlit=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj', 'https://yt3.ggpht.com/3DAcj9VmrYna5aEBIWHhMzEEVH1BjKXm-UHmZJ3ND5FRDUIu6AMKhbCKiS0zLyvl_IYoUlv-1g=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj', 'https://yt3.ggpht.com/ik-4WkLI_devoGFCMSAnF67LTc4Dl1wSDvZIrwAzFRXTID-M9q6xK8kK5Dx2WoEyIMkNl9fDrIQ=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj']","['foodpanda.pk', 'www.sunsilk.pk/home.html', 'foodpanda.pk', 'click.daraz.pk/NestléBunyad', 'www.youtube.com/pubgmobileesports?sub_confirmation=1']","[{'Img': 'https://lh3.googleusercontent.com/proxy/Q5R0kZCwraE0a5BTB879eLmMlZKfgB_9uf9szY2QVKBn3wrRIONysepuLVX-9p7So1PFR_9RGWddWzdE6sYNDMS6WGORQ9dFl4OvqTiMnv-xNYKdR_xjdyrj1-aQmAna6xs', 'Title': 'Videos For kids Free', 'Description': 'Songs nursery rhymes videos for kids, Nursery Rhymes with colourful 3D animation in HD', 'Link': 'odztv.com'}]",[]
8,https://www.youtube.com/watch?v=FoOQmnoe6DU,687.041,"['VxeT4KiLYnw ', '1dtzSRlfBDk ', '4cFzr0_S19M ', 'tq3vbJhfXr4 ']","[1, 1, 1, 1]","[1, 1, 1, 1]",4,"['https://yt3.ggpht.com/vIXuXYbVJ3hJ2B8e3tX5GOLW324M0UBLST3bRWpS8cDrTbkDvcp-AX_K1IMsuG3Ak42kCT2Rfg=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj', 'https://yt3.ggpht.com/_Kkji2lnneszCYMslHGz0eBx7sCjkmyjAcPmqSy2MtW_S5K76A0BzfSOWPeQIVwe1EdfIvueSw=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj']","['adaptedmind.com', 'foodpanda.pk']",[],[]
9,https://www.youtube.com/watch?v=Hkmj9BO-VOk,694.521,"['xWGIhigpI_A ', 'Ls07fEP9aXs ']","[1, 1]","[1, 1]",2,[],[],[],[]
