,main video url,main video duration,video ad ids,ad skippable,ad counts,total unique ads,banner ad img srcs,banner ad urls,sidebar,in-feed
0,https://www.youtube.com/watch?v=K0HvvjeaTco&ab,298.361,['86fxnQKSAq4 '],[0],[1],1,[],[],[],[]
1,https://www.youtube.com/watch?v=tn-Y0Rr1JLQ&ab,189.621,['wMLW4XmBccw '],[0],[1],1,[],[],[],[]
2,https://www.youtube.com/watch?v=metpFkwRmps&ab,246.781,['McvURqImWVM '],[1],[1],1,[],[],[],[]
3,https://www.youtube.com/watch?v=p7_EemV-k6s&ab,213.261,['PcRSLXJpBII '],[0],[1],1,[],[],[],[]
4,https://www.youtube.com/watch?v=GcYXuQPlRvw&ab,223.0,"['GwWfjYq2pBI ', 'OTkCh02V74o ', '-dMItePoUBU ']","[0, 1, 0]","[1, 1, 1]",3,[],[],[],[]
5,https://www.youtube.com/watch?v=X54vAwRUfso&ab,278.161,['MO--pv3r56c '],[0],[1],1,[],[],[],[]
6,https://www.youtube.com/watch?v=43rGq_Mum5Q&ab,295.761,['e8J8u_oE8Ug '],[0],[1],1,[],[],[],[]
7,https://www.youtube.com/watch?v=kMstrkv7Twg&ab,203.781,['7kZ3CJjvl30 '],[0],[1],1,[],[],[],[]
8,https://www.youtube.com/watch?v=0PSXmLP12XY&ab,130.181,[],[],[],0,[],[],[],[]
9,https://www.youtube.com/watch?v=52RG2JGhuBY&ab,162.121,"['4E5Lpz6-IW8 ', 'tuHktqLum1Y ']","[1, 0]","[1, 1]",2,[],[],[],[]
10,https://www.youtube.com/watch?v=-ll9RelW_QI,570.261,"['_uHZZmTXzQw ', 'LaQSSiDE2uo ']","[0, 0]","[1, 1]",2,[],[],"[{'Img': 'https://lh3.googleusercontent.com/proxy/wqq_nUYd5HAwpf9PJSbFgmIec1gRyh-UWTGN509yZw37Eq9R4QnIfgM-CuFlhtu5dGTN9GxJa-E_6WoTdMtnEL55XaEUI9vrw_AopZiE1BnmaryOTAUpejqB9Frqr2Au2tQ', 'Title': 'Secure Your Cloud', 'Description': 'Compare The Best Cloud Security Options.', 'Link': 'us.shofast.com'}]",[]
