,ad_video_id
0,bQES_F6c7c8
1,JpNCpykjPqk
2,3ZwSvEx-txQ
3,dN1ZqEuvVGQ
4,0LbnsXgE8ro
5,8wzQ-zcvymQ
6,hiOHenRD3tU
7,abygu2s6RdY
8,RkL3YP2usOE
9,esTnkv6WfF8
10,FdIZnn-oUaU
11,DDB3hb2Opts
12,1dtzSRlfBDk
13,sWDtg2UjFP0
14,OwQNnCD5WFs
15,EW9CtqXZGFg
16,nOxZiav_pv8
17,Ucog1ghGMUM
18,l924xlPeY4s
19,CxUcLE-SuqE
20,c7kUBqwvuQg
21,ae0zme6bVLo
22,ulN4LSNaluo
23,gRIsS2GwuBA
24,wMKvGAHJ-t4
25,CxftomuwufY
26,Hxy0AEktdaQ
27,I2ow-rS4RAo
28,J6TcbAKKbgs
29,JN1Dbyfcp9s
30,_R_Z9uKGrqw
31,Iv0YRb3KHVE
32,0I5z4YcjBTU
33,K85_2vMRdS0
34,T367E4I0n74
35,CrKid-xco4E
36,ZDul1_8lLvg
37,7iA6dkaXYoo
38,BJP3aIFCdXc
39,dMbrrm88x0Y
40,KNwdYgaNcS8
41,kI9a7DqoYSQ
42,e4h_SQ8scXU
43,vtMyHw9OpTE
44,HZH9lebHzEE
45,Tqd67GuwTxQ
46,DzPZVLf_SFc
47,USKw2b-wSKA
48,wkkM0g0iGUc
49,GM0nGxKnpM8
50,34u1sOLrgVo
51,8qzXrLPd1qY
52,TP0OCPwo9gA
53,-CaoOjlpEaM
54,1vjqGDkJSzk
55,jbgtChg7DJA
56,wRKzTijbyK4
57,4XSEnq1rEpw
58,DsBBi3F8ki8
59,vQPWznJ8PIU
60,wBq6vj35CoE
61,XgchivdGlAs
62,01Nk76yT5Lc
63,nUZI9W80hps
64,zcve7AakeVA
65,wApqmSqffKw
66,7oKQM2PGkJ4
67,zicjTN5ovdQ
68,4m77bkbswLI
69,eYLBwAXC43o
70,ZNCpcFEjpdI
71,UhqTStoeZeg
72,L5SGkW8BLbk
73,KQAjfTOYZLs
74,IO97MpJCay4
75,M170zsMERNg
76,SreCPtk4sHA
77,-l7BKQv_CIc
78,BwkLVZI3Yrw
79,K0ybvVMI34o
80,sKKRzx6GXv8
81,Ir5MIykaAgM
82,jXf49ZHphV8
83,T21TaW8SqxY
84,vYqb_vf_CD8
85,_cd8_Fn2CA4
86,mdy85x-P3Jc
87,QnEcKGdht90
88,VYmm6qAkbDI
89,6SdkJcdAf38
90,aX8wrUubkdo
91,gWbhoYOWiCg
92,hCcGOI8JDdg
93,Tt0M7FUCAHw
94,Z1Uidozexjo
95,m68WZ7Ky5Ys
96,Acs-uxdO3ac
97,uG43Zl0_pKs
98,-zP8rk9oTpw
99,W9dHVieO37g
100,IbbbOor0c8Y
101,E3g_CT2rUe0
102,UrEfux-8OX4
103,lLQs7sfJXTw
104,5J_4KkBQ-uw
105,T5Mgj5fI6gc
106,3Sz41Y0DiTM
107,MHEjNMXlyco
108,zdv5_ROGWcQ
109,WP7SVKcWJEY
110,Bqe-GHV3LCk
111,EJl7zwKsUuw
112,UtPkRBzpBrI
113,YlLeKDmQWJ4
114,XT9Bv7JkG-I
115,dSYpLfOF6WA
116,u0LFr9cTyzc
117,E2Zvf7eSg8I
118,RF_nUpc4JAk
119,89Bt1COPSps
120,lncgzELl14Y
121,OEXEKSJH360
122,5cYt5R9zl4w
123,HUjTcSYQ8pg
124,4NGY2F7i4HQ
125,7PxncrvgzRM
126,AqjEIeYvQPA
127,5O3K8JXch1E
128,Ujm8GfdLvBw
129,m7URITTff24
130,OkHRH6_S8OA
131,BXQd5dthCno
132,xwQmQSQ7J3o
133,NuKNRFi-sJw
134,dYFnY-QZuUg
135,JdksJNvS-Fo
136,2QH0bKkTJ_U
137,rdfcWGLaoRY
138,NtmmOz6MMvQ
139,2JCtG_URvBI
140,FNFacRnRw84
141,IQq00SM0R0g
142,Qs74_kO8R2Q
143,lTbTfNXyd6U
144,TjxskTJd9eM
145,OHiotm-WzYE
146,QNar1CbpgfY
147,fOdo1GkzZAk
148,mdYeY0KjYJQ
149,UgPXZx-ZYTg
150,XXTtipYlb7c
151,_MFBdUXYuZU
152,AT5KI_lPdN0
153,79uAnHPbkN8
154,eJzsVAlqj-A
155,sUrrg3VWOfs
156,dpUO2FpSNT4
157,TSqmc4-Uzbg
158,-tWvKMLaXVg
159,Ki4jJpo6clk
160,n7J8GWsP-6M
161,ijLg2s096eE
162,DIS51VS2_ak
163,2CbyfvkRqe8
164,7rr2CXvHZZE
165,_s7cjRLMJvE
166,oWbhqm4zjP0
167,tITuX4oteIU
168,FHUMqJdo7UM
169,3Bj4_4SrSiU
170,Rk0VgE-EqK4
171,h88tyYTkmTc
172,CxjBzc720Lw
173,O4CrwiO3JTg
174,HkxHxN8gREs
175,f59Al90WEa0
176,4eP-Jl8hhPI
177,FdBiNvBtxGM
178,NXdCdm7Q1Ok
179,_7-3okF7t9U
180,wSEoFHzynnw
181,2MZorrqQ32U
182,eNTohrsr7m4
183,avhp4atMeHE
184,PdMeUv_EDl8
185,x7mfWWW35EU
186,SDdpT3kg9qs
187,IlgbeKXDWlQ
188,hRyFE5xFjfY
189,2tt63MYivRg
190,34TN0jNIwfQ
191,-RuqqLlCXEU
192,ed8lEXjeK9I
193,vqDo11b5dEA
194,RgOsM1cx_mo
195,Oc9vA7cjAA8
196,azh5eMh0aEI
197,0kt6Vc-tmpU
198,TmKG6XmPBj0
199,YubhVOqU87w
200,lQWhcfM6V-k
201,AE9BTVpyuuQ
202,7LU-MFsWiKg
203,Wy-IDaPrFIE
204,xht9srvO8gU
205,y_YFQaUGDX4
206,yMPMU_u2HBg
207,Hgge3iTiJfY
208,7lNGsLtiZxI
209,K33vvBpx4XA
210,6hXpVWnjZOs
211,sK1D7UTdEPQ
212,rqgs32MInm0
213,RnfuJRtFQD8
214,OkJdnxuvYjA
215,hzq8A0YJ0ts
216,s-lsC0rCE_E
217,9bof91Z4GYo
218,mxADE7iJTQY
219,SjzX6VPzTtw
220,IMwR-DdQSJw
221,jqXYWbZ5KZ4
222,H04TCxLTgvI
223,YejKMLVLViM
224,Nuvih6TK4-A
225,5y4Q2AIjLzA
226,CAqMZZ44Iqk
227,nvtkHxvvSH4
228,hfzpV-EPtww
229,evRZzTpdX0E
230,cM6K9bdUBKE
231,Rcl5omP9slA
232,MW7kQ8w5c24
233,VHFlPRdeSQ8
234,1UKKXFir0Cc
235,WBgrfWW8xxA
236,hbu7U50_5SY
237,mjFkbr1tN8M
238,bQrcDlIOjq8
239,6e0hTiNp6T0
240,NMJWwz1Fsho
241,3Jv0Fycjc-w
242,APuoOZsahqw
243,yWXANMPFT_I
244,MAFLyAW9xjQ
245,9o32X-90aXg
246,9lQRjx_tSU4
247,5sbFn-FPdAk
248,R24w5j9C2aA
249,EFIFazsqKlw
250,zVQZmLo8DaQ
251,-FntqCDBcYc
252,72XuyxqeE_8
253,sBEzwjxTCMA
254,l3g4qjGFwNI
255,EO5XT4UvpYw
256,9uyS14YN3MI
257,TekXE2NsTYM
258,CzdklPLxCyU
259,pdYNQAj09Ho
260,2C8oPikvmRI
261,F5bdUEBwXBQ
262,vEx_ygFUZqE
263,FnaOb4wtJDk
264,-WlMBZXpeYw
265,TzcNMY2jFuI
266,r2hJo62D0l4
267,KrckpFsWK_A
268,q-A6Fka8Eck
269,5EL6ywXVfK4
270,9jKIxTegjZ4
271,tStJ843KBhg
272,o610FL7wO_E
273,nO17odHUvnQ
274,7zEcEU1vx5c
275,DzlTcDy9J6g
276,Su1cgyVpO_w
277,rkCzsmw8tEk
278,wqFzwWRdteM
279,OX2KCqgaklI
280,2PE0qC0s9YE
281,5WJpSAWtI_4
282,Wyp75h7fKcY
283,oSrH4Uxc07s
284,2xmc85_vgfk
285,-6dleqTJs0o
286,Nr4-FT6HcBA
287,WVJZa3Pizm8
288,nS8NI8yZzY4
289,4pAo-V_34-E
290,dUm3ptTQr0Q
291,GIGG71EXHaY
292,_7AE1qVfDzM
293,ClGLi--xPZ8
294,wHG44imps4g
295,ApOIHQ5ofV8
296,Bs8wJi6AmUc
297,eN1s-ynXHoI
298,TZbYrldeiOo
299,-5Nn9YiCFyA
300,YlUPz_4-gnE
301,Kupqm7v_GEE
302,6GyoK-T6qMs
303,8wYSPQp8jNQ
304,TW6022XvPso
305,ZGZCJw2JXKM
306,AIjDe512JoA
307,y7sMr3EXLwY
308,tkmR_2RsnZQ
309,VzWlUcoxvmY
310,_kKfhZuKl4M
311,G7U7vt9bGy8
312,CVicaOPYO8k
313,cHBdQ3pc2EM
314,NvYDEN1m_AQ
315,sSM2-CLTbHg
316,cAMHx-m9oh8
317,pjv66UC09AQ
318,EcIyjDkYAmk
319,SVU8oL_hSOg
320,xEsrhROETOo
321,QVS6fdze_z8
322,Gym3vzboXlY
323,tFEHnaNlU0Q
324,Z7RRjkCbwAM
325,bBdlNw2ye2M
326,YMmfmpfrjEY
327,UUxJlzEVicI
328,QVvEKztK56U
329,9neRRdw6d0A
330,xYJi9EMOtUE
331,xxibRnl8eEI
332,2miqlCIJX_0
333,GLnlEGogS9M
334,k4LnXbU1YdY
335,AbfLobuCMX4
336,s27kADZ-qeg
337,4NFUR9vn2MU
338,96R_y0M-2NY
339,sDR9X02WV6g
340,KjK06CxurgA
341,DyIMb0oO8Qw
342,OuCiw7i0yMc
343,JBD7AwJ5O5c
344,Aod_tniTXb8
345,u8CL8Zgmv-w
346,4uEZzOMBbus
347,k9s-QWUMphA
348,w2NHlzRwxRQ
349,Gl3Kw8Zu1jY
350,4SuPDIEDA1Q
351,St-YcbUpGXE
352,YAGV7-qVYEo
353,nT8qQmQlTGQ
354,yZYuyoWc6ZI
355,iU2rMRZcn1U
356,7-gLmYJTDtI
357,xglZaBR0S2k
358,Izl2dIW8f-E
359,a62URN-P3IM
360,fP9Zw0Qbg8I
361,hK4kqKindE0
362,PoJvTWd1lYE
363,a4g8moa-CV8
364,vY8rDJcKZdA
365,sdDmSsCMPqw
366,XLqFNbu6k3U
367,nxsgvdqhMJk
368,8ZkE4jmX4YY
369,18Iut7YmzM4
