,ad_video_id
0,1_FURuXWcMg
1,l32QivrokIs
2,jz6LIo-6uEQ
3,OmmNhuT2n8Q
4,2_yZriRs6fg
5,wZ7Amwl-YAk
6,WfTGeSPRU6Q
7,_T6D2JOszBs
8,Dl2sBmpw0Fs
9,LY2dO81sJWg
10,5t_XFUloS0M
11,N2VaBxkJfSw
12,NQTlmeBEpiQ
13,McvURqImWVM
14,H30bJzJ9aS8
15,og44o8EpaaM
16,eW_s6qSgtMg
17,aoaizqRsptc
18,8_PB9gQVkWs
19,qAVeB0Z8rvM
20,WlARRkI4ZMc
21,wMKvGAHJ-t4
22,RxYzwSTlWqs
23,Hxy0AEktdaQ
24,C2Z1TCHI1do
25,faiqd9Crpmg
26,hrM_LP1wYuw
27,WG5bVsbROz4
28,vJobSVitRbo
29,pE2RYY-rVE0
30,wHlwsE8znXA
31,9OU6ErcAxRE
32,Edrk0utzzLw
33,n-HVLwVTbgY
34,YkcGoztVZiI
35,JyV1xagjdJc
36,ieUPM6k8kdQ
37,m2wcIwntneU
38,67NS-x1hodw
39,b1YRnnwziyQ
40,G7U7vt9bGy8
41,Hb6ZMPgpwLo
42,6Bd3dQ6gbS4
43,KZtoclyZjHI
44,Jbir6yDKZUE
45,YSs1BYZkeiI
46,KlXanD-CdUY
47,OKXBnR3N4Hc
48,TPXgH27Or4o
49,sVYQ6XkOIqY
50,Hcm1EP3AGEE
51,lQ_DhnGxfT8
52,_OhqVItlc78
53,tuHktqLum1Y
54,6QoIhJYkRvc
55,nuBvg633NBE
56,hl25jw8_G44
57,7CVq9WPJpPk
58,bzDD8ItXmXY
59,Hcegd2-PUIA
60,hCaJn-d18B8
61,dv5IH58AXOE
62,yjTveODKR04
63,mNyErScIE30
64,ut9vFGg9S-E
65,TiW4Pg2uakk
66,hXzcyx9V0xw
67,7uQFFSIWLQE
68,AjrGVby9zG0
69,MEjJ3irIVpE
70,LVS_5dCBFTU
71,GxDa_EivI00
72,ZT2UXcxTjLk
73,34u1sOLrgVo
74,uNJx8rKlrz4
75,K8grIoSEooQ
76,-IfheZ8RfCE
77,nOxZiav_pv8
78,uiXD841gzhE
79,5hj4jtPUxDk
80,1dtzSRlfBDk
81,yfonM7--m0g
82,G5RccXbkEEE
83,5QJ-DEHVyDE
84,v5dKrXB3t7A
85,S3dSaiPgcN0
86,5h7UtElyRLA
87,MdSjp8wQvXg
88,E30YUbAORq0
89,JbwKDvZh50I
90,31uBfxiSm9A
91,tHTbDMPUwaE
92,SFMTA6h0cW4
93,FdgMnrGNjV0
